#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	shugyoshanojujisurusangyobetsu_jinko2015
#download_from	http://linkdata.org/work/rdf1s7911i
#property	新宿区就業者数(単位:人)	新宿区就業者構成割合(単位:％)	全国就業者数(単位:人)	全国就業者構成割合(単位:％)	構成割合の対全国比
#object_type_xsd	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
　Ｍ 宿泊業，飲食サービス業	31790	6.6	3288060	5.9	1.13
　　75 宿泊業	4700	1	547980	1	1
　　76 飲食店	25610	5.4	2265380	4.1	1.32
　　77 持ち帰り・配達飲食サービス業	1490	0.3	474700	0.9	0.37
　Ｎ 生活関連サービス業，娯楽業	19380	4.1	2121390	3.8	1.07
　　78 洗濯・理容・美容・浴場業	4340	0.9	1009000	1.8	0.5
　　79 その他の生活関連サービス業	8430	1.8	427090	0.8	2.3
　　80 娯楽業	6610	1.4	685300	1.2	1.13
　Ｏ 教育，学習支援業	24720	5.2	2666230	4.8	1.08
　　81 学校教育	12600	2.6	1862190	3.3	0.79
　　82 その他の教育，学習支援業	12130	2.5	804040	1.4	1.76
　Ｐ 医療，福祉	27070	5.7	7031700	12.6	0.45
　　83 医療業	17040	3.6	3497070	6.3	0.57
　　84 保健衛生	1450	0.3	109410	0.2	1.55
　　85 社会保険・社会福祉・介護事業	8580	1.8	3425220	6.1	0.29
　Ｑ 複合サービス事業	880	0.2	496440	0.9	0.21
　　86 郵便局	780	0.2	274790	0.5	0.33
　　87 協同組合（他に分類されないもの）	100	0	221650	0.4	0.05
　Ｒ サービス業（他に分類されないもの）	52620	11	3586970	6.4	1.71
　　88 廃棄物処理業	410	0.1	298130	0.5	0.16
　　89 自動車整備業	180	0	281970	0.5	0.07
　　90 機械等修理業（別掲を除く）	2020	0.4	220460	0.4	1.07
　　91 職業紹介・労働者派遣業	7470	1.6	173310	0.3	5.03
　　92 その他の事業サービス業	34810	7.3	2129250	3.8	1.91
　　93 政治・経済・文化団体	5820	1.2	224910	0.4	3.02
　　94 宗教	1450	0.3	193990	0.3	0.87
　　95 その他のサービス業	460	0.1	45670	0.1	1.18
　　96 外国公務	0	0	19290	0	0
　Ｓ 公務（他に分類されるものを除く）	23580	4.9	2011750	3.6	1.37
　　97 国家公務	10540	2.2	564590	1	2.18
　　98 地方公務	13040	2.7	1447170	2.6	1.05
　Ｔ 分類不能の産業	39990		3067920		
　　99 分類不能の産業	39990		3067920		
（注）構成割合は分母の総数から「分類不能の産業」を除いて算出					
