行,EPSGコード,経度,緯度,施設名,郵便番号,所在地,電話番号,FAX
16,EPSG:6677,-34029.77241,-51323.24105,金森学童保育クラブ,194-0015,町田市金森東1-2-1,042-726-0290,042-726-0290
17,EPSG:6677,-33524.66465,-45155.34775,鶴川第四学童保育クラブ,195-0061,町田市鶴川3-22,042-734-3845,042-734-3845
18,EPSG:6677,-35739.15345,-49841.53912,森野学童保育クラブ,194-0022,町田市森野2-21-28,042-726-2448,042-726-2448
19,EPSG:6677,-32325.27414,-50209.14978,成瀬中央あおぞら学童保育クラブ,194-0044,町田市成瀬2-8,042-726-7966,042-726-7966
20,EPSG:6677,-37768.2979,-46645.70949,なかよし学童保育クラブ,194-0035,町田市忠生3-10-2,042-791-1729,042-791-1729
21,EPSG:6677,-32909.00317,-52376.84491,わんぱく学童保育クラブ,194-0003,町田市小川3-10-1,042-795-5875,042-795-5875
22,EPSG:6677,-32135.22124,-51152.43058,そよかぜ学童保育クラブ,194-0044,町田市成瀬7-11-1,042-727-8384,042-727-8384
23,EPSG:6677,-33124.55306,-45734.32531,大蔵学童保育クラブ,195-0062,町田市大蔵町286,042-734-3277,042-734-3277
24,EPSG:6677,-37752.93547,-46036.76187,図師学童保育クラブ,194-0203,町田市図師町239-19,042-791-2013,042-791-2013
25,EPSG:6677,-33644.16465,-50859.51574,高ヶ坂けやき学童保育クラブ,194-0014,町田市高ヶ坂6-7-1,042-720-0096,042-720-0096
26,EPSG:6677,-31809.49295,-52575.70227,つくし野学童保育クラブ,194-0001,町田市つくし野2-21-11,042-795-2187,042-795-2187
27,EPSG:6677,-33201.21737,-51745.51873,どろん子学童保育クラブ,194-0015,町田市金森東3-22-24,042-799-0989,042-799-0989
28,EPSG:6677,-34006.20108,-47645.18683,金井学童保育クラブ,195-0071,町田市金井町2612-183,042-736-0771,042-736-0771
29,EPSG:6677,-32613.04759,-45368.35836,鶴川学童保育クラブ,195-0061,町田市鶴川6-5,042-734-0429,042-734-0429
30,EPSG:6677,-47876.01843,-43213.80572,大戸のびっ子学童保育クラブ,194-0211,町田市相原町3865,042-783-3533,042-783-3533
31,EPSG:6677,-33546.67564,-49648.1885,南大谷学童保育クラブ,194-0031,町田市南大谷811-1,042-723-6577,042-723-6577
32,EPSG:6677,-33925.76757,-48424.71638,ころころ学童保育クラブ,194-0041,町田市玉川学園3-35-45,042-710-1475,042-710-1476
33,EPSG:6677,-34128.80907,-48228.5743,ころころ学童保育クラブ（分室）,194-0041,町田市玉川学園4-14-7,042-729-2982,042-729-2982
34,EPSG:6677,-34591.53243,-47325.38935,藤の台ポケット組学童保育クラブ,195-0071,町田市金井町3040-15,042-727-8566,042-727-8880
35,EPSG:6677,-43386.96447,-43708.37908,小山ヶ丘学童保育クラブ,194-0215,町田市小山ヶ丘5-37,042-770-6522,042-770-6522
36,EPSG:6677,-41682.11585,-44049.13442,小山中央学童保育クラブ,194-0215,町田市小山ヶ丘3-7-1,042-797-5557,042-797-5557
37,EPSG:6677,-41296.37487,-45175.92808,小山学童保育クラブ,194-0212,町田市小山町944,042-797-7875,042-797-7875
38,EPSG:6677,-38718.66545,-44673.72356,小山田学童保育クラブ,194-0201,町田市上小山田町610,042-797-0920,042-860-0210
39,EPSG:6677,-35879.08032,-48406.42856,本町田学童保育クラブ,194-0032,町田市本町田2032,042-722-0815,042-722-0815
40,EPSG:6677,-31842.24133,-45181.49538,鶴川第二学童保育クラブ,195-0053,町田市能ヶ谷7-24-2,042-737-0080,042-737-0080
41,EPSG:6677,-32502.43647,-53502.4647,南つくし野学童保育クラブ,194-0002,町田市南つくし野2-17-2,042-795-0051,042-706-8998
42,EPSG:6677,-37077.11698,-47018.32244,山崎学童保育クラブ,194-0035,町田市忠生2-15-26,042-792-0285,042-792-0285
43,EPSG:6677,-33150.02883,-52969.45053,南第一さくら学童保育クラブ,194-0005,町田市南町田1-10-1,042-795-4705,042-795-4705
44,EPSG:6677,-30558.18129,-46788.09562,みわっこ学童保育クラブ,195-0054,町田市三輪町330-1,044-988-0830,044-988-0830
45,EPSG:6677,-39157.65118,-45647.67848,桜の森学童保育クラブ,194-0204,町田市小山田桜台2-7,042-794-8013,042-794-8013
