行,EPSGコード,経度,緯度,店舗名,商品名,郵便番号,所在地,電話番号,URL
21,EPSG:6668,139.293,35.613,カトウファーム,かとうさんのぷりん カスタード,194-0211,東京都町田市相原町4418,042-783-0158,ultraran.ocnk.net
22,EPSG:6668,139.293,35.613,カトウファーム,かとうさんのぷりん ジャージー,194-0211,東京都町田市相原町4418,042-783-0158,ultraran.ocnk.net
23,EPSG:6668,139.462,35.562,グラン・ガトー,玉川名物 カラメルポンム,194-0041,東京都町田市玉川学園2-8-25,042-727-3517,grandgateau-gouda.jp
24,EPSG:6668,139.462,35.562,グラン・ガトー,玉川きいちごのマシュマロ,194-0041,東京都町田市玉川学園2-8-25,042-727-3517,grandgateau-gouda.jp
25,EPSG:6668,139.475,35.529,キャラメリーゼ,けやきロール,194-0003,東京都町田市小川1-14-10,042-788-2566,carameli.net
26,EPSG:6668,139.475,35.529,キャラメリーゼ,とうふかすてら,194-0003,東京都町田市小川1-14-10,042-788-2566,carameli.net
27,EPSG:6668,139.475,35.529,キャラメリーゼ,東京みるくシューラスク,194-0003,東京都町田市小川1-14-10,042-788-2566,carameli.net
28,EPSG:6668,139.437,35.555,町田酒販協同組合,天空の城　野津田,194-0023,東京都町田市旭町1-8-4,042-722-1151,
29,EPSG:6668,139.437,35.555,町田酒販協同組合,純米酒 尾根桜,194-0023,東京都町田市旭町1-8-4,042-722-1151,
30,EPSG:6668,139.443,35.568,町田焙煎珈琲　ヒルズ珈房,まちだ焙煎コーヒー,194-0032,東京都町田市本町田3540-12,042-850-9007,shop.hillscabo.com
31,EPSG:6668,139.443,35.568,町田焙煎珈琲　ヒルズ珈房,マイドリップバッグ,194-0032,東京都町田市本町田3540-12,042-850-9007,shop.hillscabo.com
32,EPSG:6668,139.464,35.563,玉川虎屋,学園ぽてと,194-0041,東京都町田市玉川学園7-5-1,042-728-6340,tamagawatoraya.com
33,EPSG:6668,139.464,35.563,玉川虎屋,まちだシルクメロン どら焼パンケーキ,194-0041,東京都町田市玉川学園7-5-1,042-728-6340,tamagawatoraya.com
34,EPSG:6668,139.464,35.563,玉川虎屋,まちだシルクメロンダックワーズ,194-0041,東京都町田市玉川学園7-5-1,042-728-6340,tamagawatoraya.com
35,EPSG:6668,139.329,35.605,町田いちご狩り農園　やさいの家,からうまこうじ,194-0211,東京都町田市相原町1275,070-5370-1275,
36,EPSG:6668,139.329,35.605,町田いちご狩り農園　やさいの家,Rich Jam（いちごジャム）,194-0211,東京都町田市相原町1275,070-5370-1275,
37,EPSG:6668,139.414,35.567,ワーカーズ・コレクティブ凡,凡のブルーベリーソース,194-0037,東京都町田市木曽西2-1-17,042-794-4871,bon-machida.or.jp
38,EPSG:6668,139.414,35.567,ワーカーズ・コレクティブ凡,凡のしそシロップ,194-0037,東京都町田市木曽西2-1-17,042-794-4871,bon-machida.or.jp
39,EPSG:6668,139.448,35.552,スワンベーカリー町田店 ｗｉｔｈ ＣＨＯＣＯＬＡＴＥ,町田ラスク（チョコレート菓子・６種）,194-0021,東京都町田市中町3-7-17,042-785-4533,swanbakery.co.jp
40,EPSG:6668,139.461,35.542,Ｋｏｇａｓａｋａ Ｂａｋｅ,高ヶ坂しっとりパウンド,194-0014,東京都町田市高ヶ坂5-12-1,042-860-6996,kogasaka-bake.com
41,EPSG:6668,139.451,35.587,パティスリー　フォルミダーブル,町田金井 獅子舞かすてら,195-0063,東京都町田市野津田町2543-5,042-737-1332,patisserie-formidable.com
42,EPSG:6668,139.478,35.554,クロイツェル,トーフハム,194-0043,東京都町田市成瀬台2-16-2,042-725-2231,kreutzer.gr.jp
43,EPSG:6668,139.47,35.537,珈琲豆処 こげちゃ家,恩田川のさくら,194-0045,東京都町田市南成瀬1-4-2成瀬ハイツ1F,042-720-2840,kogechaya.com
44,EPSG:6668,139.47,35.591,ル・ソレイユ,まちだけやきラング,195-0061,東京都町田市鶴川6-7-1-103,042-708-9982,turukawa.com/sub_001
45,EPSG:6668,139.419,35.603,ＮＰＯ法人プラナス,東京シルクメロンキャンディー,194-0202,東京都町田市下小山田町1532　大谷里山農園内,042-812-0276,npoprunus.com
46,EPSG:6668,139.408,35.58,バニラシュガー,～ハナユ～ HANAYU,194-0035,東京都町田市忠生4-9-5,042-866-4416,vanillasugar.net
47,EPSG:6668,139.408,35.58,バニラシュガー,ゼルビーのおやつ,194-0035,東京都町田市忠生4-9-5,042-866-4416,vanillasugar.net
48,EPSG:6668,139.484,35.52,つくし野マロン,つくしんぼ,194-0001,東京都町田市つくし野4-33-26,042-796-0309,tsukushino-marron.jp
49,EPSG:6668,139.313,35.608,社会福祉法人つぼみの家 町田ゆめ工房,相原パウンド（4種）,194-0211,東京都町田市相原町2983番地157,042-782-1491,machida-yumekobo.com
50,EPSG:6668,139.451,35.596,家具工房ＫＡＳＨＯ,町田の木のうつわ,195-0064,東京都町田市小野路町2284-1,080-5530-3947,kasho.cc
51,EPSG:6668,139.451,35.596,家具工房ＫＡＳＨＯ,小野路まな板,195-0064,東京都町田市小野路町2284-1,080-5530-3947,kasho.cc
52,EPSG:6668,139.462,35.579,クラフト工房　Ｌａ　Ｍａｎｏ,藍型染手ぬぐい（3種）,195-0072,東京都町田市金井5-14-18,042-736-1455,la-mano.jp
53,EPSG:6668,139.424,35.595,小川ファーム,町田のはちみつ,194-0202,東京都町田市下小山田1168,042-719-5486,
54,EPSG:6668,139.416,35.575,魚儀,ホキゆず　西京漬け,194-0038,東京都町田市根岸2-33-16,042-791-0027,uogi.co.jp
55,EPSG:6668,139.416,35.575,魚儀,青ひらす　西京漬け,194-0038,東京都町田市根岸2-33-16,042-791-0027,uogi.co.jp
56,EPSG:6668,139.416,35.575,魚儀,銀さけ　粕漬け,194-0038,東京都町田市根岸2-33-16,042-791-0027,uogi.co.jp
57,EPSG:6668,139.45,35.54,レンブラントホテル東京町田,町田味噌醤油パウンド芳醇,194-0013,東京都町田市原町田3-2-9,042-724-3121,rembrandt-group.com/machida
58,EPSG:6668,139.45,35.54,レンブラントホテル東京町田,みそランタン,194-0013,東京都町田市原町田3-2-9,042-724-3121,rembrandt-group.com/machida
59,EPSG:6668,139.45,35.54,レンブラントホテル東京町田,町田プリン,194-0013,東京都町田市原町田3-2-9,042-724-3121,rembrandt-group.com/machida
60,EPSG:6668,139.47,35.537,さかや栗原,まちだサイダー,194-0045,東京都町田市南成瀬1-4-6,042-727-2655,sakaya-kurihara.jp
61,EPSG:6668,139.449,35.536,しなもんや,町田シナモンエール,194-0013,東京都町田市原町田1-29-12-101,042-851-7640,cinnamonya.com
62,EPSG:6668,139.449 ,35.545 ,鮨　あら井,赤いジャン,194-0013,東京都町田市原町田6-24-4,042-721-3111,sushi-arai.jp
63,EPSG:6668,139.449 ,35.545 ,鮨　あら井,黒いジャン（イカスミ入り）,194-0013,東京都町田市原町田6-24-4,042-721-3111,sushi-arai.jp
64,EPSG:6668,139.449 ,35.545 ,鮨　あら井,町田のイカ様,194-0013,東京都町田市原町田6-24-4,042-721-3111,sushi-arai.jp
65,EPSG:6668,139.458 ,35.585 ,とらまぶー,レモン＆クリーム,195-0062,東京都町田市大蔵町3508,042-814-2350,dressing-sisters.com
66,EPSG:6668,139.436 ,35.567 ,タレなんかいらねぇ！元祖町田餃子味噌ベース,町田餃子商店,194-0032,東京都町田市本町田2507-4　ハ16-105,042-793-0860,gyoza.raku-uru.jp
67,EPSG:6668,139.442 ,35.545 ,神餃子,DINING BAR SUU,194-0022,東京都町田市森野1-9-18　まるかビルB1F,042-851-7652,diningbar-suu.com
68,EPSG:6668,139.440 ,35.552 ,はちみつバナナ,Lea sandwich,194-0021,東京都町田市中町2-5-7,080-9545-8591,
69,EPSG:6668,139.440 ,35.552 ,はちみついちごバナナ,Lea sandwich,194-0021,東京都町田市中町2-5-7,080-9545-8591,
70,EPSG:6668,139.440 ,35.552 ,焼き芋サンド,Lea sandwich,194-0021,東京都町田市中町2-5-7,080-9545-8591,
71,EPSG:6668,139.421 ,35.582 ,Red Argan 100?ピュアアルガン,成和インターナショナル,194-0203,東京都町田市図師町1302-1,042-794-0916,seiwainter-shop.jp
