設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員,定員(うちサテライト型住居）
他の法人,イクソス（大泉学園）,178-0061,練馬区大泉学園町８－２９－１２,139.59419,35.77386,JGD2011,042-439-6412,8,-
社福法人,聖家族寮,-,練馬区,-,-,-,-,12,-
他の法人,ＳＷワーク花畑寮,121-0062,足立区南花畑１－１８－１８,139.82616,35.78919,JGD2011,03-5242-5144,5,-
区市町村,綾瀬荘,-,足立区,-,-,-,-,75,-
他の法人,あさひ　第一西水元寮,125-0031,葛飾区西水元３－３６－１,139.85216,35.78827,JGD2011,03-6231-3946,7,-
営利法人,第一立花ホーム,124-12,葛飾区立石8－48－27,139.85907,35.74033,JGD2011,03-5889-8670,28,-
営利法人,第二立花荘,125-0054,葛飾区高砂３－２８－７,139.86949,35.74727,JGD2011,03-5889-8553,15,-
営利法人,第三立花荘,125-0054,葛飾区高砂３－２８－８,139.86949,35.74727,JGD2011,03-6657-9351,19,-
他の法人,青戸荘,125-0062,葛飾区青戸８－３－８,139.85005,35.75608,JGD2011,03-5650-3590,33,-
他の法人,青戸荘（日住）,125-0062,葛飾区青戸８－３－８,139.85005,35.75608,JGD2011,03-5650-3590,15,-
他の法人,瑞江荘,132-0015,江戸川区西瑞江３－１７－１７,139.89177,35.68668,JGD2011,03-5636-2822,28,-
他の法人,さくら荘,132-0031,江戸川区松島４－３９－３,139.85883,35.70956,JGD2011,03-5661-5811,30,-
他の法人,すずらん荘,132-0031,江戸川区松島４－３９－１５,139.85883,35.70956,JGD2011,03-5661-5811,36,-
他の法人,サンビレッジ東小岩,133-0052,江戸川区東小岩３－７－７,139.89142,35.73197,JGD2011,03-3658-8983,29,-
他の法人,サンビレッジ南小岩,133-0056,江戸川区南小岩７－２９－１６　第二山喜ビル２階・３階,139.88391,35.73183,JGD2011,03-3671-7821,7,-
他の法人,東葛西ハイツ,134-0084,江戸川区東葛西６－１５－２,139.87599,35.66217,JGD2011,03-6808-9939,36,-
他の法人,東葛西ハイツ（日住）,134-0084,江戸川区東葛西６－１５－２,139.87599,35.66217,JGD2011,03-6808-9939,15,-
他の法人,葛西荘,134-0084,江戸川区東葛西７－１３－１７,139.87631,35.65934,JGD2011,03-5679-3372,48,-
他の法人,西葛西荘,134-0088,江戸川区西葛西２－２０－２,139.85443,35.66657,JGD2011,03-3804-7570,29,-
他の法人,ひまわり荘,-,江戸川区,-,-,-,-,18,-
他の法人,サンビレッジ平井,-,江戸川区,-,-,-,-,13,-
他の法人,八王子荘,192-0012,八王子市左入町４１４－１,139.34378,35.68782,JGD2011,042-696-6822,41,-
他の法人,八王子荘２,192-0012,八王子市左入町４１４－１,139.34378,35.68782,JGD2011,042-696-6822,20,-
他の法人,ブランベルセ八王子,192-0064,八王子市田町３－１５,139.33643,35.66617,JGD2011,042-649-7620,68,-
他の法人,さくら八王子ハウス,-,八王子市,-,-,-,-,50,-
他の法人,さくら第２八王子ハウス,-,八王子市,-,-,-,-,86,-
他の法人,八王子ドゥーム,-,八王子市,-,-,-,-,34,-
他の法人,八王子ドゥーム２,-,八王子市,-,-,-,-,37,-
他の法人,ル・シェール八王子,-,八王子市,-,-,-,-,42,-
他の法人,ル・シェール八王子２,-,八王子市,-,-,-,-,37,-
他の法人,すみれハイツ,-,八王子市,-,-,-,-,20,-
他の法人,立川第２荘,190-0013,立川市富士見町４－１５－１４,139.39961,35.69511,JGD2011,042-521-0855,37,-
他の法人,立川第２荘（２）,190-0013,立川市富士見町４－１５－１４,139.39961,35.69511,JGD2011,042-521-0855,20,-
他の法人,さくら立川錦町ハウス,190-0022,立川市錦町６－２－５,139.41811,35.68947,JGD2011,042-527-1838,30,-
他の法人,グランドール立川,-,立川市,-,-,-,-,7,-
他の法人,グランドール立川２,-,立川市,-,-,-,-,20,-
他の法人,さくら三鷹ハウス,-,三鷹市,-,-,-,-,27,-
他の法人,新町ハイツ,198-0024,青梅市新町８－１０－８,139.31577,35.78153,JGD2011,042-878-2105,91,-
他の法人,新町ハイツ２,198-0024,青梅市新町８－１０－８,139.31577,35.78153,JGD2011,042-878-2105,37,-
他の法人,青梅荘,198-0043,青梅市千ケ瀬町３－４９０,139.26949,35.78294,JGD2011,042-820-5228,55,-
他の法人,さくら青梅ハウス,-,青梅市,-,-,-,-,46,-
他の法人,天神荘,183-0053,府中市天神町１－１３－４２,139.48711,35.67974,JGD2011,042-314-2702,18,-
他の法人,ライズケア調布,182-0006,調布市西つつじが丘１－１６－８,139.56836,35.66085,JGD2011,042-452-8002,71,-
営利法人,アクア矢部町,194-0214,町田市矢部町１０－２,139.4057,35.57644,JGD2011,042-711-8011,9,-
他の法人,梶野町荘,184-0002,小金井市梶野町２－１６－７,139.52924,35.70932,JGD2011,042-259-0630,16,-
他の法人,梶野町第２荘,184-0002,小金井市梶野町２－１６－６,139.52924,35.70932,JGD2011,042-236-5572,16,-
他の法人,梶野町第３荘,184-0002,小金井市梶野町２－１６－９,139.52924,35.70932,JGD2011,042-227-7097,27,-
他の法人,小金井荘,184-0002,小金井市梶野町４－１０－２３,139.52699,35.70747,JGD2011,042-250-0550,16,-
他の法人,東小金井荘,184-0002,小金井市梶野町４－１０－２４,139.52699,35.70747,JGD2011,042-255-5744,12,-
他の法人,さくら東小金井ハウス,184-0011,小金井市東町４－２０－２２,139.52505,35.6959,JGD2011,042-382-7316,34,-
他の法人,サンハイツ貫井南,184-0014,小金井市貫井南町４－１４－８,139.49466,35.69549,JGD2011,042-383-3993,32,-
他の法人,サンハイツ貫井南２,184-0014,小金井市貫井南町４－１４－８,139.49466,35.69549,JGD2011,042-383-3993,37,-
他の法人,花小金井ハイツ,187-0002,小平市花小金井６－２０－３,139.51057,35.73022,JGD2011,042-451-4015,23,-
他の法人,花小金井ハイツ２,187-0002,小平市花小金井６－２０－３,139.51057,35.73022,JGD2011,042-451-4015,20,-
他の法人,ロッジ小平,187-0002,小平市花小金井８－２８－１,139.50586,35.73142,JGD2011,042-450-6776,24,-
他の法人,天神ハイツ,187-0004,小平市天神町２－４－３３,139.49271,35.73304,JGD2011,042-312-3167,47,-
他の法人,天神ハイツ２,187-0004,小平市天神町２－４－３３,139.49271,35.73304,JGD2011,042-312-3167,20,-
他の法人,日野荘,191-0013,日野市宮２６９－１,139.40596,35.67052,JGD2011,042-589-3062,17,-
他の法人,ベル１０１,-,日野市,-,-,-,-,26,-
他の法人,ベル１０１（２）,-,日野市,-,-,-,-,20,-
他の法人,日野第二荘,-,日野市,-,-,-,-,19,-
他の法人,ドーミー久米川,189-0014,東村山市本町１－９－１１,139.46751,35.75204,JGD2011,042-306-1899,20,-
他の法人,ドーミー久米川２,189-0014,東村山市本町１－９－１１,139.46751,35.75204,JGD2011,042-306-1899,37,-
他の法人,さくら国分寺ハウス,185-0022,国分寺市東元町３－３０－７,139.47731,35.69675,JGD2011,042-326-1507,11,-
他の法人,さくら滝山ハウス,203-0033,東久留米市滝山７－１－２２,139.50836,35.74975,JGD2011,042-476-0720,41,-
他の法人,芝久保ハイツ,188-0014,西東京市芝久保町４－２－９,139.52798,35.73027,JGD2011,042-468-1625,29,-
他の法人,芝久保ハイツ２,188-0014,西東京市芝久保町４－２－９,139.52798,35.73027,JGD2011,042-468-1625,20,-
他の法人,イクソス（ひばりが丘）,-,西東京市,-,-,-,-,9,-
他の法人,イクソス（ひばりが丘２）,-,西東京市,-,-,-,-,34,-
公益法人,女性の家ＨＥＬＰ,-,-,-,-,-,-,12,-
