区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／教育，学習支援業,408,368,40,10.9,169,155,14,9,239,213,26,12.2
〔就業者の主な産業別内訳〕／医療，福祉,819,809,10,1.2,212,218,-6,-2.8,607,592,15,2.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,703,650,53,8.2,405,370,35,9.5,298,280,18,6.4
〔雇用者の主な産業別内訳〕／建設業,387,401,-14,-3.5,301,322,-21,-6.5,85,80,5,6.3
〔雇用者の主な産業別内訳〕／製造業,666,662,4,0.6,471,477,-6,-1.3,195,185,10,5.4
〔雇用者の主な産業別内訳〕／情報通信業,761,707,54,7.6,516,502,14,2.8,244,205,39,19
〔雇用者の主な産業別内訳〕／運輸業，郵便業,330,350,-20,-5.7,254,272,-18,-6.6,76,78,-2,-2.6
〔雇用者の主な産業別内訳〕／卸売業，小売業,1239,1233,6,0.5,612,617,-5,-0.8,627,617,10,1.6
〔雇用者の主な産業別内訳〕／金融業，保険業,300,296,4,1.4,151,132,19,14.4,149,164,-15,-9.1
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,229,227,2,0.9,132,135,-3,-2.2,97,92,5,5.4
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,413,400,13,3.3,258,249,9,3.6,155,150,5,3.3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,479,498,-19,-3.8,214,222,-8,-3.6,264,277,-13,-4.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,237,228,9,3.9,93,84,9,10.7,144,144,0,0
〔雇用者の主な産業別内訳〕／教育，学習支援業,373,330,43,13,162,147,15,10.2,211,183,28,15.3
〔雇用者の主な産業別内訳〕／医療，福祉,780,773,7,0.9,186,195,-9,-4.6,593,579,14,2.4
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,638,601,37,6.2,363,338,25,7.4,275,263,12,4.6
〔非農林業雇用者の従業者規模別内訳〕／総数,7305,7173,132,1.8,3994,3955,39,1,3311,3218,93,2.9
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1744,1737,7,0.4,929,960,-31,-3.2,815,777,38,4.9
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2201,2164,37,1.7,1197,1163,34,2.9,1004,1001,3,0.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2767,2699,68,2.5,1553,1532,21,1.4,1214,1167,47,4
〔完全失業率（年齢階級別）(%)〕／総数,2.3,2.6,-0.3,…,2.5,2.7,-0.2,…,2.2,2.4,-0.2,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.4,3.1,0.3,…,3.3,3.3,0,…,3.6,2.9,0.7,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3,3.5,-0.5,…,3.2,3.7,-0.5,…,2.7,3.4,-0.7,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.1,2.3,-0.2,…,2.1,2.7,-0.6,…,2,2,0,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,1.9,2.2,-0.3,…,1.9,2.1,-0.2,…,2,2.3,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.2,2.4,-0.2,…,2.6,2.5,0.1,…,1.4,2.3,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,1.9,0,…,2.1,2.2,-0.1,…,1.5,1.4,0.1,…
〔就業率（%）〕／総数,65.3,64.7,0.6,…,74,73.6,0.4,…,57,56.1,0.9,…
〔労働力人口比率(%)〕／総数,66.9,66.4,0.5,…,75.9,75.7,0.2,…,58.2,57.5,0.7,…
,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成31年・令和元年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
