区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
就業率／平成31年・令和元年平均,2019,57,53.2,81,76.3,78.7,66,18.6,0.9,1.1,0.6,1.8,2.4,1.1,-0.6,…,…,…,…,…,…,…
完全失業率／平成21年平均,2009,5,6.8,6.7,5.6,4,3.7,1.8,0.9,0.7,1.4,1.3,1.1,1,-0.5,…,…,…,…,…,…,…
完全失業率／平成22年平均,2010,5.1,7.8,5.8,5.4,4.3,4.6,2.1,0.1,1,-0.9,-0.2,0.3,0.9,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,2011,4.7,6.6,5,5.4,4.8,3.9,1.2,-0.4,-1.2,-0.8,0,0.5,-0.7,-0.9,…,…,…,…,…,…,…
完全失業率／平成24年平均,2012,4.5,6.9,4.6,4.5,4.5,3.9,1.9,-0.2,0.3,-0.4,-0.9,-0.3,0,0.7,…,…,…,…,…,…,…
完全失業率／平成25年平均,2013,4,5.1,4.4,4.1,3.9,3.6,2.2,-0.5,-1.8,-0.2,-0.4,-0.6,-0.3,0.3,…,…,…,…,…,…,…
完全失業率／平成26年平均,2014,3.6,4.8,4,3.8,3.6,2.8,2.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.8,0.1,…,…,…,…,…,…,…
完全失業率／平成27年平均,2015,3.2,4.2,3.7,3.3,3.5,2.5,1.3,-0.4,-0.6,-0.3,-0.5,-0.1,-0.3,-1,…,…,…,…,…,…,…
完全失業率／平成28年平均,2016,3.3,4.6,3.3,3.3,3.2,3.2,2.1,0.1,0.4,-0.4,0,-0.3,0.7,0.8,…,…,…,…,…,…,…
完全失業率／平成29年平均,2017,2.7,3.8,2.9,2.9,2.2,2.2,1.9,-0.6,-0.8,-0.4,-0.4,-1,-1,-0.2,…,…,…,…,…,…,…
完全失業率／平成30年平均,2018,2.4,2.9,3.4,2,2.3,2.3,1.4,-0.3,-0.9,0.5,-0.9,0.1,0.1,-0.5,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年平均,2019,2.2,3.6,2.7,2,2,1.4,1.5,-0.2,0.7,-0.7,0,-0.3,-0.9,0.1,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（女）,,,,,,,,,,,,,,,,,,,,,,
