年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／平成30年４～６月平均,2018,04～06,38,-58,3,59,1,3,19,57,36,11,-36,0,88
対前年・対前年同期増減数／男女計／平成30年７～９月平均,2018,07～09,-3,-81,0,26,96,-102,-13,34,69,21,48,38,-14
対前年・対前年同期増減数／男女計／平成30年10～12月平均,2018,10～12,37,-8,30,-6,-24,-39,10,-7,68,23,-21,-12,72
対前年・対前年同期増減数／男女計／平成31年・令和元年１～３月平均,2019,01～03,-41,4,83,30,-58,-45,36,-10,-67,7,20,38,64
対前年・対前年同期増減数／男女計／平成31年・令和元年４～６月平均,2019,04～06,-24,88,-27,-56,94,-31,-4,-36,-10,34,56,25,85
対前年・対前年同期増減数／男女計／平成31年・令和元年７～９月平均,2019,07～09,19,76,83,-55,-106,28,-4,-21,7,13,50,-8,88
対前年・対前年同期増減数／男女計／平成31年・令和元年10～12月平均,2019,10～12,12,-20,55,-8,24,63,-9,50,-40,-2,33,-18,-25
対前年・対前年同期増減数／男／平成29年平均,2017,,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4
対前年・対前年同期増減数／男／平成30年平均,2018,,21,-4,17,8,21,-27,-5,29,19,-10,0,-12,22
対前年・対前年同期増減数／男／平成31年・令和元年平均,2019,,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35
対前年・対前年同期増減数／男／平成29年７～９月平均,2017,07～09,-11,0,12,3,54,12,16,1,-5,-8,-28,18,-16
対前年・対前年同期増減数／男／平成29年10～12月平均,2017,10～12,-20,11,13,-12,12,-12,-20,-2,6,-24,-19,15,32
対前年・対前年同期増減数／男／平成30年１～３月平均,2018,01～03,30,55,60,-42,-8,0,-23,28,18,-16,-10,-20,17
対前年・対前年同期増減数／男／平成30年４～６月平均,2018,04～06,25,-36,-15,59,39,-16,14,39,-5,-22,-19,-33,43
対前年・対前年同期増減数／男／平成30年７～９月平均,2018,07～09,2,-46,-21,18,76,-47,-9,35,45,-3,13,-3,-18
対前年・対前年同期増減数／男／平成30年10～12月平均,2018,10～12,27,9,40,-2,-23,-43,-4,14,16,1,13,8,46
対前年・対前年同期増減数／男／平成31年・令和元年１～３月平均,2019,01～03,-47,4,40,24,2,-31,33,-11,-16,-2,-16,-15,34
対前年・対前年同期増減数／男／平成31年・令和元年４～６月平均,2019,04～06,-29,34,-44,-50,12,7,-16,-5,5,31,37,2,67
対前年・対前年同期増減数／男／平成31年・令和元年７～９月平均,2019,07～09,-3,37,43,-43,-85,33,5,-29,9,22,21,4,73
対前年・対前年同期増減数／男／平成31年・令和元年10～12月平均,2019,10～12,17,-24,22,-14,11,66,-11,28,-23,10,15,-15,-37
対前年・対前年同期増減数／女／平成29年平均,2017,,6,-18,10,5,49,21,2,22,-10,2,12,16,-2
対前年・対前年同期増減数／女／平成30年平均,2018,,11,-19,6,1,11,-3,4,2,34,23,-4,19,22
対前年・対前年同期増減数／女／平成31年・令和元年平均,2019,,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18
対前年・対前年同期増減数／女／平成29年７～９月平均,2017,07～09,4,-37,6,12,93,34,4,2,-12,16,-7,-12,-8
対前年・対前年同期増減数／女／平成29年10～12月平均,2017,10～12,11,-16,0,7,-5,18,-9,34,-49,7,27,77,6
対前年・対前年同期増減数／女／平成30年１～３月平均,2018,01～03,24,-4,-4,5,65,20,0,14,20,16,2,17,12
対前年・対前年同期増減数／女／平成30年４～６月平均,2018,04～06,13,-22,18,-1,-39,20,5,17,43,31,-18,33,44
対前年・対前年同期増減数／女／平成30年７～９月平均,2018,07～09,-4,-35,20,6,19,-55,-5,-1,24,24,35,43,4
対前年・対前年同期増減数／女／平成30年10～12月平均,2018,10～12,9,-17,-10,-4,0,3,14,-22,52,22,-35,-20,26
対前年・対前年同期増減数／女／平成31年・令和元年１～３月平均,2019,01～03,6,0,44,6,-61,-14,2,2,-51,9,37,53,30
対前年・対前年同期増減数／女／平成31年・令和元年４～６月平均,2019,04～06,5,54,18,-6,82,-39,12,-30,-16,4,20,23,17
対前年・対前年同期増減数／女／平成31年・令和元年７～９月平均,2019,07～09,20,39,40,-11,-20,-5,-9,8,-2,-9,28,-12,14
対前年・対前年同期増減数／女／平成31年・令和元年10～12月平均,2019,10～12,-4,3,33,6,12,-3,3,22,-16,-12,19,-2,12
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年10～12月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
