年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
対前年・対前年同期増減数／平成27年平均,2015,,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
対前年・対前年同期増減数／平成28年平均,2016,,-0.4,-0.6,0.1,-0.1,-0.2,0,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成29年平均,2017,,-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成30年平均,2018,,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,-0.4,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4,-0.2
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,-0.8,-1.2,-0.2,-0.9,-0.9,-0.7,-0.6,-0.7,-0.3
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,-0.4,-0.1,-0.8,-0.3,-0.3,-0.5,-0.5,-0.5,-0.4
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,-0.3,-0.6,0.2,-0.5,-0.7,-0.4,-0.4,-0.5,-0.1
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,-0.1,0.4,-0.7,-0.4,-0.2,-0.8,-0.4,-0.3,-0.5
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,0.2,0.2,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,-0.7,-0.1,-1.4,-0.2,-0.1,-0.4,-0.2,-0.2,-0.3
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,0,-0.1,0.1,-0.2,-0.1,-0.3,-0.2,-0.2,-0.2
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,-0.3,-0.7,0.3,-0.1,-0.2,0.1,-0.3,-0.2,-0.3
対前年・対前年同期増減数／平成28年４～６月平均,2016,04～06,0,-0.4,0.3,-0.2,-0.4,-0.1,-0.2,-0.2,-0.1
対前年・対前年同期増減数／平成28年７～９月平均,2016,07～09,-0.6,-0.9,-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.4
対前年・対前年同期増減数／平成28年10～12月平均,2016,10～12,-0.4,-0.6,-0.3,0.1,0,0.1,-0.2,-0.2,-0.2
対前年・対前年同期増減数／平成29年１～３月平均,2017,01～03,-0.5,-0.2,-0.9,-0.3,-0.4,-0.3,-0.3,-0.4,-0.2
対前年・対前年同期増減数／平成29年４～６月平均,2017,04～06,-0.6,-0.3,-0.9,-0.2,-0.1,-0.2,-0.2,-0.3,-0.2
対前年・対前年同期増減数／平成29年７～９月平均,2017,07～09,0,0,-0.1,-0.3,-0.3,-0.2,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成29年10～12月平均,2017,10～12,-0.4,-0.3,-0.5,-0.4,-0.5,-0.2,-0.3,-0.4,-0.1
対前年・対前年同期増減数／平成30年１～３月平均,2018,01～03,-0.3,-0.2,-0.4,-0.5,-0.4,-0.5,-0.4,-0.5,-0.3
対前年・対前年同期増減数／平成30年４～６月平均,2018,04～06,0,0,0,-0.5,-0.4,-0.7,-0.5,-0.4,-0.7
対前年・対前年同期増減数／平成30年７～９月平均,2018,07～09,-0.3,0.1,-0.6,-0.3,-0.3,-0.5,-0.3,-0.4,-0.3
対前年・対前年同期増減数／平成30年10～12月平均,2018,10～12,-0.6,-1,-0.1,-0.5,-0.5,-0.5,-0.2,-0.2,-0.4
対前年・対前年同期増減数／平成31年・令和元年１～３月平均,2019,01～03,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,-0.1,0,-0.1
対前年・対前年同期増減数／平成31年・令和元年４～６月平均,2019,04～06,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.1,-0.1,0
,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年４～６月平均）,,,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,,
