教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B113220900247,B1,13,2,町田市,,,,成瀬台小学校,ナルセダイショウガッコウ,,町田市,成瀬台2丁目,5-2,1940043,35.550712,139.477662,,(042)723-3001,2020/12/22,,131330,
B113220900265,B1,13,2,町田市,,,,鶴間小学校,ツルマショウガッコウ,,町田市,鶴間4丁目,17-1,1940004,35.505341,139.469204,,(042)796-1951,2020/12/22,,131691,
B113220900283,B1,13,2,町田市,,,,高ヶ坂小学校,コウガサカショウガッコウ,,町田市,高ヶ坂6丁目,7-1,1940014,35.541003,139.46229,,(042)725-4295,2020/12/22,,131699,
B113220900292,B1,13,2,町田市,,,,成瀬中央小学校,ナルセチュウオウショウガッコウ,,町田市,成瀬2丁目,8,1940044,35.546849,139.476583,,(042)728-6020,2020/12/22,,131702,
B113220900309,B1,13,2,町田市,,,,南成瀬小学校,ミナミナルセショウガッコウ,,町田市,南成瀬3丁目,6,1940045,35.539859,139.470147,,(042)726-1080,2020/12/22,,131721,
B113220900318,B1,13,2,町田市,,,,南つくし野小学校,ミナミツクシノショウガッコウ,,町田市,南つくし野2丁目,4-8,1940002,35.515775,139.47569,,(042)796-1950,2020/12/22,,131722,
B113220900121,B1,13,2,町田市,,,,鶴川第一小学校,ツルカワダイイチショウガッコウ,,町田市,野津田町,1290,1950063,35.590559,139.456883,,(042)735-1234,2020/12/22,,131311,
B113220900130,B1,13,2,町田市,,,,鶴川第二小学校,ツルカワダイニショウガッコウ,,町田市,能ヶ谷7丁目,24-1,1950053,35.591741,139.481303,,(042)735-5498,2020/12/22,,131312,
B113220900149,B1,13,2,町田市,,,,鶴川第三小学校,ツルカワダイサンショウガッコウ,,町田市,鶴川6丁目,5,1950061,35.5907,139.473566,,(042)735-2127,2020/12/22,,131321,
B113220900158,B1,13,2,町田市,,,,鶴川第四小学校,ツルカワダイヨンショウガッコウ,,町田市,鶴川3丁目,22,1950061,35.593133,139.463009,,(042)735-2868,2020/12/22,,131325,
B113220900274,B1,13,2,町田市,,,,金井小学校,カナイショウガッコウ,,町田市,金井ヶ丘1丁目,30-1,1950076,35.570034,139.458226,,(042)735-0010,2020/12/22,,131698,
B113220900327,B1,13,2,町田市,,,,大蔵小学校,オオクラショウガッコウ,,町田市,大蔵町,286,1950062,35.587024,139.468223,,(042)734-2321,2020/12/22,,131723,
B113220900345,B1,13,2,町田市,,,,三輪小学校,ミワショウガッコウ,,町田市,三輪町,330-1,1950054,35.577801,139.496169,,(044)988-5214,2020/12/22,,131725,
B113220900167,B1,13,2,町田市,,,,忠生小学校,タダオショウガッコウ,,町田市,忠生3丁目,10-2,1940035,35.579298,139.417078,,(042)791-1021,2020/12/22,,131313,
B113220900176,B1,13,2,町田市,,,,小山田小学校,オヤマダショウガッコウ,,町田市,上小山田町,614,1940201,35.597753,139.405642,,(042)797-1824,2020/12/22,,131314,
B113220900185,B1,13,2,町田市,,,,忠生第三小学校,タダオダイサンショウガッコウ,,町田市,木曽東3丁目,11-3,1940036,35.563265,139.425289,,(042)791-0721,2020/12/22,,131315,
B113220900336,B1,13,2,町田市,,,,山崎小学校,ヤマサキショウガッコウ,,町田市,忠生2丁目,15-26,1940035,35.57597,139.4253,,(042)793-2004,2020/12/22,,131724,
B113220900363,B1,13,2,町田市,,,,小山田南小学校,オヤマダミナミショウガッコウ,,町田市,小山田桜台2丁目,7,1940204,35.588761,139.400644,,(042)797-4541,2020/12/22,,131727,
B113220900372,B1,13,2,町田市,,,,木曽境川小学校,キソサカイガワショウガッコウ,,町田市,木曽西1丁目,9-1,1940037,35.56533,139.415352,,(042)791-2086,2020/12/22,,131728,
B113220900390,B1,13,2,町田市,,,,七国山小学校,ナナクニヤマショウガッコウ,,町田市,山崎町,1314-2,1950074,35.576309,139.435309,,(042)791-2171,2020/12/22,,131842,
B113220900416,B1,13,2,町田市,,,,図師小学校,ズシショウガッコウ,,町田市,図師町,239-19,1940203,35.584325,139.416752,,(042)789-6361,2020/12/22,,131848,
B113220900194,B1,13,2,町田市,,,,小山小学校,オヤマショウガッコウ,,町田市,小山町,944,1940212,35.591943,139.37761,,(042)797-2733,2020/12/22,,131316,
B113220900407,B1,13,2,町田市,,,,小山ヶ丘小学校,オヤマガオカショウガッコウ,,町田市,小山ヶ丘5丁目,37,1940215,35.605102,139.354303,,(042)770-6251,2020/12/22,,131846,
B113220900425,B1,13,2,町田市,,,,小山中央小学校,オヤマチュウオウショウガッコウ,,町田市,小山ヶ丘3丁目,7-1,1940215,35.602047,139.373297,,(042)798-0670,2020/12/22,,131849,
B113220900201,B1,13,2,町田市,,,,相原小学校,アイハラショウガッコウ,,町田市,相原町,1673,1940211,35.606786,139.323551,,(042)771-2341,2020/12/22,,131317,
B113220900354,B1,13,2,町田市,,,,小中一貫ゆくのき学園（大戸小学校）,ショウチュウイッカンユクノキガクエン（オオトショウガッコウ）,,町田市,相原町,3765-3,1940211,35.609225,139.305098,,(042)782-9091,2020/12/22,,131726,
