"50音","品名","種別","粗大ごみ収集手数料[円]","説明"
"か","乾電池（ボタン式・充電式）","不燃ごみ、その他",,"不燃ごみとして回収しています。清掃車両の火災の原因となりますので、可燃ごみや資源と混ぜて出すことはしないでください。また、ニカド電池、ニッケル水素電池、リチウムイオン電池、密閉型鉛蓄電池などの充電式電池やボタン型電池は、一部の販売店・協力店で回収しています。なお、電動自転車や電動キックボード等のバッテリーは区では回収できませんので、メーカーや販売店にご相談ください。"
"か","乾電池（筒型）","不燃ごみ、その他",,"不燃ごみとして回収しています。清掃車両の火災の原因となりますので、可燃ごみや資源と混ぜて出すことはしないでください。また、筒型のアルカリ電池・マンガン乾電池(単3電池など）は、区の施設でも回収しています。"
"か","缶（飲食用）","資源（ペットボトル・びん・かん・古紙）",,"汚れの落とせない物は不燃ごみで出してください。"
"か","缶（飲食用以外）","不燃ごみ",,
"か","鏡・姿見","粗大ごみ","400",
"か","傘","不燃ごみ",,"最大辺が30cmを超えていても不燃ごみです。"
"か","傘立て","粗大ごみ","400",
"か","紙おむつ","可燃ごみ",,"排せつ物はトイレに流してから出してください。"
"か","紙パック（内側が白色）","資源（ペットボトル・びん・かん・古紙）",,
"か","紙パック（内側が白色以外）","可燃ごみ",,
"か","紙袋（その他の再生可能紙）","資源（ペットボトル・びん・かん・古紙）",,"紙以外の持ち手は取り除いてください。"
"き","キーボード（パソコン用）","粗大ごみ","400",
"き","ギターケース","粗大ごみ","400",
"き","キックボード","粗大ごみ","400",
"き","キャンプ用品（いす）","粗大ごみ","400",
"き","キャンプ用品（いす付きテーブル）","粗大ごみ","900",
"き","キャンプ用品（テーブル）","粗大ごみ","400",
"き","キャンプ用品（テント・タープ）","粗大ごみ","400",
"き","キャンプ用品（野外調理器）","粗大ごみ","400",
"き","脚立","粗大ごみ","400",
"き","鏡台（高さ40cm以上70cm未満）","粗大ごみ","900",
"き","鏡台（高さ70cm以上）","粗大ごみ","1300",
"き","鏡台（姫鏡台／高さ40cm未満）","粗大ごみ","400",
"き","木箱","粗大ごみ","400",
"く","クーラーボックス","粗大ごみ","400",
"く","クッション","粗大ごみ","400",
"く","クレヨン","可燃ごみ",,
"く","空気清浄機","粗大ごみ","400",
"く","靴（革靴、スニーカー、長靴 等）","可燃ごみ",,
"く","車いす","粗大ごみ","900","電動車いすはみなとリサイクル清掃事務所へお問い合わせください。"
"く","薬の包装フィルム","資源プラスチック",,"錠剤（薬）は可燃ごみへ"
"け","けいそう土バスマット","不燃ごみ、粗大ごみ",,"最大辺が30cm以上のものは粗大ごみへ（アスベストを含むものはメーカーへ）"
"け","化粧品の容器（びん）","不燃ごみ",,"拠点回収もしています。"
"け","化粧品の容器（プラスチック）","可燃ごみ",,
"け","携帯電話・PHS","その他",,"販売店に設置されている回収ボックスにお出しいただくようお願いします。拠点回収もしています。"
"け","蛍光灯","不燃ごみ",,"拠点回収もしています。"
"こ","家具調こたつ（こたつ板を除く。）","粗大ごみ","900",
"こ","こたつ（家具調こたつ以外のもの。こたつ板除く。）","粗大ごみ","400",
"こ","こたつ板（やぐら部分は除く。）","粗大ごみ","400",
"こ","ごみ箱","粗大ごみ","400",
"こ","ゴム製品","可燃ごみ",,"最大辺が30cm以上のものは粗大ごみへ"
"こ","ゴルフボール","可燃ごみ",,
"こ","ゴルフ用具（一式）","粗大ごみ","400","ゴルフバック1つとクラブ14本まで排出できます。"
"こ","黒板・白板","粗大ごみ","400",
"こ","子ども遊具 ブランコ、すべり台","粗大ごみ","900",
"こ","子ども遊具 ブランコ、すべり台を除く","粗大ごみ","400",
"こ","小型調理器","粗大ごみ","400",
"こ","米びつ","粗大ごみ","400",
"さ","サマーチェア","粗大ごみ","400",
"さ","ざる（プラスチック製）","資源プラスチック",,
"さ","ざる（金属製）","不燃ごみ",,
"さ","座椅子","粗大ごみ","400",
"さ","座布団（5枚まで）","粗大ごみ","400",
"さ","雑誌","資源（ペットボトル・びん・かん・古紙）",,"本、ノート等含む"
"し","CD","可燃ごみ",,"CDケースは資源プラスチックへ"
"し","シャープペンシル","可燃ごみ、不燃ごみ",,"金属製のものは不燃ごみへ"
"し","シャンプー（ボトル）","資源プラスチック",,"中をすすいでから出してください。"
"し","シュレッダー（高さ60cm以上）","粗大ごみ","1300",
"し","シュレッダー（高さ60cm未満）","粗大ごみ","400",
"し","シュレッダー紙ごみ","可燃ごみ",,"古紙として回収できません"
"し","ショッピングカート（キャリーカート、シルバーカー等）","粗大ごみ","400",
"し","自転車 電動自転車","粗大ごみ","1300",
"し","自転車（16インチ以上のもの。電動自転車を除く。）","粗大ごみ","900",
"し","自転車（16インチ未満のもの。電動自転車を除く。）","粗大ごみ","400",
"し","写真","可燃ごみ",,"古紙として回収できません"
"し","充電器","不燃ごみ",,
"し","除湿機","粗大ごみ","400",
"し","除湿剤","可燃ごみ",,
"し","消火器","不可",,"株式会社消火器リサイクル推進センターへお問い合わせください。"
"し","照明器具","粗大ごみ","400",
"し","浄水器","粗大ごみ","400",
"し","食器（ガラス製、陶磁器）","不燃ごみ",,"拠点回収もしています。"
"し","食器（プラスチック製）","資源プラスチック",,
"し","食器乾燥機","粗大ごみ","400",
"し","食器洗浄乾燥機","粗大ごみ","1300",
"し","新聞紙","資源（ペットボトル・びん・かん・古紙）",,"折込広告（チラシ）と一緒に束ねて出してください。"
"し","敷物・ホットカーペット（1畳以下のもの）","粗大ごみ","400",
"し","敷物・ホットカーペット（1畳超えのもの）","粗大ごみ","900",
"す","スーツケース","粗大ごみ","400",
"す","スキー板・スノーボード","粗大ごみ","400",
"す","スキャナー","粗大ごみ","400",
"す","スコップ・シャベル","粗大ごみ","400",
"す","すだれ・よしず","粗大ごみ","400",
"す","ステレオセット（ミニコンポ。幅80cm未満のもの）","粗大ごみ","400",
"す","ステレオセット（幅80cm以上のもの）","粗大ごみ","2300",
"す","ストーブ（ファンヒーター・オイルヒーターに限る。）","粗大ごみ","900",
"す","ストーブ（ファンヒーター・オイルヒーターを除く。）","粗大ごみ","400",
"す","ストッキング","可燃ごみ",,
"す","ストロー","資源プラスチック、可燃ごみ",,"紙製のものは可燃ごみへ"
"す","すのこ","粗大ごみ","400",
"す","スピーカー（1個）（最大辺が50cm以上のもの）","粗大ごみ","900",
"す","スピーカー（1個）（最大辺が30cm以上50cm未満のもの）","粗大ごみ","400",
"す","スプレー缶","不燃ごみ",,"できるだけ使い切って中身を空にし、「キケン」と袋に書いて、他の不燃ごみとは別の袋で出してください。"
"す","スポンジ","可燃ごみ",,
"す","ズボンプレッサー","粗大ごみ","400",
"す","水槽（最大辺50cm以上）","粗大ごみ","900",
"す","水槽（最大辺30cm以上50cm未満）","粗大ごみ","400",
"す","炊飯器","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"せ","扇風機","粗大ごみ","400",
"せ","洗濯機","不可",,"購入店または、家電リサイクル受付センターへお問い合わせください。"
"そ","ソファー（1人用のもの）","粗大ごみ","900",
"そ","ソファー（2人以上用のもの）","粗大ごみ","2300",
"そ","ソファーベッド","粗大ごみ","2300",
"そ","掃除機","粗大ごみ","400",
"そ","掃除用具（5本まで）","粗大ごみ","400",
"た","タイヤ","不可",,"購入店、メーカー等へお問い合わせください。"
"た","タイルカーペット（5枚まで）","粗大ごみ","400",
"た","畳（1畳）","粗大ごみ","1300",
"た","たわし（ナイロン製・毛質製）","可燃ごみ",,
"た","たわし（金属製）","不燃ごみ",,
"た","建具（アルミサッシ・ガラス戸）","粗大ごみ","900",
"た","建具（アルミサッシ・ガラス戸を除く。）","粗大ごみ","400",
"た","高枝バサミ","粗大ごみ","400",
"た","体温計（デジタル式）","不燃ごみ",,
"た","体温計（水銀式）","その他",,"みなとリサイクル清掃事務所にご相談ください。"
"た","台（最大辺1m以上のもの）","粗大ごみ","900",
"た","台（最大辺1m未満のもの）","粗大ごみ","400",
"た","台車","粗大ごみ","900",
"た","脱臭剤","可燃ごみ",,
"た","段ボール（ろう引き）","可燃ごみ",,
"た","段ボール（ろう引き以外）","資源（ペットボトル・びん・かん・古紙）",,
"た","竹串","可燃ごみ",,"新聞紙等に包んで「キケン」と書いて出してください。"
"た","卵パック（プラスチック製）","資源プラスチック",,
"た","卵パック（紙製）","可燃ごみ",,
"ち","チャイルドシート（ジュニアシートを含む）","粗大ごみ","400",
"ち","茶箱","粗大ごみ","400",
"ち","注射器","可燃ごみ、不可",,"注射筒は可燃ごみで出してください　注射針（ペン型注射器を含む）は、処方した医療機関等に返却してください。"
"つ","つまようじ","可燃ごみ",,
"つ","机（両袖机）","粗大ごみ","3200",
"つ","机（両袖机を除く。）","粗大ごみ","1300",
"つ","土・砂（園芸用）","不可",,"処理業者へお問い合わせください。"
"て","DVD","可燃ごみ",,"DVDケースは資源プラスチックへ"
"て","ティッシュ箱","資源（ペットボトル・びん・かん・古紙）",,"ビニール部分は資源プラスチックへ"
"て","テーブル・座卓（最大辺が1m以上で、ガラス製のもの）","粗大ごみ","1300",
"て","テーブル・座卓（最大辺が1m未満で、ガラス製のもの）","粗大ごみ","900",
"て","テーブル・座卓（最大辺が1.5m以上のもの。ガラス製のものを除く）","粗大ごみ","1300",
"て","テーブル・座卓（最大辺が1.5m未満のもの。ガラス製のものを天板除く）","粗大ごみ","900",
"て","テーブル・座卓（最大辺が1m未満のもの。ガラス製のものを除く）","粗大ごみ","400",
"て","テーブルの天板（ガラス製で最大辺1m以上）","粗大ごみ","1300",
"て","テーブルの天板（ガラス製で最大辺1m未満）","粗大ごみ","900",
"て","テーブルの天板（最大辺1.5m以上。ガラス製除く）","粗大ごみ","1300",
"て","テーブルの天板（最大辺1.5m未満。ガラス製除く）","粗大ごみ","900",
"て","テーブルの天板（最大辺1m未満。ガラス製除く）","粗大ごみ","400",
"て","テレビ（ブラウン管、薄型）","不可",,"購入店または、家電リサイクル受付センターへお問い合わせください。"
"て","テレビ台（幅1m以上で天板がガラス製）","粗大ごみ","1300",
"て","テレビ台（幅1m以上で天板がガラス製以外）","粗大ごみ","900",
"て","テレビ台（幅1m未満）","粗大ごみ","400",
"て","手提金庫","粗大ごみ","400","耐火金庫、設置型・置き型金庫の処分方法はみなとリサイクル清掃事務所までお問合せください。"
"て","鉄板類（アングル、アルミ板、スチール板、ステンレス板、段差板等）","粗大ごみ","400",
"て","電球","不燃ごみ",,
"て","電子たばこ","その他",,"みなとリサイクル清掃事務所にご相談ください。"
"て","電子レンジ","粗大ごみ","400",
"て","電卓・電子辞書","不燃ごみ",,"拠点回収もしています。"
"て","電話・ＦＡＸ（家庭用）","粗大ごみ","400",
"て","電話台","粗大ごみ","400",
"と","トースター","粗大ごみ","400",
"と","トナー","不可",,"販売店・メーカーにご相談ください"
"と","ドライバー（工具）","不燃ごみ",,
"と","ドライヤー","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"と","塗料","不可",,"購入店、メーカー等へお問い合わせください。"
"と","動物の死体","その他",,"ペットの動物死体は、25kg未満のものに限り、1頭につき手数料3000円で引き取ります。自宅の敷地内に迷い込んだ動物死体や公道上の動物死体は無料で回収します。"
"な","生ごみ","可燃ごみ",,"水切りをしてください。家庭用生ごみ処理機購入費の助成を行っています。"
"な","長いす（1m未満のもの）","粗大ごみ","400",
"な","長いす（1m以上のもの）","粗大ごみ","900",
"な","鍋（圧力鍋、中華鍋、寸胴鍋等）","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ（取っ手は含みません）"
"な","鍋つかみ","可燃ごみ",,
"な","納豆パック（トレイ）","資源プラスチック",,
"に","乳児用具（ベビーベッド、ベビーカー・チャイルドシートを除く）","粗大ごみ","400",
"ぬ","ぬいぐるみ","可燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"ね","粘着テープ（ガムテープ、養生テープ）","可燃ごみ",,
"の","のこぎり","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ　新聞紙等に包んで「キケン」と書いて、他の不燃ごみとは別の袋で出してください。"
"の","のこぎり（電動）","粗大ごみ","400","「工具類」としてお申し込みください。エンジン式は受付できません。"
"の","乗り物玩具","粗大ごみ","400",
"は","パイプ類（5本まで）","粗大ごみ","400",
"は","バインダー（プラスチック製）","資源プラスチック",,"金具部分ははずしてください。　金具がはずせない場合は不燃ごみへ"
"は","バインダー（紙製）","可燃ごみ",,"金具部分ははずしてください。　金具がはずせない場合は不燃ごみへ"
"は","バケツ（プラスチック製）","資源プラスチック、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"は","バケツ（金属製）","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"は","はしご","粗大ごみ","400",
"は","パソコン（マウス）","不燃ごみ",,
"は","パソコン（本体）","不可",,"メーカー、または協力事業者のリネットジャパンリサイクル（株）にお申し込みください。"
"は","パソコンケース","粗大ごみ","400",
"は","パソコンラック","粗大ごみ","900",
"は","バッテリー","不可",,"購入店、メーカー等へお問い合わせください。"
"は","パラソル","粗大ごみ","400",
"は","ハンガー（プラスチック製）","資源プラスチック",,"フックが金属の場合でも資源プラスチックへ"
"は","ハンガー（金属製）","不燃ごみ",,
"は","ハンガー（木製）","可燃ごみ",,"フックが金属の場合でも可燃ごみへ"
"は","ハンガーラック（回転式又は高さ1m以上）","粗大ごみ","900",
"は","ハンガーラック（高さ1m未満）","粗大ごみ","400",
"は","花火（使用済み）","可燃ごみ",,"必ず水に濡らしてから出してください。"
"は","花火（未使用）","可燃ごみ",,"必ず水に濡らしてから出してください。"
"は","歯ブラシ","資源プラスチック",,
"は","刃物・針","不燃ごみ",,"新聞紙等に包んで「キケン」と書いて、他の不燃ごみとは別の袋で出してください。"
"は","電動歯ブラシ","不燃ごみ",,
"は","箱物家具（高さと幅の合計が135cmを超え180cm以下のもの）","粗大ごみ","900",
"は","箱物家具（高さと幅の合計が135cm以下のもの）","粗大ごみ","400",
"は","箱物家具（高さと幅の合計が180cmを超え270cm以下のもの）","粗大ごみ","1300",
"は","箱物家具（高さと幅の合計が270cmを超え360cm未満のもの）","粗大ごみ","2300",
"は","箱物家具（高さと幅の合計が360cm以上のもの）","粗大ごみ","3200",
"は","発泡スチロール","資源プラスチック、粗大ごみ",,"最大辺が30cm以上のものは粗大ごみへ"
"ひ","ピアノ（アコースティックピアノ）","不可",,"区では収集できません。"
"ひ","ビデオカメラ","不燃ごみ",,"ポータブルビデオカメラは拠点回収もしています。"
"ひ","ビデオテープ","可燃ごみ",,
"ひ","ビデオデッキ、ＤＶＤプレーヤー・ハードディスクレコーダー","粗大ごみ","400",
"ひ","びん（ガラス製花瓶、化粧品）","不燃ごみ",,"拠点回収もしています。"
"ひ","びん（飲食用）","資源（ペットボトル・びん・かん・古紙）",,"びんのふたは取りはずしてください。"
"ひ","びん（割れている）","不燃ごみ",,"新聞紙等に包んで「キケン」と書いて、他の不燃ごみとは別の袋で出してください。"
"ふ","プチプチ、エアクッション、エアキャップ（梱包材）","資源プラスチック",,
"ふ","フライパン","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ（取っ手は含みません）"
"ふ","ブラインド（210cmまで）","粗大ごみ","400",
"ふ","プラスチックケース 最大辺60cm以上","粗大ごみ","400",
"ふ","プラスチックケース 最大辺60cm未満かつ他の素材が含まれないもの","資源プラスチック",,
"ふ","プラスチックケース 最大辺60cm未満かつ他の素材が含まれるもの","粗大ごみ","400",
"ふ","プリンター（高さ20cm以下）","粗大ごみ","400","インクカートリッジは可燃ごみもしくは販売店の回収ボックスへ"
"ふ","プリンター（高さ20cm超30cm以下）","粗大ごみ","900","インクカートリッジは可燃ごみもしくは販売店の回収ボックスへ"
"ふ","プリンター（高さ30cm超）・コピー機（家庭使用）","粗大ごみ","1300","インクカートリッジは可燃ごみもしくは販売店の回収ボックスへ"
"ふ","布団（掻い巻き、夏掛け、毛布、電気毛布）","粗大ごみ","400",
"ふ","布団乾燥機","粗大ごみ","400",
"ふ","封筒（ビニール製）","資源プラスチック",,
"ふ","封筒（紙製）","資源（ペットボトル・びん・かん・古紙）",,"雑誌・菓子箱・包装紙等と一緒に束ねて出してください。ビニール製の窓は取って資源プラスチックへ　窓が紙素材ならそのまま資源へ出してください。"
"ふ","風呂ふた","粗大ごみ","400",
"へ","ベッド シングルベッド（ベッドマットを除く）","粗大ごみ","1300",
"へ","ベッド セミダブルベッド（ベッドマットを除く）","粗大ごみ","2300","「ダブルベッド」としてお申し込みください。"
"へ","ベッド ダブルベッド（ベッドマットを除く）","粗大ごみ","2300",
"へ","ベッド ベッドマット","粗大ごみ","1300",
"へ","ベッド 二段ベッド","粗大ごみ","2700",
"へ","ペットボトル","資源（ペットボトル・びん・かん・古紙）",,"キャップとラベルは資源プラスチックへ"
"へ","ペット用の砂（砂、ベントナイト）","不燃ごみ",,
"へ","ペット用の砂（紙、おから、シリカゲル）","可燃ごみ",,
"へ","ペット用品（ペット小屋を除く）","粗大ごみ","400",
"へ","ベビーカー","粗大ごみ","400",
"へ","ベビーバス","粗大ごみ","400",
"へ","ベビーベッド（ベッドマットを除く）","粗大ごみ","900",
"へ","ベビーベッドマット","粗大ごみ","400",
"へ","ヘリウムガスボンベ","その他",,"みなとリサイクル清掃事務所にご相談ください。"
"へ","ベルト（金属が多くついているもの）","不燃ごみ",,
"へ","ベルト（皮製）","可燃ごみ",,
"へ","ベンチプレス","粗大ごみ","2300",
"ほ","ホームベーカリー","粗大ごみ","400",
"ほ","ポット","粗大ごみ","400",
"ほ","ホットプレート","粗大ごみ","400",
"ほ","ポリ容器（ポリタンク）","粗大ごみ","400",
"ほ","保冷剤","可燃ごみ",,
"ほ","包丁","不燃ごみ",,"新聞紙等に包んで「キケン」と書いて、他の不燃ごみとは別の袋で出してください。"
"ほ","防虫剤","可燃ごみ",,
"ま","マッサージチェアー（座いすタイプを除く）","粗大ごみ","1300",
"ま","マッサージ器（座いすタイプを含む）","粗大ごみ","400",
"ま","マットレス（厚さ15cm以上）","粗大ごみ","1300",
"ま","マットレス（厚さ15cm未満）","粗大ごみ","400",
"ま","まな板（プラスチック製）","資源プラスチック、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"ま","まな板（木製）","可燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"ま","松葉杖（1セット）","粗大ごみ","400",
"み","ミキサー","不燃ごみ",,
"み","ミシン（卓上式のもの）","粗大ごみ","900",
"み","ミシン（卓上式のものを除く）","粗大ごみ","2300",
"め","めがね","不燃ごみ",,"レンズとフレームがプラスチック製の場合は資源プラスチックへ"
"も","物干し竿（210cmまで）","粗大ごみ","400",
"も","物干し台（1個）","粗大ごみ","900","土台がコンクリート製のものは回収できません。"
"も","毛布","粗大ごみ","400","「布団」としてお申し込みください。"
"や","やかん","不燃ごみ",,
"や","薬品","不可",,"販売店または、専門業者に相談してください。"
"ゆ","湯沸し器","粗大ごみ","900",
"ら","ライター","不燃ごみ",,"できるだけ使い切って中身を空にし、「キケン」と袋に書いて、他の不燃ごみとは別の袋で出してください。"
"ら","ラック（スリッパラック、ベビーラック等）","粗大ごみ","400",
"ら","ラップ","資源プラスチック",,
"ら","ラップ（芯、箱）","資源（ペットボトル・びん・かん・古紙）",,"金属がついている場合は、外して不燃ごみへ"
"ら","ランニングマシーン","粗大ごみ","2300",
"り","旅行かばん","粗大ごみ","400",
"れ","冷蔵庫・冷凍庫","不可",,"購入店または、家電リサイクル受付センターへお問い合わせください。"
"れ","冷風機","粗大ごみ","900",
"ろ","ローソク","可燃ごみ",,
"ろ","ロールカーテン（210cmまで）","粗大ごみ","400",
"わ","ワゴン","粗大ごみ","400",
"わ","輪ゴム","可燃ごみ",,

"港区ごみと資源の分別品目","Ver202310",,,
