産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
2,101,清涼飲料製造業,4,414,343,414,343,-,202298,3707257,3594003,27501,24781,6826,4842664,4410249,432415,-,-,-,843868,1055089
2,102,酒類製造業,3,277,211,277,211,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,103,茶・コーヒー製造業（清涼飲料を除く）,1,36,17,36,17,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
1,110,繊維工業,18,1023,342,1023,342,-,327993,606222,384382,2355,7012,202261,1162395,921617,223414,-,-,17364,503012,518480
2,115,綱・網・レース・繊維粗製品製造業,1,35,15,35,15,-,x,x,x,-,x,x,x,x,x,-,-,x,x,x
2,116,外衣・シャツ製造業（和式を除く）,5,274,64,274,64,-,86997,227651,124365,1516,2007,99215,388650,365406,23244,-,-,-,146706,149049
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,4,153,56,153,56,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,119,その他の繊維製品製造業,8,561,207,561,207,-,178032,244794,176011,704,4339,62828,520090,414979,104536,-,-,575,251384,255525
1,120,木材・木製品製造業（家具を除く）,2,121,105,121,105,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
2,122,造作材・合板・建築用組立材料製造業,2,121,105,121,105,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
1,130,家具・装備品製造業,16,1688,1262,1780,1333,-,1034540,6316879,1884801,3404,9792,4005661,7356467,6639280,144244,25247,-,547696,1741629,1277864
2,131,家具製造業,9,1400,1042,1491,1113,-,896099,6042726,1831390,2871,7128,3791902,6738673,6023219,144244,25247,-,545963,1433192,959482
2,132,宗教用具製造業,1,42,33,42,33,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,139,その他の家具・装備品製造業,6,246,187,247,187,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
1,140,パルプ・紙・紙加工品製造業,35,2063,1528,2083,1546,-,1025871,5223686,3114611,120289,137665,359141,8149038,6248782,90883,-,5475,1803898,2543625,2749982
2,142,紙製造業,1,80,73,97,88,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,143,加工紙製造業,3,264,227,264,227,-,157284,470638,443576,12809,14253,-,856962,856962,-,-,-,-,366520,358304
2,144,紙製品製造業,11,609,421,609,421,-,290887,1258520,754070,1284,11184,125908,1907390,1452761,17816,-,-,436813,575071,605831
2,145,紙製容器製造業,15,898,646,900,648,-,418689,2545214,1371777,9579,32809,116789,3819754,2595778,-,-,268,1223708,1105415,1194245
2,149,その他のパルプ・紙・紙加工品製造業,5,212,161,213,162,-,x,x,x,x,x,x,x,x,x,-,x,x,x,x
1,150,印刷・同関連業,298,27194,19971,27654,20368,-,14030559,23511538,8539268,123898,758004,12142918,52533955,42659860,8829701,x,29499,x,25196862,27022925
2,151,印刷業,226,19537,14662,19932,15011,-,9919911,19809890,7855654,111790,650222,9541043,42346991,36313896,5176362,-,16983,839750,19364822,20960151
2,152,製版業,40,4831,3758,4888,3798,-,2877516,2579342,427193,3844,60242,1869778,6895289,6345964,x,-,x,174224,3845951,4043795
2,153,製本業、印刷物加工業,27,1430,998,1438,1006,-,611969,607704,223892,8246,35873,323640,1752454,-,1743528,x,x,921,1055957,1067722
2,159,印刷関連サービス業,5,1396,553,1396,553,-,621163,514602,32529,18,11667,408457,1539221,-,x,-,-,x,930132,951257
1,160,化学工業,62,9001,5456,9134,5581,-,5079817,14619391,12480716,48592,180122,818691,31538469,29578557,491810,28328,1,1439773,14961173,15899659
2,162,無機化学工業製品製造業,5,229,193,231,195,-,122676,547208,476568,3401,8150,39426,732470,671255,-,28328,-,32887,152466,185500
2,163,有機化学工業製品製造業,3,226,177,226,177,-,131241,351257,306819,1322,3764,9601,642285,484969,128779,-,-,28537,263454,270228
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,11,1074,772,1187,880,-,548459,1471877,1277595,5010,23239,79643,2689798,2594474,2634,-,1,92689,1067332,1146486
2,165,医薬品製造業,19,2680,1471,2680,1471,-,1444773,3369804,2686699,20942,80989,273690,9134564,8428307,326998,-,-,379259,5025458,5387806
2,166,化粧品・歯磨・その他の化粧用調整品製造業,14,3736,2051,3751,2064,-,2163185,5344004,4404013,3539,24995,311317,12985334,12183729,5798,-,-,795807,6987778,7132372
2,169,その他の化学工業,10,1056,792,1059,794,-,669483,3535241,3329022,14378,38985,105014,5354018,5215823,27601,-,-,110594,1464685,1777267
1,170,石油製品・石炭製品製造業,2,100,88,100,88,-,x,x,x,x,x,-,x,x,x,-,-,x,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,100,88,100,88,-,x,x,x,x,x,-,x,x,x,-,-,x,x,x
1,180,プラスチック製品製造業（別掲を除く）,37,2043,1299,2056,1312,-,865283,2062271,1268322,12724,55412,304553,4082992,3378825,101268,3351,922,598626,1752850,1898504
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,5,313,201,316,204,-,136862,256524,197371,1007,9263,12095,597033,520356,-,-,-,76677,293023,317565
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,3,231,144,231,144,-,96837,237011,152106,203,430,6549,459801,373011,-,3351,-,83439,182363,218272
2,183,工業用プラスチック製品製造業,10,583,403,593,413,-,284102,503604,262404,1538,14319,84024,1066535,759048,91543,-,-,215944,504763,528173
2,184,発泡・強化プラスチック製品製造業,3,187,126,187,126,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,82,66,82,66,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,189,その他のプラスチック製品製造業,14,647,359,647,359,-,217988,636717,400473,3050,21980,159329,1161027,1119642,9725,-,922,30738,457999,488473
1,190,ゴム製品製造業,8,608,485,608,485,-,302456,807634,612414,19729,31913,87680,1189353,1132787,-,-,-,56566,361914,393679
2,191,タイヤ・チューブ製造業,1,219,212,219,212,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,32,18,32,18,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,4,240,185,240,185,-,120222,361785,276949,4000,8359,70806,624416,621329,-,-,-,3087,230866,245475
2,199,その他のゴム製品製造業,2,117,70,117,70,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
1,200,なめし革・同製品・毛皮製造業,23,1598,820,1607,827,-,549769,2005127,1042004,6584,7921,361634,3955119,3354680,49054,322,-,551063,1767241,1814835
2,204,革製履物製造業,11,564,389,564,389,-,201972,857006,447098,1206,5712,89652,1505736,1068343,-,322,-,437071,600914,603089
2,206,かばん製造業,4,611,205,620,212,-,175719,611711,304733,4062,684,139443,1482976,1462688,14580,-,-,5708,784657,811588
2,207,袋物製造業,5,269,155,269,155,-,118014,453363,225103,592,519,116471,784978,676694,-,-,-,108284,299206,310041
2,209,その他のなめし革製品製造業,3,154,71,154,71,-,54064,83047,65070,724,1006,16068,181429,146955,34474,-,-,-,82464,90117
1,210,窯業・土石製品製造業,20,1565,1261,1565,1261,-,827920,3081905,1823009,230088,165617,165565,6512503,5707814,147390,-,83,657216,3006285,3303525
2,211,ガラス・同製品製造業,10,1049,840,1049,840,-,579683,1615914,744375,117108,119512,162535,4019576,3352621,137499,-,-,529456,2219217,2349457
2,212,セメント・同製品製造業,7,322,270,322,270,-,140209,1057806,902980,24099,9911,3030,1790035,1750863,-,-,-,39172,649331,679953
2,219,その他の窯業・土石製品製造業,3,194,151,194,151,-,108028,408185,175654,88881,36194,-,702892,604330,9891,-,83,88588,137737,274115
1,220,鉄鋼業,16,1829,1687,1834,1690,-,1031416,8781497,7576998,218609,284031,402961,12462006,11882510,x,-,-,x,3184586,3516038
2,222,製鋼・製鋼圧延業,1,136,125,136,125,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,7,1182,1093,1187,1096,-,x,x,x,x,x,303306,x,x,x,-,-,x,x,x
2,225,鉄素形材製造業,3,124,111,124,111,-,66911,235392,122585,9637,8532,81494,402510,376328,25592,-,-,590,147236,155102
2,229,その他の鉄鋼業,5,387,358,387,358,-,197572,1030243,943129,4689,13025,18161,1602220,1186406,x,-,-,x,507314,531692
1,230,非鉄金属製造業,17,1399,1033,1400,1034,-,678982,3746682,3366860,35044,65216,155295,5422536,5191686,68080,-,-,162770,1516734,1586857
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,3,487,402,487,402,-,270593,2033227,1945181,13513,10773,384,2576207,2505319,2440,-,-,68448,499815,514114
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,288,222,289,223,-,161395,1010812,908057,9894,34507,11530,1610074,1464587,61640,-,-,83847,556515,569635
2,234,電線・ケーブル製造業,4,265,97,265,97,-,80876,279046,233738,354,2214,37814,443353,435353,4000,-,-,4000,149704,152401
2,235,非鉄金属素形材製造業,6,359,312,359,312,-,166118,423597,279884,11283,17722,105567,792902,786427,-,-,-,6475,310700,350707
1,240,金属製品製造業,98,5497,4172,5542,4216,-,2544269,5102294,2951973,69459,164906,1445869,10699637,7046708,3129871,-,1250,521808,4884956,5222265
2,241,ブリキ缶・その他のめっき板等製品製造業,2,67,58,67,58,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,242,洋食器・刃物・手道具・金物類製造業,10,561,399,561,399,-,237109,633090,434736,6289,13130,152156,1172538,1146099,7168,-,703,18568,471753,502143
2,243,暖房・調理等装置、配管工事用附属品製造業,6,345,275,345,275,-,153218,410552,235321,1155,5257,139243,835797,816749,-,-,-,19048,382430,395727
2,244,建設用・建築用金属製品製造業（製缶板金業を含む）,9,435,352,443,359,-,188870,480955,366184,2314,3329,59745,909143,799019,37009,-,-,73115,386930,397551
2,245,金属素形材製品製造業,9,539,388,551,400,-,233870,980631,383014,1699,13899,539617,1468468,1426836,19,-,517,41096,431096,452565
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,44,2598,1920,2612,1934,-,1255225,1269155,809185,49519,106373,238476,3866795,863045,2992439,-,-,11311,2233939,2423388
2,247,金属線製品製造業（ねじ類を除く),2,65,37,65,37,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,9,462,384,465,387,-,193396,614429,365127,1957,13170,159013,1116184,849076,93236,-,30,173842,451216,475852
2,249,その他の金属製品製造業,7,425,359,433,367,-,239782,420014,249251,5942,8843,153125,917214,915714,-,-,-,1500,433902,463712
1,250,はん用機械器具製造業,48,4447,3697,4456,3706,-,2356019,6562138,4412075,31245,115189,1725722,12243115,11247355,250211,579866,661,165022,5517398,5408500
2,252,ポンプ・圧縮機器製造業,12,1283,985,1283,985,-,614204,1796946,1467614,8598,19317,127992,3457638,3384724,60346,337,118,12113,1713259,1565051
2,253,一般産業用機械・装置製造業,14,1318,1130,1322,1134,-,746799,2258352,1709851,6146,26724,499731,4498797,4348355,73647,68489,-,8306,2178400,2164279
2,259,その他のはん用機械・同部分品製造業,22,1846,1582,1851,1587,-,995016,2506840,1234610,16501,69148,1097999,4286680,3514276,116218,511040,543,144603,1625739,1679170
1,260,生産用機械器具製造業,109,7857,6526,7914,6582,-,4093816,14222634,9119482,18577,155185,2966374,23942315,20780229,764545,209049,26,2188466,9454970,9674034
2,261,農業用機械製造業（農業用器具を除く）,2,107,86,107,86,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,262,建設機械・鉱山機械製造業,11,813,677,813,677,-,348605,1059535,618221,1876,11375,374169,1814743,x,65036,54085,-,x,715897,711745
2,263,繊維機械製造業,1,36,25,36,25,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,264,生活関連産業用機械製造業,9,551,482,552,483,-,302416,929793,518309,1722,5472,355092,1682729,1582949,-,-,-,99780,695132,708387
2,265,基礎素材産業用機械製造業,6,345,294,345,294,-,191569,947369,759347,694,7635,132496,1443211,1382351,-,-,-,60860,432928,474571
2,266,金属加工機械製造業,23,1637,1316,1651,1329,-,843124,2308578,1104261,4043,41607,444870,3827511,2776947,131040,50977,26,868521,1204925,1488419
2,267,半導体・フラットパネルディスプレイ製造装置製造業,27,2492,2025,2532,2065,-,1329830,5689136,4495147,3932,53511,968825,8876445,8129876,543854,4616,-,198099,3533149,3361490
2,269,その他の生産用機械・同部分品製造業,30,1876,1621,1878,1623,-,1017091,2997692,1510386,5844,31571,683549,5870830,5019221,24615,99371,-,727623,2756832,2802532
1,270,業務用機械器具製造業,94,8340,6324,8541,6496,-,4762007,13647325,10653220,10889,89926,1540095,24652317,22370185,117504,397367,-,1767261,9106920,10581646
2,271,事務用機械器具製造業,6,652,526,663,535,-,x,x,x,370,6115,x,x,x,x,x,-,x,x,x
2,272,サービス用・娯楽用機械器具製造業,6,453,343,453,343,-,x,x,1891816,2468,x,302506,x,x,x,x,-,x,x,x
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,53,5168,3993,5355,4155,-,3111499,6939491,5757161,5814,51950,720496,13768931,12747598,34662,254983,-,731688,6150517,6656138
2,274,医療用機械器具・医療用品製造業,21,1480,1037,1480,1037,-,786889,2327381,1332720,1803,13427,166278,3998000,3032780,197,94394,-,870629,1356601,1567914
2,275,光学機械器具・レンズ製造業,7,549,393,550,394,-,281904,843731,639934,434,11659,181189,1505451,1477547,-,-,-,27904,623185,660143
2,276,武器製造業,1,38,32,40,32,-,x,x,x,-,x,x,x,x,x,-,-,x,x,x
1,280,電子部品・デバイス・電子回路製造業,57,7605,5467,8043,5861,-,4523332,27746143,20889140,42649,306220,2047611,36231688,30924449,x,x,-,4841289,6976956,9178363
2,281,電子デバイス製造業,2,253,193,254,194,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,282,電子部品製造業,13,2592,1918,2851,2148,-,1510996,19647992,15813658,1311,53069,459122,23755024,19374639,96038,-,-,4284347,3524274,4851127
2,284,電子回路製造業,22,1512,1055,1548,1089,-,681843,2546091,1595648,3190,68878,530667,3641507,3166326,279269,-,-,195912,1023732,1025856
2,285,ユニット部品製造業,3,164,120,169,125,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x
2,289,その他の電子部品・デバイス・電子回路製造業,17,3084,2181,3221,2305,-,2122494,5031835,3358781,29856,156981,863444,8048092,7615354,76525,-,-,356213,2245674,3001548
1,290,電気機械器具製造業,120,18153,14760,18641,15219,-,10301370,30569778,21111018,82302,261573,7536963,65564527,54551586,838576,290281,126,9883958,33599011,33617424
2,291,発電用・送電用・配電用電気機械器具製造業,53,7974,6596,8117,6725,-,3200851,10687666,6695027,15745,117789,3763584,20992628,20315098,509862,-,126,167542,10609847,9802842
2,292,産業用電気機械器具製造業,15,1416,1127,1426,1137,-,774588,4555816,3866057,1404,26517,380079,6364588,6119376,221563,3306,-,20343,1598291,1785311
2,293,民生用電気機械器具製造業,4,363,185,364,186,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x
2,294,電球・電気照明器具製造業,6,275,176,336,235,-,132331,580183,413908,57508,7693,79157,1185386,1177790,-,-,-,7596,531784,564501
2,296,電子応用装置製造業,21,5972,4945,6210,5170,-,4732075,12028021,8389518,2320,71986,2595253,31503810,21881026,5389,94977,-,9522418,18219564,18795071
2,297,電気計測器製造業,19,2092,1698,2126,1732,-,1300594,2369338,1495810,2869,29265,660785,4869244,4481478,68550,185998,-,133218,2363049,2388897
2,299,その他の電気機械器具製造業,2,61,33,62,34,-,x,x,x,-,x,x,x,x,-,-,-,x,x,x
1,300,情報通信機械器具製造業,29,6849,5777,7049,5950,-,4697167,31645496,28896074,13666,148790,1871636,55508804,44867009,196038,x,-,x,23680940,22298113
2,301,通信機械器具・同関連機械器具製造業,13,5570,4913,5743,5068,-,4116054,30179326,27755761,12460,136706,1762520,52894736,42776840,15727,-,-,10102169,22640725,21206711
2,302,映像・音響機械器具製造業,10,985,627,1010,644,-,467711,1316145,1044862,846,9811,78715,2220481,1814330,149382,-,-,256769,818587,864281
2,303,電子計算機・同附属装置製造業,6,294,237,296,238,-,113402,150025,95451,360,2273,30401,393587,275839,30929,x,-,x,221628,227121
1,310,輸送用機械器具製造業,59,18779,16578,19346,17110,-,9096923,78990042,74399361,127084,396590,2995923,155092514,153709111,1287266,25105,1347,69685,70380378,70669911
2,311,自動車・同附属品製造業,37,14795,13206,15208,13590,-,6812454,60388944,56868845,113506,317676,2308064,102936660,102483638,422216,25105,-,5701,37357662,39524529
2,312,鉄道車両・同部分品製造業,7,560,515,565,520,-,223530,488080,228517,824,8328,36821,917583,362338,489914,-,1347,63984,411025,401802
2,313,船舶製造・修理業、舶用機関製造業,2,209,183,217,191,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,314,航空機・同附属品製造業,11,3100,2576,3241,2711,-,1861438,17733502,17041743,11415,66550,544586,50707906,50332770,375136,-,-,-,32455140,30602686
2,315,産業用運搬車両・同部分品・附属品製造業,2,115,98,115,98,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
1,320,その他の製造業,49,4313,2975,4368,3029,-,2194254,7604968,3094430,10689,68739,2743115,12856834,10122138,89138,32750,197,2612611,4766033,4965938
2,321,貴金属・宝石製品製造業,4,331,178,332,179,-,175017,659333,535736,172,2213,90956,922250,881235,-,-,-,41015,272597,249962
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,4,161,99,162,99,-,71671,178112,88656,346,1278,42910,326461,248818,-,-,-,77643,127190,138102
2,323,時計・同部分品製造業,3,317,260,322,265,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x
2,324,楽器製造業,1,98,76,98,76,-,x,x,x,-,x,x,x,x,-,x,-,-,x,x
2,325,がん具・運動用具製造業,5,1176,879,1222,925,-,654707,2971549,530402,691,16566,1327717,4917691,3272879,301,3,-,1644508,1815192,1869904
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,3,186,106,186,106,-,85554,236223,182061,596,8062,31865,426322,410459,-,-,-,15863,169670,177870
2,328,畳等生活雑貨製品製造業,4,170,85,170,85,-,65682,422614,310816,253,997,9533,529887,376401,1250,-,-,152236,108240,101841
2,329,他に分類されない製造業,25,1874,1292,1876,1294,-,934581,2740898,1153692,7157,32378,1161226,5148001,4400360,83833,-,197,663611,2101705,2243393
,,,,,,,,,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,,,,,,,,,
第2-1-a表　産業小分類別統計表（従業者30人以上の事業所）　,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,
