産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額／製造品出荷額（万円）,製造品出荷額／加工賃収入額（万円）,製造品出荷額／修理料収入額（万円）,製造品出荷額／くず・廃物出荷額（万円）,製造品出荷額／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
2,1450,紙製容器製造業,230,3051,1975,3042,1971,18,1107116,4162988,6770292,5020328,352186,-,325,1397453,2342857,2431687,x,x,4330,x
3,1451,重包装紙袋製造業,1,40,16,40,16,-,x,x,x,x,-,-,x,x,x,x,x,x,-,x
3,1452,角底紙袋製造業,7,103,69,103,69,-,x,x,x,x,x,-,x,x,x,x,-,-,-,-
3,1453,段ボール箱製造業,80,1231,906,1233,909,2,495246,2513834,3822729,2687191,36281,-,218,1099039,1181650,1224598,456643,116886,1354,50443
3,1454,紙器製造業,142,1677,984,1666,977,16,566479,1495302,2701304,2134306,288258,-,57,278683,1076904,1121535,418769,61505,2976,43437
2,1490,その他のパルプ・紙・紙加工品製造業,58,712,483,717,491,5,x,x,x,x,x,-,5280,197699,x,x,359188,30653,x,27867
3,1499,その他のパルプ・紙・紙加工品製造業,58,712,483,717,491,5,x,x,x,x,x,-,x,x,x,x,x,x,x,x
1,1500,印刷・同関連業,1807,42769,30892,43341,31380,33,20307127,35399471,77096447,60625446,15054874,3036,35700,1377391,36937863,38763926,27856760,1731527,425010,1887706
2,1510,印刷業,1247,30341,22185,30857,22631,13,14370934,30171271,62007721,53057185,7793927,-,20548,1136061,27978888,29574217,23272733,1362171,369706,1550985
3,1511,オフセット印刷業（紙に対するもの）,987,25210,18946,25718,19386,7,11952562,26678194,54550898,46931676,6768716,-,20450,830056,24630373,25884780,17922072,1081227,347382,1218384
3,1512,オフセット印刷以外の印刷業（紙に対するもの）,102,2669,1919,2677,1926,1,1494836,1547295,3858114,3526908,264597,-,-,66609,1842738,2156861,4432401,254168,9443,298261
3,1513,紙以外の印刷業,158,2462,1320,2462,1319,5,923536,1945782,3598709,2598601,760614,-,98,239396,1505777,1532576,918260,26776,12881,34340
2,1520,製版業,155,6153,4720,6211,4761,-,3429735,3117279,8439935,7532852,706212,x,x,196293,4779257,4977101,1485772,230825,26618,225473
3,1521,製版業,155,6153,4720,6211,4761,-,3429735,3117279,8439935,7532852,706212,x,x,196293,4779257,4977101,1485772,230825,26618,225473
2,1530,製本業、印刷物加工業,381,4659,3285,4660,3289,17,1777862,1516413,4866777,30997,4786900,x,x,35424,3098764,3110529,1508209,104054,22537,79836
3,1531,製本業,219,3131,2256,3132,2259,7,1224110,1025581,3311782,8950,3288894,50,7885,6003,2114957,2124761,1330559,101562,21668,77915
3,1532,印刷物加工業,162,1528,1029,1528,1030,10,553752,490832,1554995,22047,1498006,x,x,29421,983807,985768,177650,2492,869,1921
2,1590,印刷関連サービス業,24,1616,702,1613,699,3,728596,594508,1782014,4412,1767835,-,154,9613,1080954,1102079,1590046,34477,6149,31412
3,1591,印刷関連サービス業,24,1616,702,1613,699,3,728596,594508,1782014,4412,1767835,-,154,9613,1080954,1102079,1590046,34477,6149,31412
1,1600,化学工業,197,10767,6566,10916,6706,2,5822130,17133156,36096772,33574323,597848,28328,1,1896272,16857896,17796382,x,x,x,x
2,1610,化学肥料製造業,1,4,3,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1612,複合肥料製造業,1,4,3,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1620,無機化学工業製品製造業,26,498,393,502,397,-,238945,1301339,1837123,1722994,11208,28328,-,74593,477289,510323,205624,62994,27,35495
3,1621,ソーダ工業,1,60,44,60,44,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,1622,無機顔料製造業,2,28,24,28,24,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,1623,圧縮ガス・液化ガス製造業,7,95,80,97,82,-,49491,172984,305808,253772,-,28328,-,23708,123226,123226,-,-,-,-
3,1624,塩製造業,5,52,24,52,24,-,12366,30572,48364,31293,-,-,-,17071,16499,16499,-,-,-,-
3,1629,その他の無機化学工業製品製造業,11,263,221,265,223,-,135805,889496,1237927,1199103,9367,-,-,29457,310667,336190,157279,59420,27,28458
2,1630,有機化学工業製品製造業,10,322,245,321,244,1,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1634,環式中間物・合成染料・有機顔料製造業,6,154,127,154,127,-,70290,175806,323822,223335,77206,-,-,23281,137052,137052,-,-,-,-
3,1635,プラスチック製造業,2,24,11,23,10,1,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1639,その他の有機化学工業製品製造業,2,144,107,144,107,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,1640,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,41,1481,1051,1597,1161,-,711372,1993784,3624443,3331757,21141,-,1,271544,1449727,1528881,917076,94684,24599,82412
3,1641,脂肪酸・硬化油・グリセリン製造業,1,8,8,8,8,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1642,石けん・合成洗剤製造業,8,230,106,233,108,-,98653,179493,357585,343782,10460,-,-,3343,152215,166105,162605,13359,14960,14171
3,1644,塗料製造業,13,530,433,626,524,-,318716,761271,1721878,1528124,-,-,1,193753,865244,902944,510554,28486,7145,34800
3,1645,印刷インキ製造業,7,511,387,528,404,-,225390,840206,1194492,1144931,3079,-,-,46482,307419,332236,148951,52326,575,31960
3,1646,洗浄剤・磨用剤製造業,10,167,104,167,104,-,56242,180740,292153,264653,7602,-,-,19898,100533,103280,94966,513,1919,1481
