産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積（m2）,総用水量（m3／日）,淡水水源別用水量／公共水道／工業用水道（m3／日）,淡水水源別用水量／公共水道／上水道（m3／日）,淡水水源別用水量／井戸水（m3／日）,淡水水源別用水量／その他の淡水（m3／日）,海水用水量（m3／日）
1,19,ゴム製品製造業,1,04,200～299人,1,x,x,-,-,x,-,-
1,20,なめし革・同製品・毛皮製造業,0,00,総数,23,25246,354,170,184,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,01,30～49人,15,12293,201,170,31,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,02,50～99人,5,8933,109,-,109,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,03,100～199人,2,x,x,-,x,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,21,窯業・土石製品製造業,0,00,総数,20,298019,2099,219,808,1050,22,-
1,21,窯業・土石製品製造業,1,01,30～49人,9,30799,367,14,275,56,22,-
1,21,窯業・土石製品製造業,1,02,50～99人,6,152084,898,x,x,489,-,-
1,21,窯業・土石製品製造業,1,03,100～199人,3,x,x,x,x,x,-,-
1,21,窯業・土石製品製造業,1,04,200～299人,2,x,x,x,x,x,-,-
1,22,鉄鋼業,0,00,総数,16,370766,3567,3079,460,27,1,-
1,22,鉄鋼業,1,01,30～49人,6,27575,46,-,45,-,1,-
1,22,鉄鋼業,1,02,50～99人,3,x,x,x,x,x,-,-
1,22,鉄鋼業,1,03,100～199人,5,194397,1912,1755,157,-,-,-
1,22,鉄鋼業,1,04,200～299人,1,x,x,x,x,x,-,-
1,22,鉄鋼業,1,05,300～499人,1,x,x,x,x,-,-,-
1,23,非鉄金属製造業,0,00,総数,17,134883,977,12,245,720,-,-
1,23,非鉄金属製造業,1,01,30～49人,7,37958,98,11,77,10,-,-
1,23,非鉄金属製造業,1,02,50～99人,6,59631,68,1,52,15,-,-
1,23,非鉄金属製造業,1,03,100～199人,3,x,x,-,x,x,-,-
1,23,非鉄金属製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,24,金属製品製造業,0,00,総数,98,298401,3363,212,2346,797,8,-
1,24,金属製品製造業,1,01,30～49人,59,116396,1281,134,1034,105,8,-
1,24,金属製品製造業,1,02,50～99人,31,87332,1304,78,951,275,-,-
1,24,金属製品製造業,1,03,100～199人,7,x,x,-,x,x,-,-
1,24,金属製品製造業,1,05,300～499人,1,x,x,-,x,x,-,-
1,25,はん用機械器具製造業,0,00,総数,48,320045,744,362,282,99,1,-
1,25,はん用機械器具製造業,1,01,30～49人,23,38093,69,-,69,-,-,-
1,25,はん用機械器具製造業,1,02,50～99人,15,40748,78,-,65,12,1,-
1,25,はん用機械器具製造業,1,03,100～199人,7,65597,69,-,69,-,-,-
1,25,はん用機械器具製造業,1,05,300～499人,1,x,x,x,x,x,-,-
1,25,はん用機械器具製造業,1,06,500～999人,2,x,x,x,x,x,-,-
1,26,生産用機械器具製造業,0,00,総数,109,483204,1776,28,1212,531,5,-
1,26,生産用機械器具製造業,1,01,30～49人,61,136158,685,14,670,-,1,-
1,26,生産用機械器具製造業,1,02,50～99人,34,125976,244,-,240,-,4,-
1,26,生産用機械器具製造業,1,03,100～199人,9,100684,143,-,143,-,-,-
1,26,生産用機械器具製造業,1,04,200～299人,3,x,x,x,x,x,-,-
1,26,生産用機械器具製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,26,生産用機械器具製造業,1,07,1000人以上,1,x,x,-,x,x,-,-
1,27,業務用機械器具製造業,0,00,総数,94,247853,1252,62,1133,21,36,-
1,27,業務用機械器具製造業,1,01,30～49人,47,52859,531,-,523,-,8,-
1,27,業務用機械器具製造業,1,02,50～99人,30,55655,126,-,124,-,2,-
1,27,業務用機械器具製造業,1,03,100～199人,9,38518,64,-,48,9,7,-
1,27,業務用機械器具製造業,1,04,200～299人,4,32741,142,-,111,12,19,-
1,27,業務用機械器具製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,27,業務用機械器具製造業,1,06,500～999人,3,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,0,00,総数,57,499748,4784,1200,2119,1465,-,-
1,28,電子部品・デバイス・電子回路製造業,1,01,30～49人,30,37165,1415,-,1390,25,-,-
1,28,電子部品・デバイス・電子回路製造業,1,02,50～99人,9,23097,375,-,370,5,-,-
1,28,電子部品・デバイス・電子回路製造業,1,03,100～199人,12,68248,671,-,280,391,-,-
1,28,電子部品・デバイス・電子回路製造業,1,04,200～299人,2,x,x,-,x,x,-,-
1,28,電子部品・デバイス・電子回路製造業,1,05,300～499人,1,x,x,-,x,x,-,-
1,28,電子部品・デバイス・電子回路製造業,1,06,500～999人,1,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,1,07,1000人以上,2,x,x,x,x,x,-,-
1,29,電気機械器具製造業,0,00,総数,120,1969318,4984,117,986,3658,223,-
1,29,電気機械器具製造業,1,01,30～49人,54,72637,386,3,287,7,89,-
1,29,電気機械器具製造業,1,02,50～99人,37,184985,392,113,258,17,4,-
1,29,電気機械器具製造業,1,03,100～199人,14,65281,226,1,73,147,5,-
1,29,電気機械器具製造業,1,04,200～299人,6,96077,280,-,229,51,-,-
1,29,電気機械器具製造業,1,05,300～499人,1,x,x,-,-,x,-,-
1,29,電気機械器具製造業,1,06,500～999人,4,x,x,-,x,x,x,-
1,29,電気機械器具製造業,1,07,1000人以上,4,1392144,2086,-,84,2002,-,-
1,30,情報通信機械器具製造業,0,00,総数,29,352059,1570,-,165,1405,-,-
1,30,情報通信機械器具製造業,1,01,30～49人,8,13723,20,-,20,-,-,-
1,30,情報通信機械器具製造業,1,02,50～99人,12,18105,48,-,48,-,-,-
1,30,情報通信機械器具製造業,1,03,100～199人,6,35043,72,-,47,25,-,-
1,30,情報通信機械器具製造業,1,06,500～999人,1,x,x,-,x,x,-,-
1,30,情報通信機械器具製造業,1,07,1000人以上,2,x,x,-,x,x,-,-
1,31,輸送用機械器具製造業,0,00,総数,59,1864191,5415,757,488,4163,7,-
1,31,輸送用機械器具製造業,1,01,30～49人,17,56605,82,-,62,19,1,-
1,31,輸送用機械器具製造業,1,02,50～99人,21,208135,172,12,138,16,6,-
1,31,輸送用機械器具製造業,1,03,100～199人,14,161105,243,28,180,35,-,-
1,31,輸送用機械器具製造業,1,04,200～299人,3,x,x,x,x,-,-,-
1,31,輸送用機械器具製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,31,輸送用機械器具製造業,1,07,1000人以上,3,1404652,4808,710,5,4093,-,-
1,32,その他の製造業,0,00,総数,49,456284,522,12,416,70,24,-
1,32,その他の製造業,1,01,30～49人,23,29825,82,-,82,-,-,-
1,32,その他の製造業,1,02,50～99人,17,32670,234,12,182,16,24,-
1,32,その他の製造業,1,03,100～199人,6,368224,60,-,60,-,-,-
1,32,その他の製造業,1,04,200～299人,2,x,x,-,x,x,-,-
1,32,その他の製造業,1,07,1000人以上,1,x,x,-,x,x,-,-
,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,
第8-1表　産業中分類，従業者規模別工業用地及び工業用水統計表（従業者30人以上の事業所）,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,
従業者規模階層（0：総数、1：従業者規模）,,,,,,,,,,,,,
