産業分類階層,産業コード,産業中分類,事業所数／平成29年／実数,事業所数／平成29年／構成比(％),事業所数／平成29年／増減数,事業所数／平成29年／増減率（％）,事業所数／平成28年／実数,事業所数／平成28年／構成比（％）,従業者数／平成29年／実数(人),従業者数／平成29年／構成比(％),従業者数／平成29年／増減数（人),従業者数／平成29年／増減率（％）,従業者数／平成28年／実数(人),従業者数／平成28年／構成比(％),製造品出荷額等／平成29年／実数(万円),製造品出荷額等／平成29年／構成比(％),製造品出荷額等／平成29年／増減数(万円),製造品出荷額等／平成29年／増減率(％),製造品出荷額等／平成28年／実数(万円),製造品出荷額等／平成28年／構成比（％）,付加価値額／平成29年／実数(万円),付加価値額／平成29年／構成比（％）,付加価値額／平成29年／増減数(万円),付加価値額／平成29年／増減率（％）,付加価値額／平成28年／実数(万円),付加価値額／平成28年／構成比(％)
1,18,プラスチック,600,5.8,-19,-3.1,619,5.7,8077,3.2,58,0.7,8019,3.2,12438906,1.6,678594,5.8,11760312,1.5,5956466,1.9,290802,5.1,5665664,1.7
1,19,ゴム製品,194,1.9,-11,-5.4,205,1.9,2456,1,-238,-8.8,2694,1.1,3455210,0.5,-408315,-10.6,3863525,0.5,1486925,0.5,-281570,-15.9,1768495,0.5
1,20,皮革・同製品,236,2.3,-23,-8.9,259,2.4,3663,1.5,301,9,3362,1.3,7531077,1,289242,4,7241835,0.9,3001079,0.9,390738,15,2610341,0.8
1,21,窯業・土石,182,1.8,-16,-8.1,198,1.8,3720,1.5,-163,-4.2,3883,1.5,17374697,2.3,353427,2.1,17021270,2.2,6516060,2,-176050,-2.6,6692110,2
1,22,鉄鋼業,108,1,-1,-0.9,109,1,2757,1.1,179,6.9,2578,1,16652241,2.2,2332918,16.3,14319323,1.8,4025767,1.3,752089,23,3273678,1
1,23,非鉄金属,121,1.2,-7,-5.5,128,1.2,2503,1,-127,-4.8,2630,1,9073109,1.2,774079,9.3,8299030,1.1,2323310,0.7,-6416,-0.3,2329726,0.7
1,24,金属製品,1424,13.8,-67,-4.5,1491,13.8,18148,7.2,-58,-0.3,18206,7.2,27548962,3.6,605001,2.2,26943961,3.5,13577710,4.2,148125,1.1,13429585,4.1
1,25,はん用機械,335,3.2,-27,-7.5,362,3.4,7531,3,-66,-0.9,7597,3,17302011,2.3,449927,2.7,16852084,2.2,8003799,2.5,781314,10.8,7222485,2.2
1,26,生産用機械,968,9.4,-32,-3.2,1000,9.3,16989,6.8,337,2,16652,6.6,40136668,5.3,1440880,3.7,38695788,5,17407838,5.4,496345,2.9,16911493,5.1
1,27,業務用機械,514,5,-25,-4.6,539,5,13079,5.2,-187,-1.4,13266,5.3,31813349,4.2,1791683,6,30021666,3.9,12910846,4,137289,1.1,12773557,3.9
1,28,電子・デバイス,270,2.6,0,0,270,2.5,10124,4,-272,-2.6,10396,4.1,39725331,5.2,5772021,17,33953310,4.4,8771141,2.7,-439591,-4.8,9210732,2.8
1,29,電気機械,586,5.7,-11,-1.8,597,5.5,23423,9.3,-915,-3.8,24338,9.6,74479933,9.8,-5850264,-7.3,80330197,10.3,37986550,11.8,7196856,23.4,30789694,9.3
1,30,情報通信機械,120,1.2,-7,-5.5,127,1.2,8057,3.2,-238,-2.9,8295,3.3,57269411,7.5,-414002,-0.7,57683413,7.4,24567243,7.6,-1467795,-5.6,26035038,7.9
1,31,輸送用機械,278,2.7,-5,-1.8,283,2.6,21250,8.5,-769,-3.5,22019,8.7,158660805,20.8,-20557303,-11.5,179218108,23,72135191,22.4,-16611981,-18.7,88747172,26.9
1,32,その他,561,5.4,-22,-3.8,583,5.4,9462,3.8,241,2.6,9221,3.7,20778829,2.7,345364,1.7,20433465,2.6,8299280,2.6,67679,0.8,8231601,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,
付表1　産業中分類別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者4人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,
