"ゴミの分類
番号","データ
提出組織",地区名,ゴミの品目,分別区分1,分別区分2,分別区分3,分別区分4,"粗大ごみ
回収料金",備考
49,あきる野市,全域,板きれ（縦182㎝×横91cm×厚さ5cmを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（縦182ｃｍ×横91ｃｍ×厚さ5ｃｍ以下の場合は粗大ごみ扱い、縦横40ｃｍ以下、厚さ5ｃｍ以下の場合は可燃ごみ扱いで有料袋に入れてください。）
50,あきる野市,全域,一輪車（運搬用）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
51,あきる野市,全域,一輪車（遊具）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
52,あきる野市,全域,一輪車のタイヤ,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
53,あきる野市,全域,一升びん （中身を出して、洗浄）,びん類,,,,,ラベル類はそのままでも大丈夫です。中を良く洗ってください。
54,あきる野市,全域,一斗缶（中身を出して、洗浄）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
55,あきる野市,全域,糸,可燃ごみ,,,,,
56,あきる野市,全域,鋳物類（重さ5kｇ以下のもの）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
57,あきる野市,全域,鋳物類（重さ5kgを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
58,あきる野市,全域,医薬品,可燃ごみ,,,,,
59,あきる野市,全域,イヤホン,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
60,あきる野市,全域,医療廃棄物（注射針・感染性の物を除く）,可燃ごみ,,,,,
61,あきる野市,全域,衣類（下着、靴下を除く）,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
62,あきる野市,全域,衣類乾燥機,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
63,あきる野市,全域,イルミネーション（電飾コードのみ）（巻きの直径50㎝、重さ5㎏以下）,使用済み電子機器,,,,,
64,あきる野市,全域,イルミネーション（モチーフライト）（全ての辺が50㎝以下かつ、5㎏以下のもの）,不燃ごみ,,,,,
65,あきる野市,全域,イルミネーション（モチーフライト）（いずれかの辺が50㎝を超える、又は5㎏を超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
66,あきる野市,全域,入れ歯,可燃ごみ,,,,,
67,あきる野市,全域,引火物（ガソリン・灯油などの危険物）,処理不能,,,,,市では処理ができないため、ガソリンスタンドか購入店にご相談、処理を依頼してください。（有料）
68,あきる野市,全域,印鑑,可燃ごみ,,,,,
69,あきる野市,全域,インクカートリッジ（使い切っているもの）,可燃ごみ,,,,,あきる野市役所本庁舎・五日市出張所・増戸連絡所・東部図書館エルに専用のリサイクルボックスがございます。ぜひお持ちください。
70,あきる野市,全域,インクカートリッジ（中身が残っているもの）,処理不能,,,,,あきる野市役所本庁舎・五日市出張所・増戸連絡所・東部図書館エルに専用のリサイクルボックスがございます。ぜひお持ちください。
71,あきる野市,全域,インターホン,不燃ごみ,,,,,
72,あきる野市,全域,飲料用紙パック（内側がアルミ箔のもの）,可燃ごみ,,,,,
73,あきる野市,全域,飲料用紙パック（内側が白いもの）,紙類・布類,,,,,紙パック扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
74,あきる野市,全域,植木の枝葉（太さ5㎝×長さ50ｃｍ×１束直径30㎝以下）,可燃ごみ,,,,,１回の回収で５束まで、無料で回収します。
75,あきる野市,全域,植木の枝葉（太さ15㎝×長さ100cm×１束直径50㎝以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
76,あきる野市,全域,植木の枝葉（太さ15㎝×長さ100cm×１束直径50㎝を超えるもの）,処理不能,,,,,処理可能なサイズに切断等してください。
77,あきる野市,全域,植木鉢（プラスチック製）（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
78,あきる野市,全域,植木鉢（プラスチック製）（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
79,あきる野市,全域,植木鉢（陶器製）（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
80,あきる野市,全域,植木鉢（陶器製）（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
81,あきる野市,全域,ウエットスーツ,粗大ごみ,,,,,
82,あきる野市,全域,ウエットティッシュ,可燃ごみ,,,,,
83,あきる野市,全域,ウォーターサーバーの本体,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
84,あきる野市,全域,ウォーターサーバーのペットボトル器（PETマーク有り）,ペットボトル/白色トレイ,,,,,
85,あきる野市,全域,ウォータージャグ（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
86,あきる野市,全域,ウォータージャグ（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
87,あきる野市,全域,ウォームレット（本体のみ）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
88,あきる野市,全域,ウォシュレット（本体のみ）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
89,あきる野市,全域,浮き輪,可燃ごみ,,,,,
90,あきる野市,全域,臼（うす）（８分割できるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
91,あきる野市,全域,臼（うす）（８分割できないもの）,処理不能,,,,,市では処理ができないもののため、廃棄物事業者に直接ご依頼ください。（有料）
92,あきる野市,全域,うちわ,可燃ごみ,,,,,
93,あきる野市,全域,腕時計（ぜんまい式）,不燃ごみ,,,,,
94,あきる野市,全域,腕時計（ぜんまい式を除く）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
95,あきる野市,全域,乳母車,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
96,あきる野市,全域,梅酒用のびん,びん類,,,,,ラベル類はそのままでも大丈夫です。中を良く洗ってください。プラスチック部分が取り外せる場合、プラスチック部分は可燃ごみに出してください。
97,あきる野市,全域,羽毛布団（羽等が飛散する事故があるため、切らずに出す）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
98,あきる野市,全域,運動靴,可燃ごみ,,,,,
99,あきる野市,全域,運動靴入れ,可燃ごみ,,,,,
100,あきる野市,全域,エアークッション（空気緩衝材）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　（ビニール製）,可燃ごみ,,,,,
101,あきる野市,全域,エアコン（室内機）,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
102,あきる野市,全域,エアコン（室外機）,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
103,あきる野市,全域,AED本体（パッドは可燃ごみ、バッテリーは有害ごみ）,不燃ごみ,,,,,
104,あきる野市,全域,映写機（家庭用）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
105,あきる野市,全域,液晶テレビ,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
106,あきる野市,全域,液晶モニター,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
107,あきる野市,全域,枝切りばさみ（高枝用50㎝以下）（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
108,あきる野市,全域,枝切りばさみ（高枝用50㎝以上）（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
109,あきる野市,全域,枝類（太さ5㎝×長さ50㎝×１束直径30㎝以下）,可燃ごみ,,,,,１回の回収で５束まで、無料で回収します。
110,あきる野市,全域,枝類（太さ15㎝×長さ100cm×１束直径50㎝以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
111,あきる野市,全域,枝類（太さ15㎝×長さ100cm×１束直径50㎝を超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（一本の太さ15ｃｍ×長さ100ｃｍ×一束の直径50ｃｍ以下であれば粗大ごみ扱い（有料）、一本の太さ5ｃｍ×長さ50ｃｍ×一束の直径30ｃｍ以下であれば可燃ごみ扱いとして、5束まで無料回収）
112,あきる野市,全域,絵の具,可燃ごみ,,,,,
113,あきる野市,全域,絵本,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
114,あきる野市,全域,ＡＣアダプタ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
115,あきる野市,全域,ＭＤ（ミニディスク）,可燃ごみ,,,,,
116,あきる野市,全域,ＭＤケース,可燃ごみ,,,,,
117,あきる野市,全域,ＭＤプレイヤー,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
118,あきる野市,全域,ＭＤラジカセ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
119,あきる野市,全域,ＳＴＢ(セットトップボックス）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
120,あきる野市,全域,LED電球（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
121,あきる野市,全域,LED電球（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
122,あきる野市,全域,エレクトーン,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
123,あきる野市,全域,塩化カルシウム（1㎏まで。固まっていないものに限る。）,可燃ごみ,,,,,
124,あきる野市,全域,塩化カルシウム（固まったもの）,処理不能,,,,,市では処理ができないもののため、廃棄物事業者に直接ご依頼ください。（有料）
125,あきる野市,全域,塩化ビニル（ポリ塩化ビニル）パイプ（長さ５０ｃｍ以下、直径１０ｃｍ以下）,可燃ごみ,,,,,
126,あきる野市,全域,塩化ビニル（ポリ塩化ビニル）パイプ（長さ５０ｃｍを超え１００ｃｍ以下、直径１０ｃｍを超え１５ｃｍ以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
127,あきる野市,全域,塩化ビニル（ポリ塩化ビニル）パイプ（長さ１００ｃｍ、直径１５ｃｍを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（長さ100cm以下×直径15ｃｍ以下の場合は粗大ごみ扱い、長さ50ｃｍ以下×直径10ｃｍ以下の場合は可燃ごみ扱いで、有料袋に入れてください。）
128,あきる野市,全域,園芸土（家庭用）,処理不能,,,,,市では処理ができないもののため、廃棄物事業者に直接ご依頼ください。（有料）
129,あきる野市,全域,園芸肥料（家庭用）（１回あたり５ｋｇまで）,可燃ごみ,,,,,
130,あきる野市,全域,園芸用支柱（金属製以外）（直径5cm以下、長さ50cm以下）,可燃ごみ,,,,,
131,あきる野市,全域,園芸用支柱（金属製以外）（直径15cm、長さ50cmを超え100cm以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
132,あきる野市,全域,園芸用支柱（金属製）（ビニールコーティングされたもの含む）（長さ50cm以下のもの）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
133,あきる野市,全域,園芸用支柱（金属製）（ビニールコーティングされたもの含む）（長さ50cmを超え、長さ3m以内のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
134,あきる野市,全域,園芸用支柱（金属製）（ビニールコーティングされたもの含む）（長さ3mを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（長さ50㎝以上で長さ3m以内であれば粗大ごみ扱い（有料）、長さ50㎝以内であれば缶・金属類扱いです。）
135,あきる野市,全域,エンジンオイル処理キット,可燃ごみ,,,,,
136,あきる野市,全域,煙突（ススを取る）（長さ3m以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
137,あきる野市,全域,煙突（長さ3mを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（長さ3m以内であれば粗大ごみ扱い（有料）です。）
138,あきる野市,全域,えんぴつ,可燃ごみ,,,,,
139,あきる野市,全域,えんぴつ削り器,不燃ごみ,,,,,
140,あきる野市,全域,遠赤外線ヒーター（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
141,あきる野市,全域,遠赤外線ヒーター（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
142,あきる野市,全域,オイル（自動車）,処理不能,,,,,市では処理ができないため、ガソリンスタンドか購入店にご相談、処理を依頼してください。（有料）
143,あきる野市,全域,オイルの缶（缶内部のオイルを良く出し切る）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
144,あきる野市,全域,オイルヒーター,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
145,あきる野市,全域,オイルフィルター（自動車等）（オイルを切ってから出す）,不燃ごみ,,,,,
146,あきる野市,全域,ＯＡ用紙（感熱紙）,可燃ごみ,,,,,
147,あきる野市,全域,ＯＡ用紙（感熱紙は除く）,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
148,あきる野市,全域,応接用イス,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
149,あきる野市,全域,応接用テーブル,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
150,あきる野市,全域,オーディオラック,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
151,あきる野市,全域,オートバイ,処理不能,,,,,市では処理ができないため、ご購入の店舗、またはリサイクル事業者に処理を依頼してください。
152,あきる野市,全域,オーブンレンジ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
153,あきる野市,全域,オーブントースター,不燃ごみ,,,,,
154,あきる野市,全域,桶（金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
155,あきる野市,全域,桶（金属製以外のもので、可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
156,あきる野市,全域,おしゃぶり,可燃ごみ,,,,,
157,あきる野市,全域,お玉（しゃくし）（竹製・木製）,可燃ごみ,,,,,
158,あきる野市,全域,お玉（しゃくし）（金属類）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
159,あきる野市,全域,落ち葉,可燃ごみ,,,,,
160,あきる野市,全域,帯（おび）,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
161,あきる野市,全域,おまる（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
162,あきる野市,全域,おまる（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
163,あきる野市,全域,おむつ（紙・布）（汚物は取り除く）,可燃ごみ,,,,,
164,あきる野市,全域,おむつ（布製）（未使用のもの）,紙類・布類,,,,,使用済みのものは可燃ごみ扱い。紙おむつは中身の見える透明な袋に入れて頂ければ、有料袋を使わなくても可燃ごみの日に回収します。種類別にひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
165,あきる野市,全域,おむつカバー,可燃ごみ,,,,,
166,あきる野市,全域,おもちゃ（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
