区分,ｎ(団体数),問１７体感治安に不安を感じる社会的背景について／近所に話をできる人がいない(%),問１７体感治安に不安を感じる社会的背景について／人情味が乏しくなった(%),問１７体感治安に不安を感じる社会的背景について／価値観の多様化(%),問１７体感治安に不安を感じる社会的背景について／若者の規範意識の低下(%),問１７体感治安に不安を感じる社会的背景について／法律に違反しなければ何をやってもよい、という自由主義的な風潮(%),問１７体感治安に不安を感じる社会的背景について／経済的な格差社会の拡大(%),問１７体感治安に不安を感じる社会的背景について／不安定な雇用情勢(%),問１７体感治安に不安を感じる社会的背景について／年金問題など高齢化社会への不安(%),問１７体感治安に不安を感じる社会的背景について／メディア社会・ネットワーク社会への不安(%),問１７体感治安に不安を感じる社会的背景について／特に感じていない(%),問１７体感治安に不安を感じる社会的背景について／その他(%),問１７体感治安に不安を感じる社会的背景について／無回答(%)
区市町村／世田谷区,44,6.8,45.5,45.5,29.5,45.5,34.1,25,34.1,43.2,2.3,2.3,2.3
区市町村／渋谷区,24,12.5,41.7,45.8,41.7,62.5,16.7,50,12.5,33.3,0,4.2,8.3
区市町村／中野区,32,15.6,50,37.5,46.9,46.9,15.6,25,21.9,25,12.5,0,3.1
区市町村／杉並区,75,4,34.7,33.3,40,48,22.7,30.7,22.7,18.7,2.7,10.7,12
区市町村／豊島区,12,8.3,25,33.3,33.3,0,0,16.7,25,41.7,16.7,8.3,0
区市町村／北区,10,10,50,30,30,50,40,30,40,20,10,0,10
区市町村／荒川区,26,7.7,42.3,42.3,38.5,34.6,19.2,34.6,46.2,15.4,3.8,0,3.8
区市町村／板橋区,46,2.2,39.1,37,28.3,34.8,23.9,26.1,43.5,26.1,2.2,2.2,2.2
区市町村／練馬区,22,4.5,40.9,22.7,27.3,45.5,18.2,36.4,31.8,22.7,0,4.5,22.7
区市町村／足立区,65,10.8,47.7,24.6,58.5,46.2,10.8,21.5,40,12.3,6.2,3.1,4.6
区市町村／葛飾区,17,5.9,35.3,17.6,64.7,76.5,29.4,11.8,35.3,23.5,0,0,5.9
区市町村／江戸川区,18,11.1,50,50,55.6,38.9,16.7,38.9,33.3,38.9,0,0,0
区市町村／八王子市,46,6.5,41.3,32.6,32.6,39.1,37,39.1,39.1,21.7,10.9,0,4.3
区市町村／立川市,17,17.6,58.8,23.5,52.9,52.9,23.5,35.3,52.9,29.4,11.8,0,0
区市町村／武蔵野市,12,0,41.7,25,50,33.3,16.7,33.3,41.7,16.7,16.7,0,0
区市町村／三鷹市,5,0,40,40,40,40,20,60,40,40,0,0,20
区市町村／青梅市,17,5.9,23.5,29.4,41.2,52.9,29.4,35.3,35.3,17.6,0,0,5.9
区市町村／府中市,21,4.8,33.3,38.1,33.3,42.9,9.5,33.3,42.9,33.3,4.8,4.8,19
区市町村／昭島市,17,0,35.3,29.4,58.8,23.5,35.3,47.1,58.8,5.9,5.9,0,0
区市町村／調布市,19,10.5,36.8,26.3,42.1,31.6,21.1,31.6,26.3,31.6,5.3,0,15.8
区市町村／町田市,60,6.7,43.3,41.7,53.3,41.7,48.3,31.7,41.7,35,1.7,0,5
区市町村／小金井市,10,0,10,60,10,20,20,40,20,50,0,10,20
区市町村／小平市,4,0,50,25,50,50,50,75,50,25,0,0,0
区市町村／日野市,3,0,66.7,0,100,66.7,0,0,0,33.3,0,0,0
区市町村／東村山市,24,0,29.2,25,45.8,37.5,29.2,62.5,33.3,33.3,4.2,4.2,0
区市町村／国分寺市,5,0,20,60,40,40,20,40,60,60,0,0,20
区市町村／国立市,2,0,50,0,100,50,0,50,50,0,0,0,0
区市町村／福生市,11,18.2,27.3,45.5,45.5,27.3,9.1,36.4,54.5,18.2,0,9.1,0
区市町村／狛江市,2,0,0,50,50,50,50,100,50,50,0,0,0
区市町村／東大和市,15,6.7,33.3,40,26.7,26.7,26.7,26.7,33.3,20,20,0,0
区市町村／清瀬市,10,0,70,50,30,40,10,0,50,0,0,0,10
区市町村／東久留米市,1,0,0,0,100,0,0,0,100,100,0,0,0
区市町村／武蔵村山市,10,0,20,50,40,30,0,20,30,20,0,10,10
区市町村／多摩市,6,33.3,33.3,33.3,16.7,16.7,16.7,33.3,16.7,33.3,0,0,0
区市町村／稲城市,13,15.4,46.2,30.8,23.1,30.8,38.5,46.2,53.8,46.2,0,0,0
区市町村／羽村市,3,0,66.7,0,100,66.7,0,66.7,0,0,0,0,0
区市町村／あきる野市,21,9.5,42.9,33.3,42.9,47.6,14.3,38.1,52.4,23.8,4.8,0,0
区市町村／西東京市,4,25,75,25,50,0,25,25,25,50,25,0,0
区市町村／瑞穂町,5,0,20,40,60,0,20,60,40,0,0,0,20
区市町村／日の出町,16,0,18.8,56.3,12.5,25,25,50,56.3,31.3,6.3,0,6.3
区市町村／檜原村,1,0,0,0,0,0,100,100,100,0,0,0,0
