名称,代表者役職,代表者氏名,〒,所在地,電話,ＦＡＸ,構成,活動
（一社）東京都小学校ＰＴＡ協議会,会長,奥村　透,〒105-0021,港区東新橋２－２－10 村松ビル６Ｆ,(3431)1575,(3431)7072,ＰＴＡ214校、児童数98，819名,東京都の小学校を通して、東京都における社会教育・家庭教育の充実を促すとともに、学校教育との連携を深め、青少年の健全育成の推進を図り、もって社会発展に寄与することを目的とし、研究大会や、研修、調査研究、情報収集・提供等を行う。
（公社）東京のあすを創る協会,会長,茅野　祐子,〒104-0028,中央区八重洲２丁目11－７ 東栄八重洲ビル６Ｆ,(3272)0213,(3272)1257,85団体、3，964人,明るく住みよい地域社会づくり“コミュニティづくり運動”を実践する。青少年の健全育成、高齢化社会への対応、資源リサイクル活動、生活学校・生活会議の支援。
東京都青年国際交流機構(東京都ＩＹＥＯ),会長,神戸　知子,〒103-0013,中央区日本橋人形町２－35－14東京海苔会館６Ｆ,(3249)0767,(3639)2436,内閣府青年国際交流事業参加者約2，000人（全国約15，600人）,内閣府青年国際交流事業で得た成果を、国際親善、協力に寄与し、社会に貢献するとともに、会員相互の交流と研讃を図る。
東京都青年団体連合,会長,川口　博敏,〒107-0052,港区赤坂1-1-14NOF溜池ビル5F(公財)日本ユースリーダー協会内,(6441)0581,(6441)0582,15グループ,1967年、都内の社会教育関係青年団体との連絡協調を図ることで設立。情報交換、人材交流活動、青年団体･個々の青年活動の調査、研究支援、東日本大震災復興支援活動。日本都市青年会議の一員として参加し、全国の青年団体・青年と交流。
（公財）東京都体育協会,会長,山本　博,〒150-8050,渋谷区神南１－１－１岸記念体育会館内３階,(3481)2422,(3481)5220,111団体（59地区体育協会・49競技団体・学体連３）,スポーツの振興と都民の体力向上のため、諸団体相互の連絡を図る。東京都スポーツ少年団の育成と指導。
（公財）東京都体育協会東京都スポーツ少年団,本部長,田村　嘉健,〒150-8050,渋谷区神南１－１－１岸記念体育会館内3階,(6804)8121,(3481)5220,340団体、団員9，515人・指導者2，807人（H29.10.30現在）,スポーツを通じての青少年健全育成活動、リーダー養成、各種スポーツ大会、指導者研修会ほか。
(特定非営利活動法人)東京都地域婦人団体連盟,会長,谷茂岡正子,〒150-0002,渋谷区渋谷１－17－14全国婦人会館内,(3407)2370,(3400)5131,６団体、個人16名、3，000人,よりよい生活と地域社会の発展に寄与するため、調査研究、情報収集及び提供、指導者養成、広報活動を行う。
東京都民生児童委員連合会,会長,寺田　晃弘,〒162-0823,新宿区神楽河岸１－１セントラルプラザ４Ｆ,(3235)1163,(3235)1169,399地区民生児童委員協議会、民生児童委員10，776名（うち、主任児童委員823名）,民生児童委員活動と東京都の社会福祉の推進に寄与するため、社会福祉関係機関・団体との連絡調整および各種研修・部会、調査研究・広報事業等を行っている。
（一財）東京都ユースホステル協会,会長,柿沢　未途,〒111-0052,台東区柳橋２－21－４,(3851)1121,(3851)1130,8，000人,簡素な旅行を通じて、青少年の国際人としての教養を高める。東京隅田川ユースホステルの運営。国際交流活動、指導者養成活動、ホステリング活動などを通じて、世代間の交流を図り社会参加の意識を高める。自然環境や人・モノを大切にし、生活力のある子どもを育てることを目的とした野外活動を開催する
（一社）東京母の会連合会,理事長,柴崎　直子,〒100-0005,千代田区丸の内３－８－１警視庁丸の内庁舎10階,(3215)3001,(3215)3001,77団体（母親、町会婦人部、少年柔剣道役員）,少年の非行化防止のための研究会、講習会、展示会。少年の健全育成のための講演会・こども会、社会参加活動。子どもと高齢者の事故防止、啓蒙、講習会。会員の研鑚と技術の向上と功労者の表彰。
（公財）東京ＹＭＣＡ,総主事,菅谷　淳,〒169-0051,新宿区西早稲田２－３－18　日本キリスト教会館６階,(6302)1960,(6302)1966,6，400人,「イエス・キリストによって示された愛と奉仕の精神にもとづいて、青少年の精神、知性、身体の全人的成長を願い、地域社会に奉仕し、公正で平和な世界をつくるための運動を展開する」との使命を掲げ、都内外に地域センターや研修センターを設け、ボランティア養成、国際協力、健康教育、野外教育、職業教育、幼児教育、生涯教育等のプログラムを進めている。
（公財）東京ＹＷＣＡ,代表理事,川戸れい子,〒101-0062,千代田区神田駿河台１－８－11,(3293)5421,(3293)5570,838人（会員数）,キリスト教の精神の下、平和と人権を守る支援事業、青少年の心身をはぐくむ事業、女性の健康を守る事業、そして障がいのある人もない人もその人らしく生きて行くことを支援する事業を行っている。
東京都保護司会連合会,会長,永見　光章,〒100-0013,千代田区霞が関１－１－１中央合同庁舎６号館４階東京保護観察所内,(3592)6614,(3592)6615,33団体、3，460人（保護司）,地区保護司会の活動に関する連絡調整、保護司の行う犯罪者・非行少年の改善更生・犯罪予防活動への支援協力、更生保護に関する啓発活動、調査研究・研修活動、関係機関団体との連絡協調等。
(一財)日本青年館,理事長,榎　信晴,〒160-0013,新宿区霞ヶ丘町4－1,(6452)9012,(6452)9016,,全国青年団の育成・援助、青少年文化体育事業、青年問題研究所・全国民俗芸能大会・高校オーケストラ支援事業・全国高等学校選抜オーケストラフェスタの開催、国際交流等。
日本赤十字社東京都支部,支部長,小池 百合子,〒169-8540,新宿区大久保１－２－15,(5273)6751,(5273)6749,都内576園・校、164，863人,青少年赤十字は、児童・生徒が赤十字の精神（人道）に基づき、世界の平和と人類の福祉に貢献できるよう、日常生活の中での実践活動を通じて、いのちと健康を大切に、地域社会や世界のために奉仕し、世界の人々との友好親善の精神を育成することを目的として、さまざまな活動を学校教育の中で展開しています。〈青少年赤十字（JRC：Junior Red Cross）の特徴〉・加盟登録制です（無料）。学校や幼稚園・保育所に組織し、学校・幼稚園の先生や保育所の保育士が指導者です。・何を実践するかは学校や園の自由裁量です。・世界的な組織です。（世界191の国と地域の姉妹赤十字社が活動しています。）・国内にも多くの仲間がいます。（全国約１万４千校が加盟、メンバー約330万人）
(一社)日本善行会,会長,勝野　堅介,〒100-0006,千代田区有楽町２－10－１東京交通会館内,(3212)6996,(3212)6998,75支部、3，500人,善行の表彰並びに善行精神の普及と実践を通じて明るく住みよい社会環境づくりに努め、国の発展と国際親善に寄与する。表彰、環境美化運動、社会福祉活動、青少年健全育成運動、交通安全折鶴運動。
（公財）日本体育施設協会,会長,大東　和美,〒170-0002,豊島区巣鴨２－７－14巣鴨スポーツセンター別館３階,(5972)1982,(5972)4106,47都道府県維持会員、特別会員220社（9.1現在）,①体育施設の利用を促進するための活動推進②体育施設の充実及び運営についての調査研究③体育施設の充実及び運営についての指導助言④体育施設管理関係者の資質向上をはかるための講習会及び研修会の開催⑤体育施設に関する資料の収集、刊行⑥体育施設の充実及び運営について、内外の関係機関及び関係団体との連絡協調
日本ボーイスカウト東京連盟,理事長,山内　直元,〒167-0022,杉並区下井草４－４－３,(3868)2351,(3868)2388,238団体、15，300人（青少年8，600人・指導者6，700人）,幼年期より青年期にわたる各年齢層に適応するよう各スカウトに分け、野外活動、奉仕活動、レクリエーション活動を通して人格・健康づくり及び国際愛・人格形成につとめる。
(一社)倫理研究所,理事長,丸山　敏秋,〒102-8561,千代田区紀尾井町４－５,(3264)2251,(3239)7881,15万人（個人／家庭倫理の会）、6万7千社（経営者／倫理法人会）,「おはよう倫理塾」（全国504か所）「経営者モーニングセミナー」（全国704か所）を拠点として純粋倫理を学ぶ。研究・出版・社会教育活動・文化活動（短歌・書道）を行なうほか、こどもの健全育成を目指して、「子供倫理塾」を開催し、子育て世代の親を対象に「子育てセミナー」を全国各地で展開している。
（公財）交通道徳協会,会長,荻野　洋,〒100-0005,千代田区丸の内３－４－１新国際ビル904号,(3216)6050,(3213)6896,,昭和21年6月に「交通道徳協会」が設立され、全国の鉄道を中心に道徳心とマナー向上を喚起する啓蒙活動を行うとともに、社会一般の公徳心の向上に資するため、昭和35年10月に「鉄道少年団」を結成し、今日まで全国各地で環境保全活動、奉仕活動、体験活動、団体行動訓練等を実施することにより、団員は責任感と協調性を体得し、社会奉仕の精神を育み交通道徳の意識を高め、地域の活性化に取り組んでいます。
（一社）茶道裏千家淡交会青年部関東第一ブロック,ブロック長,木下　晃,〒272-0135,千葉県市川市日之出７-11-102,090(3800)7259,,会員1，800人,お茶を通じて修練と奉仕と友情を育くむ活動を行っている。子供・親子向け茶室での、マナー教室、模擬茶会、呈茶、茶筅振り体験などの課外学習企画を通じて、お茶に触れていただければ幸いです。ホームページアドレス　http://www.kantou1.com/
（公社）青少年交友協会,理事長,森田　勇造,〒171-0014,豊島区池袋３－30－22－２Ｆ,(5391)1901,(5391)1902,（会員数）58,青少年の健全育成を目的として、「かち歩き大会」「グリーンアドベンチャー」「親子自炊生活体験」「生活体験指導者養成講習」など野外文化教育の啓発・普及・実践を全国で行っている。
(公財)全国青少年教化協議会,会長,森川　宏映,〒104-0045,中央区築地３－７－５築地Ａ１ビル５Ｆ,(3541)6725,(3541)6747,68仏教教団、25団体及び会員1，500人（全国）,仏教精神に基づいた青少幼年の健全育成を目的とし、寺院を中心にした日曜学校、子ども会活動の普及等を図る。各種研修会を開き、子どもや若者並びに指導者の育成に尽力。また、不登校・ひきこもり当事者と家族の支援を行う。
東京交通少年団,団長,島田　益吉,〒100-8929,千代田区霞が関２－１－１ 警視庁内（一財）東京都交通安全協会,(3592)1246,(3592)1249,98団体、（団員約3，000人、指導者約1，000人）,子供たちに交通ルールや正しい交通マナーを身につけさせ、交通安全教室、街頭キャンペーン、パレード等を通じて、交通安全思想の普及啓発を行うとともに、公園、歩道の清掃活動や、交通安全イベント会場周辺の環境整備を行うなど、社会貢献活動を行っている。
（一財）東京私立中学高等学校協会,会長,近藤　彰郎,〒102-0073,千代田区九段北４－２－25私学会館別館４Ｆ,(3263)0541,(3263)0560,245校（都内私立中学・高校全校加盟）,私立学校振興に関する事業、私立学校に関する情報を広く都民等に提供する事業及び教育に関する調査・研究、教職員の研修等。
青少年ペンフレンドクラブ,担当,富沢　　隆,〒100-8792,千代田区大手町二丁目３番１号大手町プレイス ウエストタワー日本郵便株式会社　切手・葉書室　青少年ペンフレンドクラブ事務局,(3477)0692,,11，602名（9.1現在）,世界の平和の確立を目指し、社会に友愛の精神を広め、自己の教養を高めることを信条として掲げ、手紙・文通活動の実践に努める文化団体である。ホームページアドレス　http://www.pfc.post.japanpost.jp/
東京都ＢＢＳ連盟,会長,與那城 武尊,〒100-0013,千代田区霞が関１－１－１法務省中央合同庁舎６号館東京保護観察所内,(3597)0123観察所,,24団体、370人（活動の主体は20歳代から30歳代の青年男女）,非行少年や問題をかかえている少年達の立ち直りの援助活動（ともだち活動やグループ交流会）及び地域社会における非行や犯罪の予防・啓発活動及びそのために必要な研修活動。
東京都青少年委員会連合会,会長,大谷　誠,〒152-0003,目黒区碑文谷６－７－19（事務局）,(3792)0368,(3792)0368,38委員会、939人,青少年教育の振興と各地区委員会活動の助長促進を目的とし、ブロック研修会、東京都青少年委員大会を開催するほか、情報の提供と交換、調査および資料作成、委員の顕彰事業、交流会などを行う。
日本青年団協議会,会長,福永　晃仁,〒160-0013,新宿区霞ヶ丘町4－1　日本青年館５階,(6452)9025,(6452)9026,43道府県青年団協議会,道府県青年団協議会の連絡協調、地域スポーツ・文化活動の推進、青年問題研究集会、国際交流活動、子どもの体験活動、リーダー研修会、男女平等を実現する運動、平和運動等。
日本都市青年会議,会長,廣井　久道,〒536-0007,大阪府大阪市城東区成育１丁目2－3,06(6931)0017,06(6931)0017,全国30都市の青年団体及び青少年団体,全国の都市青年団体、青少年団体相互の連絡協調をはかり、その発展につとめ、明るい平和な社会の建設に寄与する。全国大会（「青少年体験活動支援者フォーラム」ほか）の開催、行政職員セミナー（若者の自立支援「青少年の居場所づくり全国フォーラム」）の開催、調査研究、青少年活動奨励賞の公募等。ホームページアドレス　http://nittosei.com/index.htm
(一財)根っこの家・若い根っこの会,会長,加藤日出男,〒350-0062,埼玉県川越市元町２－８－17,049(222)2759,049(225)0807,正会員4，000人、生涯青春クラブ1，350人、「サザンクロス　クラブ」340人、ＯＢ会員32，000人,友だちづくりの青春塾。空と海と陸と人を結ぶ陸上大学。誰でも参加できて、相談もできる「根っこの家」。元気の出る会報『友情　Ｄｒｅａｍ　Ｎｅｋｋｏニュース』。生きていてよかった。思いっきり泣けるところ、思いっきり笑えるところが、あったなんて……
（公財）ハーモニィセンター,代表理事,大野　重男,〒151-0052,渋谷区代々木神園町３－１ ＮＹＣ内,(3469)7691,(3469)7714,2，100人（内指導者300名）,(1) ポニークラブ、子ども動物広場、牧場等の運営及び受託管理(2) 教育、福祉、医療等の現場におけるポニー乗馬の普及(3) 川べり環境の整備及び活用の推進(4) 国際文化交流(5) 社会教育に関する調査研究の推進及び研究成果の普及(6) 新聞、雑誌、図書等の刊行及び電子媒体による情報発信
東京善意銀行友の会,会長,大石　康男,〒101-0062,千代田区神田駿河台１－８－11東京YWCA会館3階（東京善意銀行内）,(5283)6890,(5283)6997,30名,舞踊、歌、奇術、話術、大道芸等による福祉施設への慰問活動をはじめ、バザーやチャリティーショー等を行い、純益を福祉施設へ寄付している。「善意の輪を広げよう」を合言葉に頑張っており、本年結成46年になる。
（特定非営利活動法人）日本ガーディアン・エンジェルス,理事長,小田　啓二,〒104-0033,中央区新川１－29－13－B1,(3523)5300,(3523)5366,正会員約200人,安全で住みよいまちづくりのために非行や犯罪を防止する活動を行う。・防犯パトロール、防犯リーダー養成・子どもの安全セミナー、女性の防犯セミナー・インターネット（パソコンや携帯電話）の安全教室・安全に関わる啓発のための講演会・地域の行事の支援・非行少年の立ち直り支援
東京都商店街振興組合連合会,代表理事,桑島　俊彦,〒104-0061,中央区銀座２－10－18　東京都中小企業会館内,(3542)0231,(3542)0236,約400商店街振興組合,商業及び商店街振興のための諸活動事業。
（一財）インターネット協会,理事長,藤原　洋,〒113-0034,文京区湯島2-21-1長谷川ビル３階,(5844)6842,(5844)6845,,インターネットのルールとマナーに関するセミナー開催、マニュアル公開、コンクール実施など〔講演〕・講師派遣（学校、教育委員会、PTA、自治体対象）〔普及啓発〕・インターネットを利用するためのルールとマナーの知識を身につけているかを評価する「インターネットルール＆マナー検定」を実施。また、「インターネット利用アドバイザー」の称号付与制度により人材を養成。・インターネットを利用する際に知っておきたいマニュアル「その時の場面集」を公開。SNS編、スマホ基本設定編、フィルタリング編の3種類。・インターネットの活用術やトラブル克服体験談などを募集する「手記コンクール」を実施し、優秀作品を表彰・インターネットトラブル相談のポータルサイトを運営【サイトURL：https://www.iajapan.org/】
