区分,ｎ(団体数),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／暴行・傷害(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自宅等に入る空き巣(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／すり・ひったくり(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自転車などの盗難(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自動車内の物などの盗難(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／痴漢(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／振り込め詐欺や悪徳商法詐欺(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／落書きされたり、壊されたりする(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／敷地内に無断で侵入される(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／子供に対する犯罪(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／つきまとわれたり、覗かれたりする(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／特に感じない(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／その他(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／無回答(%)
区市町村／大田区,53,11.3,60.4,64.2,54.7,26.4,34,69.8,28.3,17,41.5,18.9,3.8,0,1.9
区市町村／世田谷区,44,11.4,72.7,54.5,47.7,4.5,31.8,70.5,25,6.8,27.3,9.1,2.3,0,0
区市町村／渋谷区,24,20.8,41.7,37.5,50,25,29.2,62.5,62.5,20.8,25,12.5,0,4.2,4.2
区市町村／中野区,32,18.8,56.3,56.3,50,18.8,43.8,78.1,31.3,18.8,37.5,3.1,6.3,12.5,0
区市町村／杉並区,75,9.3,77.3,60,45.3,14.7,29.3,54.7,24,13.3,32,8,2.7,4,4
区市町村／豊島区,12,8.3,58.3,50,58.3,16.7,16.7,25,50,25,41.7,16.7,8.3,0,0
区市町村／北区,10,20,50,60,80,30,30,80,50,30,20,20,10,0,0
区市町村／荒川区,26,11.5,57.7,42.3,38.5,11.5,23.1,65.4,3.8,3.8,7.7,3.8,7.7,3.8,7.7
区市町村／板橋区,46,4.3,63,50,52.2,21.7,15.2,43.5,13,10.9,19.6,4.3,8.7,0,4.3
区市町村／練馬区,22,13.6,63.6,54.5,40.9,31.8,13.6,45.5,27.3,9.1,31.8,4.5,4.5,4.5,18.2
区市町村／足立区,65,10.8,55.4,50.8,73.8,27.7,21.5,43.1,26.2,13.8,20,4.6,9.2,1.5,3.1
区市町村／葛飾区,17,17.6,41.2,47.1,82.4,23.5,17.6,70.6,23.5,11.8,23.5,0,0,5.9,5.9
区市町村／江戸川区,18,22.2,72.2,50,83.3,38.9,22.2,50,11.1,22.2,38.9,0,5.6,0,0
区市町村／八王子市,46,17.4,67.4,41.3,39.1,41.3,28.3,52.2,17.4,13,23.9,8.7,8.7,2.2,2.2
区市町村／立川市,17,35.3,64.7,47.1,64.7,41.2,35.3,58.8,41.2,29.4,41.2,23.5,5.9,0,0
区市町村／武蔵野市,12,8.3,50,33.3,33.3,8.3,25,66.7,16.7,0,8.3,8.3,16.7,0,0
区市町村／三鷹市,5,20,100,40,80,20,0,60,40,20,60,20,0,0,0
区市町村／青梅市,17,0,64.7,11.8,35.3,29.4,5.9,41.2,11.8,5.9,41.2,0,11.8,0,5.9
区市町村／府中市,21,4.8,66.7,19,38.1,19,9.5,47.6,9.5,14.3,14.3,4.8,4.8,4.8,14.3
区市町村／昭島市,17,0,52.9,35.3,82.4,35.3,17.6,76.5,11.8,23.5,29.4,17.6,0,0,0
区市町村／調布市,19,5.3,42.1,31.6,42.1,10.5,26.3,47.4,10.5,26.3,31.6,5.3,15.8,0,21.1
区市町村／町田市,60,11.7,66.7,30,58.3,38.3,36.7,53.3,33.3,11.7,30,6.7,5,0,1.7
区市町村／小金井市,10,0,70,40,60,20,30,40,10,20,30,0,0,0,10
区市町村／小平市,4,0,50,50,25,25,75,50,25,0,0,0,0,0,0
区市町村／日野市,3,0,66.7,66.7,66.7,66.7,33.3,100,33.3,0,33.3,0,0,0,0
区市町村／東村山市,24,8.3,62.5,25,58.3,29.2,25,54.2,25,4.2,54.2,8.3,8.3,0,0
区市町村／国分寺市,5,0,80,60,80,60,40,80,0,40,40,40,0,0,20
区市町村／国立市,2,0,0,0,50,50,50,50,0,50,0,0,0,0,0
区市町村／福生市,11,0,45.5,36.4,63.6,36.4,18.2,27.3,36.4,18.2,27.3,0,0,0,0
区市町村／狛江市,2,0,100,100,50,50,100,50,50,0,50,0,0,0,0
区市町村／東大和市,15,0,86.7,26.7,60,53.3,26.7,66.7,13.3,13.3,33.3,13.3,0,6.7,0
区市町村／清瀬市,10,20,40,60,60,10,20,60,10,10,30,10,0,0,10
区市町村／東久留米市,1,0,100,100,100,0,100,100,0,100,100,0,0,0,0
区市町村／武蔵村山市,10,20,70,40,40,50,20,50,30,30,10,10,0,10,0
区市町村／多摩市,6,0,83.3,33.3,33.3,33.3,50,66.7,16.7,0,16.7,0,0,0,0
区市町村／稲城市,13,15.4,84.6,23.1,38.5,15.4,15.4,84.6,0,7.7,23.1,0,7.7,0,0
区市町村／羽村市,3,0,100,33.3,33.3,33.3,0,100,0,0,33.3,33.3,0,0,0
区市町村／あきる野市,21,4.8,57.1,14.3,38.1,33.3,42.9,52.4,4.8,9.5,52.4,9.5,9.5,0,0
区市町村／西東京市,4,0,50,0,50,50,0,75,0,0,75,0,25,0,0
区市町村／瑞穂町,5,40,40,40,40,20,20,40,0,0,40,0,0,20,0
区市町村／日の出町,16,0,62.5,6.3,37.5,6.3,18.8,68.8,0,12.5,18.8,0,6.3,0,0
区市町村／檜原村,1,0,100,0,0,0,0,100,0,0,0,0,0,0,0
