No,製品・場所等,事例,性別・年齢,内容
37,踏み台,転落・転倒,男３歳,食器洗いを手伝おうと椅子を持ってきて乗ろうとしたら足を滑らせて落ちた。
38,食洗機,その他,女０歳,ビルトイン食洗機の下の引き出しをあけて、中に自分で入ってしまった。かくれんぼのつもりかもしれないが、洗剤・漂白剤等入れているスペースなのでドキッとした。
39,食洗機,やけど,男１歳,食洗機使用中、換気口の部品を触っていた。ちょうど熱い湯気が出ていない時だったためやけどはしなかった。
40,食洗機,はさんだ,女１歳,食洗機に食器を出し入れするために開けていると、子供が近づいてきて食洗機を閉めようとする。その際手をかけるところによっては指を挟んでしまうのでヒヤリとすることが多い。
41,魚焼きグリル,やけど,男１歳,魚を焼いて取り出した後、目を少し離した隙に魚焼きグリルをあけて網に触った。
42,シンク下収納,はさんだ,女１歳,スライド式の引き出しで、チャイルドロックをする前に私の真似をして開け閉めしていたら指を挟んだ。
43,食器棚,ぶつけた,男３歳,スライド式で炊飯器を収納する棚板がしっかりと収めきれておらず、子供が頭をぶつけてしまう事がある。
44,水栓,やけど,女３歳,湯沸し器で熱いお湯を出しているときに手を出してきそうになった。
45,ウォーターサーバー,やけど,男１歳,ロック機能がついているので安心していたが、偶然にもウォーターサーバーのお湯が出てしまい、やけどしそうになった。
46,瓶のふた,切った,女６歳,飲み終えた瓶を洗って乾かしている間、金属製のふたを近くにおいておいたところ、そのふたを取って握ってしまい手を切ってしまった
