No,製品・場所等,事例,性別・年齢,内容
12,お風呂いす,転落・転倒,女２歳,ふざけてお風呂の椅子に立って落っこちそうになりヒヤリとした。どうにか受け止める事が出来たが、お風呂の椅子が大人用で高さもあり落ちたら大変な事になっていたと思うと心臓が止まりそうだった。
13,お風呂いす,転落・転倒,女２歳,体を洗っているときに、イスに座ろうとして滑ってしまいイスに座れずにしりもちをついた。おしりがかなり痛そうだった。
14,お風呂マット,転落・転倒,男１歳,マットの上で滑って転びそうになった。頭を打つ手前で親がキャッチしてけがをすることはなかった。
15,お風呂マット,転落・転倒,男２歳,お風呂マットを子供たちがふざけて持ち上げたところ、乗っていた次男がひっくり返ってお風呂の床に後頭部をぶつけた。朝まで様子を見ていたがたんこぶの他には異常が見られなかったので病院へは行かなかった。
16,お風呂マット,転落・転倒,男３歳,お風呂から出る時にマットに足をのせ損ねてツルッと滑って頭を打った。
17,浴槽ふた,転落・転倒,女０歳,寝返りをうてない時期に、入浴後自分の身支度をするために浴槽のふたをしてその上に子供をおいていたら、頭から転落。生後数ヶ月だったことと、頭から落下したので念のため受診し、頭部のレントゲンを撮ったが、異常はなかった。
18,浴槽ふた,溺水,女０歳,子供２人を同時に風呂に入れていてほんのちょっとだけ風呂のふたの上に下の子を乗せたら風呂のふたがちょっとずれて風呂の中に落ちた。
19,浴槽ふた,転落・転倒,男３歳,乗っかって遊んでいて、ふたごと湯船に落ちた。軽く頭をぶつけたくらいで、大事には至らなかった。
20,浴槽ふた,溺水,男３歳,私が洗っている間に浴槽のふたに乗って遊んでいた。それが滑って落ちて溺れそうになった。
21,浴槽ふた,はさんだ,男３歳,ふたを浴槽の横に立てかけておいたら倒れて手を挟んだ。
22,浴槽ふた,溺水,男５歳,子供が浴槽ふたを半分設置したままお風呂に入っており、潜って遊んでいたところ、頭がつっかえて溺れそうになった。
23,石鹸,転落・転倒,男１歳,床が石鹸で滑りやすくなっており、滑って転んで頭をうった。泣いたが特に傷もできず、安静にしていた。
24,石鹸,誤飲,男１歳,シャンプーをしていたら、子供がそのすきに石鹸をかんで食べていた。少量の誤飲だったので大事に至らなかった。
25,石鹸,転落・転倒,女３歳,母親と入浴中、石鹸にて身体を洗っていた際にふざけていて足を滑らせ床に転倒、臀部を強打した。
26,カミソリ,切った,男２歳,私の父がお風呂場にカミソリを置いていたら、目を離した隙に子供が髭を剃る真似をして口と鼻の間から出血していた。
27,カミソリ,切った,女３歳,いつもは届かないところに置いてあるはずのカミソリをうっかり置きっぱなしにしてしまい、子供がカミソリで遊んでいた。
28,水栓,転落・転倒,男０歳,つかまり立ちが盛んな時期、低い位置にある水栓につかまり立ちをしていた。シャワーの水栓をひねってしまい、水が出てきたのに驚いて転倒したが手をついたのでけがをしないで済んだ。
29,水栓,転落・転倒,男０歳,子供がハイハイできる頃、お風呂用の椅子を嫌がるため、椅子に座らせずに身体を洗おうとしていた。ハイハイするとちょうど頭の位置に蛇口があるし、つかまり立ちして手を滑らせて体が倒れると、蛇口に頭や体をぶつけそうになるので危ないと思った。
30,水栓,転落・転倒,男０歳,私の髪の毛をすすいでいる時に立っちが出来始めた息子が転倒し蛇口に顔を強打。左目のまぶたが赤くなりだんだん左目の周辺、特にまぶた周辺は青黒い痣に。左目も腫れてしまい翌朝眼科を受診した。
31,水栓,ぶつけた,男０歳,お風呂から上がるとき、蛇口の先が目に当たりそうになった。旦那が子供をお風呂から上げるとき、「あっ」と気付いて指摘しようとしたが遅かった。幸い蛇口に当たらなかった。それからは、蛇口は常に浴槽の奥に引っ込めるのを確認するようになった。
32,水栓,やけど,男１歳,湯船のお湯がぬるくなってきたので湯船の温度を上げようと蛇口から熱湯を出していると、子供が触って手が赤くなった。
33,水栓,やけど,女２歳,お湯（水と熱湯を混ぜるタイプ）を出していた時に、熱湯側のパイプを触って火傷しかかった。
34,扉,はさんだ,男０歳,洗面所からお風呂場へハイハイで進入しようとしていた弟０歳を見て、姉３歳がそれを止めようとお風呂場の扉を思いっきり閉めた。見事に弟の手の指が挟まった。けがは内出血で済んだ。
35,扉,転落・転倒,男４歳,お風呂から出るとき、扉につかまって出た。その時、足が濡れていて滑ってしまい、自分の足を挟んだまま扉を閉めてしまった。赤くなって痛かったようだが、ひどいけがではなく、痛みもすぐに引いた。
36,シャンプー,誤飲,男１歳,私がシャンプーをしていて目を離したとき、子供がシャンプーのボトルをもってなめていた。口に入ったかどうかはわからなかったので様子を見て結局病院には行かなかった。
37,シャンプー,転落・転倒,女１歳,子供と一緒にお風呂に入っていて、自分が髪を洗っている間に子供がシャンプーボトルのポンプを押して遊んでいた。床にシャンプーが広がり、滑りやすくなっていたためか、子供が転倒。けがは無かったが勢いよく頭を打ったのでヒヤリとした。
38,シャンプー,皮膚障害等,女１歳,シャンプーで頭を洗うときに子供がじぶんで頭をさわって泡が付き、その手で顔をこすった為、眼にシャンプーが入り痛がっていた。
39,シャワー,やけど,女０歳,混合栓タイプのシャワーを使用中、カランとシャワーの切り替えレバーにシャワーホースが当たり少しレバーがズレた。それが原因で（水圧の問題なのか）水がカランから出て、シャワーからは熱湯が出た。それを浴びてしまい背中に軽い火傷をおった。
40,シャワー,ぶつけた,男２歳,シャワーの水量が強すぎてシャワーヘッドが落下し、子供の頭にぶつかりそうになった。
41,シャワー,転落・転倒,男３歳,シャワーのホースに足を引っ掻けてしまって、転んで顔を打ち、唇が切れた。血が止まらないので病院へ。歯が曲がってしまったため後日歯医者へ行った。
42,浮き輪,溺水,男０歳,生後１０か月くらいで立てるようになったので、浮き輪（対象年齢３歳くらいのもの）をつけて湯船に入れて立たせていたら、シャンプーをしている隙に浮き輪から体が抜けて溺れかけた。
43,浮き輪,溺水,女１歳,浴槽の中で浮き輪を使っている時に子供が留め具を外していて浮き輪が外れ溺れそうになった。
44,入浴剤,溺水,女２歳,入浴剤で滑りやすくなっていて湯船の中で足を滑らせ溺れそうになった。すぐ救い出したので大丈夫だった。
45,入浴剤,誤飲,男３歳,子供と一緒に入浴した際に、自分が頭を洗っている間に、湯船に浮かんでいたグレープフルーツの香りのバスビーズを口に入れてしまった。すぐに吐き出させ、うがいをさせ水を多く飲ませた。しばらく様子を見たが、具合が悪くならなかったので病院には連れていかなかった。
46,入浴剤,皮膚障害等,男４歳,入浴剤のソフトカプセルを握って、中の薬剤が勢いよく飛び出し、目や口の中に入った。水で洗い流して終わったが、入った直後は痛くて泣いていた。
47,湯おけ,転落・転倒,女２歳,床に置いてあった洗面器に入ろうとして足を入れたら滑って後ろに転んでお尻をぶった。
48,お風呂掃除用品,誤飲,女１歳,子供が勝手に1人でお風呂場に行き、レモンのイラストが描いてある風呂用洗剤をジュースと間違ってゴクゴク飲んでいた。ケミカルなものは使っていなかったものの、急いで大量の水を飲ませ大事には至らなかった。
49,お風呂掃除用品,皮膚障害,女４歳,子供が入浴剤と間違えてお風呂に入れ、その中に入浴してしまい、肌がかぶれて病院に行った。
50,ベビーバス,溺水,男０歳,ベビーバスで洗っている時にうつ伏せにしたら口が水についていた。水を飲んでしまったようで苦しそうに咳き込んでいた。
