政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
九項・ロ・公衆浴場,1,0,0,1,0,3,0,0,1,2,3,0,0,3,6,0,20708,0,0
十項・停車場,17,0,0,0,17,17,0,0,0,17,0,0,0,0,0,0,102807,0,0
十一項・寺院,1,1,0,0,0,9,9,0,0,0,1,1,0,0,3,1012,615505072,0,0
十一項・その他（１１項）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,14800,0,0
十二項・イ・工場,20,2,0,0,18,39,5,1,9,24,19,0,2,17,40,2228,528927891,0,5
十二項・イ・作業場,41,9,3,6,23,76,15,5,19,37,29,3,1,25,60,3491,430956366,0,10
十二項・ロ・映画スタジオ,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,192500,0,0
十三項・イ・車庫,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6900,0,0
十三項・イ・駐車場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5373000,0,0
十四項・倉庫,13,1,4,2,6,23,1,5,4,13,7,0,0,7,18,376,463855220,0,1
十五項・変電所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7300,0,0
十五項・取引所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1200,0,0
十五項・官公署,12,0,0,1,11,12,0,0,1,11,0,0,0,0,0,0,2068010,0,1
十五項・銀行,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,10000,0,0
十五項・事務所,42,2,0,2,38,47,2,0,5,40,4,0,0,4,6,83,23221364,1,1
十五項・研究所,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,13949900,0,0
十五項・その他の事業所,60,1,0,0,59,61,1,0,1,59,0,0,0,0,0,25,70860896,0,3
十六項・イ・特定複合用途,788,2,2,67,717,808,2,3,78,725,225,10,17,198,424,1052,551604673,11,111
十六項・ロ・非特定複合用途,296,2,9,61,224,333,2,9,72,250,358,45,39,274,560,1903,516012100,15,98
十六の二項・地下街（指定地下街）,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,186500,0,1
政令用途以外から出火,534,53,51,73,357,751,69,61,151,470,802,71,62,669,1879,8573,1441578757,36,199
住宅,499,43,50,64,342,704,56,60,138,450,743,68,61,614,1695,8096,1402706915,36,192
附属建物等,22,9,1,3,9,33,12,1,7,13,57,3,1,53,176,417,32119550,0,2
空家,4,1,0,2,1,5,1,0,2,2,2,0,0,2,8,53,4953700,0,2
工事中の建物,9,0,0,4,5,9,0,0,4,5,0,0,0,0,0,7,1798592,0,3
