年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成23,2011,2,52,戸籍届出の委託確認,Confirmation of trust of registration statement　, -, -, -, -, -, -, -, -, -
平成23,2011,2,53,性別の取扱いの変更,Change of registered gender,135,7,128,127,124, -,3, -,8
平成23,2011,2,54,児童福祉法第28条の事件,Cases under Art. 28， Child Welfare Law,60,18,42,42,36, -,6, -,18
平成23,2011,2,55,生活保護法第30条第3項の事件,Cases under Par. 3， Art. 30， Livelihood Protection Law, - , -, -, -, -, -, -, -, -
平成23,2011,2,56,精神保健法第20条第2項の事件,Cases under Par. 2， Art. 20， Mental Health Law,4488,38,4450,4452,4407, -,37,8,36
平成23,2011,2,57,破産法の事件,Cases under Bankruptcy Law, -, -, -, -, -, -, -, -, -
平成23,2011,2,58,中小企業における経営の承継の円滑化に関する法律8条1項の事件,The incident of 8 articles of law 1st clause about facilitation of succession of the management in small and medium-sized enterprises ,6,1,5,5,5, -, -, -,1
平成23,2011,2,2,家事審判法第９条乙類によるもの,Cases under any item of Class B， Art. 9， Law for Adjustment of Domestic Relations,2838,913,1925,1901,964,204,372,361,937
平成23,2011,2,1,夫婦の同居その他の夫婦間の協力扶助に関する処分,Decision made on living together，cooperation，support and other matters between husband and wife,9,6,3,8, -,3,3,2,1
平成23,2011,2,2,財産管理者の変更及び共有財産の分割に関する処分,Decision on change of manager of property and division of common property, -, -, -, -, -, -, -, -, -
平成23,2011,2,3,婚姻から生ずる費用の分担に関する処分,Decision made on allotment of expenses of marriage,471,134,337,333,185,26,47,75,138
平成23,2011,2,4,子の監護者の指定その他の監護に関する処分,Decision made on appointment of children's overseers and other oversight　,1026,337,689,695,255,96,198,146,331
平成23,2011,2,5,財産の分与に関する処分,Decision made on division and donation of property,106,53,53,45,13,10,12,10,61
平成23,2011,2,6,権利の承継者の指定,Appointment of successor of right ,29,14,15,19,12,2,4,1,10
平成23,2011,2,7,離縁後に親権者になるべき者の指定,Appointment of person in parental authority after divorcement ,1, -,1, -, -, -, -, -,1
平成23,2011,2,8,親権者の指定又は変更,Appointment or change of person in parental authority ,319,82,237,236,134,24,37,41,83
平成23,2011,2,9,扶養に関する処分　　　　　　　　　　　　　　,Decision made on supporting ,131,15,116,108,94,6,5,3,23
平成23,2011,2,10,推定相続人の廃除及びその取消,Exclusion and cancellation of heir apparent ,63,36,27,40,4,19,15,2,23
平成23,2011,2,11,寄与分を定める処分,Disposition in regard to contributing share,92,43,49,30,3,11,8,8,62
平成23,2011,2,12,遺産の分割に関する処分,Decision made on division of inheritance ,360,161,199,185,85,6,32,62,175
平成23,2011,2,13,生活保護法第77条第2項の事件,Cases under Par. 2， Art. 77 of Livelihood Protection Law, -, -, -, -, -, -, -, -, -
平成23,2011,2,14,破産法の事件,Cases under Bankruptcy Law, -, -, -, -, -, -, -, -, -
平成23,2011,2,15,請求すべき按分割合に関する処分,Decision on division of pension claims,231,32,199,202,179,1,11,11,29
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2010 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-5  家事審判事件の種類別件数 （平成22， 23年） 20-5  CASES OF ADJUDICATION OF DOMESTIC RELATIONS BY KIND ( 2010 and 2011 ),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
