年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成23,2011,2,13205,青梅市,Ome-shi,139410,131204,2313,2039,131204,2313,2039,-,-,94,,,
平成23,2011,2,13206,府中市,Fuchu-shi,251349,251349,2725,2725,251349,2725,2725,1,1,100,,,
平成23,2011,2,13207,昭島市,Akishima-shi,113510,113428,1507,1378,113428,1507,1378,-1,1,100,,,
平成23,2011,2,13208,調布市,Chofu-shi,222518,222518,2037,1955,222518,2037,1955,-,-,100,,,
平成23,2011,2,13209,町田市,Machida-shi,425299,412984,5419,4782,412984,5419,4782,-,2,97,,,
平成23,2011,2,13210,小金井市,Koganei-shi,115971,115971,1133,1133,115971,1133,1133,-,-,100,,,
平成23,2011,2,13211,小平市,Kodaira-shi,184707,184707,2046,2046,184707,2046,2046,-,-,100,,,
平成23,2011,2,13212,日野市,Hino-shi,178359,166771,2397,2206,166771,2397,2206,1,1,94,,,
平成23,2011,2,13213,東村山市,Higashimurayama-shi,152972,152972,1696,1696,152972,1696,1696,-,-,100,,,
平成23,2011,2,13214,国分寺市,Kokubunji-shi,117207,116271,1148,1138,116271,1148,1138,-,-,99,,,
平成23,2011,2,13215,国立市,Kunitachi-shi,74265,74265,796,783,74265,792,792,1,1,100,,,
平成23,2011,2,13218,福生市,Fussa-shi,59421,59421,1000,653,59421,1000,653,-,-,100,,,
平成23,2011,2,13219,狛江市,Komae-shi,76982,76982,582,582,76982,582,582,-,-,100,,,
平成23,2011,2,13220,東大和市,Higashiyamato-shi,84609,84562,1009,980,84562,1009,980,-,-,100,,,
平成23,2011,2,13221,清瀬市,Kiyose-shi,74062,74024,1019,863,74024,1019,863,1,1,100,,,
平成23,2011,2,13222,東久留米市,Higashikurume-shi,115998,115998,1292,1292,115998,1292,1292,-,-,100,,,
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,71896,71891,1290,1159,71891,1290,1159,-,-,100,,,
平成23,2011,2,13224,多摩市,Tama-shi,146230,146214,2019,2014,146214,2019,2014,-,-,100,,,
平成23,2011,2,13225,稲城市,Inagi-shi,85587,83735,1747,970,83735,1747,970,1,1,98,,,
平成23,2011,2,13227,羽村市,Hamura-shi,57495,57495,905,905,57495,905,822,-,-,100,,,
平成23,2011,2,13228,あきる野市,Akiruno-shi,82008,74623,1645,1313,74551,1645,1245,-,-,91,,,
平成23,2011,2,13229,西東京市,Nishitokyo-shi,197729,197723,1585,1585,197723,1585,1585,-,-,100,,,
平成23,2011,1,13300,郡部,All gun,59398,53987,1748,1460,53987,1748,1460,-,1,91,,,
平成23,2011,2,13303,瑞穂町,Mizuho-machi,34041,33182,830,735,33182,830,735,-,-,97,,,
平成23,2011,2,13305,日の出町,Hinode-machi,16800,16796,700,530,16796,700,530,-,-,100,,,
平成23,2011,2,13307,檜原村,Hinohara-mura,2594,1893,95,82,1893,95,82,-,-,73,,,
平成23,2011,2,13308,奥多摩町,Okutama-machi,5963,2116,123,113,2116,123,113,-,1,35,,,
平成23,2011,1,13350,島部,All island,2972,1725,87,67,1725,87,67,-,1,58,,,
,,,,,,,,,,,,,,,,,,
6-8  地域別下水道の普及状況 （平成21～23年度末） ,,,,,,,,,,,,,,,,,,
6-8 SEWERAGE SERVICE BY DISTRICT (End of Fiscal Years 2009～2011) ,,,,,,,,,,,,,,,,,,
　注． 1) 総人口は， 住民基本台帳人口＋外国人登録人口である。 ,,,,,,,,,,,,,,,,,,
　 　　 2) 終末処理場の （　） 内の数値は流域下水道にかかるものであり， 内数である。 ,,,,,,,,,,,,,,,,,,
　Note. 1) Total population refers to population listed in the residents basic register and registered foreigners.,,,,,,,,,,,,,,,,,,
　2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number ,,,,,,,,,,,,,,,,,,
　　　　　　 (figures on the right). ,,,,,,,,,,,,,,,,,,
　資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 ,,,,,,,,,,,,,,,,,,
　Source : Bureau of Sewerage， T.M.G.， Bureau of Urban Development， T.M.G.,,,,,,,,,,,,,,,,,, 
