年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成23,2011,2,13119,板橋区,Itabashi-ku,110960,19217,593,11433,377,798,14,2536,41
平成23,2011,2,13120,練馬区,Nerima-ku,140186,24764,665,16529,428,1221,21,3034,54
平成23,2011,2,13121,足立区,Adachi-ku,148642,24852,801,16074,495,1221,17,3092,57
平成23,2011,2,13122,葛飾区,Katsushika-ku,99151,15206,519,10237,349,641,12,2200,49
平成23,2011,2,13123,江戸川区,Edogawa-ku,124800,17058,697,11427,484,886,21,2261,50
平成23,2011,1,13200,市部,All shi,849487,136302,4418,83246,2884,5819,111,22173,369
平成23,2011,2,13201,八王子市,Hachioji-shi,118341,19626,645,11713,414,764,19,2906,52
平成23,2011,2,13202,立川市,Tachikawa-shi,36826,5870,211,3681,148,355,2,987,15
平成23,2011,2,13203,武蔵野市,Musashino-shi,28201,5467,136,3453,94,225,4,897,12
平成23,2011,2,13204,三鷹市,Mitaka-shi,34782,6234,177,4041,127,340,1,884,15
平成23,2011,2,13205,青梅市,Ome-shi,29429,3988,163,1984,94,176,4,920,17
平成23,2011,2,13206,府中市,Fuchu-shi,47056,7921,272,4719,178,309,6,1164,9
平成23,2011,2,13207,昭島市,Akishima-shi,23570,3979,141,2313,86,162,8,760,16
平成23,2011,2,13208,調布市,Chofu-shi,43099,7636,204,4789,142,281,3,1053,16
平成23,2011,2,13209,町田市,Machida-shi,93234,14561,501,8839,326,837,16,2444,46
平成23,2011,2,13210,小金井市,Koganei-shi,21992,4002,113,2514,75,218,2,543,11
平成23,2011,2,13211,小平市,Kodaira-shi,37647,5920,176,3586,108,301,8,962,15
平成23,2011,2,13212,日野市,Hino-shi,38205,6389,183,4075,108,197,10,997,10
平成23,2011,2,13213,東村山市,Higashimurayama-shi,33411,5882,202,3445,136,156,7,1111,18
平成23,2011,2,13214,国分寺市,Kokubunji-shi,23080,3733,101,2398,67,179,5,538,5
平成23,2011,2,13215,国立市,Kunitachi-shi,14672,2576,98,1566,64,168,1,437,6
平成23,2011,2,13218,福生市,Fussa-shi,12041,1685,60,974,42,21,-,405,6
平成23,2011,2,13219,狛江市,Komae-shi,17234,2918,78,1900,46,85,1,385,5
平成23,2011,2,13220,東大和市,Higashiyamato-shi,18783,2612,102,1519,72,86,3,458,11
平成23,2011,2,13221,清瀬市,Kiyose-shi,17876,3022,92,1861,58,82,1,501,12
平成23,2011,2,13222,東久留米市,Higashikurume-shi,27613,3840,133,2441,87,124,1,615,10
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,15128,1891,71,1132,50,84,-,393,7
平成23,2011,2,13224,多摩市,Tama-shi,31580,3826,153,2421,109,153,3,609,11
平成23,2011,2,13225,稲城市,Inagi-shi,14562,1938,84,1237,58,108,2,320,5
平成23,2011,2,13227,羽村市,Hamura-shi,11293,1433,54,726,37,41,-,287,7
平成23,2011,2,13228,あきる野市,Akiruno-shi,18748,2201,76,1196,47,26,-,605,11
平成23,2011,2,13229,西東京市  ,Nishitokyo-shi,41084,7152,192,4723,111,341,4,992,21
平成23,2011,1,13300,郡部,All gun,14199,2069,99,1066,60,54,2,598,10
平成23,2011,1,13350,島部,All island,8393,1586,46,880,20,66,1,380,6
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成21～23年度） 18-9  PERSONS INSURANCE， APPROVAL， RECIPIENT ( Fiscal Years 2009-2011 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」Source : Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
