年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成23,2011,2,13215,15,国立市,Kunitachi-shi,※,75152,4,8937,75152,-,-,-,75152,-,-,-,-,-,4,8937,-,100
平成23,2011,2,13218,16,福生市,Fussa-shi,※,59068,1,-,59068,-,-,-,59068,-,-,-,-,-,1,-,-,100
平成23,2011,2,13219,17,狛江市,Komae-shi,※,78591,-,-,78591,-,-,-,78591,-,-,-,-,-,-,-,-,100
平成23,2011,2,13220,18,東大和市,Higashiyamato-shi,※,83749,-,-,83749,-,-,-,83749,-,-,-,-,-,-,-,-,100
平成23,2011,2,13221,19,清瀬市,Kiyose-shi,※,74111,5,3705,74111,-,-,-,74111,-,-,-,-,-,5,3705,-,100
平成23,2011,2,13222,20,東久留米市,Higashikurume-shi,※,115759,2,2000,115759,-,-,-,115233,-,-,-,-,-,2,2000,526,100
平成23,2011,2,13223,21,武蔵村山市,Musashimurayama-shi,※,70338,2,1059,70338,-,-,-,70158,-,-,-,-,-,2,1059,180,100
平成23,2011,2,13224,22,多摩市,Tama-shi,※,146286,3,1600,146286,-,-,-,145045,-,-,-,-,-,3,1600,1241,100
平成23,2011,2,13225,23,稲城市,Inagi-shi,※,85980,-,-,85980,-,-,-,85980,-,-,-,-,-,-,-,-,100
平成23,2011,2,13227,24,羽村市,Hamura-shi,,57495,1,60000,57379,6831,1,60000,57379,6831,-,-,-,-,-,-,-,99.8
平成23,2011,2,13228,25,あきる野市,Akiruno-shi,※,81024,2,-,81024,-,-,-,81024,-,-,-,-,-,2,-,-,100
平成23,2011,2,13229,26,西東京市,Nishitokyo-shi,※,198935,2,7995,198935,-,-,-,198344,-,-,-,-,-,2,7995,591,100
平成23,2011,1,13300,,郡部,All gun,,58571,4,3400,58377,337,-,-,55905,-,1,3400,2472,337,3,-,-,99.67
平成23,2011,2,13303,1,瑞穂町,Mizuho-machi,※,33261,1,-,33261,-,-,-,33261,-,-,-,-,-,1,-,-,100
平成23,2011,2,13305,2,日の出町,Hinode-machi,※,16947,-,-,16947,-,-,-,16947,-,-,-,-,-,-,-,-,100
平成23,2011,2,13307,3,檜原村,Hinohara-mura,,2594,2,3400,2472,337,-,-,-,-,1,3400,2472,337,1,-,-,95.3
平成23,2011,2,13308,4,奥多摩町,Okutama-machi,※,5769,1,-,5697,-,-,-,5697,-,-,-,-,-,1,-,-,98.75
平成23,2011,1,13350,,島部,All islands,,27591,14,36000,27474,4895,2,15750,12221,2378,12,20250,15253,2517,-,-,-,99.58
平成23,2011,2,13361,1,大島町,Oshima-machi,,8389,2,10650,8380,1381,1,6450,5724,953,1,4200,2656,428,-,-,-,99.89
平成23,2011,2,13362,2,利島村,Toshima-mura,,307,1,350,307,38,-,-,-,-,1,350,307,38,-,-,-,100
平成23,2011,2,13363,3,新島村,Niijima-mura,,2972,3,3100,2934,404,-,-,-,-,3,3100,2934,404,-,-,-,98.72
平成23,2011,2,13364,4,神津島村,Kozushima-mura,,1947,1,2150,1943,338,-,-,-,-,1,2150,1943,338,-,-,-,99.79
平成23,2011,2,13381,5,三宅村,Miyake-mura,,2746,1,3920,2746,509,-,-,-,-,1,3920,2746,509,-,-,-,100
平成23,2011,2,13382,6,御蔵島村,Mikurajima-mura,,305,1,500,305,63,-,-,-,-,1,500,305,63,-,-,-,100
平成23,2011,2,13401,7,八丈町,Hachijo-machi,,8202,2,11930,8154,1826,1,9300,6497,1425,1,2630,1657,401,-,-,-,99.41
平成23,2011,2,13402,8,青ヶ島村,Aogashima-mura,,173,1,300,173,32,-,-,-,-,1,300,173,32,-,-,-,100
平成23,2011,2,13421,9,小笠原村,Ogasawara-mura,,2550,2,3100,2532,304,-,-,-,-,2,3100,2532,304,-,-,-,99.29
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　6  電気・上下水道 ６  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-４  地域別水道の普及状況（平成19～平成23年度末） 6-４  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2007-2011),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
