年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成23,2011,2,13106,6,台東区,Taito-ku,202,313,292,245,34,211,3,415,72,176,165,2,36,12,-,24,40
平成23,2011,2,13107,7,墨田区,Sumida-ku,240,394,321,62,39,23,2,54,20,22,12,-,18,6,1,11,51
平成23,2011,2,13108,8,江東区,Koto-ku,275,460,390,69,29,40,5,55,21,25,9,-,49,21,3,25,108
平成23,2011,2,13109,9,品川区,Shinagawa-ku,227,518,407,71,33,38,8,72,47,21,4,-,15,4,1,10,70
平成23,2011,2,13110,10,目黒区,Meguro-ku,153,573,268,41,19,22,1,20,8,10,2,-,15,1,-,14,54
平成23,2011,2,13111,11,大田区,Ota-ku,444,801,573,115,52,63,23,94,6,73,15,-,16,9,1,6,122
平成23,2011,2,13112,12,世田谷区,Setagaya-ku,432,1330,673,102,39,63,10,17,2,12,1,2,28,4,6,18,163
平成23,2011,2,13113,13,渋谷区,Shibuya-ku,183,1632,263,107,15,92,1,119,59,53,6,1,77,28,3,46,58
平成23,2011,2,13114,14,中野区,Nakano-ku,224,467,324,65,28,37,-,10,5,3,2,-,12,1,-,11,55
平成23,2011,2,13115,15,杉並区,Suginami-ku,312,717,433,53,29,24,3,16,5,9,2,-,14,1,-,13,97
平成23,2011,2,13116,16,豊島区,Toshima-ku,234,625,289,94,32,62,1,182,22,140,20,-,40,18,-,22,55
平成23,2011,2,13117,17,北区,Kita-ku,273,427,302,64,36,28,-,31,12,12,7,-,17,2,2,13,78
平成23,2011,2,13118,18,荒川区,Arakawa-ku,164,272,199,41,32,9,2,59,8,11,40,-,7,-,-,7,44
平成23,2011,2,13119,19,板橋区,Itabashi-ku,363,624,441,77,40,37,4,20,1,15,3,1,5,2,-,3,115
平成23,2011,2,13120,20,練馬区,Nerima-ku,420,790,492,93,33,60,2,7,4,3,-,-,11,3,-,8,153
平成23,2011,2,13121,21,足立区,Adachi-ku,527,870,608,61,46,15,2,46,4,39,3,-,17,11,-,6,142
平成23,2011,2,13122,22,葛飾区,Katsushika-ku,381,617,467,73,45,28,1,24,15,4,5,-,3,1,-,2,95
平成23,2011,2,13123,23,江戸川区,Edogawa-ku,482,782,527,76,52,24,5,42,4,35,3,-,10,1,1,8,141
平成23,2011,1,13200,,市部,All shi,2316,4504,2612,385,67,318,53,340,127,164,49,-,169,74,11,84,829
平成23,2011,2,13201,1,八王子市,Hachioji-shi,321,637,351,40,4,36,13,68,25,37,6,-,24,13,3,8,23
平成23,2011,2,13202,2,立川市,Tachikawa-shi,112,257,134,21,4,17,-,41,15,23,3,-,16,11,1,4,62
平成23,2011,2,13203,3,武蔵野市,Musashino-shi,105,329,112,19,6,13,-,12,5,6,1,-,17,8,-,9,37
平成23,2011,2,13204,4,三鷹市,Mitaka-shi,92,153,103,18,5,13,4,3,2,1,-,-,3,-,-,3,37
平成23,2011,2,13205,5,青梅市,Ome-shi,108,150,87,22,-,22,7,47,2,24,21,-,1,-,-,1,43
平成23,2011,2,13206,6,府中市,Fuchu-shi,138,231,171,28,5,23,2,20,14,6,-,-,18,9,3,6,58
平成23,2011,2,13207,7,昭島市,Akishima-shi,76,139,75,10,3,7,1,12,7,5,-,-,4,2,-,2,31
平成23,2011,2,13208,8,調布市,Chofu-shi,112,236,148,21,6,15,6,9,5,3,1,-,7,-,3,4,47
平成23,2011,2,13209,9,町田市,Machida-shi,203,452,243,33,3,30,4,29,22,6,1,-,13,10,-,3,17
平成23,2011,2,13210,10,小金井市,Koganei-shi,60,105,72,5,1,4,-,2,-,2,-,-,2,-,-,2,30
平成23,2011,2,13211,11,小平市,Kodaira-shi,116,161,113,14,2,12,2,5,1,4,-,-,3,-,-,3,42
平成23,2011,2,13212,12,日野市,Hino-shi,86,166,91,6,-,6,3,2,1,1,-,-,2,-,-,2,41
平成23,2011,2,13213,13,東村山市,Higashimurayama-shi,87,168,108,8,2,6,-,11,6,5,-,-,1,-,-,1,33
平成23,2011,2,13214,14,国分寺市,Kokubunji-shi,47,123,74,12,3,9,-,7,5,2,-,-,1,-,-,1,23
平成23,2011,2,13215,15,国立市,Kunitachi-shi,47,101,51,10,2,8,1,6,5,1,-,-,1,-,-,1,22
平成23,2011,2,13218,16,福生市,Fussa-shi,46,103,40,3,-,3,-,5,1,3,1,-,1,-,-,1,15
平成23,2011,2,13219,17,狛江市,Komae-shi,46,72,52,6,4,2,-,1,-,1,-,-,2,-,-,2,18
平成23,2011,2,13220,18,東大和市,Higashiyamato-shi,60,93,64,10,2,8,-,5,-,5,-,-,2,-,-,2,20
平成23,2011,2,13221,19,清瀬市,Kiyose-shi,44,80,47,5,4,1,-,0,-,-,-,-,1,-,-,1,24
平成23,2011,2,13222,20,東久留米市,Higashikurume-shi,52,100,74,12,2,10,-,2,-,2,-,-,1,-,-,1,32
平成23,2011,2,13223,21,武蔵村山市,Musashimurayama-shi,35,67,43,6,1,5,2,4,-,4,-,-,14,12,-,2,24
平成23,2011,2,13224,22,多摩市,Tama-shi,60,124,86,30,1,29,1,9,5,4,-,-,20,9,-,11,40
平成23,2011,2,13225,23,稲城市,Inagi-shi,38,54,51,11,2,9,1,1,1,-,-,-,2,-,-,2,23
平成23,2011,2,13227,24,羽村市,Hamura-shi,48,94,36,6,-,6,4,4,3,1,-,-,3,-,-,3,15
平成23,2011,2,13228,25,あきる野市,Akiruno-shi,62,86,40,10,-,10,2,31,-,16,15,-,4,-,-,4,29
平成23,2011,2,13229,26,西東京市,Nishitokyo-shi,115,223,146,19,5,14,-,4,2,2,-,-,6,-,1,5,43
平成23,2011,1,13300,,郡部,All gun,45,58,34,21,-,21,47,87,7,28,52,-,10,9,-,1,20
平成23,2011,1,13500,,島部,All islands,37,58,13,27,-,27,40,624,5,116,503,-,1,-,-,1,40
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成19～平成23年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2007-2011 )   ,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,
