年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神科病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成22,2010,2,13119,板橋区,Itabashi-ku,9556,2028,12,20,1932,5564,2827064,90137,3244937
平成22,2010,2,13120,練馬区,Nerima-ku,3252,1343,-,-,559,1350,1019966,32638,1168676
平成22,2010,2,13121,足立区,Adachi-ku,6132,1233,-,-,1044,3855,1780762,49045,1936243
平成22,2010,2,13122,葛飾区,Katsushika-ku,2476,217,36,5,373,1845,732616,37826,1278790
平成22,2010,2,13123,江戸川区,Edogawa-ku,2593,42,50,-,624,1877,741984,38592,1311651
平成22,2010,1,13200,市部,All shi,48333,16328,341,44,9332,22288,14578953,377119,12462252
平成22,2010,2,13201,八王子市,Hachioji-shi,9198,4224,34,8,2019,2913,2889092,54163,1728024
平成22,2010,2,13202,立川市,Tachikawa-shi,1641,63,-,6,186,1386,512031,29419,709023
平成22,2010,2,13203,武蔵野市,Musashino-shi,1259,-,-,20,143,1096,384616,24233,682821
平成22,2010,2,13204,三鷹市,Mitaka-shi,2895,1158,-,-,293,1444,892869,29376,977490
平成22,2010,2,13205,青梅市,Ome-shi,4679,2533,-,4,1430,712,1524246,17744,610702
平成22,2010,2,13206,府中市,Fuchu-shi,3644,958,60,-,221,2405,957213,40285,891302
平成22,2010,2,13207,昭島市,Akishima-shi,979,-,-,-,248,731,260472,10563,476062
平成22,2010,2,13208,調布市,Chofu-shi,1622,842,-,-,279,501,476545,6770,400923
平成22,2010,2,13209,町田市,Machida-shi,4000,1600,-,-,874,1526,1269902,22998,846774
平成22,2010,2,13210,小金井市,Koganei-shi,922,510,-,-,164,248,305262,3542,176421
平成22,2010,2,13211,小平市,Kodaira-shi,2780,1215,-,6,421,1138,698698,17356,591718
平成22,2010,2,13212,日野市,Hino-shi,1028,238,-,-,342,448,326961,8012,306267
平成22,2010,2,13213,東村山市,Higashimurayama-shi,2787,710,8,-,418,1651,749644,12785,512501
平成22,2010,2,13214,国分寺市,Kokubunji-shi,422,-,-,-,298,124,104422,1585,62069
平成22,2010,2,13215,国立市,Kunitachi-shi,64,-,-,-,8,56,18752,1590,85495
平成22,2010,2,13218,福生市,Fussa-shi,666,-,-,-,96,570,185133,8759,278476
平成22,2010,2,13219,狛江市,Komae-shi,721,20,31,-,136,534,210495,10791,411101
平成22,2010,2,13220,東大和市,Higashiyamato-shi,402,-,-,-,-,402,129334,8144,183369
平成22,2010,2,13221,清瀬市,Kiyose-shi,2204,255,208,-,670,1071,687596,18178,593391
平成22,2010,2,13222,東久留米市,Higashikurume-shi,274,183,-,-,-,91,85727,2056,138781
平成22,2010,2,13223,武蔵村山市,Musashimurayama-shi,886,-,-,-,216,670,263874,9120,301004
平成22,2010,2,13224,多摩市,Tama-shi,2370,974,-,-,202,1194,732497,17182,572911
平成22,2010,2,13225,稲城市,Inagi-shi,948,399,-,-,259,290,317948,7507,167422
平成22,2010,2,13227,羽村市,Hamura-shi,246,-,-,-,246,-,86520,478,20316
平成22,2010,2,13228,あきる野市,Akiruno-shi,590,120,-,-,100,370,166130,4412,203196
平成22,2010,2,13229,西東京市,Nishitokyo-shi,1106,326,-,-,63,717,342974,10071,534693
平成22,2010,1,13300,郡部,All gun,587,60,-,-,425,102,196351,1530,44703
平成22,2010,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,42756,220,8014
平成22,2010,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,144492,876,22778
平成22,2010,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成22,2010,2,13308,奥多摩町,Okutama-machi,46,-,-,-,-,46,9103,434,13911
平成22,2010,1,13350,島部,All islands,54,-,-,2,-,52,9993,685,51200
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成18～平成22年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2006-2010 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
