事業階層,事業,Program,施設総数 Total facilities,公立 Public／施設数 Facilities,公立 Public／定員 Capacity,公立 Public／在所者数 Service users,私立 Private／施設数 Facilities,私立 Private／定員 Capacity,私立 Private／在所者数 Service users
2,身体障害者通所授産施設 a),VTF for the physically disabled (Only commuting)  a),10,3,70,45,7,155,178
2,身体障害者小規模通所授産施設 a),VTF for the physically disabled (Only commuting)  a),14,-,-,-,14,266,288
2,身体障害者福祉工場,Facilities for the physically disabled,3,3,150,81,-,-,-
1,旧法指定による知的障害者援護施設,Institutions for protection for the intellectually disabled under the former law,110,46,1993,1832,64,2482,2529
2,知的障害者入所更生施設,Rehabilitation for the intellectually disabled (inmates),13,-,-,-,13,717,713
2,知的障害者通所更生施設,Rehabilitation for the intellectually disabled (attending),22,16,769,741,6,170,172
2,知的障害者入所授産施設,Vocational aid for the intellectually disabled (inmates),1,-,-,-,1,55,55
2,知的障害者通所授産施設,Vocational aid for the intellectually disabled (attending),58,24,1039,926,34,1354,1409
2,知的障害者小規模通所授産施設  a),VTF for the physically disabled (Only commuting)  a),10,-,-,-,10,186,180
2,知的障害者通勤寮,Commuting dormitories for intellectually disabled,6,6,185,165,-,-,-
2,知的障害者福祉工場,Welfare factories for the intellectually disabled,-,-,-,-,-,-,-
1,旧法指定による精神障害者社会復帰施設,Social rehabilitation facilities for mentally disordered persons under the former law,35,3,107,76,32,649,735
2,精神障害者生活訓練施設,Living training facilities for mentally disordered persons,7,2,80,55,5,95,83
2,精神障害者福祉ホーム,Welfare homes for mentally disordered persons,1,-,-,-,1,20,18
2,精神障害者通所授産施設,Vocational aid for mentally disordered persons (attending),10,1,27,21,9,230,279
2,精神障害者小規模通所授産施設,Welfare homes for mentally disordered persons,17,-,-,-,17,304,355
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,43,29,-,-,14,-,-
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,2,-,-,-,-,-
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),25,25,-,-,-,-,-
2,補装具製作施設,Prosthetic device making facilities,2,-,-,-,2,-,-
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,-,-,1,-,-
2,点字図書館,Braille libraries,6,2,-,-,4,-,-
2,点字出版施設,Braille publishing facilities,6,-,-,-,6,-,-
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,-,-,1,-,-
1,婦人保護施設,Women's shelters,5,1,70,39,4,160,86
1,児童福祉施設,Child welfare facilities,2504,1662,97223,96121,842,75971,78153
2,助産施設,Midwifery homes,44,11,193,…,33,515,…
2,乳児院,Infant homes,10,-,-,-,10,511,462
2,母子生活支援施設,Living support facilities for single-mother families,36,19,396,707,17,350,673
2,保育所,Day care centers,1655,942,94961,93620,713,71256,73455
2,児童養護施設,Foster homes,54,6,438,394,48,2498,2356
2,知的障害児施設,Homes for mentally retarded children,8,3,436,348,5,170,155
2,自閉症児施設,Homes for autistic children,-,-,-,-,-,-,-
2,知的障害児通園施設,Schools for mentally retarded children,10,6,196,209,4,200,316
2,ろうあ児施設,Homes for deaf and dumb children,1,-,-,-,1,30,12
2,難聴幼児通園施設,Schools for children with difficulty in hearing,2,-,-,-,2,70,92
2,肢体不自由児施設,Homes for children of physical difficulty,3,1,70,20,2,190,101
2,肢体不自由児通園施設,Schools for children of physical difficulty,4,3,120,150,1,40,46
2,重症心身障害児施設,Facilities for severely mentally and physically disabled children,7,4,557,518,3,491,485
2,児童自立支援施設,Homes for pre-delinquent,2,2,252,155,-,-,-
2,児童館,Children's center,564,561,-,-,3,-,-
2,児童遊園,Amusement parks for children,104,104,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,564,21,1327,766,543,29045,24180
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),12,9,316,235,3,75,72
2,宿泊所,Lodging houses,92,8,901,490,84,2645,2483
2,盲人ホーム,Vocational centers for the visually impaired,4,1,20,…,3,60,…
2,無料低額診療施設,Free or low charge medical facilities,41,-,…,…,41,…,…
2,へき地保育所,Day care centers in remote areas,3,3,90,41,-,-,-
2,地域福祉センター,Welfare centers for the community,-,-,-,-,-,-,-
2,老人憩の家,Recreation homes for the aged,-,-,-,-,-,-,-
2,老人休養ホーム,Rest homes for the aged,-,-,-,-,-,-,-
2,有料老人ホーム,Fee-based nursing homes for the elderly,412,-,-,-,412,26265,21625
2,(別掲）介護老人福祉施設（特別養護老人ホーム）,(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly),372,52,4660,4517,320,28279,27757
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成20～22年） 18-1  SOCIAL WELFARE FACILITIES ( 2008-2010 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
a) VTF : Vocational training facilities,,,,,,,,,
注)　総数及び児童福祉施設の「定員」には母子生活支援施設を含まない。,,,,,,,,,
Note: The total number of capacities， and those for child welfare facilities， do not include data for living support facilities for single-mother families.,,,,,,,,,
資料：都福祉保健局総務部総務課 「社会福祉施設等調査報告」    Source : Bureau of Social Welfare and Public Health， T.M.G.,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
