年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted,生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成22,2010,2,13115,杉並区,Suginami-ku,5742,5133,5061,168,785,5261,-,85,7,6821
平成22,2010,2,13116,豊島区,Toshima-ku,5973,5249,4948,116,640,4820,0,23,11,6833
平成22,2010,2,13117,北区,Kita-ku,7193,6357,6381,261,1058,6205,0,137,26,8922
平成22,2010,2,13118,荒川区,Arakawa-ku,4734,4261,4218,186,836,4051,0,76,19,5855
平成22,2010,2,13119,板橋区,Itabashi-ku,11995,10357,10661,881,1431,10603,1,433,37,16700
平成22,2010,2,13120,練馬区,Nerima-ku,10783,9635,9666,900,1576,8381,0,467,22,15096
平成22,2010,2,13121,足立区,Adachi-ku,16060,14862,14400,1326,2642,13374,1,674,35,23762
平成22,2010,2,13122,葛飾区,Katsushika-ku,8571,7662,7669,517,1295,7429,1,194,23,11530
平成22,2010,2,13123,江戸川区,Edogawa-ku,12244,11246,11197,1023,1439,11272,1,463,40,17094
平成22,2010,1,13200,市部,All shi,46161,40562,39976,3516,6543,39245,2,1519,109,64857
平成22,2010,2,13201,八王子市,Hachioji-shi,7752,6651,6503,712,1031,6145,0,236,19,11404
平成22,2010,2,13202,立川市,Tachikawa-shi,3454,3087,3095,215,538,3243,0,100,9,4716
平成22,2010,2,13203,武蔵野市,Musashino-shi,1602,1414,1391,57,197,1328,0,36,5,1936
平成22,2010,2,13204,三鷹市,Mitaka-shi,2440,2120,2103,149,335,2261,-,67,5,3225
平成22,2010,2,13205,青梅市,Ome-shi,1371,1196,1097,98,164,1059,-,42,3,1939
平成22,2010,2,13206,府中市,Fuchu-shi,3049,2763,2715,258,405,2664,0,110,10,4282
平成22,2010,2,13207,昭島市,Akishima-shi,1368,1176,1125,72,256,1118,-,42,5,1830
平成22,2010,2,13208,調布市,Chofu-shi,1949,1672,1655,81,285,1792,0,30,3,2487
平成22,2010,2,13209,町田市,Machida-shi,4152,3656,3690,432,625,3268,0,196,7,6189
平成22,2010,2,13210,小金井市,Koganei-shi,937,817,776,43,113,725,-,21,3,1178
平成22,2010,2,13211,小平市,Kodaira-shi,1984,1780,1701,148,278,1886,-,74,5,2793
平成22,2010,2,13212,日野市,Hino-shi,1374,1237,1199,100,260,1259,-,53,3,1889
平成22,2010,2,13213,東村山市,Higashimurayama-shi,2002,1706,1669,140,284,1438,-,88,6,2786
平成22,2010,2,13214,国分寺市,Kokubunji-shi,699,619,628,22,92,600,-,18,1,879
平成22,2010,2,13215,国立市,Kunitachi-shi,624,577,567,28,70,549,-,12,1,795
平成22,2010,2,13218,福生市,Fussa-shi,735,652,640,39,113,643,-,19,1,969
平成22,2010,2,13219,狛江市,Komae-shi,783,701,701,36,112,715,-,15,2,986
平成22,2010,2,13220,東大和市,Higashiyamato-shi,1068,970,968,113,145,909,0,52,2,1644
平成22,2010,2,13221,清瀬市,Kiyose-shi,1278,1141,1129,82,214,1162,0,38,5,1796
平成22,2010,2,13222,東久留米市,Higashikurume-shi,1184,1084,1071,104,178,926,0,40,2,1722
平成22,2010,2,13223,武蔵村山市,Musashimurayama-shi,1082,959,959,106,171,950,-,27,4,1699
平成22,2010,2,13224,多摩市,Tama-shi,1447,1237,1254,156,160,1273,0,60,3,2171
平成22,2010,2,13225,稲城市,Inagi-shi,671,581,584,51,85,488,0,25,2,976
平成22,2010,2,13227,羽村市,Hamura-shi,455,395,391,43,55,404,-,19,1,655
平成22,2010,2,13228,あきる野市,Akiruno-shi,528,440,423,53,70,467,0,24,1,798
平成22,2010,2,13229,西東京市,Nishitokyo-shi,2173,1934,1944,177,307,1974,0,75,2,3113
平成22,2010,1,13300,郡部,All gun,603,495,452,57,94,506,-,31,-,930
平成22,2010,1,13350,島部,All islands,358,316,189,11,68,286,-,3,1,445
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成18～22年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2006-2010 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注) 保護停止中の世帯を含む。,,,,,,,,,,,,,,,
Note:  Inculuding households under stopping.,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
