年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成22,2010,2,13104,4,新宿区,Shinjuku-ku,4235,3867,10,761,2331,374,391,-,-,-,348,20,-,737,5898,231,2456,1297.8
平成22,2010,2,13105,5,文京区,Bunkyo-ku,4208,3910,2,325,3336,165,82,-,-,-,267,31,-,982,4950,102,2169,2036.5
平成22,2010,2,13106,6,台東区,Taito-ku,412,391,4,109,1,172,105,3,1,2,16,2,-,308,892,259,524,234.2
平成22,2010,2,13107,7,墨田区,Sumida-ku,717,703,5,439,9,172,78,2,-,2,11,1,-,262,1828,354,610,289.6
平成22,2010,2,13108,8,江東区,Koto-ku,989,938,11,400,117,222,188,5,-,5,41,5,-,405,2080,374,1053,214.6
平成22,2010,2,13109,9,品川区,Shinagawa-ku,1370,1271,6,284,476,347,158,1,-,1,85,13,-,559,2568,259,2211,375
平成22,2010,2,13110,10,目黒区,Meguro-ku,1097,1068,5,479,257,241,86,2,-,2,11,16,-,341,2253,155,812,408.8
平成22,2010,2,13111,11,大田区,Ota-ku,1729,1648,13,598,441,440,156,5,1,4,61,15,-,1006,3870,698,1490,249.4
平成22,2010,2,13112,12,世田谷区,Setagaya-ku,1839,1746,16,859,30,642,199,2,-,2,55,36,-,859,3762,690,1742,209.7
平成22,2010,2,13113,13,渋谷区,Shibuya-ku,1222,1172,9,556,51,364,192,2,-,2,18,30,-,497,2608,212,1386,597.6
平成22,2010,2,13114,14,中野区,Nakano-ku,684,662,7,273,3,272,107,1,-,1,7,14,-,335,1436,256,668,217.3
平成22,2010,2,13115,15,杉並区,Suginami-ku,833,782,7,271,5,368,131,-,-,-,15,36,-,551,1762,337,991,151.6
平成22,2010,2,13116,16,豊島区,Toshima-ku,680,645,11,179,6,321,128,-,-,-,15,20,-,423,1351,353,1059,238.9
平成22,2010,2,13117,17,北区,Kita-ku,535,527,12,262,-,179,74,-,-,-,4,4,-,312,1509,405,905,159.4
平成22,2010,2,13118,18,荒川区,Arakawa-ku,532,515,11,60,239,134,71,6,1,5,8,3,-,209,1104,336,476,261.7
平成22,2010,2,13119,19,板橋区,Itabashi-ku,2130,2042,19,696,939,281,107,3,-,3,71,14,-,450,5021,1058,1639,397.5
平成22,2010,2,13120,20,練馬区,Nerima-ku,995,947,9,131,266,411,130,11,1,10,16,21,-,551,2093,595,1286,138.9
平成22,2010,2,13121,21,足立区,Adachi-ku,866,843,25,332,1,305,180,9,2,7,9,5,-,519,2426,1351,1179,126.7
平成22,2010,2,13122,22,葛飾区,Katsushika-ku,740,722,13,167,153,255,134,8,2,6,6,4,-,309,1772,686,849,167.2
平成22,2010,2,13123,23,江戸川区,Edogawa-ku,773,756,15,289,-,296,156,3,-,3,7,7,-,485,1799,800,1138,113.8
平成22,2010,1,13200,,市部,All shi,8035,7680,126,3474,1154,2085,841,69,6,63,232,54,-,3020,25414,6600,9213,194.7
平成22,2010,2,13201,1,八王子市,Hachioji-shi,997,955,22,283,278,254,118,7,-,7,31,4,-,378,3405,1319,1452,171.9
平成22,2010,2,13202,2,立川市,Tachikawa-shi,531,521,5,323,-,107,86,1,1,-,6,3,-,180,1538,199,502,295.5
平成22,2010,2,13203,3,武蔵野市,Musashino-shi,441,433,4,219,3,146,61,2,-,2,2,4,-,200,1152,150,458,317.9
平成22,2010,2,13204,4,三鷹市,Mitaka-shi,846,807,5,128,547,95,32,5,1,4,31,3,-,140,2011,152,426,454.6
平成22,2010,2,13205,5,青梅市,Ome-shi,341,332,8,250,1,48,25,3,-,3,6,-,-,87,1318,708,247,244.7
平成22,2010,2,13206,6,府中市,Fuchu-shi,881,841,13,619,3,128,78,8,-,8,30,2,-,181,2981,304,756,344.8
平成22,2010,2,13207,7,昭島市,Akishima-shi,137,133,4,76,-,37,16,3,1,2,-,1,-,87,507,154,203,122
平成22,2010,2,13208,8,調布市,Chofu-shi,288,274,6,74,1,147,46,5,-,5,7,2,-,198,723,254,456,128.8
平成22,2010,2,13209,9,町田市,Machida-shi,576,559,12,230,-,242,75,8,1,7,6,3,-,347,2007,727,911,134.9
平成22,2010,2,13210,10,小金井市,Koganei-shi,136,128,1,51,-,62,14,3,-,3,-,5,-,77,373,136,221,114.4
平成22,2010,2,13211,11,小平市,Kodaira-shi,493,428,4,291,4,94,35,-,-,-,59,6,-,114,1400,289,342,263.6
平成22,2010,2,13212,12,日野市,Hino-shi,206,197,4,78,-,80,35,4,-,4,5,-,-,94,640,204,339,114.4
平成22,2010,2,13213,13,東村山市,Higashimurayama-shi,236,224,8,139,-,58,19,3,-,3,3,6,-,90,1104,371,334,153.7
平成22,2010,2,13214,14,国分寺市,Kokubunji-shi,126,123,3,15,-,89,16,1,-,1,-,2,-,101,225,78,207,104.4
平成22,2010,2,13215,15,国立市,Kunitachi-shi,82,73,1,3,-,55,14,3,-,3,2,4,-,80,152,35,165,108.6
平成22,2010,2,13218,16,福生市,Fussa-shi,96,94,2,55,-,24,13,1,-,1,-,1,-,42,377,136,133,160.5
平成22,2010,2,13219,17,狛江市,Komae-shi,268,268,1,25,186,40,16,-,-,-,-,-,-,47,629,27,179,340.3
平成22,2010,2,13220,18,東大和市,Higashiyamato-shi,110,107,1,57,2,34,13,2,-,2,-,1,-,50,509,77,172,132.4
平成22,2010,2,13221,19,清瀬市,Kiyose-shi,226,218,7,170,1,24,16,3,-,3,4,1,-,53,986,274,319,305
平成22,2010,2,13222,20,東久留米市,Higashikurume-shi,63,61,2,11,-,40,8,-,-,-,-,2,-,70,191,96,154,54.1
平成22,2010,2,13223,21,武蔵村山市,Musashimurayama-shi,111,92,3,66,1,18,4,1,1,-,17,1,-,27,504,112,135,158.5
平成22,2010,2,13224,22,多摩市,Tama-shi,377,360,3,107,125,75,50,2,-,2,13,2,-,97,947,281,357,255.3
平成22,2010,2,13225,23,稲城市,Inagi-shi,113,110,1,66,-,34,9,-,-,-,2,1,-,41,444,79,136,133.2
平成22,2010,2,13227,24,羽村市,Hamura-shi,46,43,1,4,-,27,11,2,1,1,1,-,-,51,131,87,77,80.7
平成22,2010,2,13228,25,あきる野市,Akiruno-shi,98,96,3,51,-,30,12,1,-,1,1,-,-,54,459,123,115,121.2
平成22,2010,2,13229,26,西東京市,Nishitokyo-shi,210,203,2,83,2,97,19,1,-,1,6,-,-,134,701,228,417,106.9
平成22,2010,1,13300,,郡部,All gun,48,41,3,17,-,13,8,4,-,4,2,1,-,21,230,156,52,81.7
平成22,2010,2,13303,1,瑞穂町,Mizuho-machi,21,16,2,-,-,8,6,3,-,3,1,1,-,11,68,67,26,62.7
平成22,2010,2,13305,2,日の出町,Hinode-machi,18,17,1,13,-,3,-,1,-,1,-,-,-,7,133,67,20,108.1
平成22,2010,2,13307,3,檜原村,Hinohara-mura,2,2,-,-,-,-,2,-,-,-,-,-,-,1,2,7,-,78.2
平成22,2010,2,13308,4,奥多摩町,Okutama-machi,7,6,-,4,-,2,-,-,-,-,1,-,-,2,27,15,6,115.8
平成22,2010,1,13350,,島部,All islands,34,28,-,4,-,4,20,-,-,-,5,1,-,19,124,39,25,122.2
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-2 地域別医療従事者数 (平成12～22年末) 19-2  MEDICAL PERSONNEL BY DISTRICT ( End of 2000-2010 ）,,,,,,,,,,,,,,,,,,,,,,,,
この表は医師法，歯科医師法，保健師助産師看護師法による届出により集計したものであり，就業地による。 ,,,,,,,,,,,,,,,,,,,,,,,,
The table tabulates figures reported under the Medical Practitioners Act， Dental Practitioners Act， Act on Public Health Nurses， Midwives and Nurses， and is compiled by workplace. ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「医師・歯科医師・薬剤師調査東京都集計結果報告」，医療政策部医療人材課「看護師等業務従事者届集計報告」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
