年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数 Intellectual impairment certificates issued  1)
平成22,2010,2,13218,福生市,Fussa-shi,2188,129,80,1,2,61,63,293
平成22,2010,2,13219,狛江市,Komae-shi,2583,163,75,3,10,55,52,385
平成22,2010,2,13220,東大和市,Higashiyamato-shi,2972,190,145,2,9,88,75,514
平成22,2010,2,13221,清瀬市,Kiyose-shi,4248,162,108,3,11,106,87,502
平成22,2010,2,13222,東久留米市,Higashikurume-shi,4125,255,102,4,13,109,111,787
平成22,2010,2,13223,武蔵村山市,Musashimurayama-shi,3048,153,93,3,8,93,83,528
平成22,2010,2,13224,多摩市,Tama-shi,4592,303,215,11,14,152,160,868
平成22,2010,2,13225,稲城市,Inagi-shi,2443,147,79,2,8,63,63,375
平成22,2010,2,13227,羽村市,Hamura-shi,1680,108,66,4,2,52,48,332
平成22,2010,2,13228,あきる野市,Akiruno-shi,2588,153,233,2,5,92,58,550
平成22,2010,2,13229,西東京市,Nishitokyo-shi,6474,414,303,10,18,161,175,1079
平成22,2010,1,13300,郡部,All gun,2677,110,136,1,1,95,56,464
平成22,2010,1,13350,島部,All islands,1644,104,45,-,2,31,31,198
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成18～22年度末） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2006-2010 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
