年次,Year,月次,Month,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
平成3,1991,総数,Total,103226,53373,49853,70675,38733,31942,32551,14640,17911,400,211,189,204,107,97,4333,2157,2176,83171,19400
平成4,1992,総数,Total,100965,51868,49097,72974,40217,32757,27991,11651,16340,430,265,165,231,143,88,3992,2012,1980,82371,20211
平成5,1993,総数,Total,98291,50583,47708,74758,40896,33862,23533,9687,13846,467,248,219,255,135,120,3559,1821,1738,85518,21114
平成6,1994,総数,Total,101998,52251,49747,75299,41306,33993,26699,10945,15754,433,252,181,247,144,103,3362,1776,1586,83563,21372
平成7,1995,総数,Total,96823,49648,47175,78651,43286,35365,18172,6362,11810,423,226,197,219,124,95,3189,1745,1444,84286,21548
平成8,1996,総数,Total,97954,50423,47531,77356,42696,34660,20598,7727,12871,368,205,163,190,105,85,3190,1686,1504,84007,22273
平成9,1997,総数,Total,97906,50282,47624,78744,43548,35196,19162,6734,12428,384,205,179,196,106,90,3131,1516,1615,81002,23690
平成10,1998,総数,Total,98960,50948,48012,80793,44653,36140,18167,6295,11872,358,204,154,195,116,79,3107,1483,1624,82589,25685
平成11,1999,総数,Total,97959,50396,47563,85427,46950,38477,12532,3446,9086,325,191,134,175,102,73,3143,1550,1593,81287,26375
平成12,2000,総数,Total,100209,51487,48722,83849,46409,37440,16360,5078,11282,354,195,159,200,110,90,2995,1364,1631,87360,27032
平成13,2001,総数,Total,98421,50546,47875,84586,46661,37925,13835,3885,9950,298,164,134,159,82,77,2907,1389,1518,88538,28593
平成14,2002,総数,Total,100118,51619,48499,85162,46936,38226,14956,4683,10273,295,155,140,169,85,84,2908,1361,1547,84623,28780
平成15,2003,総数,Total,98534,50804,47730,87500,48128,39372,11034,2676,8358,293,156,137,139,67,72,2938,1295,1643,84755,28211
平成16,2004,総数,Total,99272,50793,48479,88767,48465,40302,10505,2328,8177,260,150,110,122,72,50,2923,1325,1598,84618,27123
平成17,2005,総数,Total,96542,49603,46939,93599,51265,42334,2943,-1662,4605,257,148,109,129,71,58,2839,1293,1546,85382,26984
平成18,2006,総数,Total,101674,52391,49283,93596,50908,42688,8078,1483,6595,290,156,134,154,79,75,2782,1247,1535,89413,26347
平成19,2007,総数,Total,103837,53564,50273,96354,52202,44152,7483,1362,6121,278,165,113,146,82,64,2621,1201,1420,89243,26627
平成20,2008,総数,Total,106015,54348,51667,98248,53289,44959,7767,1059,6708,261,122,139,119,57,62,2724,1218,1506,91196,26300
平成21,2009,総数,Total,106613,54736,51877,98304,53549,44755,8309,1187,7122,246,135,111,119,61,58,2482,1118,1364,91028,26803
平成22,2010,総数,Total,108135,55420,52715,104238,56443,47795,3897,-1023,4920,212,114,98,95,51,44,2587,1143,1444,91196,26335
平成23,2011,総数,Total,106027,54333,51694,105723,56613,49110,304,-2280,2584,216,112,104,98,50,48,2484,1140,1344,86888,24927
平成23,2011,1,Jan.,8793,4476,4317,10375,5526,4849,-1582,-1050,-532,17,7,10,10,6,4,180,93,87,6272,1979
平成23,2011,2,Feb.,8038,4104,3934,8746,4719,4027,-708,-615,-93,19,10,9,5,2,3,197,86,111,6581,1975
平成23,2011,3,Mar.,8624,4456,4168,9344,5105,4239,-720,-649,-71,21,12,9,10,6,4,189,81,108,8526,2403
平成23,2011,4,Apr.,8572,4460,4112,8682,4563,4119,-110,-103,-7,18,10,8,9,5,4,230,101,129,7080,2026
平成23,2011,5,May,8746,4428,4318,8430,4571,3859,316,-143,459,15,8,7,8,3,5,207,96,111,7527,2053
平成23,2011,6,June,8956,4507,4449,8231,4373,3858,725,134,591,24,15,9,12,6,6,217,81,136,6289,2092
平成23,2011,7,July,9033,4701,4332,8270,4371,3899,763,330,433,15,5,10,9,3,6,201,108,93,7841,1977
平成23,2011,8,Aug. ,9424,4852,4572,8540,4610,3930,884,242,642,15,8,7,10,4,6,189,97,92,6509,2180
平成23,2011,9,Sept.,9379,4835,4544,7914,4253,3661,1465,582,883,16,6,10,5,2,3,200,92,108,5845,2096
平成23,2011,10,Oct.,9353,4699,4654,8639,4664,3975,714,35,679,15,10,5,4,4,-,222,103,119,6243,2031
平成23,2011,11,Nov.,8608,4402,4206,8672,4610,4062,-64,-208,144,17,11,6,5,3,2,224,106,118,11059,1972
平成23,2011,12,Dec.,8501,4413,4088,9880,5248,4632,-1379,-835,-544,24,10,14,11,6,5,228,96,132,7116,2143
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成2３年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (2) 年，月別及び男女別（昭和56～平成2３年）  2-7  VITAL STATISTICS  (2) BY YEAR， MONTH， AND GENDER ( 1981-2011 ) ,,,,,,,,,,,,,,,,,,,,,,,
注) 厚生労働省が平成16・18・21～29年の都道府県からの報告漏れ（平成31年３月29日公表）による再集計を行ったことにより，数値を修正した。ただし、月次の数値については，再集計の結果が反映されていないため，計と月次の合計は合致しない。,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for 2004， 2006， and 2009-2017 have been revised to reflect retabulation by the Ministry of Labour， Health and Welfare (announced March 29， 2019)， which was carried out due to omissions in reporting by the prefectures. ,,,,,,,,,,,,,,,,,,,,,,,
 However， the monthliy categories do not reflect this retablulation. Therefore， the total does not match the sum of these categories.,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,
