"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","家事専業","94","34","19","18","10","23","40","28","28","8","6"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","学生","20","5","3","5","3","5","9","3","3","1","1"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","無職","83","32","24","18","11","26","30","12","15","7","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","その他","26","7","8","4","4","9","7","6","8","0","2"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","無回答","5","2","0","0","0","2","0","1","2","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","芝地区","107","38","27","25","16","34","44","28","26","7","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","麻布地区","140","43","37","28","18","29","57","32","28","10","14"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","赤坂地区","88","27","21","12","20","26","44","28","17","8","1"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","高輪地区","155","59","52","36","16","42","56","35","37","8","7"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","芝浦港南地区","164","62","39","38","23","48","82","40","42","7","6"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","居住地区別","無回答","4","1","0","0","0","0","1","1","1","1","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","持家（一戸建）","95","28","32","27","8","28","36","25","26","6","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","持家（マンション）","302","116","66","54","47","88","133","83","73","19","15"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","借家（一戸建）","7","3","5","2","1","1","1","1","3","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","民間の賃貸マンション・アパート","171","50","50","41","25","43","83","38","29","10","10"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","28","9","4","4","5","6","8","3","7","2","1"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","9","7","5","3","4","11","5","5","3","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","社宅・公務員宿舎","20","9","3","2","2","5","10","7","4","0","2"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","6","1","5","2","0","1","0","0","1","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","その他","5","3","4","2","0","2","1","2","2","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","住居形態別","無回答","6","2","0","0","2","1","1","0","1","1","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","ずっと住み続けていたい","366","125","90","78","54","99","160","98","90","26","14"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","当分は住んでいたい","224","86","64","42","30","64","94","53","51","10","14"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","9","14","14","4","9","20","9","9","0","1"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","1","0","0","1","1","0","0","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","近いうちに区外に転居する予定である","9","2","2","1","2","2","2","0","1","2","2"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","わからない","14","7","4","4","3","3","6","4","0","2","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","定住意向別","無回答","1","1","1","0","0","1","1","0","0","1","0"

"第32回港区民世論調査クロス集計表・みなとタバコルールQ18","Ver202003",,,,,,,,,,,,,,
