事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成28,2016,5月,2.56,2.55,－,－,0.96,2.03,1.1,1.23,0.07,1.77,1.41,2.1,1.68,2.86,2.22,1.99,1.49,1.23,2.52,2.22,1.2,1.61,6.62,4.78,3.32,3.56,3.6,2.02,3.29,3.38,0.24,0.02,3.61,4.1
５人以上,平成28,2016,6月,2,1.79,－,－,1.08,0.74,0.94,1.35,0.04,0.65,1.13,1.02,2.46,1.85,1.8,1.75,1.02,1.12,1.9,1.28,0.8,1,5.39,4.46,3.12,2.55,2.26,1.07,1.8,1.75,1.38,0.4,2.48,2.42
５人以上,平成28,2016,7月,2.04,2.13,－,－,0.94,0.76,0.94,0.96,0.69,1.82,1.75,2.82,2.32,2.39,1.9,1.82,1.43,1.58,2.11,2.33,1.68,1.67,4.2,3.51,3.5,2.81,1.45,1.78,1.84,1.84,0.05,0.92,2.67,3.02
５人以上,平成28,2016,8月,1.67,1.94,－,－,0.69,0.74,0.8,0.95,0.37,0.93,0.94,1.13,1.34,2.11,1.78,1.61,1.17,1.36,1.24,1.93,1.62,1.24,4.25,4.21,3.93,2.63,0.58,4.12,1.5,1.89,0.36,0.58,1.99,2.08
５人以上,平成28,2016,9月,1.99,1.8,－,－,1.28,1.07,0.99,0.84,2.76,0.59,0.82,0.96,0.95,1.54,1.8,1.74,0.86,1.15,1.44,1.22,1.72,1.38,4.08,4.07,2.96,3.21,5.91,2.46,2.04,1.68,0.23,0.02,2.05,2.31
５人以上,平成28,2016,10月,2.45,2.23,－,－,1.27,1.23,1.37,1.13,0.41,0.4,2.18,1.69,1.19,1.46,2.31,2.17,2.26,2.2,1.9,2.24,1.81,2.13,5.36,3.85,2.02,2.8,4.09,3.14,2.25,1.99,3.92,3.62,2.7,2.93
５人以上,平成28,2016,11月,1.89,1.75,－,－,1.08,0.92,0.69,0.7,0.09,0.14,0.99,0.95,1.49,1.12,1.85,1.62,1.16,1.05,1.5,1.75,1.15,1.08,4.6,5.09,3.36,3.42,2.35,1.95,2.02,1.46,1.53,0.39,2.33,1.98
５人以上,平成28,2016,12月,1.57,1.54,－,－,0.75,0.88,0.81,0.81,2.72,0.11,0.76,0.76,0.99,0.95,1.46,1.37,0.86,0.75,1.41,1.27,0.72,0.83,4.5,3.78,2.76,3.45,1.63,1.36,1.37,1.59,0.01,0,2.11,2.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成28年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－１表　産業別労働異動率（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
