規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30～99人,"金融業,保険業",799810,-18.1,92.2,91.8,2.08,-0.29
30～99人,不動産業，物品賃貸業,558130,2.5,90,90.6,1.6,0.13
30～99人,学術研究，専門・技術サービス業,674358,-9.3,94.4,92.4,1.42,-0.31
30～99人,宿泊業，飲食サービス業,67942,-11.5,84.8,88,0.35,-0.04
30～99人,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,教育，学習支援業,424211,3,91.7,87.4,1.37,0.07
30～99人,医療，福祉,274126,-22.3,78.6,72.2,1.07,-0.15
30～99人,複合サービス事業,491396,6.9,100,100,1.36,-0.1
30～99人,サービス業（他に分類されないもの）,342149,-0.2,77.4,84.8,1.08,0.01
100～499人,調査産業計,580667,1.9,89.2,90.6,1.54,0.03
100～499人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
100～499人,建設業,924592,26.1,100,100,2.25,0.22
100～499人,製造業,829869,-4,88.7,88.9,1.91,-0.24
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,542351,-1.5,84.6,89.4,1.54,0.07
100～499人,運輸業，郵便業,652996,7.8,94.6,96.8,1.58,0.2
100～499人,卸売業，小売業,606518,2.7,90.5,92,1.55,0.04
100～499人,"金融業,保険業",924349,3.9,89.3,89.8,2.26,0.05
100～499人,不動産業，物品賃貸業,530369,7.9,87.9,89.5,1.61,-0.01
100～499人,学術研究，専門・技術サービス業,742406,4.9,90,96.1,1.83,0.09
100～499人,宿泊業，飲食サービス業,241029,36,94.5,97.9,0.76,0.16
100～499人,生活関連サービス業，娯楽業,202083,-17,85,86.5,0.75,0.01
100～499人,教育，学習支援業,733967,0.4,92.7,97.2,1.85,0
100～499人,医療，福祉,464870,16.6,84,71.3,1.56,0.36
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,274056,-9.1,88,90,0.95,-0.11
500人以上,調査産業計,966824,-0.6,89.8,91.9,2.26,0.03
500人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
500人以上,建設業,1112482,14.7,90.5,83.5,2.42,0.26
500人以上,製造業,1140179,-4.6,93.2,94.5,2.82,-0.17
500人以上,電気・ガス・熱供給・水道業,876255,1.6,57.1,83.9,2.48,0.04
500人以上,情報通信業,887152,-0.2,91.8,95,2.26,0.03
500人以上,運輸業，郵便業,913400,2,100,100,1.95,0.02
500人以上,卸売業，小売業,1249276,-0.8,93.7,93,2.31,0.14
500人以上,"金融業,保険業",1204403,-3.1,88.8,90,2.36,0.02
500人以上,不動産業，物品賃貸業,1000800,-1.4,100,100,2.45,-0.02
500人以上,学術研究，専門・技術サービス業,1248433,5.9,84.4,77.6,2.34,0.09
500人以上,宿泊業，飲食サービス業,360760,13.8,78.3,76.9,1.44,0.18
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,656641,-0.9,95.9,97.1,1.82,0.01
500人以上,医療，福祉,471456,-7.3,96.9,98.7,1.57,0.09
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,521298,14.2,53.2,61,1.64,-0.13
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
