事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,"P 医療,福祉",399203,-5.4,79.8,78.3,1.17,-0.05,446469,-3.2,83.6,82.4,1.29,-0.07
30人以上,Q 複合サービス事業,517557,4.8,100,100,1.36,-0.09,727025,11.3,100,100,1.98,0.16
30人以上,R サービス業（他に分類されないもの）,314700,-5.8,79.7,85.3,1.05,-0.03,287292,-9.3,81.5,76.9,0.98,-0.09
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",823524,-0.1,85.8,88.7,1.69,-0.09,827694,2,94.5,93.7,1.76,0.06
30人以上,E11 繊維工業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E12 木材・木製品製造業（家具を除く）,161250,-5.9,50,62,0.62,0.02,×,×,×,×,×,×
30人以上,E13 家具・装備品製造業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E14 パルプ・紙・紙加工品製造業,772804,15.5,100,100,2.15,0.13,801475,16.2,100,100,1.97,-0.06
30人以上,E15 印刷・同関連業,456929,-12.2,100,100,0.77,0.04,492915,-6.7,100,100,0.95,0.1
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1142867,-9.4,96.4,83.3,2.11,0.16,1024320,-2.4,98.2,91.1,2.35,0
30人以上,E18 プラスチック製品製造業（別掲を除く）,771636,-43.4,5.1,51,1.51,-1.07,1245200,10.5,4.5,50,2.33,0.4
30人以上,E19 ゴム製品製造業,1123124,-5.1,90.9,64.5,3.19,-0.02,1225615,1.2,100,100,3.56,0.15
30人以上,E21 窯業・土石製品製造業,1052162,20.6,100,100,2.25,0.01,978362,22.5,88.4,56,2.48,0.12
30人以上,E22 鉄鋼業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E23 非鉄金属製造業,1592000,1.8,69.7,88.3,2.33,0.14,1286498,4,69.7,88.9,2.03,0.13
30人以上,E24 金属製品製造業,453267,-20.8,100,100,0.52,0.01,922760,63.6,100,100,1.95,1.43
30人以上,E25 はん用機械器具製造業,890320,10.4,100,100,1.78,-0.38,434317,-49.7,100,100,0.74,-1
30人以上,E26 生産用機械器具製造業,925011,1.2,100,100,1.27,0.16,908600,2.2,99.6,80,1.26,-0.09
30人以上,E27 業務用機械器具製造業,1177459,35.4,86.2,95.1,2.23,0.76,955436,10.6,100,100,1.66,0.15
30人以上,E28 電子部品・デバイス・電子回路製造業,929791,-10,73.9,95.7,1.13,-0.08,718626,-35.7,75.3,98.6,1.29,-0.28
30人以上,E29 電気機械器具製造業,737230,-10.9,100,100,1.53,0.03,762219,-16.8,100,100,1.62,-0.15
30人以上,E30 情報通信機械器具製造業,1159717,0.2,72.5,93.5,3.13,0.48,1202233,-0.7,70.7,91.9,3.03,-0.25
30人以上,E31 輸送用機械器具製造業,1324594,6.7,100,100,1.67,-0.03,1087535,3.3,100,100,1.98,0.46
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",705642,-14.4,73.9,75.5,2.15,-0.69,586608,-3.6,60.4,80.1,2.16,0.53
30人以上,I-1 卸売業,926289,0.3,89.4,92.8,1.79,0.05,863456,7.5,93.8,96,1.75,0.14
30人以上,I-2 小売業,288727,8.2,84.8,87,0.91,0.05,286079,10.2,91.3,91.9,0.96,0.06
30人以上,M75 宿泊業,243310,15.1,99,94,0.52,0.02,251801,-7.4,99,94.2,0.5,-0.03
30人以上,MS Ｍ一括分,92744,3.3,84.2,87.3,0.36,-0.03,99415,-10,88.5,90.8,0.48,-0.02
30人以上,P83 医療業,503041,-2.6,58.1,75.9,1.59,0.22,584966,-3,61.8,78.7,1.7,0.19
30人以上,PSＰ一括分,321327,-6.2,81.4,80.3,1.15,-0.07,333699,-2,85.4,85.7,1.26,-0.08
30人以上,R91 職業紹介・労働者派遣業,259849,-1.2,85.4,85.5,0.87,-0.16,213318,-4.3,84.4,75.3,0.7,-0.4
30人以上,R92 その他の事業サービス業,218777,-11.5,72.7,81.2,0.73,-0.08,195101,-16.5,75.6,71.8,0.62,-0.09
30人以上,RS Ｒ一括分,660144,-2.9,91.9,99.3,1.62,0.01,635605,-8.8,91.9,99.2,1.61,-0.09
30人以上,L71 学術・開発研究機関,734876,-1.3,100,100,1.97,-0.01,782603,0.7,100,100,2.23,0.12
30人以上,"L72,74 専門サービス業，技術サービス業",812922,11.9,92.4,92.9,1.46,0.12,737818,2,70.9,80.3,1.53,0.1
30人以上,L73 広告業,571577,-60.7,79.1,64.6,1,-1.87,517466,-7.6,93.5,63.6,1.28,-0.38
30人以上,N78 洗濯・理容・美容・浴場業,165862,560.6,43.3,19.7,0.76,0.51,172834,129.7,27.7,18.6,0.79,0.45
30人以上,"R89,90 自動車整備業、機械等修理業",602874,-0.2,100,100,1.21,0.09,503205,-18.6,100,100,0.95,-0.31
30人以上,E25-31 ［特掲積上げ］機械関連製造業,1060246,7.3,93.1,96.9,1.62,0.16,941071,-6.1,94.2,96,1.52,-0.06
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成28年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
