分類コード／部門名,従業者総数（人）,個人業主（人）,家族従業者（人）,有給役員 雇用者（人）,有給役員 雇用者／有給役員（人）,有給役員 雇用者／雇用者（人）,有給役員 雇用者／雇用者／常用雇用者（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員以外（人）,有給役員 雇用者／雇用者／臨時雇用者（人）
Ｍ631／教育,1884415,3547,674,1880194,15008,1865186,1768461,1386182,382279,96725
Ｍ632／研究,649027,193,33,648801,9433,639368,614462,503890,110572,24906
Ｍ641／医療,3068122,214723,89014,2764385,129013,2635372,2513059,1933396,579663,122313
Ｍ642／保健衛生,142102,7220,987,133895,1574,132321,117036,83589,33447,15285
Ｍ643／社会保険・社会福祉,1005443,0,0,1005443,13178,992265,915221,602619,312602,77044
Ｍ644／介護,1534883,0,0,1534883,19241,1515642,1398604,867677,530927,117038
Ｍ659／その他の非営利団体サービス,378822,16988,12041,349793,58027,291766,261743,189155,72588,30023
Ｍ661／物品賃貸サービス,189115,8974,2537,177604,16561,161043,154087,107076,47011,6956
Ｍ662／広告,83717,2145,483,81089,9138,71951,68228,52423,15805,3723
Ｍ663／自動車整備・機械修理,691401,80673,38752,571976,96214,475762,456427,381203,75224,19335
Ｍ669／その他の対事業所サービス,3541977,568090,72006,2901881,156680,2745201,2396760,1237203,1159557,348441
Ｍ671／宿泊業,345290,15642,16858,312790,13999,298791,249839,110747,139092,48952
Ｍ672／飲食サービス,3931614,445438,269922,3216254,93877,3122377,2754282,660904,2093378,368095
Ｍ673／洗濯・理容・美容・浴場業,864127,306132,101061,456934,20814,436120,384003,177235,206768,52117
Ｍ674／娯楽サービス,426817,11543,6460,408814,11811,397003,327528,159684,167844,69475
Ｍ679／その他の対個人サービス,916308,271661,44267,600380,20694,579686,431032,162767,268265,148654
Ｍ691／分類不明,22357,142,64,22151,1515,20636,20407,18722,1685,229
Ｎ100／本社,5970767,0,0,5970767,455158,5515609,5515609,3605387,1910222,0
合計,57691599,6022354,4001232,47668013,3132799,44535214,41665667,27523396,14142271,2869547
,,,,,,,,,,
東京都産業連関表,,,,,,,,,,
３-１　雇用表（その他地域、統合中分類）,,,,,,,,,,
column0,column1,column1,column1,column2,column2,column3,column4,column4,,column3
