区分／分類コード／部門名,中間需要／Ｋ01／農林水産業（百万円）,中間需要／Ｋ06／鉱業（百万円）,中間需要／Ｋ11／飲食料品（百万円）,中間需要／Ｋ15／繊維製品（百万円）,中間需要／Ｋ16／パルプ・紙・木製品（百万円）,中間需要／Ｋ20／化学製品（百万円）,中間需要／Ｋ21／石油・石炭製品（百万円）,中間需要／Ｋ22／プラスチック・ゴム（百万円）,中間需要／Ｋ25／窯業・土石製品（百万円）,中間需要／Ｋ26／鉄鋼（百万円）,中間需要／Ｋ27／非鉄金属（百万円）,中間需要／Ｋ28／金属製品（百万円）,中間需要／Ｋ29／はん用機械（百万円）,中間需要／Ｋ30／生産用機械（百万円）,中間需要／Ｋ31／業務用機械（百万円）,中間需要／Ｋ32／電子部品（百万円）,中間需要／Ｋ33／電気機械（百万円）,中間需要／Ｋ34／情報・通信機器（百万円）,中間需要／Ｋ35／輸送機械（百万円）,中間需要／Ｋ39／その他の製造工業製品（百万円）,中間需要／Ｋ41／建設（百万円）,中間需要／Ｋ46／電力・ガス・熱供給（百万円）,中間需要／Ｋ47／水道（百万円）,中間需要／Ｋ48／廃棄物処理（百万円）,中間需要／Ｋ51／商業（百万円）,中間需要／Ｋ53／金融・保険（百万円）,中間需要／Ｋ55／不動産（百万円）,中間需要／Ｋ57／運輸・郵便（百万円）,中間需要／Ｋ59／情報通信（百万円）,中間需要／Ｋ61／公務（百万円）,中間需要／Ｋ63／教育・研究（百万円）,中間需要／Ｋ64／医療・福祉（百万円）,中間需要／Ｋ65／その他の非営利団体サービス（百万円）,中間需要／Ｋ66／対事業所サービス（百万円）,中間需要／Ｋ67／対個人サービス（百万円）,中間需要／Ｋ68／事務用品（百万円）,中間需要／Ｋ69／分類不明（百万円）,中間需要／Ｌ10／本社（百万円）,中間需要／Ｒ70／財・サービス内生部門計（百万円）,中間需要／Ｒ71／内生部門計（百万円）,最終需要／Ｐ71／都事業所家計外消費支出（百万円）,最終需要／Ｐ61／他県事業所家計外消費支出（百万円）,最終需要／Ｐ72／民間消費支出（他県民支出を除く。）（百万円）,最終需要／Ｐ92／他県民支出（百万円）,最終需要／Ｐ73／一般政府消費支出（百万円）,最終需要／Ｐ74／都内総固定資本形成（公的）（百万円）,最終需要／Ｐ75／都内総固定資本形成（民間）（百万円）,最終需要／Ｐ76／在庫純増（百万円）,最終需要／Ｐ77／調整項（百万円）,最終需要／Ｒ78／都内最終需要計（百万円）,最終需要／Ｒ79／都内需要合計（百万円）,最終需要／Ｐ80／輸出（百万円）,最終需要／Ｒ81／輸出計（百万円）,最終需要／Ｐ81／移出（百万円）,最終需要／Ｒ82／移輸出計（百万円）,最終需要／Ｒ83／最終需要計（百万円）,最終需要／Ｒ84／需要合計（百万円）,Ｐ84／（控除）輸入（百万円）,Ｐ85／（控除）関税（百万円）,Ｐ86／（控除）輸入品商品税（百万円）,Ｒ87／（控除）輸入計（百万円）,Ｐ88／移入（百万円）,Ｑ71／都事業所家計外消費支出（百万円）,Ｑ72／都民支出（百万円）,Ｒ89／（控除）移輸入計（百万円）,Ｒ90／最終需要部門計（百万円）,Ｒ97／生産額（百万円）
中間投入／Ａ27／非鉄金属（百万円）,0,1,1888,0,1482,2948,0,428,954,1937,34869,10967,9064,8934,20687,33823,36513,31615,22503,12968,91837,315,173,6,236,0,0,56,1026,1884,233,11128,74,4525,3890,229,7287,0,354480,354480,337,0,18821,1134,0,0,1681,-362,1299,22910,377390,19915,19915,71887,91802,114712,469192,-112520,-342,-5643,-118505,-256533,0,-209,-375247,-260535,93945
中間投入／Ａ28／金属製品（百万円）,55,171,12925,428,5429,5703,0,2238,580,92,80,14004,8157,12902,17341,9890,18124,13512,7841,9085,605298,1185,677,93,51322,877,2470,5535,5651,66811,692,2911,935,14376,26903,86,3651,0,928030,928030,7491,0,32608,1232,8,390,51983,204,402,94318,1022348,9984,9984,149570,159554,253872,1181902,-80071,-423,-4002,-84496,-842252,0,-32,-926780,-672908,255122
中間投入／Ａ29／はん用機械（百万円）,0,8,0,0,228,17,0,37,59,17,0,123,29248,18466,5755,1057,3499,1302,4067,1860,39109,0,3639,0,41,0,0,510,179,3892,0,4,0,77914,55,0,0,0,191086,191086,0,0,1370,0,0,24733,354885,228,544,381760,572846,13506,13506,160053,173559,555319,746405,-66907,0,-3345,-70252,-480887,0,0,-551139,4180,195266
中間投入／Ａ30／生産用機械（百万円）,0,14,0,0,39,0,1,251,24,34,5,109,848,46816,833,1521,2301,374,499,321,303,21,105,0,43,0,0,238,31,132,0,0,0,117435,84,0,0,0,172382,172382,0,0,768,45,0,17350,582225,1071,2261,603720,776102,80313,80313,259959,340272,943992,1116374,-86464,0,-4323,-90787,-628276,0,0,-719063,224929,397311
中間投入／Ａ31／業務用機械（百万円）,116,0,0,0,0,0,0,0,0,0,0,0,505,2621,22688,0,1104,220,461,69,1091,0,58,21,22295,177,0,169,4708,51915,0,68873,0,78791,5785,6075,0,0,267742,267742,626,0,28100,2294,13,28332,621699,5046,3538,689648,957390,106420,106420,317134,423554,1113202,1380944,-190557,-49,-9527,-200133,-669669,0,-377,-870179,243023,510765
中間投入／Ａ32／電子部品（百万円）,0,0,0,0,5,1,0,0,0,0,8,114,1114,3841,72360,126605,166760,198296,3962,11317,2068,8,8,0,216,373,0,28,24371,30276,3814,56,0,131177,27,6438,0,485,783243,783728,247,0,19877,1968,0,0,0,2348,777,25217,808945,28331,28331,305178,333509,358726,1142454,-184339,0,-9217,-193556,-485921,0,-209,-679686,-320960,462768
中間投入／Ａ33／電気機械（百万円）,44,2,0,0,43,1,0,2,2,0,1,87,4223,10422,9610,6629,63058,11526,20586,2697,51598,4,72,0,3636,40,160,1204,6083,23424,2400,1002,0,61337,1302,0,1199,2605,282394,284999,12999,0,353064,23080,0,80520,501285,15445,3058,989451,1274450,103343,103343,451107,554450,1543901,1828900,-306485,-16,-15290,-321791,-767919,0,-1031,-1090741,453160,738159
中間投入／Ａ34／情報・通信機器（百万円）,0,0,9,0,0,9,0,10,1,0,0,5,119,155,49,57,66,25574,4594,77,13907,48,9,11,6855,2116,1818,601,10201,35031,694,434,46,16925,2100,0,0,0,121521,121521,21339,0,549491,28087,0,112090,1042676,-22539,344,1731488,1853009,19852,19852,358416,378268,2109756,2231277,-834878,0,-41672,-876550,-740146,0,-3513,-1620209,489547,611068
中間投入／Ａ35／輸送機械（百万円）,1508,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,508244,0,0,0,0,0,0,0,0,150072,0,123445,325,0,0,39331,320,0,0,0,823287,823287,0,0,572071,10917,0,36866,800598,-18840,7145,1408757,2232044,375090,375090,503514,878604,2287361,3110648,-289791,0,-13939,-303730,-1702309,0,-11797,-2017836,269525,1092812
中間投入／Ａ39／その他の製造工業製品（百万円）,240,34,8763,2470,3566,3052,7,1440,1383,667,8705,235,283,885,3626,2317,2066,4544,2172,100811,24051,18902,1053,2989,83683,166591,1824,14913,484935,78216,92760,43144,30035,297808,66438,36881,1541,32117,1593030,1625147,55167,0,362462,67448,1,21565,210681,-3921,326,713729,2338876,23622,23622,542958,566580,1280309,2905456,-420570,-12112,-17081,-449763,-872259,0,-9517,-1331539,-51230,1573917
中間投入／Ａ41／建設（百万円）,473,59,1567,684,1627,2950,94,1218,1414,968,909,1550,1033,1728,2360,4454,3445,2532,3820,5433,15290,91479,67205,4111,126952,71946,421392,110496,125449,90307,109115,57481,1695,64696,65967,0,0,136914,1461899,1598813,0,0,0,0,0,1739864,3721444,0,0,5461308,7060121,0,0,0,0,5461308,7060121,0,0,0,0,0,0,0,0,5461308,7060121
中間投入／Ａ46／電力・ガス・熱供給（百万円）,518,147,13372,1944,3124,7471,358,4189,5153,3209,2659,3380,2564,3638,4902,14300,4970,3015,13882,17601,28619,109160,31947,29236,227569,43589,59893,63325,86878,73175,84589,96216,2821,118150,268088,0,8776,169284,1442427,1611711,1260,0,1047476,0,0,0,0,0,0,1048736,2660447,8108,8108,0,8108,1056844,2668555,-140,0,0,-140,-939696,0,0,-939836,117008,1728719
中間投入／Ａ47／水道（百万円）,26,18,2757,70,163,690,5,122,150,52,90,86,157,260,232,562,341,189,307,914,4624,3310,23887,6543,40717,12790,5992,22586,19249,18488,47801,42944,1371,11106,89735,0,2695,28199,361029,389228,673,0,189913,0,7384,0,0,0,0,197970,587198,484,484,0,484,198454,587682,-328,0,0,-328,0,0,0,-328,198126,587354
中間投入／Ａ48／廃棄物処理（百万円）,4,7,550,17,80,497,0,24,255,0,6,7,50,5,89,242,116,52,400,386,6415,10542,1820,0,16733,19468,234,20238,24705,73115,15491,23787,9,3110,108522,0,3183,23543,330159,353702,0,0,29416,0,165302,0,0,0,0,194718,548420,950,950,0,950,195668,549370,-42,0,0,-42,-101891,0,0,-101933,93735,447437
中間投入／Ａ51／商業（百万円）,5332,195,95976,12127,24092,30174,398,15815,8410,12284,3101,14052,12141,21545,29086,24947,41564,32705,38309,120079,458830,29609,14518,9998,327266,60459,16718,130325,312771,85749,83808,322917,18957,288698,794961,56043,13181,75164,3567140,3642304,380310,0,5160443,903579,390,66260,1089704,16878,0,7617564,11259868,434387,434387,10257998,10692385,18309949,21952253,-107449,0,0,-107449,-2284481,0,-157842,-2549772,15760177,19402481
中間投入／Ａ53／金融・保険（百万円）,795,210,3515,2217,3004,2846,108,635,2461,1238,991,3759,2040,4052,4554,2493,3429,2925,6171,9689,37499,21601,2313,2495,182036,360138,1697680,110713,54113,850974,9692,53875,33821,110773,61015,0,9427,2350275,3655297,6005572,42,0,1950923,697505,0,0,0,0,0,2648470,8654042,258344,258344,1854303,2112647,4761117,10766689,-158709,0,0,-158709,-10252,0,-1666,-170627,4590490,10596062
中間投入／Ａ55／不動産（百万円）,1794,25,2063,307,508,668,12,454,632,109,50,364,624,917,947,512,1605,1330,566,3511,22145,9892,1150,1744,401644,170171,136125,78154,398679,17494,34549,152154,9970,170603,139534,0,33546,1260606,1794552,3055158,0,0,10492649,178143,4052,0,0,0,0,10674844,13730002,6690,6690,317623,324313,10999157,14054315,-327,0,0,-327,0,0,-3417,-3744,10995413,14050571
中間投入／Ａ57／運輸・郵便（百万円）,2345,2081,35513,2158,7828,10418,466,3105,9700,4973,1727,4492,3846,6875,9800,7855,14472,11817,16053,98869,194477,73535,9219,24669,557382,230779,20816,827874,307766,231558,98905,104199,17790,212681,265653,11485,56327,632277,3499508,4131785,97808,13869,2076662,516804,-17758,6358,92825,4000,0,2790568,6922353,956245,956245,1514252,2470497,5261065,9392850,-588818,0,0,-588818,-2217881,-3999,-412769,-3223467,2037598,6169383
中間投入／Ａ59／情報通信（百万円）,653,33,4275,509,1798,5100,42,1347,708,435,264,996,1449,4229,3884,4667,11141,7362,2799,8296,55574,19507,31659,5159,537518,521643,50577,59393,2156460,156548,105698,139746,30290,2579967,210928,0,26421,727506,6747075,7474581,39543,0,1663493,129769,3200,214235,1771647,-2086,479,3820280,11294861,154638,154638,9010544,9165182,12985462,20460043,-169293,0,-429,-169722,-1029749,0,-13358,-1212829,11772633,19247214
中間投入／Ａ61／公務（百万円）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198723,0,198723,198723,0,0,115117,0,5724112,0,0,0,0,5839229,6037952,0,0,0,0,5839229,6037952,0,0,0,0,0,0,0,0,5839229,6037952
中間投入／Ａ63／教育・研究（百万円）,88,15,6443,1027,2119,37120,20,4465,2003,873,1673,1093,4827,17209,26409,31796,47935,45139,49068,16191,10680,12644,296,122,46592,7573,51,16945,323387,3841,10409,26274,0,55246,6239,0,21873,535542,837685,1373227,0,0,1509507,371575,1467875,0,0,0,0,3348957,4722184,26697,26697,183611,210308,3559265,4932492,-26789,0,0,-26789,-66978,0,-61487,-155254,3404011,4777238
中間投入／Ａ64／医療・福祉（百万円）,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,4,380,0,297,1138,89,2638,3587,220,131,250672,13,430,583,0,2757,0,262967,262967,138959,0,1610539,165629,4173216,0,0,0,0,6088343,6351310,63,63,3772,3835,6092178,6355145,-709,0,0,-709,0,0,-61773,-62482,6029696,6292663
中間投入／Ａ65／その他の非営利団体サービス（百万円）,92,12,526,86,105,541,6,158,152,48,22,80,378,538,361,209,435,427,253,863,5253,1190,1190,978,4146,14149,3363,1953,15752,8,8485,8894,0,31472,20774,0,772,45284,123671,168955,0,0,489000,167054,0,0,0,0,0,656054,825009,6645,6645,0,6645,662699,831654,-11009,0,0,-11009,-68178,0,-37013,-116200,546499,715454
中間投入／Ａ66／対事業所サービス（百万円）,2104,213,27182,3218,7062,18132,479,6029,9153,1468,1158,5419,8748,15273,15494,22147,31779,23219,33301,52675,587224,114071,93164,28599,976681,790427,346406,618369,2720957,490913,294580,456259,50632,2237425,329976,0,29448,1913285,10449384,12362669,17187,0,320514,7450,0,33840,137873,0,0,516864,12879533,377988,377988,6812127,7190115,7706979,20069648,-327905,0,0,-327905,-848334,0,-3083,-1179322,6527657,18890326
中間投入／Ａ67／対個人サービス（百万円）,16,0,8198,17,16,44,0,18,9,7,2,13,24,82,51,110,128,133,93,437,1490,174,206,35,16713,2084,9276,5376,273777,5434,6425,150300,2230,47203,182657,0,2295,0,715073,715073,2241579,628969,6285303,1436195,0,0,0,0,0,10592046,11307119,156069,156069,234424,390493,10982539,11697612,-266701,0,0,-266701,-38727,-438382,-807021,-1550831,9431708,10146781
中間投入／Ａ68／事務用品（百万円）,129,4,388,60,68,127,2,34,110,16,12,35,102,219,169,168,399,285,269,1024,1350,130,446,940,21593,15669,2003,4769,10548,7296,14570,14837,1327,12099,10237,0,85,118667,121519,240186,0,0,0,0,0,0,0,0,0,0,240186,0,0,22,22,22,240208,0,0,0,0,0,0,0,0,22,240208
中間投入／Ａ69／分類不明（百万円）,2231,86,3629,1608,2830,870,149,1754,5066,690,320,1338,2620,3412,2132,813,2415,2288,5403,5211,102556,7550,5070,966,126376,36710,71771,53396,128111,10969,43401,36386,3445,153459,31079,292,0,0,856402,856402,0,0,0,0,0,0,0,0,0,0,856402,811,811,0,811,811,857213,-7748,0,0,-7748,-3597,0,0,-11345,-10534,845868
中間投入／Ｂ10／本社（百万円）,644,325,34335,9976,7990,47625,202,7891,6156,1459,1469,9412,10620,15248,34999,23401,30011,28424,23428,153366,566719,78072,0,27834,2434165,1435227,698989,395743,3195382,0,53847,20864,34231,2106339,223201,0,0,0,11717594,11717594,0,0,0,0,0,0,0,0,0,0,11717594,0,0,21010513,21010513,21010513,32728107,0,0,0,0,-5275473,0,0,-5275473,15735040,27452634
中間投入／Ｆ70／財・サービス内生部門計（百万円）,37039,3784,766283,70157,146027,299130,6929,125102,93377,138970,68417,112230,128578,238165,306688,349162,526172,463094,853054,750000,3360626,1273909,338340,147458,4019362,2607188,2865964,2895852,7974258,2645216,1196496,2994810,227291,7220384,4508509,240208,488886,8099633,50487115,58586748,3333135,642838,39594611,5753273,11546548,2381556,11078753,15672,24428,74370814,132957562,3302871,3302871,34917089,38219960,112590774,171177522,-7027159,-113056,-364115,-7504330,-25518543,-442381,-1821706,-35286960,77303814,135890562
中間投入／Ｆ71／内生部門計（百万円）,37683,4109,800618,80133,154017,346755,7131,132993,99533,140429,69886,121642,139198,253413,341687,372563,556183,491518,876482,903366,3927345,1351981,338340,175292,6453527,4042415,3564953,3291595,11169640,2645216,1250343,3015674,261522,9326723,4731710,240208,488886,8099633,62204709,70304342,3333135,642838,39594611,5753273,11546548,2381556,11078753,15672,24428,74370814,144675156,3302871,3302871,55927602,59230473,133601287,203905629,-7027159,-113056,-364115,-7504330,-30794016,-442381,-1821706,-40562433,93038854,163343196
粗付加価値／Ｅ71／家計外消費支出（行）（百万円）,2999,549,10510,1356,4093,7492,213,3990,2659,1059,601,4176,2816,6100,7501,8378,16303,12486,10470,29423,77171,19972,1478,19091,458351,301823,45634,86752,293343,134930,50349,86890,18273,283627,203960,0,2761,1115556,2217579,3333135,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ91／雇用者所得（百万円）,25599,2386,193901,34221,63977,79594,5833,118866,30883,23182,17684,98524,37496,104231,119758,94045,165191,91824,165106,448958,2530455,158479,85266,219997,6467912,2592540,618833,1663062,3484019,2544696,2759698,2649786,385559,4434916,2867419,0,22191,12126758,35406087,47532845,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ92／営業余剰（百万円）,23698,249,72541,-10185,10501,15598,1118,-7243,6863,6662,1856,4881,6533,14034,11925,-37749,-27304,-13122,-33378,96617,106864,-138493,18399,5603,3899808,2447450,5144344,242869,2221992,0,34903,143127,-3238,1717528,1041068,0,278306,3347830,17304625,20652455,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ93／資本減耗引当（百万円）,5612,593,30533,1744,5526,25532,2396,11332,6202,3826,1733,14142,6090,15001,19716,19085,17306,20164,54306,51984,322983,276720,114240,12969,1283352,1133802,4067777,668663,1675818,647171,641447,376885,44493,2570808,787313,0,46435,1197228,14983699,16180927,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ94／間接税（関税・輸入品商品税を除く。）（百万円）,5843,489,49266,3282,8010,10217,5436,6799,7413,2590,2188,11785,3147,4559,10210,6480,10525,8234,20372,43796,184257,64455,30164,14506,852441,212547,613426,237993,403486,65939,56711,87843,18548,559743,515793,0,7293,1565629,4145786,5711415,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ95／（控除）経常補助金（百万円）,-432,-1,-5043,-11,-18,-20,-46,-17,-13,-8,-3,-28,-14,-27,-32,-34,-45,-36,-546,-227,-88954,-4395,-533,-21,-12910,-134515,-4396,-21551,-1084,0,-16213,-67542,-9703,-3019,-482,0,-4,0,-371923,-371923,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｆ96／粗付加価値部門計（百万円）,63319,4265,351708,30407,92089,138413,14950,133727,54007,37311,24059,133480,56068,143898,169078,90205,181976,119550,216330,670551,3132776,376738,249014,272145,12948954,6553647,10485618,2877788,8077574,3392736,3526895,3276989,453932,9563603,5415071,0,356982,19353001,73685853,93038854,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｆ97／生産額（百万円）,101002,8374,1152326,110540,246106,485168,22081,266720,153540,177740,93945,255122,195266,397311,510765,462768,738159,611068,1092812,1573917,7060121,1728719,587354,447437,19402481,10596062,14050571,6169383,19247214,6037952,4777238,6292663,715454,18890326,10146781,240208,845868,27452634,135890562,163343196,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１-１（３）　平成23年（2011年）東京都産業連関表　地域内表　（取引基本表、統合大分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
