分類コード／部門名,Ｐ71／都事業所家計外消費支出,Ｐ61／他県事業所家計外消費支出,Ｐ72／民間消費支出（他県民支出を除く。）,Ｐ92／他県民支出,Ｐ73／一般政府消費支出,Ｐ74／都内総固定資本形成（公的）,Ｐ75／都内総固定資本形成（民間）,Ｐ76／在庫純増,Ｐ77／調整項,Ｐ80／輸出,Ｐ81／移出,平均
Ａ65／その他の非営利団体サービス,0.001338,0.001725,0.011421,0.025894,0.001058,0.000868,0.000623,0.000258,0.000094,0.003014,0.001387,0.005355
Ａ66／対事業所サービス,0.051175,0.046112,0.061921,0.055711,0.100641,0.10689,0.081969,0.048513,0.007987,0.213078,0.230448,0.141393
Ａ67／対個人サービス,0.591165,0.858173,0.141441,0.220638,0.009214,0.001923,0.002603,0.00082,0.000316,0.050227,0.008033,0.075948
Ａ68／事務用品,0.001108,0.001164,0.001007,0.001217,0.002295,0.000674,0.000619,0.001221,0.000101,0.00129,0.002676,0.001798
Ａ69／分類不明,0.004368,0.004316,0.005413,0.004882,0.006489,0.013174,0.008002,0.005107,0.000787,0.009088,0.006456,0.006331
Ｂ10／本社,0.027276,0.023618,0.038689,0.037342,0.023381,0.057184,0.046883,0.052612,0.005386,0.061104,0.437557,0.205482
Ｆ70／財・サービス内生部門計,0.990826,1.117799,0.985803,0.904824,1.379793,1.133811,0.823987,0.902689,0.141093,1.338637,0.991129,1.017135
合計,1.018102,1.141417,1.024492,0.942166,1.403174,1.190995,0.870871,0.955302,0.146479,1.399741,1.428686,1.222617
,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,
１-５　平成23年（2011年）最終需要項目別生産誘発係数表　（地域内表、統合大分類）,,,,,,,,,,,,
