区分／分類コード／部門名,中間需要／Ｋ1／農林水産業（百万円）,中間需要／Ｋ2／鉱業（百万円）,中間需要／Ｋ3／製造業（百万円）,中間需要／Ｋ4／建設（百万円）,中間需要／Ｋ5／電力・ガス・水道（百万円）,中間需要／Ｋ6／商業（百万円）,中間需要／Ｋ7／金融・保険（百万円）,中間需要／Ｋ8／不動産（百万円）,中間需要／Ｋ9／運輸・郵便（百万円）,中間需要／Ｋ10／情報通信（百万円）,中間需要／Ｋ11／公務（百万円）,中間需要／Ｋ12／サービス（百万円）,中間需要／Ｋ13／分類不明（百万円）,中間需要／Ｌ1／本社（百万円）,中間需要／Ｒ1／財・サービス内生部門計（百万円）,中間需要／Ｒ2／内生部門計（百万円）,最終需要／Ｐ1／都事業所家計外消費支出（百万円）,最終需要／Ｐ2／他県事業所家計外消費支出（百万円）,最終需要／Ｐ3／民間消費支出（他県民支出を除く。）（百万円）,最終需要／Ｐ4／他県民支出（百万円）,最終需要／Ｐ5／一般政府消費支出（百万円）,最終需要／Ｐ6／都内総固定資本形成（百万円）,最終需要／Ｐ7／在庫純増（百万円）,最終需要／Ｐ8／調整項（百万円）,最終需要／Ｒ3／都内最終需要計（百万円）,最終需要／Ｒ4／都内需要合計（百万円）,最終需要／Ｐ9／輸出（百万円）,最終需要／Ｒ5／輸出計（百万円）,最終需要／Ｐ10／移出（百万円）,最終需要／Ｒ6／移輸出計（百万円）,最終需要／Ｒ7／最終需要計（百万円）,最終需要／Ｒ8／需要合計,Ｐ11／（控除）輸入,Ｒ9／(控除）輸入計,Ｐ12／移入,Ｑ1／都事業所家計外消費支出,Ｑ2／都民支出,Ｒ10／（控除）移輸入計,Ｒ11／最終需要部門計,Ｒ12／生産額
中間投入／Ａ11／公務（百万円）,0,0,0,0,0,0,0,0,0,0,0,0,198723,0,198723,198723,0,0,115117,0,5724112,0,0,0,5839229,6037952,0,0,0,0,5839229,6037952,0,0,0,0,0,0,5839229,6037952
中間投入／Ａ12／サービス（百万円）,2304,247,594714,611068,235681,1061162,834839,359419,665519,3362165,573531,4357962,60328,2517654,12718939,15236593,2397725,628969,10244279,2147903,5806393,171713,0,0,21396982,36633575,568412,568412,7233934,7802346,29199328,44435921,-633155,-633155,-1124108,-438382,-970377,-3166022,26033306,41269899
中間投入／Ａ13／分類不明（百万円）,2231,86,42840,102556,12620,126376,36710,71771,53396,128111,10969,268736,0,0,856402,856402,0,0,0,0,0,0,0,0,0,856402,811,811,0,811,811,857213,-7748,-7748,-3597,0,0,-11345,-10534,845868
中間投入／Ｂ1／本社（百万円）,644,325,446012,566719,78072,2434165,1435227,698989,395743,3195382,0,2466316,0,0,11717594,11717594,0,0,0,0,0,0,0,0,0,11717594,0,0,21010513,21010513,21010513,32728107,0,0,-5275473,0,0,-5275473,15735040,27452634
中間投入／Ｆ1／財・サービス内生部門計（百万円）,37039,3784,5681743,3360626,1612249,4019362,2607188,2865964,2895852,7974258,2645216,16294948,488886,8099633,50487115,58586748,3333135,642838,39594611,5753273,11546548,13460309,15672,24428,74370814,132957562,3302871,3302871,34917089,38219960,112590774,171177522,-7504330,-7504330,-25518543,-442381,-1821706,-35286960,77303814,135890562
中間投入／Ｆ2／内生部門計（百万円）,37683,4109,6127755,3927345,1690321,6453527,4042415,3564953,3291595,11169640,2645216,18761264,488886,8099633,62204709,70304342,3333135,642838,39594611,5753273,11546548,13460309,15672,24428,74370814,144675156,3302871,3302871,55927602,59230473,133601287,203905629,-7504330,-7504330,-30794016,-442381,-1821706,-40562433,93038854,163343196
粗付加価値／Ｅ1／家計外消費支出（行）（百万円）,2999,549,129626,77171,21450,458351,301823,45634,86752,293343,134930,662190,2761,1115556,2217579,3333135,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ2／雇用者所得（百万円）,25599,2386,1893274,2530455,243745,6467912,2592540,618833,1663062,3484019,2544696,13317375,22191,12126758,35406087,47532845,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ3／営業余剰（百万円）,23698,249,120148,106864,-120094,3899808,2447450,5144344,242869,2221992,0,2938991,278306,3347830,17304625,20652455,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ4／資本減耗引当（百万円）,5612,593,306618,322983,390960,1283352,1133802,4067777,668663,1675818,647171,4433915,46435,1197228,14983699,16180927,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ5／間接税（関税・輸入品商品税を除く。）（百万円）,5843,489,214309,184257,94619,852441,212547,613426,237993,403486,65939,1253144,7293,1565629,4145786,5711415,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｅ6／（控除）経常補助金（百万円）,-432,-1,-6168,-88954,-4928,-12910,-134515,-4396,-21551,-1084,0,-96980,-4,0,-371923,-371923,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／Ｆ3／粗付加価値部門計（百万円）,63319,4265,2657807,3132776,625752,12948954,6553647,10485618,2877788,8077574,3392736,22508635,356982,19353001,73685853,93038854,,,,,,,,,,,,,,,,,,,,,,,,
Ｆ4／生産額（百万円）,101002,8374,8785562,7060121,2316073,19402481,10596062,14050571,6169383,19247214,6037952,41269899,845868,27452634,135890562,163343196,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１-１（４）　平成23年（2011年）東京都産業連関表　地域内表　（取引基本表、14部門分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
