地域／分類コード／部門名,東京都地域／Ｐ71／都事業所家計外消費支出（百万円）,東京都地域／Ｐ61／他県事業所家計外消費支出（百万円）,東京都地域／Ｐ72／民間消費支出（他県民支出を除く。）（百万円）,東京都地域／Ｐ92／他県民支出（百万円）,東京都地域／Ｐ73／一般政府消費支出（百万円）,東京都地域／Ｐ74／都内総固定資本形成（公的）（百万円）,東京都地域／Ｐ75／都内総固定資本形成（民間）（百万円）,東京都地域／Ｐ76／在庫純増（百万円）,東京都地域／Ｐ77／調整項（百万円）,東京都地域／Ｒ81／都：輸出計（百万円）,東京都地域／東京都地域計（百万円）,その他地域／Ｑ71／都事業所家計外消費支出（百万円）,その他地域／Ｑ61／他県事業所家計外消費支出（百万円）,その他地域／Ｑ72／都民支出（百万円）,その他地域／Ｑ92／民間消費支出（都民支出を除く。）（百万円）,その他地域／Ｑ73／一般政府消費支出（百万円）,その他地域／Ｑ74／他地域内総固定資本形成（公的）（百万円）,その他地域／Ｑ75／他地域内総固定資本形成（民間）（百万円）,その他地域／Ｑ76／在庫純増（百万円）,その他地域／Ｑ77／調整項（百万円）,その他地域／Ｓ81／他：輸出計（百万円）,その他地域／その他地域計（百万円）,合計（百万円）
その他地域／Ｃ34／情報・通信機器（百万円）,12586,134,263835,14192,17606,49373,396704,-12797,17,3479,745129,105,37548,2378,1969512,41438,412296,1719861,-59624,45675,2377040,6546228,7291357
その他地域／Ｃ35／輸送機械（百万円）,12734,2388,996577,47487,132039,60322,1127075,-34781,1945,286424,2632210,2545,66255,39261,9164208,958271,459713,7073373,-527417,552085,24058185,41846480,44478690
その他地域／Ｃ39／その他の製造工業製品（百万円）,44573,3980,349395,59492,92334,30929,212756,-981,81,27730,820289,4226,220525,23543,3771944,864714,228474,1116503,-872,27032,1305908,7561997,8382286
その他地域／Ｃ41／建設（百万円）,11159,1781,125531,18674,27392,12544,66741,-166,57,15475,279188,4951,106056,21272,4685513,1420575,14946674,23038580,12898,17087,921571,45175176,45454364
その他地域／Ｃ46／電力・ガス・熱供給（百万円）,51533,10923,832783,80087,155461,40309,206516,-660,224,58884,1436059,18264,351897,54125,11202590,1802736,425249,1470518,31718,52249,2613154,18022500,19458559
その他地域／Ｃ47／水道（百万円）,4018,625,39361,7110,8024,2933,16905,25,13,4335,83351,5445,94054,14734,2972941,339514,48288,156699,3312,4319,257385,3896690,3980041
その他地域／Ｃ48／廃棄物処理（百万円）,8099,2264,64445,10120,32042,2753,13711,2,11,5331,138777,5938,93090,13666,1153678,1579411,46492,125814,1668,2567,156585,3178910,3317687
その他地域／Ｃ51／商業（百万円）,153249,23727,1561829,273155,235794,121105,750376,4931,443,245110,3369719,37812,1796180,256835,44791426,3553226,1724193,7952879,155451,102197,10513414,70883613,74253332
その他地域／Ｃ53／金融・保険（百万円）,15683,2499,182010,30359,35636,15823,87239,-123,61,21811,390998,5513,127745,28686,17013422,1271753,261406,789205,10495,17036,1581594,21106853,21497851
その他地域／Ｃ55／不動産（百万円）,14922,2381,168651,28130,31531,14200,79249,114,51,22196,361425,10168,215386,40264,53153052,1373691,245136,784240,11140,13076,929384,56775537,57136962
その他地域／Ｃ57／運輸・郵便（百万円）,154182,21106,1347067,241446,318023,95493,479549,2833,357,266418,2926473,28200,812141,467022,20694421,3286037,1183075,3734990,85047,68748,8778498,39138178,42064651
その他地域／Ｃ59／情報通信（百万円）,32161,6153,387087,62247,112629,51605,338166,36,102,65391,1055578,11811,368102,54898,16729249,2020868,946111,4163554,6027,23108,1533737,25857465,26913043
その他地域／Ｃ61／公務（百万円）,1794,301,18418,3247,3099,1590,10224,6,7,2061,40748,543,13618,2883,1392504,31547567,68943,164959,2292,2407,130778,33326494,33367242
その他地域／Ｃ63／教育・研究（百万円）,20650,2665,268792,35101,79488,28097,225046,-1893,193,35139,693278,2841,93340,76805,8312057,15540853,283172,1560703,18239,74836,3403742,29366588,30059866
その他地域／Ｃ64／医療・福祉（百万円）,247,39,2298,416,462,159,894,4,1,343,4862,73,470900,64271,11715693,41701619,2936,9391,206,132,12344,53977566,53982428
その他地域／Ｃ65／その他の非営利団体サービス（百万円）,2733,504,69102,19515,6552,2538,14036,-1,10,3253,118241,1384,26143,40938,3798470,135138,40253,124085,2016,2746,160729,4331903,4450144
その他地域／Ｃ66／対事業所サービス（百万円）,84667,14427,1037437,160511,242277,84999,469804,-294,337,138445,2232610,27766,707093,146759,20958509,7001214,2352537,7348415,58685,92962,6344317,45038256,47270866
その他地域／Ｃ67／対個人サービス（百万円）,6477,694,43671,7131,2515,1026,6624,72,3,1593,69808,436176,6233898,803601,33646986,868767,20345,73316,1020,2249,451175,42537533,42607341
その他地域／Ｃ68／事務用品（百万円）,1991,318,23207,3871,4351,2011,11594,-9,8,2791,50132,994,21576,3946,454819,291062,29586,101159,1404,2211,127938,1034696,1084828
その他地域／Ｃ69／分類不明（百万円）,7968,1335,81785,14418,13761,7060,45401,29,30,9150,180936,2411,60470,12800,1742712,524881,306134,732487,10176,10689,580710,3983471,4164407
その他地域／Ｄ10／本社（百万円）,149100,25598,2087210,328234,391999,181317,879348,-110,555,245223,4288474,30109,750850,136457,18476318,3051754,2188961,6223041,61830,101295,5998732,37019347,41307821
その他地域／Ｇ70／他：財・サービス内生部門計（百万円）,1607949,254419,17102307,2955850,3217171,1532805,9763146,-26572,8142,1961870,38377087,718580,15154329,2756121,343109217,130189449,31771112,98648533,1520008,2771095,138768763,765407207,803784294
その他地域／Ｇ71／他：内生部門計（百万円）,1757049,280017,19189518,3284084,3609169,1714122,10642494,-26682,8697,2207093,42665561,748688,15905179,2892578,361585535,133241203,33960073,104871574,1581838,2872391,144767494,802426554,845092115
Ｈ71／内生部門計（百万円）,5057587,1129424,61408748,9487832,20177662,4630897,20909259,-7159,20475,6530262,129344987,799937,17313705,3180496,397162316,140292275,38108660,120813354,1701484,3053197,156664901,879090324,1008435311
,,,,,,,,,,,,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,,,,,,,,,,,,
２-４　平成23年（2011年）最終需要項目別生産誘発額表　（地域間表、統合大分類）,,,,,,,,,,,,,,,,,,,,,,,
