区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
労働力人口比率／平成22年平均,2010,74.2,36.4,93.8,96.4,96.2,86.7,34.5,-0.3,-1.9,-0.5,-0.3,-0.2,0.2,0.1,-,-,-,-,-,-,-
労働力人口比率／平成23年平均,2011,74.2,34.7,93.3,96.2,96.3,86.9,35,0,-1.7,-0.5,-0.2,0.1,0.2,0.5,-,-,-,-,-,-,-
就業率／平成20年平均,2008,73.2,41,90.7,94.3,93.7,84.9,34.6,…,…,…,…,…,…,…,-,-,-,-,-,-,-
就業率／平成21年平均,2009,71.2,35.7,88.6,93.1,93.2,82.9,33.1,-2.1,-5.3,-2,-1.2,-0.5,-2,-1.5,-,-,-,-,-,-,-
就業率／平成22年平均,2010,69.9,31.7,87.2,92.2,92.5,81.3,33,-1.2,-4,-1.4,-1,-0.7,-1.6,-0.1,-,-,-,-,-,-,-
就業率／平成23年平均,2011,70.5,31.6,87.6,91.9,93.3,81.7,34,0.6,-0.1,0.4,-0.3,0.8,0.4,1,-,-,-,-,-,-,-
完全失業率／平成13年平均,2001,5.3,10.4,5.5,3.5,4,7.2,3.5,0.3,1.2,0.6,0,0.1,0.4,0.3,-,-,-,-,-,-,-
完全失業率／平成14年平均,2002,5.6,11.4,6,3.7,4.1,7.4,2.9,0.3,1,0.5,0.2,0.1,0.2,-0.6,-,-,-,-,-,-,-
完全失業率／平成15年平均,2003,4.9,9,4.8,3.6,4.1,6.2,4,-0.7,-2.4,-1.2,-0.1,0,-1.2,1.1,-,-,-,-,-,-,-
完全失業率／平成16年平均,2004,5,9.5,6.3,3.4,3.8,5.4,2.8,0.1,0.5,1.5,-0.2,-0.3,-0.8,-1.2,-,-,-,-,-,-,-
完全失業率／平成17年平均,2005,4.7,8.7,5.3,4,3.6,5.3,3.6,-0.3,-0.8,-1,0.6,-0.2,-0.1,0.8,-,-,-,-,-,-,-
完全失業率／平成18年平均,2006,4.3,6.2,5.8,3.3,3.1,4.7,2.7,-0.4,-2.5,0.5,-0.7,-0.5,-0.6,-0.9,-,-,-,-,-,-,-
完全失業率／平成19年平均,2007,3.7,5.6,4.9,3.2,2.7,3.5,2.8,-0.6,-0.6,-0.9,-0.1,-0.4,-1.2,0.1,-,-,-,-,-,-,-
完全失業率／平成20年平均,2008,3.6,6.2,4.8,2.9,2.6,3.2,3.2,-0.1,0.6,-0.1,-0.3,-0.1,-0.3,0.4,-,-,-,-,-,-,-
完全失業率／平成21年平均,2009,4.4,6.6,6,3.7,3.5,4.1,3.8,0.8,0.4,1.2,0.8,0.9,0.9,0.6,-,-,-,-,-,-,-
完全失業率／平成22年平均,2010,5.7,13,7,4.5,4,6.2,4.1,1.3,6.4,1,0.8,0.5,2.1,0.3,-,-,-,-,-,-,-
完全失業率／平成23年平均,2011,4.9,8.8,6.1,4.4,3.3,5.9,2.8,-0.8,-4.2,-0.9,-0.1,-0.7,-0.3,-1.3,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成23年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
