年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち常雇（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち常雇（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち常雇（千人）
実数／平成23年１～３月平均,2011,01～03,6844,581,116,6107,5312,3980,424,16,3518,3234,2864,156,100,2589,2078
実数／平成23年４～６月平均,2011,04～06,6881,584,133,6118,5322,4054,429,22,3582,3301,2827,155,111,2536,2020
実数／平成23年７～９月平均,2011,07～09,6678,555,114,5969,5155,3934,396,17,3501,3199,2744,159,97,2468,1956
実数／平成23年10～12月平均,2011,10～12,6774,546,108,6092,5278,3968,390,18,3546,3244,2806,156,90,2546,2034
対前年・前年同期増減数／平成17年平均,2005,,74,21,-13,57,42,20,-1,5,12,6,54,23,-18,46,36
対前年・前年同期増減数／平成18年平均,2006,,104,-34,-1,134,142,39,-15,0,51,57,65,-20,-1,82,85
対前年・前年同期増減数／平成19年平均,2007,,275,0,-14,286,260,214,-2,-6,223,211,62,2,-7,63,48
対前年・前年同期増減数／平成20年平均,2008,,53,-10,-17,89,108,25,-13,-6,45,52,27,3,-12,43,57
対前年・前年同期増減数／平成21年平均,2009,,-104,20,-7,-120,-129,-107,3,-2,-106,-93,3,17,-5,-13,-36
対前年・前年同期増減数／平成22年平均,2010,,-53,-16,0,-41,-40,-70,-18,2,-57,-69,17,2,-2,16,29
対前年・前年同期増減数／平成23年平均,2011,,67,-5,-1,77,107,43,11,-3,39,53,24,-15,2,38,54
対前年・前年同期増減数／平成18年４～６月平均,2006,04～06,241,-25,17,256,211,106,-7,6,117,115,135,-19,11,140,95
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,150,-56,-8,202,233,83,-33,-10,117,100,67,-23,3,85,133
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,-97,15,16,-125,-23,-50,21,9,-74,-33,-47,-6,7,-51,11
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,250,1,-7,251,185,215,17,-9,217,210,35,-16,2,33,-26
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,229,31,11,159,133,206,30,1,158,137,23,1,10,1,-3
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,318,19,-26,340,306,198,-5,-9,224,212,121,24,-18,116,93
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,304,-50,-32,391,417,238,-49,-8,293,287,66,-1,-24,98,129
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,128,6,-2,140,244,53,-16,0,70,117,75,22,-2,70,127
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,-11,-34,-45,83,115,-23,-13,-13,5,20,12,-22,-33,77,96
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,-46,-12,-17,-20,-8,27,-12,-3,38,39,-73,0,-13,-58,-46
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,140,-3,-6,154,81,44,-13,-7,68,31,96,10,1,85,51
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,-80,-2,-22,-56,-62,-66,-6,-3,-52,-64,-15,4,-19,-5,2
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,-46,55,1,-109,-112,-93,3,7,-101,-93,46,53,-5,-8,-19
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,-131,-7,-12,-121,-152,-115,-6,-9,-104,-82,-16,0,-2,-17,-69
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,-158,34,6,-192,-190,-155,21,-1,-169,-134,-3,13,8,-22,-58
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,-26,7,-18,-21,23,-72,-4,-10,-69,-54,47,11,-8,49,77
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,-111,-6,3,-107,-101,-132,-26,-3,-102,-106,22,21,6,-5,4
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,-118,-33,2,-87,-125,-73,-18,9,-60,-103,-45,-15,-8,-27,-23
対前年・前年同期増減数／平成22年10～12月平均,2010,10～12,42,-33,11,50,43,-2,-23,12,4,-15,45,-10,-2,46,58
対前年・前年同期増減数／平成23年１～３月平均,2011,01～03,99,16,15,71,51,11,22,5,-11,-24,88,-7,10,82,75
対前年・前年同期増減数／平成23年４～６月平均,2011,04～06,160,-8,13,161,229,158,28,0,134,170,2,-37,13,27,58
対前年・前年同期増減数／平成23年７～９月平均,2011,07～09,22,15,-5,12,71,-5,13,-8,-13,20,27,1,3,25,51
対前年・前年同期増減数／平成23年10～12月平均,2011,10～12,-17,-39,-27,62,77,7,-21,-10,45,46,-25,-18,-17,17,32
,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成23年10～12月期平均）,,,,,,,,,,,,,,,,,
第３表　従業上の地位別就業者数,,,,,,,,,,,,,,,,,
