男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
対前年増減数／男／平成18年平均,2006,37,23,39,34,33,4,-3,5,-15,0,51,57,-16,17,5,7,5,-0.1,…,-0.4
対前年増減数／男／平成19年平均,2007,145,198,214,217,200,-1,18,-4,-2,-6,223,211,-16,-55,9,-51,-13,1.6,…,-0.6
対前年増減数／男／平成20年平均,2008,28,22,25,18,28,-6,-5,8,-13,-6,45,52,-3,9,-4,-1,14,0,…,-0.1
対前年増減数／男／平成21年平均,2009,15,-77,-107,-115,-101,10,-23,8,3,-2,-106,-93,30,90,-1,28,64,-1.5,-2.1,0.8
対前年増減数／男／平成22年平均,2010,-2,-18,-70,-60,-73,4,9,-10,-18,2,-57,-69,52,15,5,-2,11,-0.3,-1.2,1.3
対前年増減数／男／平成23年平均,2011,14,10,43,42,63,-5,-16,1,11,-3,39,53,-33,6,10,-7,3,0,0.6,-0.8
対前年増減数／女／平成13年平均,2001,39,9,11,-2,2,0,-3,13,-17,-3,31,4,-3,31,-7,-21,61,-0.2,…,-0.1
対前年増減数／女／平成14年平均,2002,102,60,45,44,28,22,-7,1,-1,1,41,33,16,41,-25,9,57,0.2,…,0.5
対前年増減数／女／平成15年平均,2003,49,17,22,20,6,-1,15,1,6,-5,20,14,-5,32,70,-1,-38,-0.2,…,-0.2
対前年増減数／女／平成16年平均,2004,36,27,34,37,59,-10,-13,-1,-12,-5,54,29,-7,10,-25,1,33,0.2,…,-0.4
対前年増減数／女／平成17年平均,2005,41,49,54,51,11,34,7,2,23,-18,46,36,-4,-10,-34,-20,45,0.5,…,-0.2
対前年増減数／女／平成18年平均,2006,43,49,65,65,40,17,9,0,-20,-1,82,85,-17,-4,-53,9,40,0.5,…,-0.7
対前年増減数／女／平成19年平均,2007,107,63,62,48,40,6,1,14,2,-7,63,48,2,43,23,-35,55,0.2,…,0
対前年増減数／女／平成20年平均,2008,31,31,27,32,39,-3,-4,-5,3,-12,43,57,3,3,-2,-2,7,0.3,…,0.1
対前年増減数／女／平成21年平均,2009,21,33,3,-21,-6,-19,4,24,17,-5,-13,-36,30,-13,-65,-9,62,0.4,-0.1,0.9
対前年増減数／女／平成22年平均,2010,17,21,17,14,6,12,-4,3,2,-2,16,29,4,-5,22,-2,-25,0.2,0.2,0.1
対前年増減数／女／平成23年平均,2011,25,9,24,30,16,24,-10,-6,-15,2,38,54,-14,19,31,32,-45,-0.1,0.3,-0.5
,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成23年平均）,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,
