区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,144,215,-71,-33,78,112,-34,-30.4,66,103,-37,-35.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,117,139,-22,-15.8,58,63,-5,-7.9,59,76,-17,-22.4
〔就業者の主な産業別内訳〕／建設業,429,402,27,6.7,358,337,21,6.2,72,65,7,10.8
〔就業者の主な産業別内訳〕／製造業,776,764,12,1.6,533,542,-9,-1.7,243,222,21,9.5
〔就業者の主な産業別内訳〕／情報通信業,531,597,-66,-11.1,370,447,-77,-17.2,160,150,10,6.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,376,343,33,9.6,310,286,24,8.4,66,57,9,15.8
〔就業者の主な産業別内訳〕／卸売業，小売業,1172,1086,86,7.9,603,558,45,8.1,569,529,40,7.6
〔就業者の主な産業別内訳〕／金融業，保険業,290,278,12,4.3,158,141,17,12.1,132,136,-4,-2.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,253,204,49,24,168,123,45,36.6,86,81,5,6.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,404,404,0,0,274,254,20,7.9,129,150,-21,-14
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,424,515,-91,-17.7,204,259,-55,-21.2,220,257,-37,-14.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,258,286,-28,-9.8,132,124,8,6.5,127,162,-35,-21.6
〔就業者の主な産業別内訳〕／教育，学習支援業,316,325,-9,-2.8,133,134,-1,-0.7,183,191,-8,-4.2
〔就業者の主な産業別内訳〕／医療，福祉,569,574,-5,-0.9,156,153,3,2,413,421,-8,-1.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,626,576,50,8.7,329,304,25,8.2,298,272,26,9.6
〔雇用者の主な産業別内訳〕／建設業,351,332,19,5.7,289,275,14,5.1,62,58,4,6.9
〔雇用者の主な産業別内訳〕／製造業,734,720,14,1.9,507,516,-9,-1.7,227,204,23,11.3
〔雇用者の主な産業別内訳〕／情報通信業,510,575,-65,-11.3,356,433,-77,-17.8,154,142,12,8.5
〔雇用者の主な産業別内訳〕／運輸業，郵便業,322,302,20,6.6,258,247,11,4.5,63,55,8,14.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1057,979,78,8,544,498,46,9.2,513,481,32,6.7
〔雇用者の主な産業別内訳〕／金融業，保険業,288,277,11,4,156,141,15,10.6,132,136,-4,-2.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,218,168,50,29.8,148,105,43,41,70,63,7,11.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,300,286,14,4.9,202,175,27,15.4,98,110,-12,-10.9
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,348,454,-106,-23.3,165,228,-63,-27.6,183,226,-43,-19
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,192,209,-17,-8.1,97,92,5,5.4,95,116,-21,-18.1
〔雇用者の主な産業別内訳〕／教育，学習支援業,277,282,-5,-1.8,122,128,-6,-4.7,155,154,1,0.6
〔雇用者の主な産業別内訳〕／医療，福祉,535,520,15,2.9,138,125,13,10.4,398,395,3,0.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,596,542,54,10,309,280,29,10.4,287,261,26,10
〔非農林業雇用者の従業者規模別内訳〕／総数,6116,5953,163,2.7,3580,3446,134,3.9,2536,2507,29,1.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1744,1756,-12,-0.7,1001,994,7,0.7,743,761,-18,-2.4
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1897,1838,59,3.2,1074,1039,35,3.4,823,799,24,3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1954,1943,11,0.6,1179,1175,4,0.3,775,769,6,0.8
〔完全失業率（年齢階級別）(%)〕／総数,4.9,6.3,-1.4,,4.9,7,-2.1,,4.9,5.3,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.5,17.7,-11.2,,7.9,22.4,-14.5,,5.5,12.9,-7.4,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.8,6.1,-0.3,,6.4,7.1,-0.7,,4.8,4.8,0,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,5.5,5.3,0.2,,4.8,5.2,-0.4,,6.5,5.3,1.2,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.7,4.4,-0.7,,3,5.2,-2.2,,4.9,3.4,1.5,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,5.3,6.4,-1.1,,5.9,7.2,-1.3,,4.3,5.2,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.2,4.2,-2,,2.7,4.9,-2.2,,1.5,3.2,-1.7,
〔労働力人口比率(%)〕／総数,63.3,63,0.3,,75.4,74.3,1.1,,51.4,51.9,-0.5,
,,,,,,,,,,,,
東京の労働力統計データ（平成23年４～６月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成23年４～６月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
