年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成22年10～12月平均,2010,10～12,1695,2030,1894,985,1139,1147,710,891,748
実数／平成23年１～３月平均,2011,01～03,1748,1917,1912,982,1051,1150,766,865,763
実数／平成23年４～６月平均,2011,04～06,1744,1897,1954,1001,1074,1179,743,823,775
実数／平成23年７～９月平均,2011,07～09,1670,1929,1944,972,1099,1196,698,830,748
実数／平成23年10～12月平均,2011,10～12,1747,1886,2000,1012,1059,1225,735,828,775
対前年・前年同期増減数／平成17年平均,2005,,19,16,65,13,27,12,6,-11,53
対前年・前年同期増減数／平成18年平均,2006,,55,101,26,11,51,20,44,49,6
対前年・前年同期増減数／平成19年平均,2007,,66,93,109,44,63,106,22,31,2
対前年・前年同期増減数／平成20年平均,2008,,-58,31,134,-44,33,85,-14,-2,50
対前年・前年同期増減数／平成21年平均,2009,,-90,-65,38,-50,-79,21,-40,14,17
対前年・前年同期増減数／平成22年平均,2010,,-85,27,22,-52,10,-20,-33,17,43
対前年・前年同期増減数／平成23年平均,2011,,34,-5,-5,18,-12,-7,16,8,1
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,103,167,-27,51,71,14,54,95,-40
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,-31,-44,13,-22,-43,40,-9,-1,-27
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,15,11,201,39,3,172,-24,7,29
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,52,73,22,10,68,51,42,4,-29
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,128,88,71,81,44,84,47,45,-13
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,69,202,142,45,135,118,23,67,24
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,-79,91,186,-59,93,117,-20,-2,69
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,-90,41,135,-70,9,78,-20,32,56
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,-154,-24,160,-79,8,112,-75,-31,48
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,93,14,57,32,21,32,62,-7,25
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,-18,-111,76,-5,-120,50,-13,9,26
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,-42,-100,49,-29,-80,29,-13,-20,21
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,-162,-78,125,-116,-45,65,-47,-34,60
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,-141,29,-100,-50,-70,-60,-91,100,-40
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,-45,34,-93,-23,-9,-104,-23,43,11
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,-61,-53,38,-41,-38,-13,-21,-15,52
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,-158,70,78,-95,35,33,-63,35,45
対前年・前年同期増減数／平成22年10～12月平均,2010,10～12,-74,58,67,-51,52,4,-23,5,64
対前年・前年同期増減数／平成23年１～３月平均,2011,01～03,4,79,-40,-36,20,-33,41,58,-6
対前年・前年同期増減数／平成23年４～６月平均,2011,04～06,-12,59,11,7,35,4,-18,24,6
対前年・前年同期増減数／平成23年７～９月平均,2011,07～09,93,-13,-99,75,-24,-79,18,11,-20
対前年・前年同期増減数／平成23年10～12月平均,2011,10～12,52,-144,106,27,-80,78,25,-63,27
,,,,,,,,,,,
東京の労働力統計データ（平成23年10～12月期平均）,,,,,,,,,,,
第６表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,,
