区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／建設業,428,417,11,2.6,356,360,-4,-1.1,72,56,16,28.6
〔就業者の主な産業別内訳〕／製造業,747,756,-9,-1.2,519,537,-18,-3.4,228,219,9,4.1
〔就業者の主な産業別内訳〕／情報通信業,574,598,-24,-4,411,444,-33,-7.4,164,154,10,6.5
〔就業者の主な産業別内訳〕／運輸業，郵便業,364,384,-20,-5.2,296,301,-5,-1.7,68,83,-15,-18.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1146,1118,28,2.5,586,592,-6,-1,560,525,35,6.7
〔就業者の主な産業別内訳〕／金融業，保険業,270,265,5,1.9,142,130,12,9.2,128,134,-6,-4.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,229,203,26,12.8,147,123,24,19.5,82,80,2,2.5
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,395,396,-1,-0.3,264,250,14,5.6,131,146,-15,-10.3
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,455,487,-32,-6.6,212,233,-21,-9,243,254,-11,-4.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,275,265,10,3.8,132,118,14,11.9,143,147,-4,-2.7
〔就業者の主な産業別内訳〕／教育，学習支援業,326,329,-3,-0.9,144,147,-3,-2,183,181,2,1.1
〔就業者の主な産業別内訳〕／医療，福祉,590,583,7,1.2,172,166,6,3.6,418,416,2,0.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,608,582,26,4.5,334,306,28,9.2,274,276,-2,-0.7
〔雇用者の主な産業別内訳〕／建設業,357,349,8,2.3,293,298,-5,-1.7,64,51,13,25.5
〔雇用者の主な産業別内訳〕／製造業,707,715,-8,-1.1,495,513,-18,-3.5,212,202,10,5
〔雇用者の主な産業別内訳〕／情報通信業,549,576,-27,-4.7,392,428,-36,-8.4,157,148,9,6.1
〔雇用者の主な産業別内訳〕／運輸業，郵便業,330,353,-23,-6.5,263,272,-9,-3.3,66,81,-15,-18.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1047,1014,33,3.3,534,531,3,0.6,513,483,30,6.2
〔雇用者の主な産業別内訳〕／金融業，保険業,268,261,7,2.7,140,129,11,8.5,128,132,-4,-3
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,194,170,24,14.1,130,107,23,21.5,64,63,1,1.6
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,287,287,0,0,187,179,8,4.5,100,108,-8,-7.4
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,381,410,-29,-7.1,173,195,-22,-11.3,208,216,-8,-3.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,204,7,3.4,99,90,9,10,112,115,-3,-2.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,289,288,1,0.3,135,137,-2,-1.5,154,151,3,2
〔雇用者の主な産業別内訳〕／医療，福祉,551,531,20,3.8,148,137,11,8,403,394,9,2.3
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,571,545,26,4.8,309,281,28,10,262,264,-2,-0.8
〔非農林業雇用者の従業者規模別内訳〕／総数,6066,5987,79,1.3,3533,3493,40,1.1,2534,2495,39,1.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1727,1693,34,2,992,974,18,1.8,735,719,16,2.2
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1907,1912,-5,-0.3,1071,1083,-12,-1.1,837,829,8,1
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1953,1958,-5,-0.3,1188,1195,-7,-0.6,765,764,1,0.1
〔完全失業率（年齢階級別）(%)〕／総数,4.8,5.5,-0.7,-,4.9,5.7,-0.8,-,4.6,5.1,-0.5,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,7.5,10.2,-2.7,-,8.8,13,-4.2,-,6.2,7.8,-1.6,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.6,6.5,-0.9,-,6.1,7,-0.9,-,4.9,5.8,-0.9,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.8,4.8,0,-,4.4,4.5,-0.1,-,5.4,5.4,0,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.8,4.1,-0.3,-,3.3,4,-0.7,-,4.7,4.3,0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,5.1,5.6,-0.5,-,5.9,6.2,-0.3,-,3.9,4.6,-0.7,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.2,3.4,-1.2,-,2.8,4.1,-1.3,-,1.1,2.1,-1,-
〔就業率（%）〕／総数,59.5,59.1,0.4,-,70.5,69.9,0.6,-,48.7,48.4,0.3,-
〔労働力人口比率(%)〕／総数,62.4,62.5,-0.1,-,74.2,74.2,0,-,51,51.1,-0.1,-
,,,,,,,,,,,,
東京の労働力統計データ（平成23年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成23年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
