年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成24年10～12月平均,2012,10～12,11744,7334,7029,305,4407,62.4,4.2,5773,4284,4111,173,1487,74.2,4,5971,3050,2918,132,2920,51.1,4.3
実数／平成25年１～３月平均,2013,01～03,11744,7419,7091,328,4316,63.2,4.4,5772,4316,4105,210,1451,74.8,4.9,5971,3103,2986,117,2865,52,3.8
実数／平成25年４～６月平均,2013,04～06,11780,7568,7252,316,4202,64.2,4.2,5788,4391,4212,178,1394,75.9,4.1,5991,3177,3039,138,2808,53,4.3
実数／平成25年７～９月平均,2013,07～09,11788,7418,7102,316,4364,62.9,4.3,5793,4281,4091,190,1510,73.9,4.4,5995,3137,3011,126,2854,52.3,4
実数／平成25年10～12月平均,2013,10～12,11794,7496,7208,288,4293,63.6,3.8,5794,4274,4112,162,1517,73.8,3.8,5999,3222,3096,126,2777,53.7,3.9
実数／平成26年１～３月平均,2014,01～03,11801,7518,7244,274,4280,63.7,3.6,5797,4324,4167,158,1470,74.6,3.7,6004,3193,3077,116,2810,53.2,3.6
実数／平成26年４～６月平均,2014,04～06,11846,7714,7424,290,4125,65.1,3.8,5818,4391,4216,175,1424,75.5,4,6029,3323,3208,115,2701,55.1,3.5
実数／平成26年７～９月平均,2014,07～09,11854,7540,7240,300,4308,63.6,4,5820,4338,4172,166,1478,74.5,3.8,6033,3202,3068,134,2830,53.1,4.2
実数／平成26年10～12月平均,2014,10～12,11860,7626,7341,285,4229,64.3,3.7,5823,4358,4177,181,1464,74.8,4.2,6037,3268,3164,104,2764,54.1,3.2
対前年・対前年同期増減数／平成20年平均,2008,,60,53,53,0,13,0.1,0,28,22,25,-3,9,0,-0.1,31,31,27,3,3,0.3,0.1
対前年・対前年同期増減数／平成21年平均,2009,,36,-43,-104,61,76,-0.5,0.9,15,-77,-107,30,90,-1.5,0.8,21,33,3,30,-13,0.4,0.9
対前年・対前年同期増減数／平成22年平均,2010,,15,2,-53,55,11,-0.1,0.8,-2,-18,-70,52,15,-0.3,1.3,17,21,17,4,-5,0.2,0.1
対前年・対前年同期増減数／平成23年平均,2011,,306,303,334,-31,7,1,-0.7,121,157,181,-24,-33,1.1,-0.8,185,146,153,-7,42,0.8,-0.4
対前年・対前年同期増減数／平成24年平均,2012,,36,-14,8,-22,51,-0.4,-0.3,12,-8,8,-16,21,-0.3,-0.3,24,-6,0,-6,30,-0.3,-0.2
対前年・対前年同期増減数／平成25年平均,2013,,46,69,93,-24,-27,0.4,-0.3,19,-13,0,-13,29,-0.4,-0.3,27,82,93,-11,-57,1.2,-0.5
対前年・対前年同期増減数／平成26年平均,2014,,64,124,149,-25,-58,0.7,-0.4,28,38,53,-15,-9,0.3,-0.4,37,87,96,-10,-50,1.1,-0.4
対前年・対前年同期増減数／平成21年４～６月平均,2009,04～06,35,17,-46,63,13,0,0.9,19,-58,-93,34,74,-1.3,0.9,17,75,46,29,-60,1.1,0.9
対前年・対前年同期増減数／平成21年７～９月平均,2009,07～09,33,-43,-131,89,77,-0.6,1.3,12,-72,-115,43,84,-1.5,1,21,30,-16,46,-7,0.4,1.6
対前年・対前年同期増減数／平成21年10～12月平均,2009,10～12,31,-83,-158,75,116,-0.9,1.1,10,-103,-155,52,114,-1.9,1.4,21,19,-3,22,2,0.1,0.7
対前年・対前年同期増減数／平成22年１～３月平均,2010,01～03,20,50,-26,76,-25,0.4,1.1,3,5,-72,77,1,0.1,1.8,18,45,47,-2,-25,0.6,-0.2
対前年・対前年同期増減数／平成22年４～６月平均,2010,04～06,11,-5,-111,106,12,-0.1,1.5,-8,-38,-132,95,26,-0.6,2.3,18,33,22,11,-15,0.5,0.3
対前年・対前年同期増減数／平成22年７～９月平均,2010,07～09,9,-82,-118,36,86,-0.7,0.5,-4,-50,-73,23,47,-0.8,0.6,13,-32,-45,13,40,-0.7,0.5
対前年・対前年同期増減数／平成22年10～12月平均,2010,10～12,20,45,42,2,-31,0.3,0,2,9,-2,11,-12,0.1,0.2,19,36,45,-9,-19,0.5,-0.3
対前年・対前年同期増減数／平成23年１～３月平均,2011,01～03,318,361,357,4,-45,1.3,-0.2,123,134,144,-10,-10,0.7,-0.4,196,228,213,15,-35,2.2,0.2
対前年・対前年同期増減数／平成23年４～６月平均,2011,04～06,318,354,432,-78,-28,1.3,-1.3,128,227,299,-72,-93,2.3,-2,190,127,133,-6,65,0.4,-0.4
対前年・対前年同期増減数／平成23年７～９月平均,2011,07～09,298,256,290,-34,48,0.6,-0.6,118,119,132,-12,-1,0.5,-0.4,180,137,158,-21,49,0.8,-1
対前年・対前年同期増減数／平成23年10～12月平均,2011,10～12,292,242,256,-13,55,0.5,-0.3,115,149,148,1,-30,1.1,-0.1,176,93,107,-14,86,0,-0.6
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,21,-63,-31,-33,90,-0.6,-0.4,7,-35,-28,-6,45,-0.7,-0.1,13,-29,-2,-27,45,-0.6,-0.8
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,27,-29,-18,-11,55,-0.4,-0.2,8,19,38,-18,-12,0.2,-0.4,19,-48,-55,7,67,-0.9,0.3
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,46,79,98,-19,-31,0.4,-0.3,15,16,20,-5,1,0.1,-0.1,31,64,78,-15,-33,0.8,-0.6
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,47,-45,-18,-27,90,-0.7,-0.3,16,-35,2,-37,50,-0.8,-0.9,31,-10,-20,10,39,-0.4,0.3
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,41,24,20,5,10,0,0,14,25,20,3,-15,0.3,0.1,26,-1,-1,0,25,-0.2,0
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,47,71,117,-46,-30,0.3,-0.6,18,-43,-21,-24,61,-0.9,-0.5,28,114,136,-22,-91,1.6,-0.9
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,50,21,58,-37,24,-0.1,-0.5,22,-20,0,-20,41,-0.6,-0.5,28,40,58,-17,-16,0.4,-0.6
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,50,162,179,-17,-114,1.2,-0.4,21,-10,1,-11,30,-0.4,-0.2,28,172,178,-6,-143,2.6,-0.4
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,57,99,153,-54,-36,0.5,-0.8,25,8,62,-52,19,-0.2,-1.2,33,90,91,-1,-55,1.2,-0.2
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,66,146,172,-26,-77,0.9,-0.4,30,0,4,-3,30,-0.4,-0.1,38,146,169,-23,-107,2.1,-0.8
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,66,122,138,-16,-56,0.7,-0.3,27,57,81,-24,-32,0.6,-0.6,38,65,57,8,-24,0.8,0.2
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,66,130,133,-3,-64,0.7,-0.1,29,84,65,19,-53,1,0.4,38,46,68,-22,-13,0.4,-0.7
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成26年10～12月平均）,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態別、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,
