区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,185,170,15,8.8,87,80,7,8.8,99,90,9,10
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,834,806,28,3.5,56,67,-11,-16.4,778,739,39,5.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,180,155,25,16.1,55,68,-13,-19.1,125,87,38,43.7
〔就業者の主な産業別内訳〕／建設業,509,467,42,9,424,400,24,6,85,67,18,26.9
〔就業者の主な産業別内訳〕／製造業,741,719,22,3.1,538,562,-24,-4.3,203,157,46,29.3
〔就業者の主な産業別内訳〕／情報通信業,735,640,95,14.8,524,454,70,15.4,211,186,25,13.4
〔就業者の主な産業別内訳〕／運輸業，郵便業,420,403,17,4.2,346,349,-3,-0.9,74,54,20,37
〔就業者の主な産業別内訳〕／卸売業，小売業,1195,1148,47,4.1,597,546,51,9.3,598,602,-4,-0.7
〔就業者の主な産業別内訳〕／金融業，保険業,240,282,-42,-14.9,122,135,-13,-9.6,118,147,-29,-19.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,249,239,10,4.2,152,151,1,0.7,97,88,9,10.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,395,467,-72,-15.4,250,313,-63,-20.1,145,154,-9,-5.8
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,495,502,-7,-1.4,205,234,-29,-12.4,290,268,22,8.2
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,334,290,44,15.2,139,124,15,12.1,196,166,30,18.1
〔就業者の主な産業別内訳〕／教育，学習支援業,411,395,16,4.1,166,163,3,1.8,245,232,13,5.6
〔就業者の主な産業別内訳〕／医療，福祉,698,668,30,4.5,176,184,-8,-4.3,522,484,38,7.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,518,544,-26,-4.8,305,307,-2,-0.7,213,238,-25,-10.5
〔雇用者の主な産業別内訳〕／建設業,422,387,35,9,346,326,20,6.1,76,61,15,24.6
〔雇用者の主な産業別内訳〕／製造業,707,685,22,3.2,515,535,-20,-3.7,191,151,40,26.5
〔雇用者の主な産業別内訳〕／情報通信業,699,602,97,16.1,497,428,69,16.1,202,174,28,16.1
〔雇用者の主な産業別内訳〕／運輸業，郵便業,389,373,16,4.3,318,321,-3,-0.9,71,52,19,36.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1109,1063,46,4.3,547,498,49,9.8,562,565,-3,-0.5
〔雇用者の主な産業別内訳〕／金融業，保険業,235,276,-41,-14.9,119,130,-11,-8.5,116,146,-30,-20.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,210,206,4,1.9,129,131,-2,-1.5,81,75,6,8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,296,358,-62,-17.3,192,241,-49,-20.3,104,117,-13,-11.1
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,407,410,-3,-0.7,159,177,-18,-10.2,248,233,15,6.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,241,229,12,5.2,98,101,-3,-3,143,128,15,11.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,354,353,1,0.3,151,153,-2,-1.3,203,200,3,1.5
〔雇用者の主な産業別内訳〕／医療，福祉,663,623,40,6.4,153,161,-8,-5,509,462,47,10.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,478,499,-21,-4.2,284,286,-2,-0.7,194,214,-20,-9.3
〔非農林業雇用者の従業者規模別内訳〕／総数,6622,6464,158,2.4,3746,3732,14,0.4,2877,2732,145,5.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1778,1699,79,4.6,1010,967,43,4.4,768,732,36,4.9
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2004,1955,49,2.5,1087,1110,-23,-2.1,917,845,72,8.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2316,2241,75,3.3,1404,1367,37,2.7,911,875,36,4.1
〔完全失業率（年齢階級別）(%)〕／総数,3.8,4.2,-0.4,-,4,4.1,-0.1,-,3.5,4.3,-0.8,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.4,6.8,-1.4,-,6.3,4.5,1.8,-,4.2,8.8,-4.6,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.7,5.1,-0.4,-,5.6,4.7,0.9,-,3.4,5.4,-2,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3,3.4,-0.4,-,2.8,3.2,-0.4,-,3.4,3.8,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.5,3.8,-0.3,-,3,4.5,-1.5,-,4.3,3,1.3,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.1,4.4,-0.3,-,5.2,4.9,0.3,-,2.4,3.3,-0.9,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.4,2.3,0.1,-,2.4,2.6,-0.2,-,2.4,1.8,0.6,-
〔労働力人口比率(%)〕／総数,65.1,64.2,0.9,-,75.5,75.9,-0.4,-,55.1,53,2.1,-
,,,,,,,,,,,,
東京の労働力統計データ（平成26年4～6月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成26年4～6月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
