年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／女／平成25年平均,2013,,64,194,187,70,603,145,87,161,273,151,198,496,225
実数／女／平成23年10～12月平均,2011,10～12,73,248,179,65,559,134,82,142,243,169,206,429,296
実数／女／平成24年１～３月平均,2012,01～03,77,200,160,68,603,129,88,156,283,132,187,476,303
実数／女／平成24年４～６月平均,2012,04～06,66,212,167,64,569,126,77,132,260,135,195,431,318
実数／女／平成24年７～９月平均,2012,07～09,76,192,186,68,576,120,85,155,286,167,161,452,290
実数／女／平成24年10～12月平均,2012,10～12,73,230,158,66,553,142,81,152,264,158,192,443,270
実数／女／平成25年１～３月平均,2013,01～03,73,183,182,77,577,156,95,150,261,131,205,515,215
実数／女／平成25年４～６月平均,2013,04～06,67,157,186,54,602,147,88,154,268,166,232,484,238
実数／女／平成25年７～９月平均,2013,07～09,57,205,193,74,611,134,86,167,265,145,172,504,217
実数／女／平成25年10～12月平均,2013,10～12,61,229,188,74,623,145,78,173,298,163,182,482,229
実数／女／平成26年１～３月平均,2014,01～03,68,225,177,69,605,130,90,172,269,156,213,527,201
対前年・対前年同期増減数／男女計／平成23年平均,2011,,23,15,5,-10,74,18,32,12,-9,24,11,32,44
対前年・対前年同期増減数／男女計／平成24年平均,2012,,1,-20,-9,-29,-22,-6,0,8,24,-8,-11,25,29
対前年・対前年同期増減数／男女計／平成25年平均,2013,,-28,-17,43,40,26,6,-17,20,5,-14,35,61,-100
対前年・対前年同期増減数／男女計／平成23年10～12月平均,2011,10～12,28,1,32,-40,-12,24,30,9,-1,42,32,44,29
対前年・対前年同期増減数／男女計／平成24年１～３月平均,2012,01～03,-26,-29,16,-61,-3,18,10,0,18,-7,-17,34,75
対前年・対前年同期増減数／男女計／平成24年４～６月平均,2012,04～06,20,-33,8,-23,-44,-27,-17,-12,36,-6,19,16,1
対前年・対前年同期増減数／男女計／平成24年７～９月平均,2012,07～09,9,-52,-1,-22,15,-49,15,54,33,12,-20,36,42
対前年・対前年同期増減数／男女計／平成24年10～12月平均,2012,10～12,0,35,-58,-7,-56,34,-9,-13,7,-31,-26,16,2
対前年・対前年同期増減数／男女計／平成25年１～３月平均,2013,01～03,8,-19,-14,37,-43,38,-8,0,17,-27,45,39,-117
対前年・対前年同期増減数／男女計／平成25年４～６月平均,2013,04～06,4,-46,75,40,-23,5,-3,61,20,26,48,57,-103
対前年・対前年同期増減数／男女計／平成25年７～９月平均,2013,07～09,-78,17,51,35,33,6,-31,19,-20,-46,58,73,-127
対前年・対前年同期増減数／男女計／平成25年10～12月平均,2013,10～12,-48,-16,58,49,138,-25,-24,1,6,-8,-10,75,-54
対前年・対前年同期増減数／男女計／平成26年１～３月平均,2014,01～03,-2,69,37,-1,64,-34,0,40,-46,33,18,1,-68
対前年・対前年同期増減数／男／平成23年平均,2011,,5,-4,-15,3,14,17,27,21,-10,19,2,12,36
対前年・対前年同期増減数／男／平成24年平均,2012,,3,9,-3,-25,-11,1,2,-3,5,-4,-4,12,18
対前年・対前年同期増減数／男／平成25年平均,2013,,-20,-1,24,36,-2,-11,-21,7,6,-17,21,15,-29
対前年・対前年同期増減数／男／平成23年10～12月平均,2011,10～12,5,-27,10,5,-18,23,14,21,14,11,3,31,27
対前年・対前年同期増減数／男／平成24年１～３月平均,2012,01～03,-29,-9,19,-37,9,16,7,-8,23,17,-5,-2,37
対前年・対前年同期増減数／男／平成24年４～６月平均,2012,04～06,29,6,12,-19,-17,-13,-6,-7,7,-7,15,19,-8
対前年・対前年同期増減数／男／平成24年７～９月平均,2012,07～09,10,-16,-4,-35,16,-26,12,24,6,-8,-15,29,17
対前年・対前年同期増減数／男／平成24年10～12月平均,2012,10～12,0,54,-37,-9,-50,27,-8,-23,-13,-20,-11,2,28
対前年・対前年同期増減数／男／平成25年１～３月平均,2013,01～03,13,-3,-36,28,-18,11,-16,6,39,-24,28,0,-29
対前年・対前年同期増減数／男／平成25年４～６月平均,2013,04～06,3,9,55,50,-56,-16,-13,39,13,-5,11,4,-22
対前年・対前年同期増減数／男／平成25年７～９月平均,2013,07～09,-57,4,46,28,-4,-8,-31,6,0,-24,46,22,-55
対前年・対前年同期増減数／男／平成25年10～12月平均,2013,10～12,-36,-15,29,40,68,-29,-21,-20,-28,-13,-1,36,-13
対前年・対前年同期増減数／男／平成26年１～３月平均,2014,01～03,4,28,42,7,37,-7,6,18,-54,6,10,-10,-54
対前年・対前年同期増減数／女／平成23年平均,2011,,19,18,20,-13,62,2,5,-8,1,5,10,21,7
対前年・対前年同期増減数／女／平成24年平均,2012,,-2,-29,-6,-4,-12,-7,-2,10,19,-4,-7,14,12
対前年・対前年同期増減数／女／平成25年平均,2013,,-9,-14,19,4,28,16,4,13,-1,3,14,45,-70
対前年・対前年同期増減数／女／平成23年10～12月平均,2011,10～12,23,28,22,-44,6,0,16,-11,-16,32,29,13,2
対前年・対前年同期増減数／女／平成24年１～３月平均,2012,01～03,3,-20,-2,-24,-13,1,3,8,-5,-25,-13,37,38
対前年・対前年同期増減数／女／平成24年４～６月平均,2012,04～06,-9,-40,-3,-4,-27,-14,-12,-5,28,1,4,-3,9
対前年・対前年同期増減数／女／平成24年７～９月平均,2012,07～09,-2,-38,2,13,0,-22,3,31,28,19,-5,6,26
対前年・対前年同期増減数／女／平成24年10～12月平均,2012,10～12,0,-18,-21,1,-6,8,-1,10,21,-11,-14,14,-26
対前年・対前年同期増減数／女／平成25年１～３月平均,2013,01～03,-4,-17,22,9,-26,27,7,-6,-22,-1,18,39,-88
対前年・対前年同期増減数／女／平成25年４～６月平均,2013,04～06,1,-55,19,-10,33,21,11,22,8,31,37,53,-80
対前年・対前年同期増減数／女／平成25年７～９月平均,2013,07～09,-19,13,7,6,35,14,1,12,-21,-22,11,52,-73
対前年・対前年同期増減数／女／平成25年10～12月平均,2013,10～12,-12,-1,30,8,70,3,-3,21,34,5,-10,39,-41
対前年・対前年同期増減数／女／平成26年１～３月平均,2014,01～03,-5,42,-5,-8,28,-26,-5,22,8,25,8,12,-14
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成26年１～３月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
