区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,430,436,-6,-1.4,272,275,-3,-1.1,158,161,-3,-1.9
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,490,507,-17,-3.4,216,234,-18,-7.7,273,273,0,0
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,287,267,20,7.5,124,116,8,6.9,163,151,12,7.9
〔就業者の主な産業別内訳〕／教育，学習支援業,378,364,14,3.8,169,166,3,1.8,209,198,11,5.6
〔就業者の主な産業別内訳〕／医療，福祉,713,701,12,1.7,195,205,-10,-4.9,519,496,23,4.6
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,534,555,-21,-3.8,313,331,-18,-5.4,221,225,-4,-1.8
〔雇用者の主な産業別内訳〕／建設業,392,348,44,12.6,318,288,30,10.4,74,60,14,23.3
〔雇用者の主な産業別内訳〕／製造業,690,694,-4,-0.6,495,512,-17,-3.3,196,182,14,7.7
〔雇用者の主な産業別内訳〕／情報通信業,653,602,51,8.5,463,424,39,9.2,190,177,13,7.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,360,353,7,2,293,286,7,2.4,66,67,-1,-1.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1155,1114,41,3.7,578,549,29,5.3,576,565,11,1.9
〔雇用者の主な産業別内訳〕／金融業，保険業,254,279,-25,-9,128,135,-7,-5.2,126,144,-18,-12.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,210,187,23,12.3,130,114,16,14,81,72,9,12.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,317,319,-2,-0.6,197,195,2,1,119,124,-5,-4
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,416,428,-12,-2.8,179,189,-10,-5.3,238,239,-1,-0.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,217,207,10,4.8,92,92,0,0,125,116,9,7.8
〔雇用者の主な産業別内訳〕／教育，学習支援業,339,330,9,2.7,159,157,2,1.3,180,173,7,4
〔雇用者の主な産業別内訳〕／医療，福祉,672,662,10,1.5,169,180,-11,-6.1,503,482,21,4.4
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,492,510,-18,-3.5,285,300,-15,-5,207,209,-2,-1
〔非農林業雇用者の従業者規模別内訳〕／総数,6588,6425,163,2.5,3741,3670,71,1.9,2847,2755,92,3.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1726,1717,9,0.5,959,967,-8,-0.8,767,750,17,2.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2022,2001,21,1,1131,1121,10,0.9,891,881,10,1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2296,2167,129,6,1370,1296,74,5.7,926,872,54,6.2
〔完全失業率（年齢階級別）(%)〕／総数,3.8,4.2,-0.4,-,3.9,4.3,-0.4,-,3.6,4,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.2,5.7,-0.5,-,5.7,6.1,-0.4,-,4.8,5.1,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.7,4.9,-0.2,-,5.2,5.3,-0.1,-,4,4.4,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.6,3.9,-0.3,-,3.5,3.8,-0.3,-,3.8,4.1,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.2,3.7,-0.5,-,3,3.4,-0.4,-,3.6,3.9,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.7,4.2,-0.5,-,4.3,4.5,-0.2,-,2.8,3.6,-0.8,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.4,2.9,-0.5,-,2.7,3.4,-0.7,-,2.3,2.2,0.1,-
〔就業率（%）〕／総数,61.8,60.8,1,-,71.9,71.4,0.5,-,51.9,50.6,1.3,-
〔労働力人口比率(%)〕／総数,64.2,63.5,0.7,-,74.9,74.6,0.3,-,53.9,52.8,1.1,-
,,,,,,,,,,,,
東京の労働力統計データ（平成26年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成26年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
