"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","関心がある[人]","まあ関心がある[人]","あまり関心がない[人]","関心がない[人]","わからない[人]","無回答[人]"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","持家（一戸建）","95","34","34","15","4","8","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","持家（マンション）","302","106","129","46","8","11","2"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","借家（一戸建）","7","1","3","2","0","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","44","65","48","3","11","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","10","11","4","0","3","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","5","9","3","1","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","3","13","3","0","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","1","1","2","1","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","その他","5","0","3","0","2","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","住居形態別","無回答","6","2","3","0","0","0","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","155","143","42","11","13","2"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","当分は住んでいたい","224","36","106","56","7","18","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","10","15","12","0","5","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","0","2","0","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","2","4","2","1","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","わからない","14","2","3","9","0","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","定住意向別","無回答","1","1","0","0","0","0","0"

"第32回港区民世論調査クロス集計表・区政全般Q3","Ver202003",,,,,,,,,,
