区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,268,306,-38,-12.4,105,108,-3,-2.8,162,198,-36,-18.2
〔就業者の主な産業別内訳〕／建設業,454,430,24,5.6,365,351,14,4,89,79,10,12.7
〔就業者の主な産業別内訳〕／製造業,711,667,44,6.6,485,469,16,3.4,226,198,28,14.1
〔就業者の主な産業別内訳〕／情報通信業,972,973,-1,-0.1,668,670,-2,-0.3,304,304,0,0
〔就業者の主な産業別内訳〕／運輸業，郵便業,371,383,-12,-3.1,277,293,-16,-5.5,94,91,3,3.3
〔就業者の主な産業別内訳〕／卸売業，小売業,1254,1302,-48,-3.7,619,648,-29,-4.5,636,654,-18,-2.8
〔就業者の主な産業別内訳〕／金融業，保険業,332,352,-20,-5.7,158,179,-21,-11.7,174,173,1,0.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,300,295,5,1.7,167,171,-4,-2.3,132,124,8,6.5
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,616,587,29,4.9,370,346,24,6.9,246,241,5,2.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,534,506,28,5.5,231,216,15,6.9,302,290,12,4.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,297,302,-5,-1.7,123,124,-1,-0.8,174,178,-4,-2.2
〔就業者の主な産業別内訳〕／教育，学習支援業,422,420,2,0.5,181,181,0,0,241,238,3,1.3
〔就業者の主な産業別内訳〕／医療，福祉,913,919,-6,-0.7,232,230,2,0.9,681,689,-8,-1.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,703,675,28,4.1,405,379,26,6.9,298,296,2,0.7
〔雇用者の主な産業別内訳〕／建設業,382,370,12,3.2,301,297,4,1.3,81,73,8,11
〔雇用者の主な産業別内訳〕／製造業,679,641,38,5.9,466,452,14,3.1,213,189,24,12.7
〔雇用者の主な産業別内訳〕／情報通信業,922,924,-2,-0.2,632,633,-1,-0.2,290,291,-1,-0.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,338,356,-18,-5.1,246,266,-20,-7.5,92,90,2,2.2
〔雇用者の主な産業別内訳〕／卸売業，小売業,1194,1236,-42,-3.4,586,613,-27,-4.4,608,622,-14,-2.3
〔雇用者の主な産業別内訳〕／金融業，保険業,329,347,-18,-5.2,156,176,-20,-11.4,173,171,2,1.2
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,265,253,12,4.7,148,149,-1,-0.7,116,104,12,11.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,477,447,30,6.7,286,265,21,7.9,191,183,8,4.4
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,481,454,27,5.9,199,188,11,5.9,282,266,16,6
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,229,231,-2,-0.9,94,91,3,3.3,135,140,-5,-3.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,385,384,1,0.3,170,174,-4,-2.3,215,211,4,1.9
〔雇用者の主な産業別内訳〕／医療，福祉,868,875,-7,-0.8,205,202,3,1.5,663,673,-10,-1.5
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,644,624,20,3.2,364,343,21,6.1,280,281,-1,-0.4
〔非農林業雇用者の従業者規模別内訳〕／総数,7634,7588,46,0.6,4111,4102,9,0.2,3523,3485,38,1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1717,1723,-6,-0.3,895,893,2,0.2,821,830,-9,-1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2316,2246,70,3.1,1237,1213,24,2,1078,1032,46,4.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,3025,3054,-29,-0.9,1680,1702,-22,-1.3,1345,1352,-7,-0.5
〔完全失業率（年齢階級別）(%)〕／総数,2.5,2.6,-0.1,…,2.6,2.8,-0.2,…,2.4,2.5,-0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3,3.7,-0.7,…,3.2,5.2,-2,…,2.9,2.4,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.5,3.4,0.1,…,3.3,3.4,-0.1,…,3.6,3.3,0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.2,2.5,-0.3,…,2.3,2.4,-0.1,…,2.1,2.5,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,1.9,2.1,-0.2,…,2.1,2.2,-0.1,…,1.6,1.9,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.7,2.6,0.1,…,2.6,2.7,-0.1,…,2.6,2.6,0,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,1.8,0.1,…,2.3,2,0.3,…,1.4,1.6,-0.2,…
〔就業率（%）〕／総数,66.7,66.9,-0.2,…,74.6,75,-0.4,…,59.2,59.1,0.1,…
〔労働力人口比率(%)〕／総数,68.4,68.7,-0.3,…,76.6,77.1,-0.5,…,60.6,60.6,0,…
,,,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
令和５年(2023年)平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
