年・期平均,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／令和４年(2022年),9,-18,71,-19,8,-2,-2,17,26,30,-38,36,4
対前年・対前年同期増減数／男女計／令和２年(2020年)10～12月,-5,96,79,16,27,-9,54,35,-39,-19,66,3,51
対前年・対前年同期増減数／男女計／令和３年(2021年)１～３月,29,19,40,24,44,25,-10,26,-26,13,40,-3,-90
対前年・対前年同期増減数／男女計／令和３年(2021年)４～６月,10,-42,105,-25,-8,-32,-19,-44,11,27,-22,57,-57
対前年・対前年同期増減数／男女計／令和３年(2021年)７～９月,-34,-6,39,23,57,11,-17,92,-7,-33,8,76,-19
対前年・対前年同期増減数／男女計／令和３年(2021年)10～12月,-40,-80,93,87,-25,34,12,12,11,-11,-19,37,0
対前年・対前年同期増減数／男女計／令和４年(2022年)１～３月,32,7,51,-12,12,-5,8,77,1,10,-78,-4,-3
対前年・対前年同期増減数／男女計／令和４年(2022年)４～６月,-25,-17,142,39,39,-23,50,56,68,27,-52,52,-12
対前年・対前年同期増減数／男女計／令和４年(2022年)７～９月,43,-33,106,-47,-7,-1,3,-42,43,46,-18,12,8
対前年・対前年同期増減数／男女計／令和４年(2022年)10～12月,-14,-29,-13,-55,-14,22,-68,-20,-7,34,-7,84,24
対前年・対前年同期増減数／男女計／令和５年(2023年)１～３月,7,-9,32,-7,-107,26,14,-36,36,-27,38,23,68
対前年・対前年同期増減数／男／令和２年(2020年),-19,-20,23,6,-15,16,20,1,-30,3,24,2,14
対前年・対前年同期増減数／男／令和３年(2021年),-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37
対前年・対前年同期増減数／男／令和４年(2022年),16,-13,54,-11,6,9,-3,4,2,7,-15,7,-3
対前年・対前年同期増減数／男／令和２年(2020年)10～12月,-1,58,33,5,-12,-26,38,23,-15,9,2,-6,38
対前年・対前年同期増減数／男／令和３年(2021年)１～３月,26,22,22,13,3,22,5,7,-17,17,8,14,-65
対前年・対前年同期増減数／男／令和３年(2021年)４～６月,2,-16,91,-27,10,-21,6,-30,-2,0,-19,22,-63
対前年・対前年同期増減数／男／令和３年(2021年)７～９月,-34,-8,22,22,27,-3,-12,35,-16,-24,22,13,-41
対前年・対前年同期増減数／男／令和３年(2021年)10～12月,-41,-32,57,71,5,11,9,-11,3,-24,1,-13,19
対前年・対前年同期増減数／男／令和４年(2022年)１～３月,36,9,40,7,-2,-9,2,13,-11,-3,-44,-23,-6
対前年・対前年同期増減数／男／令和４年(2022年)４～６月,-12,-16,113,25,1,-6,42,38,14,-3,7,6,-4
対前年・対前年同期増減数／男／令和４年(2022年)７～９月,32,-11,44,-41,27,6,-7,-17,19,20,-15,10,26
対前年・対前年同期増減数／男／令和４年(2022年)10～12月,7,-32,18,-37,-3,42,-47,-17,-12,14,-7,35,-26
対前年・対前年同期増減数／男／令和５年(2023年)１～３月,0,-33,12,-33,12,-8,-4,8,26,9,10,-11,23
対前年・対前年同期増減数／女／令和２年(2020年),-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6
対前年・対前年同期増減数／女／令和３年(2021年),3,-18,23,8,8,7,-10,22,6,7,-1,35,-3
対前年・対前年同期増減数／女／令和４年(2022年),-7,-5,18,-8,2,-10,1,13,24,23,-24,29,7
対前年・対前年同期増減数／女／令和２年(2020年)10～12月,-4,39,46,12,39,16,15,13,-25,-29,64,8,13
対前年・対前年同期増減数／女／令和３年(2021年)１～３月,3,-3,18,11,40,3,-15,19,-8,-4,32,-16,-25
対前年・対前年同期増減数／女／令和３年(2021年)４～６月,9,-26,14,4,-18,-12,-24,-14,12,26,-3,37,7
対前年・対前年同期増減数／女／令和３年(2021年)７～９月,-1,2,17,2,30,14,-6,58,10,-8,-14,63,22
対前年・対前年同期増減数／女／令和３年(2021年)10～12月,1,-47,36,15,-29,24,4,22,9,13,-20,50,-19
対前年・対前年同期増減数／女／令和４年(2022年)１～３月,-3,-2,11,-19,15,4,5,64,11,14,-34,19,3
対前年・対前年同期増減数／女／令和４年(2022年)４～６月,-14,-2,30,13,39,-17,7,17,55,30,-59,45,-8
対前年・対前年同期増減数／女／令和４年(2022年)７～９月,11,-22,62,-7,-34,-6,9,-24,24,26,-3,3,-18
対前年・対前年同期増減数／女／令和４年(2022年)10～12月,-21,2,-31,-18,-10,-20,-21,-4,3,21,0,49,50
対前年・対前年同期増減数／女／令和５年(2023年)１～３月,5,25,20,26,-119,34,19,-43,11,-37,29,34,46
,,,,,,,,,,,,,
東京の労働力統計データ（令和５年(2023年)１～３月期平均）,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,
