年・期平均,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
対前年・対前年同期増減数／平成28年(2016年),-0.4,-0.6,0.1,-0.1,-0.2,0,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成29年(2017年),-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成30年(2018年),-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年・対前年同期増減数／平成31年・令和元年(2019年),-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.1,0
対前年・対前年同期増減数／令和２年(2020年),0.8,0.8,0.6,0.7,0.8,0.6,0.4,0.5,0.3
対前年・対前年同期増減数／令和３年(2021年),-0.1,0.1,-0.3,0,0.1,-0.1,0,0.1,0
対前年・対前年同期増減数／令和４年(2022年),-0.4,-0.6,0,-0.3,-0.5,-0.1,-0.2,-0.3,-0.1
対前年・対前年同期増減数／平成30年(2018年)１～３月,-0.3,-0.2,-0.4,-0.5,-0.4,-0.5,-0.4,-0.5,-0.3
対前年・対前年同期増減数／平成30年(2018年)４～６月,0,0,0,-0.5,-0.4,-0.7,-0.5,-0.4,-0.7
対前年・対前年同期増減数／平成30年(2018年)７～９月,-0.3,0.1,-0.6,-0.3,-0.3,-0.5,-0.3,-0.4,-0.3
対前年・対前年同期増減数／平成30年(2018年)10～12月,-0.6,-1,-0.1,-0.5,-0.5,-0.5,-0.2,-0.2,-0.4
対前年・対前年同期増減数／平成31年・令和元年(2019年)１～３月,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,-0.1,0,-0.1
対前年・対前年同期増減数／平成31年・令和元年(2019年)４～６月,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.1,-0.1,0
対前年・対前年同期増減数／平成31年・令和元年(2019年)７～９月,-0.2,-0.5,0,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2
対前年・対前年同期増減数／平成31年・令和元年(2019年)10～12月,0.1,0.4,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1
対前年・対前年同期増減数／令和２年(2020年)１～３月,0.3,0.6,-0.2,0,0.1,-0.2,0,0,0
対前年・対前年同期増減数／令和２年(2020年)４～６月,0.8,1.1,0.6,0.8,0.9,0.5,0.4,0.6,0.2
対前年・対前年同期増減数／令和２年(2020年)７～９月,1.3,1.1,1.7,1,0.9,1.2,0.7,0.6,0.7
対前年・対前年同期増減数／令和２年(2020年)10～12月,0.6,0.6,0.6,1,1.2,0.6,0.7,0.9,0.5
対前年・対前年同期増減数／令和３年(2021年)１～３月,0.1,0,0.4,0.4,0.4,0.5,0.4,0.4,0.4
対前年・対前年同期増減数／令和３年(2021年)４～６月,0.6,1,0,0.1,0.3,0,0.2,0.2,0.2
対前年・対前年同期増減数／令和３年(2021年)７～９月,-0.4,0,-1,-0.2,0,-0.5,-0.2,-0.1,-0.3
対前年・対前年同期増減数／令和３年(2021年)10～12月,-0.6,-0.7,-0.6,-0.3,-0.3,-0.1,-0.3,-0.4,-0.2
対前年・対前年同期増減数／令和４年(2022年)１～３月,0.1,0,0.1,0,-0.1,0,-0.1,-0.1,-0.2
対前年・対前年同期増減数／令和４年(2022年)４～６月,-1,-1.8,-0.1,-0.5,-0.9,0,-0.3,-0.4,-0.2
対前年・対前年同期増減数／令和４年(2022年)７～９月,-0.6,-0.8,-0.3,-0.5,-0.6,-0.3,-0.2,-0.2,-0.2
対前年・対前年同期増減数／令和４年(2022年)10～12月,0,0,0,-0.4,-0.3,-0.5,-0.2,-0.2,-0.2
対前年・対前年同期増減数／令和５年(2023年)１～３月,-0.2,-0.1,-0.4,-0.1,0.1,-0.2,-0.1,-0.1,-0.1
,,,,,,,,,
東京の労働力統計データ（令和５年(2023年)１～３月期平均）,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,
