区分・年平均,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
非労働力人口／平成30年,2018,2654,325,153,249,230,245,1453,-96,-21,-7,-33,-6,-10,-19,-3.5,-6.1,-4.4,-11.7,-2.5,-3.9,-1.3
非労働力人口／平成31年・令和元年,2019,2627,315,153,226,213,246,1474,-27,-10,0,-23,-17,1,21,-1,-3.1,0,-9.2,-7.4,0.4,1.4
非労働力人口／令和２年,2020,2613,307,136,226,222,244,1479,-14,-8,-17,0,9,-2,5,-0.5,-2.5,-11.1,0,4.2,-0.8,0.3
非労働力人口／令和３年,2021,2569,304,126,203,242,247,1446,-44,-3,-10,-23,20,3,-33,-1.7,-1,-7.4,-10.2,9,1.2,-2.2
非労働力人口／令和４年,2022,2508,303,107,192,223,238,1446,-61,-1,-19,-11,-19,-9,0,-2.4,-0.3,-15.1,-5.4,-7.9,-3.6,0
非労働力人口／令和５年,2023,2528,313,111,187,217,244,1455,20,10,4,-5,-6,6,9,0.8,3.3,3.7,-2.6,-2.7,2.5,0.6
労働力人口比率／平成25年,2013,52.8,46.5,77.3,70.1,72.5,57.1,16.9,1.2,1.8,1.6,2.6,1.7,0.9,0.4,…,…,…,…,…,…,…
労働力人口比率／平成26年,2014,53.9,46.3,79.7,72.2,73.8,58.3,17.8,1.1,-0.2,2.4,2.1,1.3,1.2,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年,2015,53.9,45.6,78.7,72.4,75.7,60.2,17.6,0,-0.7,-1,0.2,1.9,1.9,-0.2,…,…,…,…,…,…,…
労働力人口比率／平成28年,2016,54.3,48.7,81.7,71.8,76.4,61.8,16.2,0.4,3.1,3,-0.6,0.7,1.6,-1.4,…,…,…,…,…,…,…
労働力人口比率／平成29年,2017,55.5,49.5,82.5,73.4,76.8,64.4,17.7,1.2,0.8,0.8,1.6,0.4,2.6,1.5,…,…,…,…,…,…,…
労働力人口比率／平成30年,2018,57.5,53.5,83.2,76,78,66.4,19.4,2,4,0.7,2.6,1.2,2,1.7,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年,2019,58.2,55.2,83.4,77.8,80.3,67,18.8,0.7,1.7,0.2,1.8,2.3,0.6,-0.6,…,…,…,…,…,…,…
労働力人口比率／令和２年,2020,58.7,55.5,85.6,77.6,79.7,68.2,19.1,0.5,0.3,2.2,-0.2,-0.6,1.2,0.3,…,…,…,…,…,…,…
労働力人口比率／令和３年,2021,59.7,55.9,86.9,79.7,78.2,68.7,20.4,1,0.4,1.3,2.1,-1.5,0.5,1.3,…,…,…,…,…,…,…
労働力人口比率／令和４年,2022,60.6,55.4,88.8,80.3,80,70.8,20.5,0.9,-0.5,1.9,0.6,1.8,2.1,0.1,…,…,…,…,…,…,…
労働力人口比率／令和５年,2023,60.6,54.8,88.6,80.5,80.4,71.3,20.1,0,-0.6,-0.2,0.2,0.4,0.5,-0.4,…,…,…,…,…,…,…
就業率／平成25年,2013,50.6,44.2,73.9,67.3,69.7,55,16.5,1.3,2.6,1.7,2.9,2,1.1,0.3,…,…,…,…,…,…,…
就業率／平成26年,2014,51.9,44.1,76.5,69.5,71.2,56.7,17.4,1.3,-0.1,2.6,2.2,1.5,1.7,0.9,…,…,…,…,…,…,…
就業率／平成27年,2015,52.2,43.7,75.8,70,73.1,58.7,17.3,0.3,-0.4,-0.7,0.5,1.9,2,-0.1,…,…,…,…,…,…,…
就業率／平成28年,2016,52.6,46.4,78.9,69.4,73.9,59.8,15.9,0.4,2.7,3.1,-0.6,0.8,1.1,-1.4,…,…,…,…,…,…,…
就業率／平成29年,2017,54,47.6,80.1,71.1,75.1,63.1,17.3,1.4,1.2,1.2,1.7,1.2,3.3,1.4,…,…,…,…,…,…,…
就業率／平成30年,2018,56.1,52.1,80.4,74.5,76.3,64.9,19.2,2.1,4.5,0.3,3.4,1.2,1.8,1.9,…,…,…,…,…,…,…
就業率／平成31年・令和元年,2019,57,53.2,81,76.3,78.7,66,18.6,0.9,1.1,0.6,1.8,2.4,1.1,-0.6,…,…,…,…,…,…,…
就業率／令和２年,2020,57.1,53.7,82.4,75.9,77.5,66.4,18.8,0.1,0.5,1.4,-0.4,-1.2,0.4,0.2,…,…,…,…,…,…,…
就業率／令和３年,2021,58.2,54.2,84.7,78,76.4,66.4,20,1.1,0.5,2.3,2.1,-1.1,0,1.2,…,…,…,…,…,…,…
就業率／令和４年,2022,59.1,54,85.9,78.3,78.5,69,20.2,0.9,-0.2,1.2,0.3,2.1,2.6,0.2,…,…,…,…,…,…,…
就業率／令和５年,2023,59.2,53.4,85.3,78.9,79.2,69.4,19.7,0.1,-0.6,-0.6,0.6,0.7,0.4,-0.5,…,…,…,…,…,…,…
完全失業率／平成25年,2013,4,5.1,4.4,4.1,3.9,3.6,2.2,-0.5,-1.8,-0.2,-0.4,-0.6,-0.3,0.3,…,…,…,…,…,…,…
完全失業率／平成26年,2014,3.6,4.8,4,3.8,3.6,2.8,2.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.8,0.1,…,…,…,…,…,…,…
完全失業率／平成27年,2015,3.2,4.2,3.7,3.3,3.5,2.5,1.3,-0.4,-0.6,-0.3,-0.5,-0.1,-0.3,-1,…,…,…,…,…,…,…
完全失業率／平成28年,2016,3.3,4.6,3.3,3.3,3.2,3.2,2.1,0.1,0.4,-0.4,0,-0.3,0.7,0.8,…,…,…,…,…,…,…
完全失業率／平成29年,2017,2.7,3.8,2.9,2.9,2.2,2.2,1.9,-0.6,-0.8,-0.4,-0.4,-1,-1,-0.2,…,…,…,…,…,…,…
完全失業率／平成30年,2018,2.4,2.9,3.4,2,2.3,2.3,1.4,-0.3,-0.9,0.5,-0.9,0.1,0.1,-0.5,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年,2019,2.2,3.6,2.7,2,2,1.4,1.5,-0.2,0.7,-0.7,0,-0.3,-0.9,0.1,…,…,…,…,…,…,…
完全失業率／令和２年,2020,2.8,3.6,3.7,2.2,2.9,2.7,1.4,0.6,0,1,0.2,0.9,1.3,-0.1,…,…,…,…,…,…,…
完全失業率／令和３年,2021,2.5,3.1,2.5,2.1,2.4,3.3,1.9,-0.3,-0.5,-1.2,-0.1,-0.5,0.6,0.5,…,…,…,…,…,…,…
完全失業率／令和４年,2022,2.5,2.4,3.3,2.5,1.9,2.6,1.6,0,-0.7,0.8,0.4,-0.5,-0.7,-0.3,…,…,…,…,…,…,…
完全失業率／令和５年,2023,2.4,2.9,3.6,2.1,1.6,2.6,1.4,-0.1,0.5,0.3,-0.4,-0.3,0,-0.2,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（女）,,,,,,,,,,,,,,,,,,,,,,
