区分・年平均,西暦(年),実数／総数／（千人、％）,実数／15～24歳／（千人、％）,実数／25～34歳／（千人、％）,実数／35～44歳／（千人、％）,実数／45～54歳／（千人、％）,実数／55～64歳／（千人、％）,実数／65歳以上／（千人、％）,対前年増減数／総数／（千人、ポイント）,対前年増減数／15～24歳／（千人、ポイント）,対前年増減数／25～34歳／（千人、ポイント）,対前年増減数／35～44歳／（千人、ポイント）,対前年増減数／45～54歳／（千人、ポイント）,対前年増減数／55～64歳／（千人、ポイント）,対前年増減数／65歳以上／（千人、ポイント）,対前年増減率／総数／（％）,対前年増減率／15～24歳／（％）,対前年増減率／25～34歳／（％）,対前年増減率／35～44歳／（％）,対前年増減率／45～54歳／（％）,対前年増減率／55～64歳／（％）,対前年増減率／65歳以上／（％）
労働力人口／平成28年,2016,4429,320,909,1090,993,653,464,28,43,-12,-8,26,-7,-15,0.6,15.5,-1.3,-0.7,2.7,-1.1,-3.1
労働力人口／平成29年,2017,4466,323,901,1064,1030,661,485,37,3,-8,-26,37,8,21,0.8,0.9,-0.9,-2.4,3.7,1.2,4.5
労働力人口／平成30年,2018,4542,359,900,1051,1054,675,503,76,36,-1,-13,24,14,18,1.7,11.1,-0.1,-1.2,2.3,2.1,3.7
労働力人口／平成31年・令和元年,2019,4584,366,904,1030,1076,694,514,42,7,4,-21,22,19,11,0.9,1.9,0.4,-2,2.1,2.8,2.2
労働力人口／令和２年,2020,4638,346,921,1015,1088,731,538,54,-20,17,-15,12,37,24,1.2,-5.5,1.9,-1.5,1.1,5.3,4.7
労働力人口／令和３年,2021,4672,340,931,1003,1103,751,543,34,-6,10,-12,15,20,5,0.7,-1.7,1.1,-1.2,1.4,2.7,0.9
労働力人口／令和４年,2022,4689,324,933,982,1107,787,556,17,-16,2,-21,4,36,13,0.4,-4.7,0.2,-2.1,0.4,4.8,2.4
労働力人口／令和５年,2023,4697,347,940,966,1098,817,528,8,23,7,-16,-9,30,-28,0.2,7.1,0.8,-1.6,-0.8,3.8,-5
就業者数／平成25年,2013,4130,245,868,1078,870,636,432,0,6,-27,-3,29,-28,24,0,2.5,-3,-0.3,3.4,-4.2,5.9
就業者数／平成26年,2014,4183,251,876,1068,902,624,462,53,6,8,-10,32,-12,30,1.3,2.4,0.9,-0.9,3.7,-1.9,6.9
就業者数／平成27年,2015,4232,262,873,1064,934,634,465,49,11,-3,-4,32,10,3,1.2,4.4,-0.3,-0.4,3.5,1.6,0.6
就業者数／平成28年,2016,4288,304,873,1062,964,633,452,56,42,0,-2,30,-1,-13,1.3,16,0,-0.2,3.2,-0.2,-2.8
就業者数／平成29年,2017,4332,310,873,1030,1004,642,473,44,6,0,-32,40,9,21,1,2,0,-3,4.1,1.4,4.6
就業者数／平成30年,2018,4418,346,867,1023,1031,658,493,86,36,-6,-7,27,16,20,2,11.6,-0.7,-0.7,2.7,2.5,4.2
就業者数／平成31年・令和元年,2019,4470,353,875,1009,1056,676,502,52,7,8,-14,25,18,9,1.2,2,0.9,-1.4,2.4,2.7,1.8
就業者数／令和２年,2020,4485,326,884,985,1063,705,521,15,-27,9,-24,7,29,19,0.3,-7.6,1,-2.4,0.7,4.3,3.8
就業者数／令和３年,2021,4513,321,887,975,1070,729,530,28,-5,3,-10,7,24,9,0.6,-1.5,0.3,-1,0.7,3.4,1.7
就業者数／令和４年,2022,4559,307,900,958,1083,766,545,46,-14,13,-17,13,37,15,1,-4.4,1.5,-1.7,1.2,5.1,2.8
就業者数／令和５年,2023,4576,336,908,945,1075,796,517,17,29,8,-13,-8,30,-28,0.4,9.4,0.9,-1.4,-0.7,3.9,-5.1
完全失業者数／平成25年,2013,185,16,49,43,31,30,15,-13,-3,2,-8,2,-8,0,-6.6,-15.8,4.3,-15.7,6.9,-21.1,0
完全失業者数／平成26年,2014,170,15,48,39,28,28,13,-15,-1,-1,-4,-3,-2,-2,-8.1,-6.3,-2,-9.3,-9.7,-6.7,-13.3
完全失業者数／平成27年,2015,169,15,47,34,33,26,13,-1,0,-1,-5,5,-2,0,-0.6,0,-2.1,-12.8,17.9,-7.1,0
完全失業者数／平成28年,2016,142,16,36,28,29,20,12,-27,1,-11,-6,-4,-6,-1,-16,6.7,-23.4,-17.6,-12.1,-23.1,-7.7
完全失業者数／平成29年,2017,134,14,28,34,26,19,12,-8,-2,-8,6,-3,-1,0,-5.6,-12.5,-22.2,21.4,-10.3,-5,0
完全失業者数／平成30年,2018,123,12,33,28,22,17,11,-11,-2,5,-6,-4,-2,-1,-8.2,-14.3,17.9,-17.6,-15.4,-10.5,-8.3
完全失業者数／平成31年・令和元年,2019,113,12,29,22,20,18,11,-10,0,-4,-6,-2,1,0,-8.1,0,-12.1,-21.4,-9.1,5.9,0
完全失業者数／令和２年,2020,153,20,37,30,24,26,16,40,8,8,8,4,8,5,35.4,66.7,27.6,36.4,20,44.4,45.5
完全失業者数／令和３年,2021,159,19,44,28,33,22,13,6,-1,7,-2,9,-4,-3,3.9,-5,18.9,-6.7,37.5,-15.4,-18.8
完全失業者数／令和４年,2022,130,17,32,24,24,21,11,-29,-2,-12,-4,-9,-1,-2,-18.2,-10.5,-27.3,-14.3,-27.3,-4.5,-15.4
完全失業者数／令和５年,2023,120,11,31,22,23,21,12,-10,-6,-1,-2,-1,0,1,-7.7,-35.3,-3.1,-8.3,-4.2,0,9.1
非労働力人口／平成25年,2013,1468,399,76,37,36,122,798,29,-13,11,1,4,0,25,2,-3.2,16.9,2.8,12.5,0,3.2
非労働力人口／平成26年,2014,1459,387,63,41,41,111,815,-9,-12,-13,4,5,-11,17,-0.6,-3,-17.1,10.8,13.9,-9,2.1
非労働力人口／平成27年,2015,1449,372,62,40,37,88,850,-10,-15,-1,-1,-4,-23,35,-0.7,-3.9,-1.6,-2.4,-9.8,-20.7,4.3
非労働力人口／平成28年,2016,1489,381,49,38,49,91,881,40,9,-13,-2,12,3,31,2.8,2.4,-21,-5,32.4,3.4,3.6
非労働力人口／平成29年,2017,1494,388,53,44,44,86,879,5,7,4,6,-5,-5,-2,0.3,1.8,8.2,15.8,-10.2,-5.5,-0.2
非労働力人口／平成30年,2018,1456,361,52,36,48,86,873,-38,-27,-1,-8,4,0,-6,-2.5,-7,-1.9,-18.2,9.1,0,-0.7
非労働力人口／平成31年・令和元年,2019,1449,351,56,36,47,86,874,-7,-10,4,0,-1,0,1,-0.5,-2.8,7.7,0,-2.1,0,0.1
非労働力人口／令和２年,2020,1426,359,56,33,44,77,858,-23,8,0,-3,-3,-9,-16,-1.6,2.3,0,-8.3,-6.4,-10.5,-1.8
非労働力人口／令和３年,2021,1413,359,49,35,49,80,840,-13,0,-7,2,5,3,-18,-0.9,0,-12.5,6.1,11.4,3.9,-2.1
非労働力人口／令和４年,2022,1387,364,43,33,45,75,828,-26,5,-6,-2,-4,-5,-12,-1.8,1.4,-12.2,-5.7,-8.2,-6.3,-1.4
非労働力人口／令和５年,2023,1429,359,58,32,46,78,855,42,-5,15,-1,1,3,27,3,-1.4,34.9,-3,2.2,4,3.3
労働力人口比率／平成25年,2013,74.6,39.6,92.2,96.6,96.2,84.4,35.9,-0.4,1.1,-1.3,-0.4,-0.3,-0.8,0.5,…,…,…,…,…,…,…
労働力人口比率／平成26年,2014,74.9,40.5,93.6,96.3,95.8,85.3,36.8,0.3,0.9,1.4,-0.3,-0.4,0.9,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年,2015,75.2,42.6,93.7,96.4,96.2,88.2,36,0.3,2.1,0.1,0.1,0.4,2.9,-0.8,…,…,…,…,…,…,…
労働力人口比率／平成28年,2016,74.8,45.7,94.8,96.5,95.2,87.8,34.5,-0.4,3.1,1.1,0.1,-1,-0.4,-1.5,…,…,…,…,…,…,…
労働力人口比率／平成29年,2017,74.9,45.4,94.3,95.9,95.9,88.4,35.5,0.1,-0.3,-0.5,-0.6,0.7,0.6,1,…,…,…,…,…,…,…
労働力人口比率／平成30年,2018,75.7,49.9,94.4,96.7,95.6,88.8,36.5,0.8,4.5,0.1,0.8,-0.3,0.4,1,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年,2019,75.9,51,94,96.5,95.7,88.9,37,0.2,1.1,-0.4,-0.2,0.1,0.1,0.5,…,…,…,…,…,…,…
労働力人口比率／令和２年,2020,76.4,49.1,94.2,96.9,96.1,90.5,38.5,0.5,-1.9,0.2,0.4,0.4,1.6,1.5,…,…,…,…,…,…,…
労働力人口比率／令和３年,2021,76.7,48.6,94.9,96.5,95.6,90.3,39.2,0.3,-0.5,0.7,-0.4,-0.5,-0.2,0.7,…,…,…,…,…,…,…
労働力人口比率／令和４年,2022,77.1,47,95.6,96.7,96,91.3,40.2,0.4,-1.6,0.7,0.2,0.4,1,1,…,…,…,…,…,…,…
労働力人口比率／令和５年,2023,76.6,49,94.2,96.7,95.8,91.1,38.2,-0.5,2,-1.4,0,-0.2,-0.2,-2,…,…,…,…,…,…,…
就業率／平成25年,2013,71.4,37.1,87.2,92.9,92.8,80.6,34.7,-0.2,1.4,-1.6,0.3,-0.3,0,0.6,…,…,…,…,…,…,…
就業率／平成26年,2014,71.9,38.4,88.8,92.9,92.9,81.8,35.8,0.5,1.3,1.6,0,0.1,1.2,1.1,…,…,…,…,…,…,…
就業率／平成27年,2015,72.3,40.3,88.8,93.4,92.9,84.8,35,0.4,1.9,0,0.5,0,3,-0.8,…,…,…,…,…,…,…
就業率／平成28年,2016,72.4,43.4,91,94.1,92.4,85.1,33.6,0.1,3.1,2.2,0.7,-0.5,0.3,-1.4,…,…,…,…,…,…,…
就業率／平成29年,2017,72.7,43.6,91.4,92.9,93.5,85.8,34.7,0.3,0.2,0.4,-1.2,1.1,0.7,1.1,…,…,…,…,…,…,…
就業率／平成30年,2018,73.6,48.1,91,94.1,93.6,86.6,35.8,0.9,4.5,-0.4,1.2,0.1,0.8,1.1,…,…,…,…,…,…,…
就業率／平成31年・令和元年,2019,74,49.2,91,94.6,94,86.6,36.2,0.4,1.1,0,0.5,0.4,0,0.4,…,…,…,…,…,…,…
就業率／令和２年,2020,73.9,46.2,90.4,94,93.9,87.3,37.3,-0.1,-3,-0.6,-0.6,-0.1,0.7,1.1,…,…,…,…,…,…,…
就業率／令和３年,2021,74.1,45.9,90.4,93.8,92.7,87.6,38.3,0.2,-0.3,0,-0.2,-1.2,0.3,1,…,…,…,…,…,…,…
就業率／令和４年,2022,75,44.5,92.2,94.4,93.9,88.9,39.4,0.9,-1.4,1.8,0.6,1.2,1.3,1.1,…,…,…,…,…,…,…
就業率／令和５年,2023,74.6,47.5,91,94.6,93.8,88.7,37.4,-0.4,3,-1.2,0.2,-0.1,-0.2,-2,…,…,…,…,…,…,…
完全失業率／平成25年,2013,4.3,6.1,5.3,3.8,3.4,4.5,3.4,-0.3,-1.3,0.3,-0.7,0.1,-0.9,-0.1,…,…,…,…,…,…,…
完全失業率／平成26年,2014,3.9,5.7,5.2,3.5,3,4.3,2.7,-0.4,-0.4,-0.1,-0.3,-0.4,-0.2,-0.7,…,…,…,…,…,…,…
完全失業率／平成27年,2015,3.8,5.4,5.1,3.1,3.4,3.9,2.7,-0.1,-0.3,-0.1,-0.4,0.4,-0.4,0,…,…,…,…,…,…,…
完全失業率／平成28年,2016,3.2,5,4,2.6,2.9,3.1,2.6,-0.6,-0.4,-1.1,-0.5,-0.5,-0.8,-0.1,…,…,…,…,…,…,…
完全失業率／平成29年,2017,3,4.3,3.1,3.2,2.5,2.9,2.5,-0.2,-0.7,-0.9,0.6,-0.4,-0.2,-0.1,…,…,…,…,…,…,…
完全失業率／平成30年,2018,2.7,3.3,3.7,2.7,2.1,2.5,2.2,-0.3,-1,0.6,-0.5,-0.4,-0.4,-0.3,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年,2019,2.5,3.3,3.2,2.1,1.9,2.6,2.1,-0.2,0,-0.5,-0.6,-0.2,0.1,-0.1,…,…,…,…,…,…,…
完全失業率／令和２年,2020,3.3,5.8,4,3,2.2,3.6,3,0.8,2.5,0.8,0.9,0.3,1,0.9,…,…,…,…,…,…,…
完全失業率／令和３年,2021,3.4,5.6,4.7,2.8,3,2.9,2.4,0.1,-0.2,0.7,-0.2,0.8,-0.7,-0.6,…,…,…,…,…,…,…
完全失業率／令和４年,2022,2.8,5.2,3.4,2.4,2.2,2.7,2,-0.6,-0.4,-1.3,-0.4,-0.8,-0.2,-0.4,…,…,…,…,…,…,…
完全失業率／令和５年,2023,2.6,3.2,3.3,2.3,2.1,2.6,2.3,-0.2,-2,-0.1,-0.1,-0.1,-0.1,0.3,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男）,,,,,,,,,,,,,,,,,,,,,,
