No,事業所名,業種,住所,説明,交通,電話,営業開始時間,営業終了時間,定休日,修学旅行受入,見学,体験,事前予約の目安,URL,緯度,経度,備考
11,ハム・ソーセージの店TAKE-ZO,食肉製造,東京都台東区竜泉1-32-5,小さな手づくりハム・ソーセージのお店です。どれも食品添加物の使用を極力抑え、プレーンタイプのほかハーブ入りの物やテリーヌ状の物などもあります。見学のご予約をして頂かなくても店頭より、ガラス越しに工場内が見ていただけます。ご予約頂ければ、工場内に入って見学できます。,都バス(都 08)「下谷警察署」下車 徒歩 1 分,03-3873-4186,11:00,18:00,日曜日・祝日,不可,"要予約 
5 名まで
製造機械の説明等",ー,7日前まで,https://www.take-zo.net,35.724533,139.788757,
12,手打ちうどん家康,うどん製造・販売・飲食,東京都台東区入谷1-23-2,日本古来の食文化である手打ちうどんは、一味違います。是非本物を召し上って下さい。,東京メトロ日比谷線入谷駅（竜泉側出口）徒歩２分,03-3874-8789,11:30,20:00,日曜日・祝日,可,"予約不要 
15 名まで","要予約15名まで(本店のみ)
内容は3種類の中から選択
※エプロン、三角巾をご持参ください。問合せは、学校の場合は先生より連絡お願いします。体験は本店のみ(浅草店では行っておりません)",1週間前まで,http://tanakabekko.jp/,35.721245,139.786865,14:00～18:00は休み、月曜日の夜は休み
13,nasturtium,革製品,東京都台東区松が谷3-15-1 1階,「暮らしに咲く革」をコンセプトに明るい色のビッグスキンを中心に使用し、革小物やルームシューズを作っています。,東京メトロ日比谷線入谷駅　徒歩8分,03-6312-2229,12:00,18:00,日曜日・月曜日・火曜日・水曜日,不可,"要予約 3名まで(1 日 1 組)
革小物の縫製
加工工程
木金土曜","要予約3名まで(1日1組)革のタッセルづくり革キーホルダー刻印体験
土曜30分程度\1,000",1週間前まで,http://nasturtium.jp/,35.716175,139.788177,
14,シーズンズフラワー,生花・フラワーアレンジメント・茶道,東京都台東区松が谷4-28-8,花を使って、飾りものを作る楽しさを知り、また季節に合った飾りものを手作りする楽しさを知って頂きます。時期によってはクリスマスリースやお正月のしめ縄飾りなど、かわいいお飾りも作製できます。また、店舗などのディスプレーや、ウェディング装花、ブーケ作製も承っております。プレゼントにも喜ばれます。なお、修学旅行生の体験学習も実施しております。お問合せ下さい。,東京メトロ日比谷線入谷駅　徒歩3分,03-3843-1787,11:00,18:00,不定休,可,ー,"要予約 6 名まで 
生花ドライフラワーでリースやアレンジメント作成
　120 分程度 
　\1,500円?（材料費別）
※体験日は水曜日～金曜日11：00～17：00（応相談）。道具等は用意します。 
※作成後希望があれば後日送りも可。 ",5日前まで,http://www.seasons-flower.net,35.718994,139.78627,
15,かばん屋PARTNER,かばん・バッグ,東京都台東区松が谷4-26-13,わが町のかばん屋さん、「かばんだったら、かばん屋 PARTNERにい けば用が足りるよ!」そんなお客様の要望にあった、キメ細やかなサー ビスができるお店を目指しています。お探しのかばん、バッグがあっ たら、是非遊び来て下さい! なにか見つかる...来てみてよかった! そんな品揃えでお待ちしています。手作りの良さを見に来て下さいね。 修理などもご相談下さい。 オーダーかばんの注文も多数来ています。 ,東京メトロ日比谷線入谷駅　徒歩7分,03-5828-0585,10:00,18:00,日曜日・月曜日,不可,"要予約　人数は応相談
かばんを作っている様子や、どんな道具や材料でかばんが作られているかが見られます。
※牛皮メインのオリジナルトート、ショルダーなど製造直売しています。
オーダーも受けておりますので気軽にお問合せ下さい。修理も受けています。",ー,2週間前まで,"https://www.creema.jp/creator/1721743/item/onsale
http://kabanpartner.thebase.in/",35.718266,139.788559,
16,深匠,金銀美術砂子画,東京都台東区松が谷4-22-1,"底に金網をはった竹筒に金箔や銀箔を入れ、筒を叩き、膠(にかわ)をひいた和紙に蒔き落として出来たものが「金銀砂子」です。平安時代から続く技法で、一般的には襖や屏風に使われています。
細かく蒔かれた箔が砂のように見えることからこの名があります。","東京メトロ日比谷線入谷駅　徒歩7分
JR鶯谷駅　徒歩7分",03-5828-1130,9:00,18:00,祝日,可,要予約,ー,前日まで,―,35.717499,139.788452,
17,キワヤ商会(KIWAYA ウクレレミュージアム「樂」) ,ウクレレの販売・体験,東京都台東区松か?谷 1-7-3 (株)キワヤ商会内 ,国産のウクレレブランド「Famous」は半世紀を超え、弊社は「ウクレレのある豊かな暮らし」を提案しています。社屋にはウクレレミュージアム「樂」を有し、ヴィンテージウクレレの数々を常設展示・イベントも開催しています。ご見学については事前にご予約をお願いします。,東京メトロ銀座線稲荷町駅 徒歩 8 分,03-5828-4661,11:00,17:30,月曜日・土曜日・祝日,不可,ー,"要予約
ウクレレの体験 
毎週土曜 11:30?12:20 
無料 ウクレレレンタル可",―,http://www.kiwaya.com,35.711571,139.786713,
18,和なり屋,機織り・藍染め工房,東京都台東区千束1-8-10 黒沢ビル1F,浅草寺、合羽橋のすぐ近く、台東区千束にて機織り&藍染め体験工房をさせて頂いております。和なり屋にお越しになるお客様は様々で、外国人の方はもちろん、小さなお子様から若者、そしてご年配の方々まで幅広く、素敵な時間を過ごすことができます。全国各地からの修学旅行生の受け入れも大歓迎です。是非一度、お越し下さいませ。,東京メトロ日比谷線入谷駅　徒歩8分,03-5603-9169,10:00,19:00,不定休,可,"予約不要 
45名まで ","要予約 45 名まで ※当日予約も可 
手作り体験(コースターランチョンマット等) \3,300?
藍染め体験（Tシャツトートバッグハンカチ手ぬぐい等）\2,000?
60分?90分程度（体験内容により異なる）",当日可,www.wanariya.co.jp,35.718395,139.791077,
19,田中製簾所,江戸簾,東京都台東区千束1-18-6,明治時代から続く工房です。体験では、実際に職人が使っている道具や材料を用い、小物ながら「編む」という伝統の製簾技術を生かしたランチョンマットをお作り頂けます。修学旅行生や訪日外国人の体験も是非ご相談下さい。,東京メトロ日比谷線入谷駅　徒歩7分,080-4368-0910,9:00,17:00,不定休,可,"要予約 10名まで 
江戸簾の製造工程（来店時によって作業内容が異なります）※要相談
\5,000/1時間あたり","要予約 8名まで 
伝統の技術による簾のランチョンマット製作
※要相談
120分程度\5,000",10日前まで, http://www.handicrafts.co.jp/,35.719597,139.79129,
20,伊藤印房,印章彫刻,東京都台東区千束1-19-4,お陰様で自然木(茶・椿・桜・楓・山椒など)の癒しの遊印も大勢の方々に知られて参りました。一般の方や学生さん(修学旅行を含む)の体験学習としても「やって良かった」と好評です。お問合せ下さい。一般の印章も手彫りでお彫り致します。,東京メトロ日比谷線入谷駅3番出口　徒歩20分,03-3873-0489,8:30,18:30,不定休,可,ー,"要予約 10 名まで 
自然木に自分のオリジナルの絵や文字を彫り込む(作品は持って帰れます) 
120 分程度\3,000
※エプロン等、汚れても良い服装でお越し下さい。 ",1ヶ月前まで（一般の方は10日前まで）,http://www.ito-inbo.com,35.720139,139.791275,
21,木目込人形工房　一葉堂,木目込人形,東京都台東区竜泉3-19-9,壮大な「大人神輿」と、可愛い「子供神輿」がウインドウに!下町感あふれる工房です。店内には、樋口一葉の創作人形を展示し、人形作り教室は、火・金・日曜に開講しています。,"都バス （都 08)「竜泉」下車 徒歩 3 分 
東京メトロ日比谷線三ノ輪駅 徒歩 5 分 ",03-3872-0211,10:00,16:30,月曜日・水曜日,可,ー,"要予約 8 名まで 
木目込みのまり作り（雛人形や干支作り体験もあります）
120分程度（体験日は要相談）
\1,000
",1ヶ月前まで,―,35.725632,139.792648,
22,江戸指物　渡辺,江戸指物,東京都台東区竜泉3-25-4,樋口一葉記念館の隣で三代続く江戸指物師。木目の美しさを生かし、古典的なものは勿論、新しいデザインの作品作りにも挑戦しています。お気軽にお立ち寄り下さい。,東京メトロ日比谷線三ノ輪駅　徒歩7分,03-3873-3050,10:00,18:00,不定休,可,"要予約
6名まで","要予約 6 名まで 
箸小箱作り
120分?180分程度
\2,000?
※ズボン等でお越しください。 ",2週間前まで,http://w-sashimono.jp,35.725803,139.792725,
23,美　アンド　センス,杖,東京都台東区東浅草2-2-1,杖の相談専門店です。体をしっかり支える滑りにくい杖(ハテナ)実用新案取得済です。外出を楽しくさせてくれるおしゃれ杖(あや)は、スワロフスキーの輝きと、洋服に合わせた杖先カラーを選べます。いずれも当社オリジナル品です。専門員がご相談を受けながら目の前で仕上げます。お客様も、参加して頂けます。なお、修学旅行生の見学にもご相談に応じます。お問合せ下さい。,"東京メトロ銀座線・都営浅草線・東武スカ イツリーライン浅草駅 徒歩 18 分 
都バス(東 42)「東浅草」下車 徒歩 2 分 ",03-3875-5855,10:00,18:00,不定休,不可,ー,"要予約 5 名まで 
杖のジョイント部分の石入れ杖先のカラーゴムのはめ込み
30分程度（但し、接着剤の乾燥に6時間位)
\500(杖は別途料金)
月?土曜(日曜応相談) 10:00?16:00",2週間位前まで,―,35.72298,139.800888,
24,江戸切子浅草おじま,江戸切子,東京都台東区浅草4-49-7,グラスにデザインを下描きして彫りこんでいきます。世界で一つだけ、自分だけのグラスを作って下さい。修学旅行の小・中学生も安全に作業できます。(2～35名位まで),"東京メトロ銀座線浅草駅 徒歩 7 分 
TX 浅草駅 徒歩 8 分 ",03-4285-9664,9:00,17:00,年中無休,可,ー,"要予約 35名位まで
グラスに模様を彫ります(江戸切子)
60分程度　小中学校\2,500（税込） 一般\4,500(税込) ",1週間前まで,http://edokiriko.jp/,35.718773,139.799042,工房は不定休
25,武田製靴,婦人・紳士靴,東京都台東区浅草5-41-1,※会員の方々の利用状況やシェアファクトリー内でのイベント等がある場合は見学をお受けできないことがあります。,東京メトロ銀座線・都営浅草線・東武スカイ ツリーライン・TX 浅草駅 徒歩 10 分,03-3875-1001,10:00,16:00,土曜日・日曜日・祝日,不可,"要予約 15 名まで 
靴作りを中心としたクリエーターの方々で会員を構成している会員制「シェアファクトリー浅草」での作業風景の見学
15分程度
無料(会員の方々の作品や製品の購入可)",ー,5営業日前まで,http://www.magical.co.jp,35.720314,139.798019,
26,人形の田辺,木目込み人形,東京都台東区浅草橋1-18-10 アックビル7F,木目込み人形という伝統的な技法で作られている人形の材料を販売しています。店舗では人形に着せ付ける金らんやちりめん等の布地を多数取り揃えています。製作体験は、約90分くらいで木目込み人形の小さなマリに布を着せ付けます。もちろん作った後はお持ち帰り頂く事ができます。,JR 総武線・都営浅草線浅草橋駅 徒歩30秒 ,03-3862-4701,10:00,18:00,日曜日・祝日,不可,ー,"予約不要 
木目込み人形の小さなマリの制作 
月?土曜 11:00?16:00
90分程度",―,https://kimekomi.co.jp,35.697613,139.78624,
27,佐々木善樹建築研究室,建築・住宅・店舗の設計デザイン ,東京都台東区浅草6-40-13,佐々木善樹建築研究室は「家づくり」の場です。一人ひとりのオモイをカタチにするために、家づくり(新築&リノベーション)について楽しく学び、考え、実践する場です。実際に間取り図を書き、模型をつくるワークショップも開催しています。お気軽にお越し下さい。,"東京メトロ銀座線浅草駅 徒歩 11 分 
TX 浅草駅 徒歩 12 分 ",03-6240-6851,9:30,19:00,月曜日,不可,"要予約 
家作りのための設計工程
開店時間中(閉店日でも事前申込みがあれば可)","要予約 
家づくりセミナー間取り図の書き方模型作り 
120分?240分程度（セミナーのみなら90分)
\1,000程度(実費)
※参加は中学生以上に限る",30日前まで,"http://www.sasstyle.com 
http://thought-factory.design",35.718956,139.799957,土曜日・日曜日・祝日は不定期
28,Qrinaf／Bandy's　Leather craft教室,革製本（バッグ・サイフ等) 製造･販売,東京都台東区浅草6-26-8,｢一枚の革から作れるだけ。売り切って、終わり｣をコンセプトに小さなアトリエならではの革製品を少量生産しております。直売もしておりますので、お気軽にご来店下さい。また、ミシン仕立て専門のレザークラフト教室も生徒募集中です。体験教室のお申し込みはホームページで受け付けています。,"東京メトロ銀座線･都営浅草線
東武スカイツリーライン浅草駅　徒歩10 分",03-6319-0146,12:00,19:00,火曜日,不可,ー,"要予約（ホームページより受付）
革用ミシンでレザー巾着を作る体験
　180 分程度
※詳しくはお問合せ下さい。",7日前まで,http://www.qrinaf.com,35.717529,139.80072,教室は水曜日・木曜日・土曜日
29,久月人形学院（㈱久月内）,木目込人形・押絵,東京都台東区柳橋1-20-4,久月人形学院では、多くの皆様に木目込人形の楽しさを知って頂く為に、体験講習会を開催しております。是非、ご参加下さい。,"JR 総武線浅草橋駅･都営浅草線浅草橋駅
徒歩1 分",03-5687-5180,10:00,17:00,土曜日・日曜日・祝日,可,"要予約　
16名まで","要予約　16名まで
木目込み人形制作
　　180 分程度
　￥1,540（税込教材費込）
※エプロン汚れても良いハンドタオル紙切り用ハサミまち針をご持参下さい。
※体験材料の『雪うさぎ』の布は入荷状況により変更となる可能性がございます。",1ヶ月前まで,http://www.kyugetsu-ningyougakuin.com,35.697578,139.786636,
30,（株）国際工芸,箔押,東京都台東区浅草6-45-6 関根ビル1F,プラスチック･皮･木材等への金銀色の印刷を行っております。特にプラスチックへの箔押しは都内でも行っているところは少なく、なかなか見られる機会もないと思います。是非とも作業工程を一度見に来て下さい。お気軽にお問合せ下さい。,東京メトロ銀座線浅草駅　徒歩12 分,03-3876-4510,8:30,18:00,土曜日・日曜日,不可,"要予約　
3 名まで　（1日1組）
プラスチック、木材等への箔押し
　月～金曜",ー,7日前まで,http://kokusaikougei.com,35.719589,139.801208,
31,RENDO SHOE&REPAIR,靴の製造・販売,東京都台東区浅草7-5-5,"RENDO　SHOE&REPAIRでは、主に紳士靴の企画･設計･オリジナル商品の販売を行っております。靴が生まれていく過程を少しでも多くの方にご覧頂き、浅草の靴業界の｢今｣を感じて頂ければと思います。
なお、修学旅行生の見学にもご相談に応じます。お問合せ下さい。","東京メトロ銀座線･都営浅草線･東京スカイツリー
ライン浅草駅　徒歩15 分",03-6802-3825,13:00,19:00,水曜日,可,"要予約　
靴の製造工程（特に型紙製作）
　月～金曜　10:00～17:00",ー,1週間前まで,http://www.rendo-shoes.jp/,35.717239,139.801987,土日祝　12:00～18:00
32,川島錺工芸,神仏具錺師,東京都台東区東上野6-5-2,神社、寺院、金具を銅板に模様を打ち出して作っています。神輿の金具は真鍮(シンチュウ)に模様を入れて作ります。古いものを見て勉強し、それを参考にしつつ新しいものを生み出すよう心掛けています。なお、修学旅行生の体験学習についても相談に応じます。お問合せ下さい。,東京メトロ銀座線稲荷町駅　徒歩2分,"03-3841-6693
090-1662-1951",9:00,17:00,土曜日・日曜日・祝日,可,ー,"要予約　6～8 名まで
錺金具づくり
　　120 分程度
　（9:30～11:30、13:00～15:00）
　￥2,000",個人: 2 週間前まで　団体: 1 ヶ月前まで,―,35.711845,139.784729,12:00～13:00は休み
33,小林運動具店,野球硬式・軟式グラブ、ミット,東京都台東区東上野2-20-6,グラブは第二の手。天然素材で左右、伸び縮みがあります。お手に取って違いを是非ご確認下さい。,JR･東京メトロ日比谷線･銀座線上野駅　徒歩3 分,"03-3831-1420
FAX　03-3831-1420",9:00,18:00,不定休,可,"要予約　
3～5 名まで
　平日10:00～17:00",ー,―,―,35.710396,139.777725,
34,PEARL SEIWA,真珠,東京都台東区東上野1-13-2 ふくやビル1F,真珠専門店　PEARL SEIWAで世界にひとつだけのオリジナルパールネックレスを作ってみませんか？　デザインは無限大!勿論、本物の真珠ですよ。カジュアル～フォーマルまで幅広い真珠製品を取りそろえてお待ち致します。,"JR 御徒町駅　徒歩5 分
東京メトロ日比谷線仲御徒町駅　徒歩3 分",03-03-5812-5510,10:00,18:00,年中無休,不可,ー,"要予約　5 名まで
パールネックレスの手作り体験
　　30～60分程度
　￥5,000
※体験日は平日のみ",2日前まで,http://www.pearl-seiwa.jp,35.707642,139.777344,年末年始は休み
35,お仕立て処うえの,和服の縫製,東京都台東区東上野2-12-2,創業105年｢お仕立て処うえの｣は和服お仕立て専門店。洗い張り、染め替え、しみ抜き、帯のお仕立てメンテナンスも致します。和裁教室｢お仕立て教室うえの｣を併設しています。,JR上野駅から　徒歩4分,03-3834-2928,10:00,17:00,火曜日,不可,"要予約
　2～3 名まで
和服の仕立て
　営業日","要予約　2～3 名まで
和裁の基本的な作業
　120 分程度
　仕立て木土曜
　無料",3日前まで,http://www.oshitate.jp/,35.708946,139.777878,土曜日･日曜日･祝日は不定休
36,アトリエ店舗 IMAIZUMI（㈱今泉）,金属プレス加工,東京都台東区元浅草3-9-8,町工場から出た廃材端材を使用したアップサイクルステンレスアクセサリーを扱うお店です。プレス加工機等を使用したオリジナル作品を自分で作る『モノづくり体験』が出来るようになっています。お時間が合えば普段は目にすることのない金属プレス加工工場内見学もできます。,"都営大江戸線･TX 新御徒町駅A4 出口　徒歩7分
東京メトロ銀座線稲荷町駅･田原町駅　徒歩10分","(代)03-3841-8411
(直)080-3486-8411",9:00,17:30,土曜日・日曜日・祝日,可,ー,"要予約　
ステンレス小物製作（各種）
　￥1,000～
※社会情勢により開催/受け入れを調整しております。詳しくは当社ウェブページをご覧ください。",―,Insatagram:@imazm_10123／Twitter:@kkimaizumi,35.707195,139.786118,工房は10:00～17:00、弊社夏季･冬季休業日は休み
37,南部屋五郎右衛門,太鼓・神輿,東京都台東区元浅草2-10-10,創業元禄2年から続く老舗です。天然素材である皮の油ぬきや張り方は、天候、湿気、皮の状態や太鼓の種類等により異なり、ひとつひとつ加減を変えて太鼓に仕上げています。,東京メトロ銀座線稲荷町駅　徒歩１分,03-3843-3335,9:00,17:00,水曜日,不可,ー,"要予約　
5～6名まで
(4～10月事前予約不可）
商品見本をご覧頂けます。",20日くらい前まで,https://nanbuya56.com,35.710915,139.784042,
38,宮川刷毛ブラシ製作所,手植えブラシ,東京都台東区元浅草2-10-14,東京都伝統工芸士・台東区優秀技能者の作る手植えブラシをご覧下さい。洋服･靴･ボディー･ヘアーブラシは勿論、その他工業用、家庭用、工芸用、化粧用の刷毛、ブラシ類多種製作しています。永年の経験と知識を基に、刷毛ブラシの事なら何でもご相談下さい。,東京メトロ銀座線稲荷町駅　徒歩２分,03-3844-5025,9:30,17:00,日曜日・祝日,不可,"予約不要
製作工程の説明もします
※但し、10 名以下高校生以上の方対象。",ー,10日前まで,http://edo-hake-brush.com/,35.710808,139.784668,土は不定休
39,坂森七宝工芸店,七宝アクセサリー,東京都台東区元浅草1-2-1,"七宝教室では基本を中心に有線まで指導します。体験教室では全国の修学旅行生などが来られています。東京七宝は、東京都の伝統工芸に指定されています。七宝材料は、すべて裏引きをしてありますので講習会等、便利に使えます。七宝材料は全国に発送致しております。
なお、毎月第2･3･4土曜は一般用の教室も実施しております。お問合せ下さい","都営大江戸線新御徒町駅A3出口左･
TX新御徒町駅　徒歩3 分",03-3844-8251,10:00,17:00,第1土曜日・第5土曜日・日曜日・祝日,可,ー,"要予約　4～14 名まで
七宝のペンダントの製作 （デザイン盛付け焼付け）
　　120 分程度
　A コース　学生 ￥1,500一般 ￥2,100
　B コース　学生 ￥2,000一般 ￥2,600
※体験日は月木曜は午前と午後、火水金曜は午前中。
　土曜は日時によっては可能。筆記用具をご持参ください。",前日まで(空きがあれば),http://sakamori-shippo.com,35.706898,139.784271,
40,長尾版画匠,江戸木版画,東京都台東区元浅草1-1-1,店内には、たくさんの浮世絵･錦絵の額縁を飾っています。浮世絵は絵師、彫師、摺師による共同作業によって完成されますが、当店ではその内の彫師、摺師の作業工程を一度に見学する事ができます。,都営大江戸線･TX 新御徒町駅　徒歩4 分,03-3847-0772,10:30,18:00,不定休,不可,"要予約　
5名まで
彫師、摺師の作業工程
（内容はその日の作業による）",ー,1ヶ月前まで,―,35.706844,139.784775,
41,ミユキ,原石研磨・ジュエリー,東京都台東区上野5-16-13,あらゆるカラーストーンを扱い、原石から宝石まで一貫性のある商品を、全国の問屋･小売店･デパート･製造業者･通販業者へ卸をしております。特に「裸石のことなら何でも」のキャッチフレーズにて、カラーストーンのことなら、ミユキとのお褒めの言葉を頂いております。,JR御徒町駅南口　徒歩3分,03-3836-4331,10:00,17:45,日曜日・祝日,不可,"要予約　
2名まで
原石から宝石に至るまでの工程
（カット、研磨等）
※新型コロナウイルスの影響がある期間は、見学受付は中止しております。",ー,10日前まで,http://www.miyukigroup.com,35.705521,139.775406,
42,PEACHBRAND,ベルト製造・販売,東京都台東区上野5-9　2k540　P-2,"「細巾織物」という伝統織物をメイン素材として使用したファッションベルトメインの小売店です。織物と金具等(ベルト材料)の組み合わせを好みで考えていただき、店舗で作成してすぐお渡し、または出荷するといったカスタムサービスが人気のお店です。
「多彩さ」と「オリジナリティ」を兼ね備えた細巾織物を見て、触って、一緒に創造して、楽しむことができるお店です。
なるべく安い価格設定を心がけております。","JR御徒町駅　徒歩4分、JR秋葉原駅　徒歩8分、
東京メトロ銀座線末広町駅　から徒歩4分、東京メトロ日比谷線仲御徒町駅　徒歩5分",03-3833-3727,11:00,19:00,水曜日,可,"オリジナルコースター製作イベント
お好きな織物でコースターを作りプレゼント♪
要予約
火木曜日の13:00～16:00
1回に3人、1日2組まで",ー,ー,http://peach-brand.com/,35.705189,139.775314,ほか不定休
43,Largesk,メンズアクセサリー,東京都台東区上野5-9 2k540 P-3,シルバーアクセサリーの製造所兼ショップです。オーナー自らがデザイン製作、販売までしているので、カスタム加工や修理なども可能です。特徴的なデザイン、技術は必見です！,JR御徒町駅南口　徒歩8分,03-5812-4141,11:00,19:00,水曜日,可,ー,"要予約　4 名まで
シルバーチャームの石入れと天然石のブレスレット作製
40 分程度
￥4,000（税込）",3日前まで,http://www.largesk.com,35.705189,139.775314,
