事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30～99人,令和２,2020,6月,17.7,18.7,16.4,136.2,151.3,115.8,127.4,139.5,111.1,8.8,11.8,4.7
30～99人,令和２,2020,7月,17.9,18.9,16.6,139.1,154,118.6,129,140.5,113.2,10.1,13.5,5.4
30～99人,令和２,2020,8月,16,16.7,15,124.8,137.8,107.6,115.4,125.2,102.4,9.4,12.6,5.2
30～99人,令和２,2020,9月,16.8,17.6,15.8,132.2,145.8,114.4,122.3,132.4,109.1,9.9,13.4,5.3
30～99人,令和２,2020,10月,17.8,18.8,16.6,140.9,155.1,121.2,129.8,140.3,115.2,11.1,14.8,6
30～99人,令和２,2020,11月,17.1,18,15.9,134.7,148.9,115,124.1,134.8,109.3,10.6,14.1,5.7
30～99人,令和２,2020,12月,17.2,18.1,16,135.6,150.2,115.7,124.9,135.9,109.8,10.7,14.3,5.9
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成29,2017,年平均,18.5,19,17.6,150.4,159.9,133.3,137.2,144,125,13.2,15.9,8.3
100～499人,平成30,2018,年平均,18.3,18.8,17.6,147.7,156.4,133.7,135.3,141.5,125.3,12.4,14.9,8.4
100～499人,平成31・令和元,2019,年平均,18,18.4,17.2,145.2,153.6,132,132.3,138.2,123,12.9,15.4,9
100～499人,令和２,2020,年平均,17.8,18.3,17,141.7,149.7,128.5,129.8,135.7,120.2,11.9,14,8.3
100～499人,令和２,2020,1月,17.2,17.7,16.4,137.2,145.3,124.3,124.5,130.1,115.5,12.7,15.2,8.8
100～499人,令和２,2020,2月,17.2,17.8,16.2,137.3,145.7,123.5,124.6,130.5,114.9,12.7,15.2,8.6
100～499人,令和２,2020,3月,17.7,18.3,16.8,141.1,149.6,126.8,128.7,134.9,118.2,12.4,14.7,8.6
100～499人,令和２,2020,4月,18.1,18.7,17.3,143.7,152.4,129.3,132.5,139.2,121.3,11.2,13.2,8
100～499人,令和２,2020,5月,16.2,16.7,15.4,127.2,133.8,116.3,118,123.1,109.5,9.2,10.7,6.8
100～499人,令和２,2020,6月,18.3,18.9,17.4,144.7,153,131.3,133.9,140.2,123.6,10.8,12.8,7.7
100～499人,令和２,2020,7月,18.7,19.3,17.9,148.3,156.6,134.8,136.5,142.5,126.7,11.8,14.1,8.1
100～499人,令和２,2020,8月,17.2,17.6,16.4,136.8,144.2,124.8,125.6,131,116.9,11.2,13.2,7.9
100～499人,令和２,2020,9月,17.8,18.3,17,141.3,149.1,128.6,129.7,135.3,120.5,11.6,13.8,8.1
100～499人,令和２,2020,10月,18.8,19.3,18,150.2,158.4,136.8,137.5,143.5,127.8,12.7,14.9,9
100～499人,令和２,2020,11月,18.3,18.8,17.5,147.3,155.6,133.8,134.4,140.4,124.8,12.9,15.2,9
100～499人,令和２,2020,12月,18,18.5,17.3,144.6,152.6,132,131.6,137.3,122.6,13,15.3,9.4
500人以上,平成27,2015,年平均,18.3,18.6,17.6,150.2,157.2,138.3,135,139.5,127.4,15.2,17.7,10.9
500人以上,平成28,2016,年平均,18.3,18.6,17.6,149.5,156.7,137.8,134.9,139.8,127,14.6,16.9,10.8
500人以上,平成29,2017,年平均,18.3,18.7,17.7,149.9,157,138.1,136,140.9,127.8,13.9,16.1,10.3
500人以上,平成30,2018,年平均,18.4,18.8,17.7,150.5,157.3,139.8,137.3,142.2,129.6,13.2,15.1,10.2
500人以上,平成31・令和元,2019,年平均,17.9,18.4,17.2,147.3,154.7,136,133.1,138.2,125.4,14.2,16.5,10.6
500人以上,令和２,2020,年平均,17.6,18.2,16.7,144.6,153.1,131.9,131.1,137.1,122,13.5,16,9.9
500人以上,令和２,2020,1月,17.3,17.8,16.6,142.1,149.5,130.6,128.4,133.4,120.6,13.7,16.1,10
500人以上,令和２,2020,2月,16.8,17.3,16,138.2,146.1,126.2,124.3,129.6,116.3,13.9,16.5,9.9
500人以上,令和２,2020,3月,17.6,18.2,16.7,145.3,153.7,132.4,130.7,136.5,121.8,14.6,17.2,10.6
500人以上,令和２,2020,4月,18.3,19,17.2,150.1,158.3,137.5,136.4,142.3,127.3,13.7,16,10.2
500人以上,令和２,2020,5月,16.2,17,15,132.5,141.4,119.1,121,128,110.4,11.5,13.4,8.7
500人以上,令和２,2020,6月,17.8,18.5,16.8,145.4,154.5,131.8,132.8,139.6,122.7,12.6,14.9,9.1
500人以上,令和２,2020,7月,18.9,19.6,17.8,154,163.6,139.3,140.1,147.2,129.3,13.9,16.4,10
500人以上,令和２,2020,8月,17.2,17.7,16.4,140.7,148.3,129.2,127.6,132.9,119.7,13.1,15.4,9.5
500人以上,令和２,2020,9月,17.2,17.7,16.5,141.7,149.2,130.4,128.5,133.5,120.9,13.2,15.7,9.5
500人以上,令和２,2020,10月,18.7,19.4,17.7,153.6,162.8,139.8,139.3,145.8,129.5,14.3,17,10.3
500人以上,令和２,2020,11月,17.9,18.6,16.9,147.1,156.2,133.6,132.9,139.4,123.3,14.2,16.8,10.3
500人以上,令和２,2020,12月,17.7,18.2,16.8,144.9,153.2,132.4,131,136.8,122.2,13.9,16.4,10.2
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年年報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,,,,,
