協定名,締結先,協定内容
災害時における貯水の利用等に関する協定,プリメール柳島管理組合,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,東京建物（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,すみだスポーツサポートPFI（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,（株）ロッテ,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,錦糸町熱供給（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,㈱東武エネルギーマネジメント,災害時に区の要請に基づき、貯水の提供を行う。
災害時における救護活動に関する社会福祉法人爲宝会との相互援助協定,社会福祉法人　爲宝会,災害時に区の要請に基づき、常時介護が必要な高齢者の受入れを行う。
災害時における区の応急対策活動への協力に関する協定,（財）墨田まちづくり公社,施設の目的外使用、職員の派遣等
災害時における区の応急対策活動への協力に関する協定,社会福祉法人　墨田区社会福祉事業団,施設の目的外使用、職員の派遣等
災害時における区の応急対策活動への協力に関する協定,（財）墨田区文化振興財団,施設の目的外使用、職員の派遣等
災害時における区の応急対策活動への協力に関する協定,社会福祉法人　墨田区社会福祉協議会,施設の目的外使用、職員の派遣等
災害時における応急物資の優先供給等に関する協定,墨田区商店街連合会,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）イトーヨーカ堂,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）マルエツ,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）ライフコーポレーション,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）ローソン,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）サンベルクス,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における応急物資の優先供給等に関する協定,（株）コモディイイダ,災害時における応急物資（応急食糧及び日用品）の本区への優先供給及び、店舗の営業の継続または早期開店により災害時の区民生活の安定と区民の安心を確保する。
災害時における棺等葬祭用品の供給等に関する協定,全東京葬祭業連合会,区の要請に応じ、遺体収容所等での棺等葬祭用品の供給を行う。
災害時における霊柩自動車輸送の協力に関する協定,（一社）全国霊柩自動車協会,区の要請に応じ、遺体収容所から斎場等への遺体搬送を行う。
災害時における放送要請に関する協定,（株）ジェイコム東京,ケーブルテレビにより、区内の災害情報を放送する。
災害時における応急対策支援に関する協定,東京都印刷工業組合墨田支部,区の要請に基づき、作業用機器及び人員の提供を行う。
災害時における動物救護活動についての協定,（公社）東京都獣医師会墨田支部,区の要請に基づき、動物の救護所設置及びペットフード調達の協力、並びに動物医療活動を行う。
災害時における軽自動車緊急輸送業務に関する協定,赤帽首都圏軽自動車運送協同組合城東支部,災害時に区の要請に基づき、物資輸送用等の車両及び人員の供給を行う。
災害時における地域住民支援等に関する協定,（株）NTTドコモ,施設の目的外使用、設備・備品貸与等
災害時におけるし尿処理に関する協定,（株）都市整美センター,区の要請に基づき、避難所等に設置された仮設トイレ及び公園等に設置された震災対応型便所のタンクに溜まったし尿について、収集・運搬をする。
災害時におけるし尿処理に関する協定,新和衛生（株）,区の要請に基づき、避難所等に設置された仮設トイレ及び公園等に設置された震災対応型便所のタンクに溜まったし尿について、収集・運搬をする。
災害時におけるし尿処理に関する協定,（株）池田組衛生工業所,区の要請に基づき、避難所等に設置された仮設トイレ及び公園等に設置された震災対応型便所のタンクに溜まったし尿について、収集・運搬をする。
災害時におけるし尿処理に関する協定,（株）ネクサス,区の要請に基づき、避難所等に設置された仮設トイレ及び公園等に設置された震災対応型便所のタンクに溜まったし尿について、収集・運搬をする。
災害時における墨田区と特定非営利活動法人日本救助犬協会との協力に関する協定,NPO法人日本救助犬協会,救助犬による捜索活動
非常通信の運用に関する協定,本所消防署,東京都防災行政無線使用不能時に消防電話通信設備を運用する。
災害時における応急対策活動に関する協定,東京都自動車整備振興会墨田支部,放置車両等の移動、車両・資器材の優先修理、資器材・労務の提供
災害時における応急対策業務に関する協定,東京土建一般労働組合墨田支部、東京建設産業組合,救出救助活動、応急的な危険度の判定、建物応急修理
災害時における施設利用等に関する協定,すみだスポーツサポートPFI（株）,施設の目的外使用、設備・備品貸与等
防災備蓄倉庫の無償使用に関する協定,すみだスポーツサポートPFI（株）,倉庫の使用
大震災等災害時における施設使用に関する協定,学校法人安田学園教育会,災害時に施設の一部を避難所として区民に提供する。
災害時における理容サービス業務の提供に関する協定,東京都理容生活衛生同業組合墨田支部,理容サービス業務の提供
災害時における放送要請に関する協定,レインボータウンエフエム放送（株）,区の要請に基づき、災害情報等を提供する。
災害時の情報交換に関する協定,国土交通省関東地方整備局,災害時又は災害が発生する恐れがある場合における、相互の情報交換を行う。また、区への情報連絡員（リエゾン）の派遣を行う。
災害時における氷の優先供給に関する協定,（株）小野田商店,災害時に区の要請に基づき、氷の優先供給を行う。
災害時におけるトイレットペーパーの優先供給に関する協定,R団連すみだリサイクル協同組合,災害時に区の要請に基づき、トイレットペーパーの優先供給を行う。
災害時における要援護者の避難輸送協力に関する協定,東京福祉バス（株）,災害時に区の要請に基づき、要援護者の二次避難所輸送を行う。
災害時における応急対策活動に関する基本協定,メットライフ生命保険（株）,災害時に避難所運営協力、がれき処理、食糧・生活物資供給活動、避難者の一時受入を行う。
災害時における応急物資の供給に関する協定,五十嵐製箱（株）,災害時に区の要請に基づき、応急物資（ダンボール製敷物、ベッド等）の供給を行う。
災害時における応急物資の供給に関する協定,五榮製箱（株）,災害時に区の要請に基づき、応急物資（ダンボール製敷物、ベッド等）の供給を行う。
災害時における応急対策支援に関する協定,浅草開発（株）,災害時に区の要請に基づき、災害応急対策活動に協力する。
災害時における応急対策支援に関する協定,オー・エム・コミュニティ（株）,災害時に区の要請に基づき、災害応急対策活動に協力する。
災害時における応急対策支援に関する協定,セントラルエンジニアリング（株）,災害時に区の要請に基づき、災害応急対策活動に協力する。
災害時における応急対策支援に関する協定,すみだ環境整備協同組合,災害時に区の要請に基づき、災害応急対策活動に協力する。
災害時における墨田区の帰宅困難者支援活動への協力に関する協定,（株）パイオニア,災害時に帰宅困難者の一時休憩場所の提供を行う。
災害時における宿泊施設等の提供に関する協定,（株）パイオニア,災害時に要配慮者等の宿泊設備その他の付随設備の提供を行う。
災害時における要援護者の避難輸送協力に関する協定,社団法人　東京ハイヤータクシー協会墨田葛飾支部,災害時に区の要請に基づき、要配慮者の二次避難所輸送を行う。
災害時における避難所施設利用に関する協定,社会福祉法人賛育会,災害時に区民等の避難所として施設の一部を提供する。
災害時における救護活動に関する墨田区と社会福祉法人墨田さんさん会との相互援助協定,社会福祉法人墨田さんさん会,災害時に区の要請に基づき、常時介護が必要な障害者の受け入れを行う。
墨田区船着場等の利用に関する協定,公益財団法人　東京都公園協会,水上バスを利用した物資、帰宅困難者の輸送を行う。
災害時における物資の自動車輸送に関する協定,墨田リサイクル事業協同組合,災害時に区の要請に基づき、保有する車両による物資輸送を行う。
災害時における帰宅困難者の一時休憩場所の提供に関する協定,国際ファッションセンター（株）,災害時に帰宅困難者の一時休憩場所の提供を行う。
災害時における墨田区の帰宅困難者支援に関する協定,マークフロントタワー曳舟管理組合,災害時に帰宅困難者の一時休憩場所等の提供を行う。
光通信ネットワークを利用した河川情報提供に関する協定,国土交通省関東地方整備局荒川下流河川事務所,光通信ネットワークを利用して河川情報の提供する。
災害時における墨田区の帰宅困難者支援活動への協力に関する協定,（株）第一ホテル両国,災害時に帰宅困難者の一時休憩場所等の提供等を行う。
大規模な水害時における緊急避難に関する覚書,東京都都市整備局,水害時に一時避難施設として利用する。
洪水等の水害時における一時避難施設利用に関する協定,（株）イトーヨーカ堂,水害時に区の要請に基づき、一時避難施設の提供を行う。
大規模な水害時における一時避難施設の利用に関する協定,独立行政法人都市再生機構,水害時に一時避難施設として利用する。
災害時における灯油等の優先供給に関する協定,平野石油（株）,災害時に灯油､軽油等を優先供給する。
災害時における応急対策業務に関する協定,一般社団法人東京都建築士事務所協会墨田支部,災害時に災害応急対策活動を支援する。
大規模な水害時における緊急避難に関する覚書,東京都住宅供給公社,水害時に一時避難施設として利用する。
災害時における医薬品等の調達業務に関する協定,アルフレッサ（株）,災害時に医薬品等を優先供給する。
災害時における医薬品等の調達業務に関する協定,（株）スズケン東京中央営業部城東支店,災害時に医薬品等を優先供給する。
災害時における医薬品等の調達業務に関する協定,（株）バイタルネット東京中央支店,災害時に医薬品等を優先供給する。
災害時における医薬品等の調達業務に関する協定,（株）マルタケ東京支店,災害時に医薬品等を優先供給する。
災害時における医薬品等の調達業務に関する協定,（株）メディセオ墨田支店,災害時に医薬品等を優先供給する。
災害時における医薬品等の調達業務に関する協定,東邦薬品㈱東京営業部江東営業所,災害時に医薬品等を優先供給する。
災害時における施設の利用に関する協定,（株）東新アクア,災害時に一時避難施設として利用する。
災害時における飲料等の優先供給及び施設の利用に関する協定,アサヒグループホールディングス（株）,災害時に帰宅困難者の一時休憩施設又は水害時の一時避難施設としての利用及び飲料等を優先供給する。
災害時における施設の利用等に関する協定,アパ（株）,災害時に帰宅困難者の一時休憩施設又は水害時の一時避難施設としての利用及び要配慮者に対する宿泊施設の提供等を行う。
災害時における日用品等の優先供給に関する協定,ライオン（株）,災害時に日用品等を優先供給する。
災害時における救護活動に関する社会福祉法人カメリア会（なりひらホーム）との相互援助協定,社会福祉法人カメリア会,災害時に区の要請に基づき、常時介護が必要な高齢者の受入れを行う。
洪水等の水害時における一時避難施設利用に関する協定,東日本電信電話（株）,水害時の一時避難施設利用
災害時における墨田区の帰宅困難者支援活動への協力に関する協定,東京東信用金庫,帰宅困難者の一時休憩場所の提供
災害時における応急対策業務に関する協定,（株）アサバ,災害時の建築物等の解体に関する業務等
災害時に備えた医薬品の供給等に関する協定,（一社）墨田区薬剤師会,災害時に医薬品等を優先供給する。
大規模な水害時における一時避難施設の利用に関する協定,錦糸町ハイタウン管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,レクシオ亀戸管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,向島ハイツ管理組合法人,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモグランプレイス管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモ押上ガーデンシティ管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,イーストコア曳舟二番館管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,ライオンズマンション隅田公園管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,ネオコーポ墨田管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモ向島管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,ザ・コンド曳舟管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,ラヴィアンコート墨田業平管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモシティ亀戸管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモ押上サザンフォルム管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,吾妻橋サニーコーポ管理組合,水害時に一時避難施設として利用する。
大規模な水害時における一時避難施設の利用に関する協定,コスモ押上アーバンフォルム管理組合,水害時に一時避難施設として利用する。
災害時における地図製品等の供給等に関する協定,（株）ゼンリン,災害時に地図製品等を供給する。
災害時における救護活動に関する墨田区と医療法人伯鳳会との相互援助協定,医療法人伯鳳会,災害時に区の要請に基づき、常時介護が必要な高齢者の受入を行う。
避難所における応急給水栓の設置及び使用に関する覚書,東京都水道局,避難所における応急給水栓の設置及び使用
災害に係る情報発信等に関する協定,ヤフー（株）,災害時の情報発信について支援を行う。
災害時における墨田区の帰宅困難者支援に関する協定,イーストコア曳舟二番館管理組合,帰宅困難者の一時休憩場所の提供
災害時における避難所施設利用等に関する協定,社会福祉法人　吉祥福寿会,災害時に施設の一部を避難所として区民に提供する。
災害時における応急対策活動に関する基本協定,SBSホールディングス（株）,避難所運営協力、がれき処理、食糧・生活物資供給活動
災害時における墨田区の帰宅困難者支援に関する協定,鈴木興産（株）,帰宅困難者の一時休憩場所の提供
避難所となる都立公園における連携協力に関する基本協定書,東京都建設局,避難場所となる都立公園における避難者対応等に必要な連携協力
都立東白鬚公園における連携協力に関する確認書,公益財団法人　東京都公園協会,都立東白鬚公園における避難者支援、防災関連施設の使用に係る支援、物資運搬協力等
災害時における墨田区の帰宅困難者支援活動への協力に関する協定,トヨタ東京カローラ株式会社,帰宅困難者の一時休憩場所の提供
災害時の医療救護活動への協力に関する協定,一般社団法人東京都訪問看護ステーション協会,災害時に区の要請に基づき、救護所に訪問看護師を派遣する。
災害時における医薬品等の優先供給に関する協定,株式会社ぱぱす,災害時に医薬品等を優先供給する。
災害時における区の応急対策活動への協力に関する協定,すみだFTパートナーズ,墨田区総合運動場の目的外使用等
区の防災対策活動への協力に関する協定,学校法人電子学園,災害時に情報経営イノベーション専門職大学を一時避難場所等として活用する。
災害時における被災者支援に関する協定,東京都行政書士会墨田支部,災害時に被災者支援のため行政書士業務相談を実施する。
