"エリア","名称","電話番号","概要"
"麻布・六本木エリア","六本木ヒルズ東京シティビュースカイデッキ","03-6406-6652","六本木ヒルズにそびえる森タワー52階・53階の展望台は、都心のほぼ中央にありながら周囲に視界を遮る建物がなく、360度のダイナミックな景観が見渡せます。"
"麻布・六本木エリア","麻布十番商店街",,"創業100年以上の老舗が建ち並ぶ伝統ある商店街です。毎年8月には納涼まつりが開催され、多くの人出で賑わいます。"
"麻布・六本木エリア","きみちゃん像",,"楽しく、ほっとする微笑みの街・麻布十番にある多目的広場「パティオ十番」には、童謡「赤い靴」のモデルとなった女の子「きみちゃん」像があり、街ゆく親子を見守っています。"
"麻布・六本木エリア","善福寺","03-3451-7402","平安時代に空海が開山し、鎌倉時代には親鸞も滞在した由緒あるお寺で、境内には樹齢約700年の「逆さイチョウ」（国天然記念物）をはじめ、数々の文化財があります。"
"麻布・六本木エリア","麻布氷川神社","03-3446-8796","素盞嗚尊（スサノオノミコト）と日本武尊（ヤマトタケルノミコト）を御祭神とし、境内の杜には「毘沙門天」が祀られ、江戸氷川七社の一つとして信仰されています。"
"麻布・六本木エリア","有栖川宮記念公園","03-3441-9642","面積約6.7ヘクタール。江戸時代は盛岡南部藩の下屋敷でしたが、その後有栖川宮の御用地となり、1934年（昭和9年）に下賜されました。大名庭園の面影を残す静かな公園です。"
"赤坂・青山エリア","迎賓館赤坂離宮","03-5728-7788","明治時代に東宮御所として建てられたネオバロック様式の壮麗な西洋風宮殿建築（国宝）です。1974年（昭和49年）から外国の賓客をもてなす迎賓館として使われ、現在は接遇日程等を除き一般公開されています。"
"赤坂・青山エリア","豊川稲荷東京別院","03-3408-3414","愛知県にある豊川稲荷妙厳寺の別院で、大岡越前守忠相が屋敷内にダ枳尼眞天（ダキニシンテン）像を祀ったのが始まりです。曹洞宗のお寺ですが、七福神も祀られ、場所がら芸能関係の参拝者が多く訪れます。"
"赤坂・青山エリア","神宮外苑イチョウ並木",,"1923年（大正12年）の植栽以来、外苑のシンボルとなった並木道。イチョウは青山通り側から高い順に植えられ、正面の絵画館へと続く道は遠近法の効果で見事な景観美となっています。"
"赤坂・青山エリア","赤坂サカス",,"赤坂Bizタワーを中心に、TBS放送センター、TBS 赤坂ACTシアターなどが集まっており、イベント、演劇、食など様々に楽しめる一大エンターテインメント複合施設です。"
"赤坂・青山エリア","乃木神社","03-3478-3001","明治時代の陸軍大将・乃木希典命と、その夫人で夫とともに明治天皇に殉じた静子命を祀った神社です。近くには、乃木大将がドイツ留学の際に見たフランス兵舎をモチーフに1902年（明治35年）に建てられた邸宅（旧乃木邸）があります。"
"赤坂・青山エリア","東京ミッドタウン","03-3475-3100","グルメ、ファッション、インテリアなど、約130のショップが集結しています。広大な緑地や約3000点の収蔵品を誇るサントリー美術館などもあり、デザインとアートの街にふさわしい施設です。"
"赤坂・青山エリア","青山霊園","03-3401-3652（管理事務所）","23区内で最大規模の霊園で、斎藤茂吉や大久保利通など、日本の近代史に名を連ねた多くの著名人の墓があります。桜の名所としても有名です。"
"赤坂・青山エリア","根津美術館","03-3400-2536","実業家・初代根津嘉一郎が収集した日本・東洋の古美術品コレクションを保存し、展示しています。展覧会ごとに絵画、陶磁器など異なるジャンルの作品を鑑賞でき、広大な庭園も魅力です。"
"高輪・白金エリア","白金氷川神社","03-3441-8842","素盞嗚尊（スサノオノミコト）、日本武尊（ヤマトタケルノミコト）、櫛稲田姫尊（クシナダヒメノミコト）の三神が祀られています。境内には建武神社と稲荷神社があります。"
"高輪・白金エリア","覚林寺（清正公）","03-3441-9379","加藤清正公を祀り、江戸時代から「清正公さま」として親しまれています。毎年5月4・5日の清正公大祭には、葉菖蒲の入った「勝守」が授与されます。武運のあった清正公にあやかり「人生の苦悩に打ち勝つ」という意味が込められています。"
"高輪・白金エリア","港区立郷土歴史館","03-6450-2107","1938年（昭和13年）に建てられた旧公衆衛生院を保存・改修し、郷土歴史館を中心とした複合施設として活用しています。スクラッチタイルで覆われたゴシック調の外観は設計者、内田祥三の名前から「内田ゴシック」と呼ばれています。"
"高輪・白金エリア","プラチナ通り",,"目黒通りと外苑西通りを結び、イチョウ並木沿いに素敵なレストランやカフェ、ブティックが立ち並ぶ洗練された大人の街。エレガントな時間を演出します。"
"高輪・白金エリア","東京都庭園美術館","050-5541-8600","1933年（昭和8年）に建てられた旧朝香宮邸を、1983年（昭和58年）から美術館として一般に公開。アール・デコ様式の建物と庭園が見事に調和した貴重な歴史的建造物です。（重要文化財）"
"高輪・白金エリア","泉岳寺","03-3441-5560","江戸時代の赤穂藩主・浅野家の菩提寺で、江戸城松の廊下での刃傷事件で知られる浅野内匠頭とその夫人・瑶泉院、“赤穂義士”として海外でも有名な「四十七士」の墓があります。"
"高輪・白金エリア","高輪消防署二本榎出張所","03-3473-0119","1933年（昭和8年）に落成した、第一次世界大戦後に流行した「ドイツ表現派」の建築設計で、そのレトロな外観から、地域のシンボル的な存在となっています。2011年（平成22年）に東京都選定歴史的建造物に選定されています。"
"高輪・白金エリア","マクセルアクアワーク品川","03-5421-1111","水族館、アトラクション、スタジアムが一体になった複合施設。昼夜で変わるドルフィンパフォーマンスやテーマごとに趣向を凝らした水槽展示が人気のエンターテインメント水族館です。"
"芝浦・台場エリア","Hi-NODE（ハイノード）","0120-977-311","2019年（令和元年）8月に、日の出ふ頭に開業した小型船ターミナル。待合所に東京湾を一望できるカフェ・レストランも併設されており、海や自然を感じながら休憩や食事などが楽しめます。"
"芝浦・台場エリア","日の出桟橋",,"水上バスやお台場海浜公園などへ行く海上バスなどが発着する、海からの東京観光の拠点となっています。レインボーブリッジの夜景も美しい穴場スポットです。"
"芝浦・台場エリア","港区立伝統文化交流館","03-3455-8451","1936年（昭和11年）建設と、都内に現存する最古級の木造見番建造物として港区有形文化財に指定されている「旧協働会館」を活用した施設です。保存・活用を望む地域の声を受けて保存整備工事が行われ、2020年（令和2年）4月に開館しました。"
"芝浦・台場エリア","レインボーブリッジ",,"東京湾にかかるレインボーブリッジは1993年（平成5年）開通。橋の長さは798mで、歩いて渡れるレインボープロムナード（1.7km）もあり、その夜景は人気の観光スポットとなっています。"
"芝浦・台場エリア","品川シーズンテラス","03-6433-2848","ビル内には飲食店やクリニック、ランニングステーションがあり、隣接する3.5ヘクタールの緑地では近隣の家族が寛ぐ姿も多く見かけます。季節ごとの各種イベントやドラマのロケ地としても利用され、東京タワーを望む夜景スポットとしても人気です。"
"芝浦・台場エリア","お台場海浜公園","03-5531-0852（公園全般に関すること）","東京湾に面した砂浜で砂遊びやウインドサーフィンが楽しめる海浜公園。目の前に架かるレインボーブリッジや対岸の東京の街並み、ファンタスティックな夜景も一望できます。"
"芝浦・台場エリア","自由の女神像",,"フランスから「自由の女神像レプリカ」の作成が認められ、臨海副都心まちづくり協議会が製作、東京都へ寄付し設置されました。高さ11m、重量約9tのブロンズ像です。"
"芝浦・台場エリア","フジテレビ本社 球体展望室「はちたま」",,"地上約100ｍに浮かぶ球体の展望室「はちたま」からは、レインボーブリッジや東京タワー、晴れた日には富士山、秩父連山、丹沢山系まで見渡せる視界270度の臨海パノラマが楽しめます。"
"七福神","天祖神社（福禄寿）","03-3408-5898","福（幸福）、禄（俸禄）、寿（長寿）の三徳を授けるという「福禄寿」が祀られています。"
"七福神","久國神社（布袋尊）","03-3583-2896","福徳円満の神「布袋尊」が祀られ、太田道灌が鎌倉時代の名工・久国作の宝剣を寄進したことから「久國稲荷大明神」として崇敬されています。"
"七福神","宝珠院（弁財天）","03-3431-0987","開運出世、財宝を授けるという女神「弁財天」が祀られ、朱色の弁天堂のほか、高さ2mの木彫りの閻魔大王像を収めた閻魔堂があります。"
"七福神","熊野神社（恵比寿）","03-3589-6008","商売繁盛をもたらす「恵比寿」様が祀られ、十番稲荷から「麻布いーすと通り」を抜けて来る道には、昔ながらの商店街が続いています。"
"七福神","十番稲荷神社（宝船）","03-3583-6250","七福神を乗せた縁起の良い宝船の神社。火の災難から守ってくれるというガマ親子の石像も置かれています。"
"七福神","氷川神社（毘沙門天）","03-3446-8796","疾病・災難を除き大願成就を果たす「毘沙門天」が祀られ、江戸氷川七社の一つとして信仰されています。"
"七福神","大法寺（大黒天）","03-3451-6039","福徳開運、財産授与のご利益をもたらすという「大黒天」を祀っています。2月3日の節分の日は、毎年盛大な「豆まき」が行われます。"
"七福神","櫻田神社（壽老人）","03-3405-0868","長寿を授ける「壽老神」が祀られています。1180年（治承4年）頃霞ヶ関に建立され、その後太田道灌が再興、1624年（寛永元年）現在地に遷宮されました。"

"港区観光マップ","Ver202312",,
