,都民からの意見（要旨）,意見に対する見解
３対策強化流域・地区について,対策強化流域・地区については家づくり・まちづくりが外枠へ移動したことにより、高床建築・防水板設置等をしなくても床上浸水を解消できると読み取った。河川・下水道の整解消できると読み取った。河川・下水道の整備だけで床上浸水を食い止めることはできるのかが疑問である。想定の範囲外を想定の範囲内に狭めるのが土木技術者の使命といった囲内に狭めるのが土木技術者の使命といったところではないか。,対策強化流域・地区については、河川整備、下水道整備、流域対策によって区部７５ミリ、多摩部６５ミリ降雨までは浸水被害を防止できるよう目標を定め、対策を進めていきます。また、これに加え、家づくり・まちづくり対策も含めることで、区部７５ミリ、多摩部６５ミリを超える降雨にも対応していきます。
４河川整備について,区部と多摩で計画降雨が異なりますが、神田川や野川のように区部と多摩の両方を流れる川はどのように計画するのか。,区部河川は流域面積の過半を区部が占める中小河川、多摩部河川は流域面積の過半を多摩地域が占める中小河川と定義しています。このため、例えば神田川は区部河川、野川は多摩部河川と位置付けています。
４河川整備について,野川は中流部の改修が終わったと感じていたが、また護岸改修や調整池の整備を行うのか。,野川における時間５０ミリの降雨への対応は、最上流の国分寺市区間を除き、概ね護岸整備が完了していますが、下流部から中流部の中島橋まで、河床掘削を進めているところです。今後、流域対策と併せ、時間６５ミリの降雨に対応することを目指していきますが、具体的な整備手法については現在検討を行っています。
４河川整備について,大規模工事ばかり目につくが、河道整備はもう限界なのか。コンクリート３面張りの味気ない水路を親水整備として意匠変えできるチャンスではないか。,今回の基本方針改定は、都における豪雨対策の一層の強化についての方向性を示すものです。このため、河道整備など個々の河川に関する検討については、河川整備計画の策定や個別事業の検討の際に行っていくこととなります。
４河川整備について,広域連絡調節池のみでは、貯められる水の量が限られており、１日のうちに連続して豪雨が発生した場合には対応が確実にできるのか心配。環七地下調節池と白子川地下調節池を繋いで、そこにできる容積を活用するものと思うが、都内でも有数の暴れ川である神田川流域を抱えていることからも、数十年前に公表されていた地下河川構想を、今こそ、実現すべきではないか。対策強化流域を貫く形で水害への安全性を確保するものと思われる。,複数の流域の水を取水する地下河川は、取水した水を東京湾へ流下し続けることができるため、連続して発生するような豪雨に対して非常に有効です。このため、地下河川の整備については、今後の検討課題といたします。
５下水道整備について,豪雨時に貯留施設にため込んだ下水を含む汚い水をどのように処理するのかが疑問。そのまま下水処理場に送ったら処理能力を超えるだろう。その場合、河川や濠に未処理水を放流すると汚濁状態になるのではないか。,貯留施設に貯められた水は、全て晴天時に水再生センターで処理し、きれいにしてから河川や海などに放流しています。
５下水道整備について,合流式下水道が大雨の際に、河川や東京湾を汚す原因となっているので、この際に分流式下水道に変更しないのか。,早期に衛生環境の改善と浸水被害を解消するため、区部の大部分では合流式下水道の整備が進められてきました。現在、降雨初期の下水を貯留する施設の整備など、雨天時に河川や海などに放流される汚濁負荷量を分流式下水道と同程度に削減する取組を進めています。分流式下水道は地面の汚れ、道路の汚れやごみなどが雨水とともに河川に流出するデへの変更は、都民の負担により宅地内の排水設備を変更するなどの問題があります。そのため、市街地再開発事業などのまちづくりと連携するなど、対策が可能な地区について分流化を進めています。
５下水道整備について,水害対策だけでなく環境面にも目を向けてみると東京の下水道は合流式下水道であり、豪雨の後に異臭が漂ったりする。コスト面等でも難しいことだとは思うが並行して対策を行えたら理想的だと思う。,早期に衛生環境の改善と浸水被害を解消するため、区部の大部分では合流式下水道の整備が進められてきました。現在、降雨初期の下水を貯留する施設の整備など、雨天時に河川や海などに放流される汚濁負荷量を分流式下水道と同程度に削減する取組を進めています。分流式下水道は地面の汚れ、道路の汚れやごみなどが雨水とともに河川に流出するデへの変更は、都民の負担により宅地内の排水設備を変更するなどの問題があります。そのため、市街地再開発事業などのまちづくりと連携するなど、対策が可能な地区について分流化を進めています。
５下水道整備について,「下水道整備」の推進について、河川の管理者と連携し吐口断面の拡大などを進めることにより、施設の能力を早期に発揮させていくとあるが、水環境保全の観点から、下水道から河川への放流について、反対である。雨水吐口という名目になっているが、実際は合流式下水道から雨水と汚水が混ざり合った水が放流されている。現在の神田川でさえ、晴天時・雨天時関係なく悪臭が漂っていることが多々ある。今後の方針として、河川への放流雨量を減らすもしくは河川の水質をも考慮した豪雨対策を考えていただきたいと思う。,早期に衛生環境の改善と浸水被害を解消するため、区部の大部分では合流式下水道の整備が進められてきました。現在、降雨初期の下水を貯留する施設の整備など、雨天時に河川や海などに放流される汚濁負荷量を分流式下水道と同程度に削減する取組を進めています。分流式下水道は地面の汚れ、道路の汚れやごみなどが雨水とともに河川に流出するデへの変更は、都民の負担により宅地内の排水設備を変更するなどの問題があります。そのため、市街地再開発事業などのまちづくりと連携するなど、対策が可能な地区について分流化を進めています。
５下水道整備について,落ち葉により、雨水排除施設などが詰まることで浸水被害が拡大する可能性も無視できないと思う。降雨の予測システムが精度よく開発されているので、公園の落ち葉などを前日に掃除しておくことも大事だと思う。天気予報が外れても町の清潔感が増し、予算の無駄だと思わない。,浸水対策強化月間などの取組において、関係区市と連携し雨水ますの点検・清掃を雨期前に実施しています。また、そうした取組において、雨水ますの定期的な清掃へのご協力など、都民に浸水への備えについてお願いしています。
５下水道整備について,多摩部については、下水道も時間６５mmの整備を行うのか。河川だけ能力を上げても浸水被害は防げないと思います。,多摩地域の下水道の浸水対策は、市町村が公共下水道として雨水管の整備を実施する必要があります。都区市町村で設置している東京都総合治水対策協議会の中で、下水道整備や流域対策の促進を図っていきます。また、都は区市町村と一体となって、豪雨対策推進に向けた課題を抽出し、下水道整備や流域対策の推進に向けて、積極的な支援をしていきます。
５下水道整備について,財政基盤の弱い多摩地域の市町村に対して、下水道整備に対する財政補助や流域対策（一時貯留浸透施設など）に対する財政補助の拡充をするべきではないか。区部ばかり雨水対策が進んでいくのは不公平な感じがする。,多摩地域の下水道の浸水対策は、市町村が公共下水道として雨水管の整備を実施する必要があります。都区市町村で設置している東京都総合治水対策協議会の中で、下水道整備や流域対策の促進を図っていきます。また、都は区市町村と一体となって、豪雨対策推進に向けた課題を抽出し、下水道整備や流域対策の推進に向けて、積極的な支援をしていきます。
６流域対策について,河川や下水道の整備は重要であるが、都市化により浸透能力が低下していることが、豪雨による被害が発生する大きな要因となっている。行政が積極的に浸透能力の回復に努めるべきである。,都市化によって失われた浸透能力については、要綱や条例等により、雨水流出抑制施設の設置を義務化する方策の検討や、助成・補助を行うことなど、公共施設、大規模民間施設、小規模民間施設における流域対策を促進させ、引き続き浸透能力の回復に努めていきます。
６流域対策について,調節池等、河道の整備は良いと思うが、個人住宅への雨水流出抑制事業費補助を更に適用すべき。,個人住宅への雨水流出抑制施設設置を促進させるため、豪雨による浸水被害が頻発している流域を対象として、区市の助成額の一部を都が補助しています。今後とも補助を継続するとともに、雨水タンクへの補助など、補助対象の拡充を図り、対策を強化していきます。
６流域対策について,持続可能な開発を考えるならば、なるべく各家庭で、雨水も貯留した方がハード面における地域の防災対策にもつながると思う。,個人住宅への雨水流出抑制施設設置を促進させるため、豪雨による浸水被害が頻発している流域を対象として、区市の助成額の一部を都が補助しています。今後とも補助を継続するとともに、雨水タンクへの補助など、補助対象の拡充を図り、対策を強化していきます。
６流域対策について,もっとビルの屋上に緑を植えることで、ヒートアイランド現象の抑制と雨水貯留効果が見込めると思う。,ビルの屋上緑化や透水性舗装なども流域対策に位置付けております。今後とも流域対策の促進を図っていきます。
６流域対策について,屋上緑化などと組み合わせた、雨水流出抑制などの支援も記述することは価値があるのではないか。,ビルの屋上緑化や透水性舗装なども流域対策に位置付けております。今後とも流域対策の促進を図っていきます。
６流域対策について,駐車場の浸透化、透水性舗装化なども追加してはどうか。,ビルの屋上緑化や透水性舗装なども流域対策に位置付けております。今後とも流域対策の促進を図っていきます。
６流域対策について,貯留施設や浸透施設は、初期降雨のみ捕捉してしまい、ピークカットに寄与するには、計画に示していた量の数ミリ程度では足りないのではないかと思う。前回の基本方針に示していた開発頼みの流域対策では、豪雨による水害を本当に防げるのか、検証していただきたい。,流域対策の目標降雨に対する分担量は河川・下水道整備と連携し、総合的な治水対策が図れるよう、目標設定しています。雨水貯留・浸透施設の設置に当たっては、「東京都雨水貯留・浸透施設技術指針」に従い、計画降雨に対してピークカットまたはベースカットの効果が発揮できるよう、施設設計がされております。ただし、降雨前後及び、降雨中の適切な運用が前提となることから、今後は、「流域別豪雨対策計画」策定の中で、より効果的な貯留施設や浸透施設の設置とともに、適切な運用の実施についても検討を行っていきます。とりわけ個人住宅への雨水タンク、浸透ます、透水性舗装等の設置については、住民自身が浸透の意義を理解し、積極的に導入する意識の向上が必要です。今後とも、都民に情報提供するための工夫を行い、流域対策の促進に努めていきます。
６流域対策について,流域対策である貯留施設や浸透施設は、初期の降雨を捕捉してしまい、肝心なピーク時には降雨を捕捉してくれないのではないか。豪雨といえども、降り始めから終わりまでにはピークがあると思う。このピークをいかにずらして河川や下水道の施設能力をうまく使うかが必要なことと思われる。,流域対策の目標降雨に対する分担量は河川・下水道整備と連携し、総合的な治水対策が図れるよう、目標設定しています。雨水貯留・浸透施設の設置に当たっては、「東京都雨水貯留・浸透施設技術指針」に従い、計画降雨に対してピークカットまたはベースカットの効果が発揮できるよう、施設設計がされております。ただし、降雨前後及び、降雨中の適切な運用が前提となることから、今後は、「流域別豪雨対策計画」策定の中で、より効果的な貯留施設や浸透施設の設置とともに、適切な運用の実施についても検討を行っていきます。とりわけ個人住宅への雨水タンク、浸透ます、透水性舗装等の設置については、住民自身が浸透の意義を理解し、積極的に導入する意識の向上が必要です。今後とも、都民に情報提供するための工夫を行い、流域対策の促進に努めていきます。
６流域対策について,個人住宅への雨水タンクの導入は、豪雨前にタンクを空にするなどの工夫がないと対策とはならないと考えられる。単純な従来型の雨水利用のためのタンクではない機能を発揮するシステムが必須ではないか。,流域対策の目標降雨に対する分担量は河川・下水道整備と連携し、総合的な治水対策が図れるよう、目標設定しています。雨水貯留・浸透施設の設置に当たっては、「東京都雨水貯留・浸透施設技術指針」に従い、計画降雨に対してピークカットまたはベースカットの効果が発揮できるよう、施設設計がされております。ただし、降雨前後及び、降雨中の適切な運用が前提となることから、今後は、「流域別豪雨対策計画」策定の中で、より効果的な貯留施設や浸透施設の設置とともに、適切な運用の実施についても検討を行っていきます。とりわけ個人住宅への雨水タンク、浸透ます、透水性舗装等の設置については、住民自身が浸透の意義を理解し、積極的に導入する意識の向上が必要です。今後とも、都民に情報提供するための工夫を行い、流域対策の促進に努めていきます。
６流域対策について,浸透施設導入による固定資産税の低減なども考えらえる。また、駐車場舗装などの透水性向上などは、地道であるが重要な対策となりえる。この種の駐車場などの営利目的の駐車場には浸透施設にしないことへの課金も想定可能ではないか。,流域対策の目標降雨に対する分担量は河川・下水道整備と連携し、総合的な治水対策が図れるよう、目標設定しています。雨水貯留・浸透施設の設置に当たっては、「東京都雨水貯留・浸透施設技術指針」に従い、計画降雨に対してピークカットまたはベースカットの効果が発揮できるよう、施設設計がされております。ただし、降雨前後及び、降雨中の適切な運用が前提となることから、今後は、「流域別豪雨対策計画」策定の中で、より効果的な貯留施設や浸透施設の設置とともに、適切な運用の実施についても検討を行っていきます。とりわけ個人住宅への雨水タンク、浸透ます、透水性舗装等の設置については、住民自身が浸透の意義を理解し、積極的に導入する意識の向上が必要です。今後とも、都民に情報提供するための工夫を行い、流域対策の促進に努めていきます。
７家づくり・まちづくり対策について,地下街は、物理的に浸水に対しての弱さを持っている。一旦浸水してしまうと、大きな被害が発生することから、十分な対策を施すべきである。,地下鉄・大規模地下街については、関連する民間管理者と行政が連携し、地下街・地下鉄・隣接ビル等の管理者間の連携強化など、地下空間における浸水対策の更なる充実を促進していきます。また、対策強化地区で定めた地下街対策地区においては、引き続き時間７５ミリ降雨に対応できるよう、対策を実施していきます。
７家づくり・まちづくり対策について,都市部の地下鉄は利便性が高く、これが東京の大きな魅力の一つになっている。しかし一旦、浸水すれば大きな被害が発生することが予想される。地下鉄での浸水対策を十分に行う必要がある。,地下鉄・大規模地下街については、関連する民間管理者と行政が連携し、地下街・地下鉄・隣接ビル等の管理者間の連携強化など、地下空間における浸水対策の更なる充実を促進していきます。また、対策強化地区で定めた地下街対策地区においては、引き続き時間７６ミリ降雨に対応できるよう、対策を実施していきます。
７家づくり・まちづくり対策について,家づくり・まちづくり対策についてのほとんどは、家づくり対策になっており、都市計画的なまちづくりとしての対策が明確ではない。都市計画分野との連携が不足している懸念がある。３０年という長いタームで考えると、いかに豪雨に強い都市にするかの都市計画的な施策に関する記述が必要ではないか。,区市町村と連携し、高床建築や地下浸水対策等の実施を促進するなど、浸水に強いまちづくりを推進していきます。また、都区市町村による検討会を設置し、まちづくり対策の推進手法など、情報を共有化し、豪雨に強いまちづくりを目指していきます。
８避難方策について,普段治水対策に関心のない都民がはたして事前にハザードマップを見て個別に対策を行ったり、豪雨災害の危険性を意識することができるのか。ハザードマップについて、いくら良いものを作っても都民が見てくれないと何の価値もなくなる。どうしたらより多くの都,区市町村と連携し、ハザードマップなどの整備を行うとともに、それらのより多くの都民への情報提供や分かりやすい表示などを促進していきます。今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。
８避難方策について,対策強化流域などは、過去の水害が多いところということが強調されている。水害が多いということは、地形的にも洪水が発生、集中しやすい場所であることを住民にも十分周知していく必要があると思う。,区市町村と連携し、ハザードマップなどの整備を行うとともに、それらのより多くの都民への情報提供や分かりやすい表示などを促進していきます。今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。
８避難方策について,東北地方太平洋沖地震でハザードマップを安全マップだと思ってしまったために、逃げ遅れ、犠牲になった人が多くいたと聞いた。それを繰り返さないためにどのような仮定でハザードマップをつくったのかなど説明できる体制が最も大切だと思う。,区市町村と連携し、ハザードマップなどの整備を行うとともに、それらのより多くの都民への情報提供や分かりやすい表示などを促進していきます。今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。
８避難方策について,ハザードマップもおおむね整備されているが、スマートフォン等への対応など、時代に合った形での情報提供をすべきだと思う。防災情報というと、堅苦しい感じがするものが多いので、楽しく分かりやすい情報提供をお願いしたい。,区市町村と連携し、ハザードマップ等の提供に当たっては、スマートフォンを活用するなど、時代に合った形での分かりやすい情報提供に努めていきます。
８避難方策について,情報提供は、魅力的な対策であるが、国のレーダーとの連携をしっかりと行うことが有意義であり、XRAINなどの用語を積極的に周知することが望ましい。XRAINデータから７－１０分前に豪雨域を推定する手法が開発されていることも参照すべきである。,東京アメッシュについて、国のレーダーとの連携を進めていきます。関係機関や区市町村と連携して、携帯端末（スマートフォン等）に浸水の危険性に関する情報の自動送信や、事業所への防災行政無線を配備しての情報発信など、適切な情報が届くよう、行政から「プッシュ型」の情報提供を進めていきます。今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。
８避難方策について,X-BandMPレーダーが整備されてから、パソコン・スマートフォンで気軽に情報を閲覧できるようになったが、まだまだその認知度は低いと思われる。時には、命も脅かされるこの気候現象に対して、地震警報のような事前のアラートをパソコンやスマートフォンに配信できる制度を整備し、認知度を高めるための工夫を行う事が、市民一人一人が行える防災意識の向上につながり、防災対策だと感じる。,東京アメッシュについて、国のレーダーとの連携を進めていきます。関係機関や区市町村と連携して、携帯端末（スマートフォン等）に浸水の危険性に関する情報の自動送信や、事業所への防災行政無線を配備しての情報発信など、適切な情報が届くよう、行政から「プッシュ型」の情報提供を進めていきます。今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。
８避難方策について,高齢者はインターネットやスマートフォンとはあまり縁がないため、区内・市内放送での呼びかけが必要だと感じた。私が住んでいる市では「お年寄りが行方不明です」や「光化学スモッグが発令されました」といった放送しか流れないので、こういった放送はもっと有効活用されないのかと感じることがよくある。,高齢者など、災害時要援護者への情報提供方法について、防災行政無線を配備しての情報発信など、行政から「プッシュ型」の情報発信など、行政から「プッシュ型」の情報提供ができるよう、区市町村などの関係機関に働きかけていきます。また、災害時要援護者が町内会組織やNPO法人などが主体となった「共助」によって避難できるよう、区市町村などの関係機関に働きかけて、防災力向上の実現を目指していきます。
８避難方策について,対応のレベルが時間５０ミリから７５ミリまで上げられたが、テレビを見ていると１００ミリを超える雨がテロップでよく流される。そのようなとき、自助とかよく言われるが、どうしたら良いか分からない。もっと住民の立場に立って行動指針をきめ細かく示すなどの努力をして欲しい。東京都はいつもハードが中心で、住民の目線に立ったソフト対策が今回も不足しているように思われる。,区市町村が作成する地域防災計画などの見直しの際に、避難勧告・指示の発令基準や方法を明確化し、住民が分かりやすい避難方法を構築できるよう情報提供していきます。また、洪水予報など、気象庁や近隣県市、研究機関などと連携して降雨観測体制を強化し、河川水位の予測情報や精度の高い局地的集中豪雨発生情報等を早期に提供していきます。
８避難方策について,情報提供の際、単純な河川水位だけの情報では意味がないと思う。例えば、“現在の降雨の強さがあと何分間続いたら、警戒・避難してください”など行動化しやすい指針が必要と思う。,区市町村が作成する地域防災計画などの見直しの際に、避難勧告・指示の発令基準や方法を明確化し、住民が分かりやすい避難方法を構築できるよう情報提供していきます。また、洪水予報など、気象庁や近隣県市、研究機関などと連携して降雨観測体制を強化し、河川水位の予測情報や精度の高い局地的集中豪雨発生情報等を早期に提供していきます。
８避難方策について,地域住民への防災意識の向上についての記述が少ないように思えた。東京は都民だけでなくその周辺の県からくる人が多くいるため、地域の防災意識を高めるためには東京のことをよく知らない都外の人の防災意識も高める必要がある。,区市町村が作成する地域防災計画の見直しや町内会組織やNPO法人などが主体となった「共助」による防災力向上、関係機関と連携した防災訓練など、地域としての防災力の向上を目指しています。また、防災学習などを通じて、都民に水害の危険性や日頃の備えなどについて、意識向上を図っていきます。
８避難方策について,防災意識向上のために、その土地の海抜を示すなどの対策を行っていることがある。このように誰もが身近に感じられるところに、防災情報を表示することにより、都民の防災意識を向上させるような仕組みを更に行っていく必要がある。,区市町村が作成する地域防災計画の見直しや町内会組織やNPO法人などが主体となった「共助」による防災力向上、関係機関と連携した防災訓練など、地域としての防災力の向上を目指しています。また、防災学習などを通じて、都民に水害の危険性や日頃の備えなどについて、意識向上を図っていきます。
８避難方策について,ハード面に対する対策は非常に詳しく書かれているのですが、ソフト面に関してはどのようなことをしていくのかということが少し気になる。都民の災害に対しての知識が乏しかったり、誤っていたりすると自助もできず被害が大きくなってしまうのではないかと思う。,区市町村が作成する地域防災計画の見直しや町内会組織やNPO法人などが主体となった「共助」による防災力向上、関係機関と連携した防災訓練など、地域としての防災力の向上を目指しています。また、防災学習などを通じて、都民に水害の危険性や日頃の備えなどについて、意識向上を図っていきます。
８避難方策について,避難体制の構築の一環として避難訓練を導入したらどうか。,関係機関と連携した防災訓練の実施や区市町村による都民との避難訓練を通じて、現状の課題の発見・解決を自ら行うことで、円滑な避難の実現を目指していきます。
８避難方策について,豪雨対策として、その予防措置の項目以外に、実際に浸水等の被害が起きた時の措置の項目も必要だろう。,浸水が発生した場合の対策として、区市町村が作成する地域防災計画などの見直しにより、避難勧告・指示の発令基準や方法を明確化し、住民が分かりやすい避難方法を構築し、情報提供していきます。
８避難方策について,地下幹線整備等、豪雨時以外の活用方法を考えてほしい（社会見学時に理科の実験教室を行うなど）。,総合治水週間の行事や、施設見学会など、防災学習として広域調節地や雨水幹線等の見学会を行っています。今後とも、学びの場を設け、都民に水害の危険性や日頃の備えについて、意識向上を図っていきます。
９その他,豪雨時の水流エネルギーは莫大なものである。環境エネルギー面（例：幹線内に水力発電設置）も組み込んだ施策にバージョンアップできないか。,豪雨時に流入する下水の勢いは非常に強く、機器の損傷などが考えられます。下水道局では水再生センターの放流きょにおいて、放流落差を利用した小水力発電などの取組を進めています。
９その他,定量的な対策の必要性や効果の評価のためには、浸水シミュレーションを高度化することが必須である。また、豪雨による浸水予測のツールも河川と下水道が連携して取り組むべき事項である。モニタリングだけでなく、モデル化、浸水シミュレーションの精度向上のための事項をしっかりと項目立てすべきではないか。,日頃から雨水の流出解析シミュレーションなど、高度技術的検討やデータ整備、対策効果の確認作業等を積極的に行うなど、技術力の維持向上に努めていきます。
９その他,基本方針の改正内容は今後の治水等に欠かせないと思う。しかし、最大の問題点は、東京都のホームページにアクセスするかではないか。,今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。また、基本方針については、要点をまとめた概要版を同時に作成しています。
９その他,基本方針を一般の都民はそもそも見る機会がない。また、より詳しい情報を載せていても理解することができないと思う。そのため、概要版等の簡易的な内容のものも、一般の都民向けにつくってはどうか。,今後とも、様々な機会を利用して東京都の豪雨対策についての情報提供に努めていきます。また、基本方針については、要点をまとめた概要版を同時に作成しています。
