事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成22,2010,11月,18.6,19.7,17.1,141.7,158,120.2,134,147.8,115.8,7.7,10.2,4.4
５～29人,平成22,2010,12月,18.3,19.5,16.8,140.8,157,119.2,132.7,146.3,114.6,8.1,10.7,4.6
30～99人,平成17,2005,年平均,18.4,19.2,17.2,143.7,156.9,123.5,132.8,143.8,116,10.9,13.1,7.5
30～99人,平成18,2006,年平均,18.6,19.4,17.4,146.9,159.7,127.2,135.2,145.4,119.6,11.7,14.3,7.6
30～99人,平成19,2007,年平均,19.1,19.7,18,151.9,163.3,132.1,139.5,148.1,124.6,12.4,15.2,7.5
30～99人,平成20,2008,年平均,18.9,19.4,18,151.1,160.8,133.1,139.5,146.9,125.7,11.6,13.9,7.4
30～99人,平成21,2009,年平均,18.2,19,17,142.1,154.4,124.1,132,142,117.4,10.1,12.4,6.7
30～99人,平成22,2010,年平均,18.5,19.3,17.3,144.4,156.6,126.9,133.9,143.8,119.6,10.5,12.8,7.3
30～99人,平成22,2010,1月,17.2,17.9,16.3,135.2,145.6,120.1,125.1,133.4,113,10.1,12.2,7.1
30～99人,平成22,2010,2月,17.9,18.6,16.8,139.2,151.4,121.4,129.2,139.3,114.6,10,12.1,6.8
30～99人,平成22,2010,3月,19,19.9,17.8,149.1,161.7,131,138.3,148.6,123.4,10.8,13.1,7.6
30～99人,平成22,2010,4月,19.3,20.1,18.3,153.8,164.6,138.1,141.4,151,127.5,12.4,13.6,10.6
30～99人,平成22,2010,5月,17.6,18.3,16.7,138.3,149.3,122.6,127.7,136.4,115.3,10.6,12.9,7.3
30～99人,平成22,2010,6月,19.3,20.2,18.1,150.4,163.2,132,140.3,150.9,125,10.1,12.3,7
30～99人,平成22,2010,7月,19.2,20.1,17.8,148.5,162.2,128.7,138.1,149.4,121.8,10.4,12.8,6.9
30～99人,平成22,2010,8月,18,18.9,16.8,140.9,153.9,123.1,131.1,141.6,116.6,9.8,12.3,6.5
30～99人,平成22,2010,9月,18.5,19.4,17.3,144,156.8,125.7,134.2,144.5,119.4,9.8,12.3,6.3
30～99人,平成22,2010,10月,18.4,19.3,17.3,143.7,156,126.5,133.2,142.9,119.6,10.5,13.1,6.9
30～99人,平成22,2010,11月,18.7,19.6,17.5,146.3,159,128.7,135.5,145.6,121.5,10.8,13.4,7.2
30～99人,平成22,2010,12月,18.3,19.2,17.1,143.4,155.9,125.2,132.6,142.6,118.1,10.8,13.3,7.1
100～499人,平成17,2005,年平均,19,19.3,18.3,154.1,161.2,139.5,140.6,146,129.4,13.5,15.2,10.1
100～499人,平成18,2006,年平均,19,19.4,18.1,155,163,139.2,140.7,147,128.3,14.3,16,10.9
100～499人,平成19,2007,年平均,19.2,19.6,18.5,157.2,164.3,143.3,143,148.5,132.2,14.2,15.8,11.1
100～499人,平成20,2008,年平均,19.1,19.6,18.3,157.3,164.7,142.4,143.2,149,131.6,14.1,15.7,10.8
100～499人,平成21,2009,年平均,18.7,19.1,18,152.7,160.1,139.5,138.6,144,129.1,14.1,16.1,10.4
100～499人,平成22,2010,年平均,18.7,19.1,18.1,152.6,160.8,139.4,138.2,144.1,128.6,14.4,16.7,10.8
100～499人,平成22,2010,1月,17.7,18.1,17.2,145.3,152.3,133.1,131.2,136.4,122.2,14.1,15.9,10.9
100～499人,平成22,2010,2月,18.1,18.4,17.4,147.7,155.1,135,133.6,138.9,124.5,14.1,16.2,10.5
100～499人,平成22,2010,3月,19.2,19.5,18.6,157.5,164.9,144.5,142.2,147.4,133,15.3,17.5,11.5
100～499人,平成22,2010,4月,19.8,20,19.4,160,169,145.2,144.8,151.6,133.5,15.2,17.4,11.7
100～499人,平成22,2010,5月,17.9,18.2,17.4,145.9,152.8,134.7,131.9,136.8,124,14,16,10.7
100～499人,平成22,2010,6月,19.5,19.9,18.7,158.2,166.7,144.4,144.1,150.4,133.8,14.1,16.3,10.6
100～499人,平成22,2010,7月,19.4,19.9,18.7,158.6,166.8,145.2,144.1,150,134.4,14.5,16.8,10.8
100～499人,平成22,2010,8月,18.6,19.1,17.8,151.7,160.3,137.8,137.8,144,127.6,13.9,16.3,10.2
100～499人,平成22,2010,9月,18.6,19,17.9,151.4,159.5,138.2,137.6,143.4,128.2,13.8,16.1,10
100～499人,平成22,2010,10月,18.5,19,17.7,151.3,159.9,137.1,136.7,142.9,126.5,14.6,17,10.6
100～499人,平成22,2010,11月,18.8,19.3,18,153.7,162.6,139.4,138.7,145,128.5,15,17.6,10.9
100～499人,平成22,2010,12月,18.5,19,17.8,151,159.5,137.4,136.3,142.3,126.7,14.7,17.2,10.7
500人以上,平成17,2005,年平均,19,19.3,18.5,153.9,159.7,140.6,139.3,143.6,129.4,14.6,16.1,11.2
500人以上,平成18,2006,年平均,19.1,19.4,18.4,154.7,160.6,141.8,140,144.5,130.1,14.7,16.1,11.7
500人以上,平成19,2007,年平均,19.1,19.3,18.6,156,161.7,144.3,140,144,131.7,16,17.7,12.6
500人以上,平成20,2008,年平均,18.9,19.1,18.5,155.1,160.4,144.1,139.1,142.8,131.4,16,17.6,12.7
500人以上,平成21,2009,年平均,18.7,19.1,18,153.5,159.1,142.2,138.8,142.9,130.5,14.7,16.2,11.7
500人以上,平成22,2010,年平均,18.8,19.2,18.1,154.9,160.3,143.9,139.6,143.5,131.6,15.3,16.8,12.3
500人以上,平成22,2010,1月,17.6,18,16.9,145.4,150.6,134.4,130.6,134.5,122.5,14.8,16.1,11.9
500人以上,平成22,2010,2月,17.8,18.2,16.9,146.5,152.3,134.4,131.7,135.8,123.1,14.8,16.5,11.3
500人以上,平成22,2010,3月,19.5,19.8,18.8,161,166.7,149.3,144.5,148.6,136.1,16.5,18.1,13.2
500人以上,平成22,2010,4月,19.8,20.2,19,162.9,168.9,150.7,146.5,150.9,137.5,16.4,18,13.2
500人以上,平成22,2010,5月,17.8,18.1,17.1,147.6,152.6,137.1,132.1,135.8,124.4,15.5,16.8,12.7
500人以上,平成22,2010,6月,19.7,20,19,160.6,165.6,150.3,145.5,149,138.3,15.1,16.6,12
500人以上,平成22,2010,7月,19.7,20.2,18.9,161.8,167.9,149.6,146.6,151.1,137.6,15.2,16.8,12
500人以上,平成22,2010,8月,18.9,19.2,18.4,155.7,160.6,145.9,141.5,144.8,134.7,14.2,15.8,11.2
500人以上,平成22,2010,9月,18.6,18.9,17.9,153.2,158.3,143,138.5,142.2,131,14.7,16.1,12
500人以上,平成22,2010,10月,18.7,19.1,18,154.7,159.9,143.9,139.1,142.8,131.5,15.6,17.1,12.4
500人以上,平成22,2010,11月,19,19.4,18.2,156.9,162.3,145.7,140.8,144.7,132.8,16.1,17.6,12.9
500人以上,平成22,2010,12月,18.6,19,17.8,153.1,158.4,142.3,137.8,141.8,129.6,15.3,16.6,12.7
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成22年確報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間　（調査産業計）,,,,,,,,,,,,,,,
