事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年支給数月差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年支給月数差(か月)
30人以上,E13 家具・装備品製造業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,E14 パルプ・紙・紙加工品製造業,714299,33.8,77.1,93.4,1.53,0.35,631465,2.8,77.1,93.6,1.33,-0.03
30人以上,E15 印刷・同関連業,414935,-1.9,74.4,88.4,1.04,0.01,390291,-6.5,71.8,81.4,0.96,-0.13
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1211946,－,98.9,92.6,1.87,－,1124041,－,98.8,93.1,1.65,－
30人以上,E18 プラスチック製品製造業（別掲を除く）,809507,14.7,41,74.4,1.14,0.36,713466,21.7,100,100,0.84,0.01
30人以上,E19 ゴム製品製造業,827173,21,100,100,2.1,1.01,991945,22.7,100,100,2.44,0.17
30人以上,E21 窯業・土石製品製造業,924148,-15.9,100,100,1.3,-0.73,900331,-19.8,100,100,0.74,-1.22
30人以上,E22 鉄鋼業,1041624,-22,100,100,2.04,-0.23,1150317,-22.1,100,100,2.02,-0.47
30人以上,E23 非鉄金属製造業,660723,-5.5,100,100,1.62,0.09,717733,0.9,100,100,1.2,-0.49
30人以上,E24 金属製品製造業,359991,56.3,79.4,52.8,0.62,0.23,295610,12.2,100,100,0.98,-0.15
30人以上,E25 はん用機械器具製造業,Ｘ,－,Ｘ,Ｘ,Ｘ,－,Ｘ,－,Ｘ,Ｘ,Ｘ,－
30人以上,E26 生産用機械器具製造業,266111,－,100,100,0.81,－,321659,－,100,100,1.09,－
30人以上,E27 業務用機械器具製造業,899057,－,92.3,97.3,1.71,－,822858,－,83,95.1,1.74,－
30人以上,E28 電子部品・デバイス・電子回路製造業,741231,-3.8,83,92.8,0.93,-0.56,838725,36.3,56.7,84.6,1.38,0.71
30人以上,E29 電気機械器具製造業,855475,－,100,100,2.03,－,923033,－,81.6,95.6,2.41,－
30人以上,E30 情報通信機械器具製造業,1100347,－,78.1,93.3,1.7,－,1094312,－,84.7,93.9,1.57,－
30人以上,E31 輸送用機械器具製造業,898969,2.2,66.3,95.5,2.09,-0.07,919867,30.5,66.5,96.7,2.29,0.8
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",450889,－,70.8,81.8,1,－,387785,－,82.8,90.5,0.87,－
30人以上,I-1 卸売業,797047,-11.9,81.9,93.3,1.78,0.23,781169,3.4,92.9,97.3,1.61,-0.02
30人以上,I-2 小売業,220581,－,85.7,94.7,0.67,－,224689,－,85.5,93.5,0.69,－
30人以上,M75 宿泊業,247717,－,69,82.2,0.78,－,252111,－,68.1,74.1,0.74,－
30人以上,MS Ｍ一括分,121326,－,83.6,82.5,0.5,－,122740,－,85.5,85.2,0.49,－
30人以上,P83 医療業,523934,－,100,100,1.52,－,553505,－,100,100,1.49,－
30人以上,PSＰ一括分,290704,－,100,100,1.38,－,236728,－,100,100,1.05,－
30人以上,R91 職業紹介・労働者派遣業,177993,－,74,71.9,0.99,－,150912,－,58.8,71.4,1.18,－
30人以上,R92 その他の事業サービス業,455015,－,72.7,66.2,1.26,－,426239,－,84.4,82.6,1.39,－
30人以上,RS Ｒ一括分,611042,－,96,97.2,1.64,－,637521,－,95,92.7,1.73,－
30人以上,L71 学術・開発研究機関,750920,4.2,100,100,1.6,0.08,825983,5.2,100,100,1.75,0.1
30人以上,"L72,74 専門サービス業，技術サービス業",700972,－,52.9,77.4,1.38,－,599922,－,69,85.3,1.36,－
30人以上,L73 広告業,800318,－,65.4,82.7,1.19,－,612967,－,72.9,81.1,1.25,－
30人以上,N78 洗濯・理容・美容・浴場業,302496,7.6,37.2,38.8,1.37,0.27,329353,2.5,67.9,66.4,1.38,0.14
30人以上,"R89,90 自動車整備業、機械等修理業",694426,-9.1,87.9,93.1,2.21,-0.09,670405,0.1,92.9,87.6,2.06,-0.15
30人以上,E25-31 ［特掲積上げ］機械関連製造業,870590,－,87.9,96.4,1.52,－,890201,－,77.2,94.1,1.76,－
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成22年確報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況　（事業所規模３０人以上）,,,,,,,,,,,,,
